overall_rank,index,merchant_abn,name,tags,tag,numd_sa2_code,returning_customers,unique_customers,median_weekly_income,commission_avg_tot_dollar_value_monthly,avg_num_order_id_monthly,avg_discounted_value,stddev_tot_dollar_value_monthly,rate_fraud_order,stddev_tot_discounted_value_daily,minmax_numd_sa2_code,minmax_returning_customers,minmax_unique_customers,minmax_median_weekly_income,minmax_commission_avg_tot_dollar_value_monthly,minmax_avg_num_order_id_monthly,minmax_avg_discounted_value,minmax_stddev_tot_dollar_value_monthly,minmax_rate_fraud_order,minmax_stddev_tot_discounted_value_daily,average_minmax
422,240,85490345732,Mauris Blandit Consulting,"([digital goods: books, movies, music], [a], [take rate: 5.58])","digital goods: books, movies, music",1885.0,23.0,4050.0,794.5661543919458,442.19004100219263,211.0952380952381,35.15967929057005,2208.5080100734517,0.06276944287423614,139.93963263376943,0.1517334533993696,0.9990443742728935,0.8318521594684385,0.9056774011107455,0.9851319185922341,0.9845816203732688,0.9857869806380729,0.016086839912185243,0.015353105819137505,0.03044738961420671,0.5905695243200553
423,2807,79269463423,Egestas Fusce Aliquet Company,"([shoe shops], [a], [take rate: 6.44])",shoe shops,2033.0,75.0,5675.0,796.1923446050479,3317.541712523191,309.57142857142856,155.04564522697467,15922.769594923064,0.06520287632695582,829.1736714205814,0.08509680324178293,0.9968838291507396,0.7643687707641196,0.9052502194192608,0.8884518517340171,0.9773889271478954,0.9208533971995623,0.11598194086858617,0.07135379904178629,0.1804076040249115,0.5906037142592663
424,1207,93644338786,Consectetuer Cursus Inc.,"([shoe Shops], [a], [take rate: 6.64])",shoe shops,1979.0,47.0,5613.0,826.7803375902739,3310.457284579451,302.9047619047619,153.3693753107894,14363.715074888436,0.06521289065111593,785.4292779515364,0.10941017559657806,0.9980471996011301,0.7669435215946844,0.8972151012164366,0.8886900566722292,0.9778758599581238,0.921761311746673,0.10462574004714031,0.0715842590506664,0.1708899100998828,0.5907043135583545
425,3675,59162205130,Ante Dictum LLC,"[(motor vehicle supplies and new parts), (c), (take rate: 1.47)]",motor vehicle supplies and new parts,2148.0,211.0,8193.0,815.3611018232535,1303.7806163666974,475.42857142857144,173.89765700113253,24660.20723777264,0.06557346860245898,1069.1352350179116,0.03331832507879329,0.991233172677414,0.6598006644518273,0.900214804701992,0.9561620241422149,0.9652747344477138,0.9106426217350644,0.17962570397114677,0.07988225265860553,0.2326172824539162,0.5908771586318688
426,363,40252040480,Luctus Felis Purus Corp.,"[(cable, satellite, and other pay television and radio services), (a), (take rate: 5.77)]","cable, satellite, and other pay television and radio services",1945.0,41.0,4663.0,828.4948439549813,1684.488648073849,247.66666666666666,110.20413259450743,9158.827268416066,0.0643519331009125,435.11908180136965,0.12471859522737505,0.998296493269071,0.8063953488372093,0.8967647198754126,0.943361197612555,0.981910446100016,0.9451408113208607,0.06671317802712697,0.051771011397322916,0.09467110898349745,0.5909742910650448
427,1947,95574756848,At Pede Inc.,"[[opticians, optical goods, and eyeglasses], [a], [take rate: 6.15]]","opticians, optical goods, and eyeglasses",2171.0,275.0,9093.0,809.8946750800696,11911.442727978463,544.047619047619,330.5898753520681,53853.57717974714,0.0687171090645564,2050.814128569,0.022962629446195426,0.9885740402193784,0.6224252491694352,0.9016507728954519,0.5994927887517805,0.9602628045938633,0.8257737452574534,0.39227110376669705,0.15222696581419604,0.44620623638676055,0.5911846336301212
428,996,15359085759,Ac Urna Ut PC,"((shoe shops), (b), (take rate: 4.77))",shoe shops,1964.0,26.0,4723.0,872.7071038893853,1791.3426881547969,249.33333333333334,140.70808879690122,11037.86669727709,0.06480219487432073,532.0043438110179,0.11616389013957673,0.9989197274389231,0.8039036544850499,0.8851506615500262,0.9397683655282514,0.981788712897459,0.928619017716399,0.08040015871404145,0.0621329020889871,0.11575093651171697,0.5912598027070431
429,3644,45380641195,Nisl Arcu Iaculis Incorporated,"([computers, computEr peripheral equipment, and software], [a], [take rate: 6.12])","computers, computer peripheral equipment, and software",2031.0,70.0,5790.0,810.4687343916056,3903.4580415246733,315.5238095238095,188.1139958604698,18416.98691756108,0.06577814299194396,925.6284482502967,0.08599729851418281,0.9970915738740236,0.7595930232558139,0.901499974037029,0.8687511554949306,0.9769541657101914,0.9029426560359717,0.13414989615444567,0.08459243188428799,0.20139376866614273,0.591296594362702
430,2135,88435572170,Et LLP,"([gift, card, novelty, and souvenir Shops], [c], [take rate: 2.84])","gift, card, novelty, and souvenir shops",1935.0,40.0,4539.0,810.2141203529875,606.0507893644346,239.8095238095238,83.2833620972404,6493.783728452967,0.06381068677668855,302.192362280642,0.12922107158937413,0.9983380422137278,0.8115448504983389,0.9015668582519358,0.9796223079717291,0.9824843311977851,0.9597218515924182,0.04730091934803621,0.03931528990353147,0.06574955514479382,0.591486507771167
431,3718,74063123996,Nec Eleifend Non Ltd,"[[lawn and garden supply outlets,  including nurseries], [a], [take rate: 6.35]]","lawn and garden supply outlets,  including nurseries",2021.0,70.0,5758.0,811.0769604573576,4267.600590402213,314.3333333333333,199.24804040319842,19780.96458276798,0.06606142210256002,917.3687392115056,0.09049977487618188,0.9970915738740236,0.760921926910299,0.9013401999604912,0.8565073223944114,0.9770411179977323,0.896912146921111,0.14408515119717014,0.0911115444378963,0.19959666105287485,0.5915107419622193
432,2745,57405729081,Augue Corporation,"[[watch, clock, and jewelry repair shops], [c], [take rate: 2.22]]","watch, clock, and jewelry repair shops",2038.0,64.0,5855.0,809.7249869504257,1016.4740002504492,318.2857142857143,134.36514135486416,13989.258076807258,0.06488114080644099,629.6261590197516,0.08284556506078344,0.9973408675419644,0.7568936877076412,0.9016953480390374,0.9658223460882374,0.976752436403097,0.9320545349911405,0.10189818381702775,0.0639496877179104,0.1369910197287794,0.591624367709562
433,2411,26599529197,Neque Company,"((digital goods: books, movies, music), (b), (take rate: 3.91))","digital goods: books, movies, music",1875.0,23.0,4097.0,816.7169562659764,442.04749761480565,214.33333333333334,49.38538901610778,3247.162811488321,0.06307454743957325,189.39233632934383,0.1562359297613688,0.9990443742728935,0.8299003322259136,0.8998586371457105,0.985136711433527,0.9843451101511579,0.9780819394164403,0.023652433262162653,0.022374488362053253,0.04120707011755345,0.5919837026148781
434,3365,26556866679,Vel Est Tempor Associates,"((furniture, home furnishings and equipment shops, and manufacturers, except applianCes), (b), (take rate: 4.26))","furniture, home furnishings and equipment shops, and manufacturers, except appliances",1926.0,26.0,4452.0,837.2208730573855,869.476588027741,233.8095238095238,81.57743002491165,6236.88351388588,0.06378973987060546,368.44657881665546,0.13327330031517337,0.9989197274389231,0.8151578073089701,0.8944724911792387,0.9707649483384028,0.9829225707269906,0.9606458319907389,0.0454296503255574,0.03883323798622434,0.08016482769117338,0.5920584393301394
435,2322,80982848464,Tempor Augue Limited,"[[florists supplies, nursery stock, and flowers], [d], [take rate: 1.05]]","florists supplies, nursery stock, and flowers",2101.0,107.0,6951.0,808.7019129990521,608.2254663847675,389.76190476190476,138.5741203146921,18128.834224406226,0.06487960121449032,830.2868259709674,0.05447996398018906,0.9955542629217218,0.7113787375415282,0.9019640979414415,0.9795491872046928,0.9715318210591484,0.9297748345746306,0.13205098312179928,0.06391425703193014,0.18064979881746984,0.5920847944194552
436,297,15441635442,Lectus A Corp.,"([computer programming , data processing, and integrated systems design services], [b], [take rate: 4.64])","computer programming , data processing, and integrated systems design services",2042.0,100.0,6067.0,822.946119077384,3080.19752550508,335.3333333333333,184.5838633263277,20243.318319951934,0.0657263942630611,882.2161680770049,0.08104457451598379,0.9958451055343194,0.7480897009966778,0.898222306853675,0.8964322501307049,0.9755072796455129,0.9048546742915222,0.14745294996400887,0.08340153649013111,0.19194833434850003,0.5922798712771037
437,2635,15903176024,Adipiscing Elit PC,"[[lawn and garden supply outlets, including nurseries], [c], [take rate: 2.34]]","lawn and garden supply outlets, including nurseries",2061.0,85.0,6304.0,802.2615292998912,1328.1960958672778,348.57142857142856,151.9148409246141,16272.514584413646,0.06516337912881463,793.738771968843,0.07248986942818547,0.9964683397041715,0.7382475083056479,0.9036559135607041,0.955341084493729,0.9745403702080594,0.9225491281452913,0.11852949407208882,0.07044484857355528,0.1726978496884051,0.5924964406179838
438,1915,82123916158,Egestas A Corp.,"[[watch, clock, and  jewelry repair shops], [c], [take rate: 1.75]]","watch, clock, and  jewelry repair shops",2016.0,60.0,5613.0,807.1984185551138,785.5471952347427,303.85714285714283,137.99914949140393,12684.105949100793,0.06479884327598544,597.2845762741368,0.09275101305718148,0.9975070633205917,0.7669435215946844,0.9023590488484908,0.9735869681236571,0.9778062981280912,0.9300862548116623,0.0923914157891574,0.06205577163367479,0.12995429430609015,0.5925441649613282
439,1264,26169574842,Dolor Dolor Industries,"[[books, periodicals, and newspapers], [a], [take rate: 6.58]]","books, periodicals, and newspapers",2119.0,199.0,8071.0,804.7330902104268,10047.395660647817,467.0952380952381,303.5999980056694,44653.43690057528,0.06822754505049874,1770.122225814417,0.04637550652859068,0.9917317600132957,0.6648671096345515,0.9030066625924817,0.6621690161090622,0.9658834004604994,0.8403922157262755,0.32525700050529993,0.1409606112182031,0.38513464741747916,0.5925777930205739
440,3275,77690613296,Cursus Et Eros Corp.,"((furniture, home furnishings and equipment shops, and manufacturers, except appliances), (b), (take rate: 4.37))","furniture, home furnishings and equipment shops, and manufacturers, except appliances",2013.0,62.0,5584.0,806.3505764248481,2275.7354190001374,303.0952380952381,160.3091425287243,16056.357020499066,0.0652548150993867,732.8919531027879,0.09410175596578119,0.9974239654312781,0.7681478405315615,0.9025817673425518,0.9234812719989269,0.9778619475921173,0.9180025402326772,0.11695499576343829,0.07254906791507813,0.15945909261914593,0.5930564245392557
441,3417,42464370262,Dolor Ltd,"((hobby, toy and game shops), (a), (take rate: 5.90))","hobby, toy and game shops",1902.0,29.0,4300.0,814.0267076502886,1404.4623051395427,226.95238095238096,98.086004261636,7678.68273426445,0.06406109550077234,366.60683556217236,0.14407924358397117,0.9987950806049526,0.8214700996677741,0.9005653348892492,0.9527767295716875,0.9834234159032256,0.9517043276680409,0.05593175995701495,0.045077955047309465,0.07976454523648129,0.5933588492129707
442,3603,27022400550,Id Mollis Nec Corp.,"([books, periodicals, and newspapers], [a], [take rate: 6.38])","books, periodicals, and newspapers",1957.0,52.0,4882.0,830.403859961552,2656.7785777735235,261.2857142857143,148.53972690252954,12675.224609220015,0.06500715449995041,689.6673013835145,0.1193156235929761,0.9978394548778461,0.7973006644518272,0.8962632430615762,0.9106691772451085,0.9809157119305495,0.9243771840503817,0.09232672383775124,0.06684964546452034,0.15005448159462395,0.5935911910107161
443,2007,31397959824,Blandit Congue In Corp.,"[[books, periodicals, and newspapers], [a], [take rate: 6.89]]","books, periodicals, and newspapers",2025.0,55.0,5382.0,823.003640604574,4884.751846830026,288.6190476190476,228.52229674761435,20270.136175472042,0.06661533049947879,1052.0761902372096,0.08869878433138223,0.9977148080438757,0.7765365448504984,0.8982071966020673,0.8357563911869215,0.9789192874086131,0.8810563930629085,0.14764829204407937,0.10385865867462589,0.2289056578547325,0.5937302014059705
444,1159,73489866331,Eu Dui Cum Company,"[(antique shops - sales, repairs, anD restoration services), (a), (take rate: 6.90)]","antique shops - sales, repairs, and restoration services",1949.0,43.0,4969.0,837.1708776804264,3985.0614136588492,265.2857142857143,203.02461967599044,16832.984365569802,0.06599738280969064,807.0348447417753,0.1229176046825754,0.9982133953797574,0.793687707641196,0.8944856243966961,0.8660073452153294,0.9806235522444124,0.8948666462371354,0.12261197310497071,0.08963780584431956,0.17559074500645827,0.5938642399752851
445,2138,90173050473,Lobortis Class Industries,"[[lawn and garden supply outlets, including nurseries], [c], [take rate: 2.49]]","lawn and garden supply outlets, including nurseries",2209.0,2140.0,15569.0,828.2181259640663,7102.397838728667,1199.3333333333333,221.7701719960466,80977.48499529646,0.06652709411091243,2400.918949804774,0.005853219270598786,0.9110852584344358,0.3534883720930233,0.8968374105474329,0.76119084677433,0.9124007874399159,0.8847135321827262,0.5898424781205079,0.10182807143105163,0.5223803530208602,0.5939620329314884
446,2419,28827474922,Libero Limited,"[(optIcians, optical goods, and eyeglasses), (a), (take rate: 6.09)]","opticians, optical goods, and eyeglasses",1866.0,14.0,3765.0,816.8845352259004,887.103514050999,194.23809523809524,70.19609085032593,4309.881304068847,0.06348351531100804,235.04364349494693,0.16028815848716793,0.9994183147748047,0.843687707641196,0.8998146160570452,0.9701722652230425,0.9858128647648462,0.9668102827766382,0.03139330727479219,0.03178608097435302,0.051139661117749674,0.5940323259091635
447,3017,66571984047,Volutpat Company,"((cable, satellite, and other pay television and radIo services), (b), (take rate: 4.69))","cable, satellite, and other pay television and radio services",1929.0,40.0,4639.0,795.0930161980515,1811.0211666666669,245.95238095238096,146.8057676854768,10927.29882276058,0.0649314160160722,517.9286129665043,0.13192255740657366,0.9983380422137278,0.8073920265780731,0.9055390005007199,0.9391067015526622,0.9820356573940747,0.9253163447321182,0.07959477893336385,0.06510667295953086,0.11268840695478148,0.5947040189225626
448,3732,80785565526,Tristique Senectus Ltd,"[(digital goods: books, movies, music), (a), (take rate: 6.41)]","digital goods: books, movies, music",1832.0,18.0,3799.0,793.9109611427438,683.6473875569375,197.14285714285714,50.65472846802016,3290.2305523823106,0.06297225737643625,186.30717335566925,0.17559657811796492,0.9992521189961775,0.8422757475083056,0.9058495129327134,0.9770132204032325,0.9856007011832467,0.9773944297603371,0.023966140004443404,0.020020483390576264,0.04053581525347482,0.5947504747550473
449,3314,10264435225,Ipsum Primis Ltd,"[[watch, clock, and jewelry repair shops], [c], [take rate: 2.39]]","watch, clock, and jewelry repair shops",1945.0,28.0,4532.0,812.1420285575467,668.3147568567058,239.1904761904762,109.27329760511385,8464.67114404279,0.06425889288770148,436.0945734372981,0.12471859522737505,0.9988366295496094,0.8118355481727575,0.9010604186723495,0.9775287607372698,0.9825295463873064,0.9456449775172888,0.061656923580268766,0.049629873561161005,0.09488335174378998,0.5948324625149176
450,3724,75850458091,Dictum Sapien Incorporated,"[(lawn and garden supply Outlets, including nurseries), (a), (take rate: 6.10)]","lawn and garden supply outlets, including nurseries",1994.0,44.0,5279.0,811.3680355444044,4026.9772753549046,281.4761904761905,218.69886425842523,19372.935454764563,0.06651006752118316,890.9392666389023,0.1026564610535795,0.9981718464351006,0.7808139534883721,0.9012637378424487,0.8645979773278004,0.9794410011338578,0.8863770381293019,0.14111305454560255,0.10143623789765831,0.19384626401687566,0.5949717571870599
451,478,82081024598,Placerat Orci Associates,"[(digital goods: books, movies, music), (c), (take rate: 2.40)]","digital goods: books, movies, music",1818.0,21.0,3672.0,875.9626810765236,240.55146888221725,190.28571428571428,49.31684867948968,3007.9427717750386,0.06303891586264046,173.2984044439266,0.18190004502476365,0.9991274721622071,0.8475498338870432,0.8842954584142824,0.9919117608031324,0.9861015463594817,0.9781190627747245,0.021909947174223954,0.021554497576349977,0.037705430122383456,0.5950175054298593
452,1108,58019702129,Sapien Cras Institute,"([artist supply and craft shops], [a], [take rate: 5.82])",artist supply and craft shops,1828.0,13.0,3670.0,839.269365417414,663.7699854805977,190.28571428571428,56.115808334368516,3513.2096449875216,0.06325887542760063,190.32312016443038,0.17739756866276457,0.9994598637194615,0.8476328903654485,0.8939343755121414,0.9776815729323308,0.9861015463594817,0.9744365565647871,0.025590326536773463,0.026616435105381146,0.04140958557039627,0.5950260721328967
453,42,21532935983,Eleifend Nec Incorporated,"([cable, satellite, and other pay television and radio services], [a], [take rate: 5.58])","cable, satellite, and other pay television and radio services",1811.0,14.0,3649.0,814.0681924312739,426.1224173767189,188.04761904761904,38.02935943787272,2192.7388341068577,0.06277249416677258,138.2514918569312,0.185051778478163,0.9994183147748047,0.8485049833887043,0.9005544373086529,0.9856721721346963,0.9862650166600583,0.9842326818189303,0.015971976752004426,0.015423325326095852,0.03008009209463598,0.5951174778736745
454,3671,56626211479,Dignissim Maecenas Ornare Associates,"[(hobby, toy and game shops), (b), (take rate: 4.16)]","hobby, toy and game shops",1816.0,11.0,3847.0,819.3935195175399,359.1696559189632,199.04761904761904,40.610508777145384,2628.3410314975117,0.06294076637140177,161.9164057252968,0.18280054029716342,0.9995429616087751,0.8402823920265781,0.899155534391828,0.9879233741418073,0.9854615775231815,0.9828346593341483,0.019144916484555595,0.01929577973770344,0.03522898979556432,0.5951670725341305
455,565,28690231799,Mollis Phasellus Ltd,"((furniture, home furnisHings and equipment shops, and manufacturers, except appliances), (b), (take rate: 4.31))","furniture, home furnishings and equipment shops, and manufacturers, except appliances",2008.0,47.0,5286.0,863.9896785549718,2630.145622116375,283.4761904761905,200.68944225248106,16874.756217656846,0.06617224216834568,856.2039611358861,0.09635299414678078,0.9980471996011301,0.7805232558139534,0.8874406301341088,0.9115646767275085,0.9792949212907893,0.8961314434708133,0.12291624055353542,0.09366185067291581,0.18628872395396412,0.5952221936365499
456,2996,57566534349,Class Aptent PC,"[(watch, clock, and jewelry repair shops), (a), (take rate: 6.52)]","watch, clock, and jewelry repair shops",1881.0,18.0,4106.0,815.6197858285415,2105.105631954648,214.0952380952381,140.98666104985867,9263.151664741192,0.06485368869898137,447.8378208234516,0.15353444394416926,0.9992521189961775,0.8295265780730897,0.9001468513530857,0.9292184829922643,0.984362500608666,0.9284681352132654,0.06747308012164635,0.06331793136293662,0.09743839081151401,0.5952738513476815
457,3765,95184414711,Ut Eros Incorporated,"[(hobby, toY and game shops), (a), (take rate: 6.57)]","hobby, toy and game shops",1849.0,21.0,4055.0,814.3281077873752,1447.6443627897281,212.0952380952381,97.1582245667654,6536.615207944284,0.0640032841528019,345.26217717822675,0.16794236830256637,0.9991274721622071,0.8316445182724252,0.9004861604978791,0.951324787445079,0.9845085804517345,0.9522068390317263,0.047612905155031734,0.04374754037792049,0.07512047752123341,0.5953721649217804
458,2363,99803748393,Risus Odio Auctor Foundation,"([health and beauty spas], [a], [take rate: 5.99])",health and beauty spas,1973.0,38.0,5099.0,846.3749883925224,3147.7612358971337,272.1904761904762,179.681929702354,15738.762510567687,0.0657088739279897,843.280269250542,0.1121116614137776,0.9984211401030414,0.7882890365448505,0.8920678090938322,0.8941605057376313,0.9801192289766759,0.9075096982844988,0.1146416276366525,0.08299834037708573,0.18347684947150908,0.5953795897639557
459,3713,72177236569,Elit Pellentesque Inc.,"[[opticians, optical goods, and eyeglasses], [a], [take rate: 5.53]]","opticians, optical goods, and eyeglasses",2005.0,55.0,5432.0,812.1109400153184,3447.7890553929765,292.6190476190476,198.4533737842832,18602.538886627204,0.06602447126882949,914.151490784146,0.09770373705538049,0.9977148080438757,0.7744601328903654,0.901068585279151,0.8840724494016078,0.9786271277224762,0.8973425605295937,0.13550146237387642,0.09026119354716114,0.19889666767351624,0.5955648724517004
460,3153,28941011848,Commodo LLC,"((wAtch, clock, and jEwelry repair shops), (b), (take rate: 4.16))","watch, clock, and jewelry repair shops",1987.0,47.0,5005.0,796.6431172952299,1932.221448134449,268.3809523809524,161.58618999018478,14205.14303330774,0.06522967633623332,673.9032900722706,0.10580819450697887,0.9980471996011301,0.7921926910299003,0.9051318065554299,0.9350314952286506,0.9803974762968064,0.9173108557035834,0.10347069644493387,0.0719705486373983,0.14662462412506544,0.5955985588129877
461,3445,56723208962,Risus Donec Associates,"([watch, clock, and jewelry repair shops], [c], [take rate: 2.06])","watch, clock, and jewelry repair shops",1840.0,15.0,3856.0,813.6940001839954,243.16730764952928,199.47619047619048,55.37743102973475,3196.3654993503524,0.06316045379196533,206.2671710702118,0.17199459702836561,0.9993767658301479,0.8399086378737541,0.9006527333602741,0.9918238065297755,0.9854302746996668,0.9748364823104325,0.023282424086463253,0.02435145439776266,0.04487861518567,0.5956535791302312
462,1502,18709053174,Massa Rutrum Industries,"((tent and awning shops), (b), (take rate: 3.39))",tent and awning shops,1804.0,8.0,3699.0,795.2942041998389,221.8607048453733,190.38095238095238,32.21344436160295,1946.683249146677,0.06270708705876137,107.60097588386657,0.18820351193156237,0.9996676084427456,0.8464285714285714,0.905486150698638,0.9925402141275068,0.9860945901764784,0.9873827436625041,0.01417970034336153,0.013918109152535416,0.023411300815537224,0.5957312500779441
463,726,87719724258,Suspendisse Eleifend LLC,"[(watch, clock, and jewelry repair shops), (a), (take rate: 6.28)]","watch, clock, and jewelry repair shops",1915.0,37.0,4521.0,811.1722956423359,2620.4580464147157,239.23809523809524,162.84809708980225,12684.17696525494,0.06529322729073729,603.0248752140076,0.1382260243133724,0.9984626890476982,0.8122923588039868,0.9013151564906382,0.9118904092199223,0.9825260682958047,0.9166273716168127,0.09239193307299685,0.07343304908227624,0.13120324083420964,0.5958368300777718
464,711,82448693380,Vulputate Dui Nec Corp.,"[[computer programming , data processing, and integrated systems  design services], [a], [take rate: 6.06]]","computer programming , data processing, and integrated systems  design services",1988.0,52.0,5105.0,793.4320450533623,4137.008122755403,273.1904761904762,233.07151024478955,19606.702246450488,0.06673099339031949,884.7682567425567,0.10535794687077893,0.9978394548778461,0.7880398671096346,0.9059753187477361,0.8608983291113722,0.9800461890551416,0.8785924121299349,0.142815819008074,0.10652041302010651,0.19250360547839798,0.5958589355409024
465,2789,73546158413,Nec Ante Corp.,"[(lawn and garden supply outlets, including nurseries), (c), (take rate: 1.43)]","lawn and garden supply outlets, including nurseries",1945.0,38.0,4706.0,789.4074284952198,395.1714704163572,249.57142857142858,103.40129465211193,8476.715353195386,0.06406417854805176,459.59124995416107,0.12471859522737505,0.9984211401030414,0.804609634551495,0.907032539788075,0.9867128586187499,0.9817713224399508,0.948825418119504,0.06174465396821527,0.045148905327331554,0.0999956451740592,0.5958980713317797
466,1117,62403837535,Morbi Limited,"[(digital goodS: books, movies, music), (a), (take rate: 6.46)]","digital goods: books, movies, music",1813.0,14.0,3412.0,815.4003317037909,421.8422729714,175.38095238095238,34.87164333051028,2002.139452410568,0.06280114690499995,125.48456430797589,0.18415128320576313,0.9994183147748047,0.8583471760797342,0.9002044994581222,0.9858160865822289,0.9871901889994922,0.9859429889489686,0.014583645024555668,0.016082711840926002,0.027302325639605367,0.5959039220554201
467,2048,50755717212,Iaculis Odio LLP,"((antique shops - sales, repairs, aNd restoration services), (b), (take rate: 4.22))","antique shops - sales, repairs, and restoration services",1972.0,34.0,4959.0,815.1941152231453,2012.5851374252743,266.3333333333333,167.14760367426518,14202.134721576398,0.06528261126075778,688.684596234248,0.11256190904997754,0.9985873358816686,0.7941029900332226,0.9002586701844643,0.9323293677182789,0.9805470342313766,0.9142986389134808,0.10344878381024687,0.07318874199532445,0.14984066935292747,0.5959164141170968
468,1855,55778594682,Auctor Nunc Consulting,"[[digital goods: bookS, movies, music], [b], [take rate: 4.03]]","digital goods: books, movies, music",1824.0,12.0,3636.0,818.1753483331728,400.02646322405616,186.66666666666666,49.788810984729224,3078.4095252704833,0.06305057384325395,171.7400940787704,0.1791985592075641,0.9995014126641183,0.8490448504983389,0.899475534120558,0.9865496156200261,0.9863658813136056,0.9778634348245492,0.022423229162535575,0.02182278311142474,0.03736638047694143,0.5959611680999662
469,2443,38971488186,Primis In LLP,"([books, periodicals, and newspapers], [b], [take rate: 3.61])","books, periodicals, and newspapers",1981.0,48.0,5010.0,828.3038284906282,1569.49161662699,267.0952380952381,151.73649064169325,12720.312844715292,0.06501724974367382,709.8650342506199,0.10850968032417829,0.9980056506564733,0.7919850498338871,0.8968148974674954,0.9472278274926134,0.9804913847673504,0.922645727633704,0.09265514792452252,0.06708196767827572,0.15444900679348478,0.5959866340571985
470,406,55501929396,Mauris Sagittis Corp.,"[[health and beauty spas], [b], [take rate: 3.50]]",health and beauty spas,2044.0,100.0,6442.0,806.2998315218273,2380.71432013367,358.4761904761905,176.675874217149,20782.89589518086,0.06554875401439482,990.1736522063193,0.08014407924358402,0.9958451055343194,0.7325166112956811,0.9025950974519892,0.9199514890924335,0.9738169271757201,0.909137861790917,0.15138324952974336,0.07931349493779816,0.21543720250679452,0.596014111855898
471,3824,25235376304,Pellentesque Tellus Associates,"[(lawn and garden supply outlets, including nurseries), (c), (take rate: 2.86)]","lawn and garden supply outlets, including nurseries",2001.0,51.0,4919.0,812.0982293405223,1232.528424300864,262.6190476190476,153.0615713302272,13162.547414888526,0.06521232505919321,636.5321307214881,0.09950472760018014,0.9978810038225029,0.7957641196013289,0.9010719242289956,0.9585577890710575,0.9808183253685038,0.921928026968913,0.09587639806333197,0.0715712430630221,0.13849358770834344,0.596146714549618
472,1287,32749065279,Auctor LLC,"[[digital goods: books, movies, music], [a], [take rate: 5.69]]","digital goods: books, movies, music",1790.0,10.0,3643.0,845.9937494694426,567.2270547148628,186.71428571428572,49.99596840267138,2981.5364165731166,0.06309742488129218,179.02294112904133,0.1945069788383611,0.9995845105534319,0.8487541528239203,0.8921679562271189,0.9809277069943192,0.986362403222104,0.9777512325882175,0.021717602475060518,0.022900967766694032,0.03895094717521619,0.5963624458664445
473,2103,73674297591,Euismod Mauris Company,"([artist supply and craft shops], [c], [take rate: 2.95])",artist supply and craft shops,1791.0,22.0,3534.0,843.0445265897871,206.3211507985953,184.23809523809524,35.558494698054425,2116.8074921201674,0.06278075586725358,129.6584284647309,0.19405673120216116,0.9990859232175503,0.85328073089701,0.892942683567221,0.9930627119976178,0.9865432639801888,0.9855709710881962,0.015418890533939657,0.015613452142022099,0.028210454850649366,0.5963785813476556
474,2336,88402174457,Duis Dignissim LLC,"([furniture, HOme furnishings and equipment shops, and manufacturers, except appliances], [a], [take rate: 6.06])","furniture, home furnishings and equipment shops, and manufacturers, except appliances",1938.0,42.0,4764.0,793.2279189759423,2676.9019843509845,253.85714285714286,162.33181260015073,12751.881957391513,0.06532563524095493,711.6262988737525,0.12787032868077441,0.9982549443244142,0.8022009966777408,0.906028940348903,0.9099925531254943,0.9814582942048039,0.9169070056984582,0.0928850983070775,0.0741788544282513,0.15483221424647686,0.5964609230042395
475,2073,58741105428,Non Lobortis Corporation,"([computer programming , data processing, and integrated systems design services], [e], [take rate: 0.36])","computer programming , data processing, and integrated systems design services",1945.0,23.0,4449.0,795.7918045199946,87.67443574720347,232.71428571428572,97.76235581409263,7483.005675025096,0.06395313338228201,421.5159503134509,0.12471859522737505,0.9990443742728935,0.815282392026578,0.9053554367484895,0.9970520578773893,0.9830025668315282,0.9518796246955884,0.05450644227099669,0.042593418858129034,0.09171140531277339,0.5965146314121741
476,1931,88816810320,Libero Company,"((lawn and garden supply outlets, including nurseries), (b), (take rate: 4.29))","lawn and garden supply outlets, including nurseries",1934.0,37.0,4627.0,813.7277098081004,1666.2256884513401,244.8095238095238,148.048427409087,11455.317969586495,0.06484715715608626,611.0880438961552,0.12967131922557407,0.9984626890476982,0.807890365448505,0.9006438782250454,0.9439752665540417,0.9821191315901139,0.9246432855611096,0.08344088655299373,0.06316762072693763,0.13295758614561198,0.5966972029077632
477,1260,24598653065,Et Rutrum Foundation,"[(cable, satellite, and other pay television and radio services), (c), (take rate: 2.17)]","cable, satellite, and other pay television and radio services",1817.0,16.0,3969.0,819.5505554101862,263.01061296850145,205.33333333333334,55.25284776188938,3823.837054297475,0.06321508469592661,214.46367108121103,0.18235029266096348,0.9993352168854911,0.8352159468438538,0.8991142828471417,0.9911566004610614,0.9850024694449662,0.9749039600836189,0.0278529460894822,0.02560867739261893,0.046661970083855725,0.5967202362793054
478,65,29216160692,Class Aptent LLC,"([lawn and garden supply outlets, including nurseries], [a], [take rate: 5.60])","lawn and garden supply outlets, including nurseries",1865.0,26.0,3980.0,814.9485762385436,1268.8465206715669,208.52380952380952,101.48015136829781,6535.174203920506,0.06410045438281492,400.5072241913238,0.16073840612336787,0.9989197274389231,0.8347591362126245,0.9003231704857959,0.9573366389696422,0.9847694373143568,0.9498659629134047,0.04760240883763665,0.04598372244209464,0.08714042811710933,0.5967439038854956
