POA_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
POA2441,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,10,7,4,0,25,3,16,21,28,21,40,25,20,3,174,92,247,220,388,293,413,312,92,28,2094,0,0,0,0,0,0,0,0,0,0,191,469,373,650,460,621,579,141,43,3529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,3,13,18,51,33,19,5,136,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
POA2443,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,6,5,7,3,8,3,37,7,15,10,29,28,45,65,63,18,290,110,353,261,552,465,804,919,670,347,4476,0,0,0,0,0,0,0,0,0,0,225,625,544,881,743,1231,1490,982,452,7175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,14,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,7,6,19,36,63,112,116,49,407,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,3,3,0,5
POA2444,0,0,3,23,7,9,5,0,0,46,0,0,8,8,0,4,5,7,0,37,0,0,0,8,5,4,10,5,0,29,5,13,24,87,53,52,63,52,12,362,44,110,107,223,125,144,179,187,126,1248,1106,2896,2785,5372,3290,3607,3773,2734,1331,26896,0,0,0,3,0,0,0,0,0,6,2202,5397,4919,8183,4908,5274,5453,3503,1532,41383,0,0,4,10,0,0,0,0,0,10,0,0,0,5,0,3,4,0,0,15,0,4,0,21,4,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,10,3,50,21,12,11,8,0,117,0,0,0,4,10,0,6,5,0,26,5,5,10,70,22,25,14,4,3,142,0,0,0,0,0,8,13,11,6,38,0,4,4,6,11,7,10,6,0,51,7,62,66,205,285,377,493,536,239,2267,0,0,4,17,9,9,3,8,0,50,0,7,4,18,18,11,6,3,0,69
POA2445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,11,4,9,0,33,0,13,9,16,9,14,27,16,4,100,137,436,317,604,511,624,682,393,74,3783,0,0,0,0,0,0,0,0,0,0,271,832,679,1034,846,961,1069,588,116,6385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,6,9,5,0,0,0,0,15,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,22,50,59,88,71,13,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
POA2446,0,0,0,4,3,0,0,0,0,6,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,4,7,8,11,12,13,5,55,20,49,34,98,61,50,55,40,17,427,415,962,832,1627,1017,1083,989,576,236,7733,0,0,0,0,0,0,0,0,0,0,794,1901,1516,2676,1629,1721,1539,879,314,12980,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,9,5,6,5,0,0,26,0,0,0,0,0,0,4,0,0,4,0,0,0,3,0,6,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,8,8,37,44,113,113,78,36,435,0,0,0,0,3,0,3,0,0,7,0,3,0,6,0,0,5,0,0,11
POA2447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,5,14,4,0,36,12,40,25,64,44,47,45,29,13,324,196,461,302,752,469,669,607,338,157,3953,0,0,0,0,0,0,0,0,0,0,354,847,604,1177,731,1068,998,503,202,6493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,8,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,18,17,41,53,46,10,194,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,7
POA2448,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,7,13,9,0,53,22,43,29,90,39,74,75,45,23,447,220,466,378,835,547,858,899,581,252,5028,0,0,0,0,0,0,0,0,0,0,381,816,707,1253,834,1236,1306,791,316,7644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,6,0,0,24,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,5,0,4,0,16,27,75,117,125,40,412,0,0,0,0,4,3,0,0,0,10,0,0,0,0,4,5,4,0,0,20
POA2449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,12,5,13,19,20,17,28,10,4,5,125,73,123,122,208,143,206,144,64,17,1096,0,0,0,0,0,0,0,0,0,0,114,222,192,311,225,301,228,109,24,1723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,14,26,13,5,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2450,0,0,0,18,9,0,3,0,0,26,0,0,0,0,4,10,4,6,4,24,0,0,3,3,3,0,3,0,0,21,5,48,79,191,85,66,55,38,21,580,59,149,165,379,192,202,174,187,126,1628,1180,2943,2565,5525,3174,3331,3055,1861,851,24484,0,4,8,13,7,0,0,0,0,36,2193,5100,4181,7804,4592,4890,4433,2433,959,36593,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,8,0,0,0,10,6,6,0,0,0,22,0,0,0,3,0,0,0,0,0,7,0,3,3,29,24,30,14,13,4,125,0,0,0,11,3,0,9,0,0,23,0,0,6,48,20,27,10,7,3,135,0,0,0,0,0,7,4,8,0,25,0,0,0,7,0,0,4,7,0,23,0,37,46,168,202,311,359,265,109,1493,0,4,4,18,15,13,7,0,3,61,0,0,0,9,5,5,13,9,5,46
POA2452,0,0,0,9,0,0,0,0,0,13,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,21,14,19,18,14,5,97,18,54,31,92,36,44,43,58,35,430,408,958,720,1740,1003,1092,1059,691,333,8006,0,0,0,0,0,0,0,0,0,0,740,1766,1391,2748,1586,1637,1557,931,380,12728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,12,6,7,8,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,18,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,8,4,11,15,47,66,104,125,102,43,520,0,0,0,4,0,9,3,0,0,23,0,0,0,0,5,0,7,0,0,8
POA2453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,7,5,0,5,22,4,15,6,31,14,21,23,18,9,128,61,136,76,247,171,273,255,135,50,1409,0,0,0,0,0,0,0,0,0,0,102,273,158,375,261,423,386,197,65,2241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,15,26,34,21,3,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
POA2454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,5,4,13,18,20,11,12,3,78,13,50,31,65,55,42,41,15,8,318,158,564,376,777,654,714,513,253,123,4131,0,0,0,0,0,0,0,0,0,0,300,1012,660,1162,853,949,774,315,144,6172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,8,7,0,7,0,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,40,73,108,88,65,22,415,0,0,0,0,5,0,0,0,0,5,0,0,0,6,0,6,4,0,0,21
POA2455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,19,9,6,12,15,15,16,32,13,7,133,63,150,103,268,188,291,300,167,67,1612,0,0,0,0,0,0,0,0,0,0,127,286,193,451,308,454,475,248,79,2624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,14,20,43,29,12,119,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
POA2456,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,9,10,83,14,13,18,8,7,161,16,43,34,122,45,56,45,41,21,429,472,1043,758,2237,1046,1212,1191,555,229,8744,0,0,4,14,4,9,0,0,0,28,914,1987,1323,2833,1534,1757,1861,751,260,13221,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,14,7,6,3,0,0,38,0,0,0,6,0,0,0,0,0,9,0,0,4,33,9,0,3,0,0,52,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,5,4,0,9,0,11,10,65,75,121,132,97,30,549,0,0,0,4,3,0,0,0,0,10,0,0,4,14,3,5,0,0,0,27
POA2460,0,0,0,8,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,9,0,0,8,21,14,25,18,6,8,107,43,116,105,246,149,143,149,93,48,1098,775,1789,1518,3251,1968,2259,2038,1236,590,15420,0,0,0,0,0,0,0,0,0,3,1480,3437,2992,5723,3254,3739,3367,1915,778,26686,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11,0,0,0,7,0,0,0,0,0,7,0,0,3,11,5,0,9,3,0,31,0,0,0,3,0,0,4,0,0,10,0,4,0,18,9,14,3,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,7,6,56,41,151,155,109,34,559,0,0,0,4,0,6,3,0,0,19,0,0,0,0,5,8,4,6,0,14
POA2462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,3,0,15,7,26,13,3,0,78,50,120,95,213,171,217,221,103,34,1223,0,0,0,0,0,0,0,0,0,0,90,253,200,364,271,354,403,185,52,2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,17,17,16,4,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,8,3,5,3,6,0,35,11,25,22,48,28,44,48,31,17,273,205,426,344,722,524,711,709,384,195,4220,0,0,0,0,0,0,0,0,0,0,355,820,644,1153,833,1125,1124,597,265,6905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,4,4,0,0,0,17,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,23,25,60,84,56,12,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,8
POA2464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,5,0,4,4,16,6,0,6,3,0,46,4,21,11,57,25,38,46,31,12,235,141,312,253,650,379,599,712,462,178,3680,0,0,0,0,0,0,0,0,0,0,259,568,457,957,568,888,1083,697,249,5726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,20,0,0,0,0,0,0,0,0,0,9,0,0,0,7,9,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,26,26,46,83,60,21,262,0,0,0,0,0,0,0,6,0,10,0,0,0,5,0,0,5,0,0,6
POA2465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,9,23,20,37,22,26,19,10,3,165,0,0,0,0,0,0,0,0,0,0,23,40,30,60,38,42,40,27,4,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,13,0,0,0,3,8,21,10,17,13,76,20,59,37,86,96,187,208,118,42,854,0,0,0,0,0,0,0,0,0,0,39,116,80,155,143,293,366,214,56,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,13,10,3,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,3,9,6,6,0,34,9,37,22,53,39,57,38,19,12,284,88,225,170,344,297,475,334,149,45,2126,0,0,0,0,0,0,0,0,0,0,148,352,294,482,425,741,576,218,49,3282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,49,34,29,5,127,0,0,0,5,3,0,0,0,0,9,0,0,0,0,4,0,0,0,0,7
POA2470,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,13,4,0,35,32,109,81,161,59,79,79,74,37,718,419,1061,849,1624,890,1032,1056,646,318,7890,0,0,0,5,0,0,0,0,0,5,771,1907,1589,2630,1518,1674,1686,981,411,13157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,8,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,0,3,0,0,3,17,18,49,59,67,14,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11
POA2471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,8,9,28,31,44,30,25,24,13,0,194,46,198,188,319,184,204,167,87,34,1425,0,0,0,0,0,0,0,0,0,0,90,336,295,472,301,326,265,131,51,2273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,20,6,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,11,25,10,11,12,11,4,90,37,141,88,212,130,135,130,51,16,942,0,0,0,0,0,0,0,0,0,0,94,238,164,341,206,264,225,91,19,1643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,12,8,4,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,10,12,9,32,18,16,29,13,9,149,66,173,126,265,203,271,305,154,81,1642,0,0,0,0,0,0,0,0,0,0,115,286,229,414,330,442,500,246,113,2666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,9,21,10,11,62,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
POA2474,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,3,5,12,5,6,3,0,30,3,53,23,70,28,49,54,29,11,325,151,398,268,587,431,575,513,249,120,3297,0,0,0,0,0,0,0,0,0,0,281,662,482,900,644,933,822,352,157,5237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,19,41,64,34,3,174,0,6,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4
POA2475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,3,7,0,0,24,6,15,12,32,34,25,45,15,14,203,0,0,0,0,0,0,0,0,0,0,14,34,28,51,52,52,56,26,14,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,4,11,15,6,3,0,56,12,43,34,68,58,94,55,34,9,413,0,0,0,0,0,0,0,0,0,0,30,76,57,111,95,126,112,50,18,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,12,7,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
