POA_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
POA2805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,14,7,3,33
POA2806,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,5,0,0,0,5,0,0,0,5,0,0,5,3,0,0,4,0,0,7,0,0,0,9,0,0,10,3,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,15,0,6,17,11,3,52
POA2807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,4,0,0,4,0,0,0,5,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,7,0,0,12,6,0,24
POA2808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,15
POA2809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
POA2810,4,3,18,3,0,0,26,0,0,5,0,0,0,4,0,7,10,13,5,0,37,33,4,0,17,6,0,55,23,5,0,27,6,0,49,38,0,0,11,3,0,54,7,0,0,0,0,0,12,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,13,101,22,27,80,24,6,253
POA2817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,15
POA2818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,4,6,0,0,4,0,0,8,9,0,0,5,0,0,16,8,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,15,0,0,27,5,0,52
POA2820,0,0,0,0,3,0,12,0,5,0,0,4,0,4,11,19,13,28,3,0,68,48,25,19,18,0,0,117,51,10,8,30,3,0,100,87,13,0,25,4,0,131,100,6,0,26,4,3,135,39,0,0,5,0,0,47,6,0,0,0,0,0,10,4,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,15,9,3,39,359,76,40,149,38,11,676
POA2821,0,0,0,0,0,0,8,0,6,0,0,0,0,9,0,17,9,11,4,0,43,13,0,5,9,0,0,36,19,0,0,17,0,0,37,49,14,0,23,4,4,89,76,0,0,20,0,0,104,21,0,0,12,0,0,33,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,9,0,17,195,46,21,100,24,3,393
POA2822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,0,0,21
POA2823,0,0,0,0,0,0,3,0,3,0,0,4,0,6,5,5,7,4,3,0,21,10,0,7,9,9,0,37,9,3,0,10,0,0,25,10,4,0,3,0,0,26,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,18,30,13,15,47,27,0,135
POA2824,0,0,3,0,4,0,3,4,0,0,3,0,0,5,3,5,11,3,3,0,27,11,8,3,11,4,0,41,24,7,6,6,4,0,48,16,3,0,8,3,0,29,19,0,0,5,0,0,29,0,0,0,3,5,0,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,3,0,12,70,26,22,47,28,0,199
POA2825,0,5,0,3,7,0,15,0,3,0,0,4,0,9,0,6,4,17,19,0,45,5,3,7,17,8,0,43,4,3,4,12,4,0,34,6,7,0,17,9,0,37,11,0,0,16,0,0,30,3,0,0,6,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,14,37,35,16,86,61,6,241
POA2826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,7
POA2827,0,3,0,5,0,0,8,0,0,0,0,0,0,4,14,7,3,9,6,0,34,40,18,9,17,10,0,95,25,10,0,18,0,0,55,57,6,0,22,3,5,95,23,0,0,8,0,0,33,0,0,0,3,0,0,6,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,9,0,21,155,51,17,99,26,12,361
POA2828,0,0,0,0,3,0,3,0,0,5,6,0,0,6,0,0,0,8,5,0,10,8,9,4,0,0,0,20,6,0,0,4,0,0,12,3,0,0,3,0,0,7,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,4,0,9,18,17,12,23,11,0,72
POA2829,0,8,0,3,10,0,25,0,8,0,0,12,0,15,0,8,4,12,5,0,23,24,25,12,21,9,0,97,14,10,0,21,0,0,53,18,16,3,25,3,0,66,0,0,0,15,0,0,20,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,7,0,11,60,75,25,104,42,5,317
POA2830,0,21,5,4,0,0,32,3,25,5,4,0,0,45,29,192,13,31,13,6,289,164,107,45,67,20,4,411,146,56,30,77,3,4,323,498,66,20,137,15,6,746,986,43,26,243,32,10,1344,1169,22,27,216,38,4,1479,258,4,4,50,5,3,327,46,0,0,13,0,0,60,12,0,0,0,0,0,13,6,0,0,0,0,0,5,0,0,0,0,0,0,7,3,0,0,0,4,0,8,70,45,0,45,28,8,198,3404,571,183,901,163,48,5268
POA2831,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,9,0,0,8,0,0,0,3,0,0,4,0,0,0,4,0,0,8,6,0,0,5,0,0,14,6,0,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,26,0,0,35,7,0,69
POA2832,0,6,0,7,25,0,35,0,3,0,0,11,0,14,3,0,3,6,3,0,13,5,6,18,12,5,0,46,3,3,0,5,8,0,20,3,10,0,5,0,0,24,5,0,0,0,0,0,11,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,3,18,28,30,30,46,60,3,195
POA2833,0,3,0,0,5,0,9,0,0,0,0,3,0,4,0,0,0,0,4,0,9,0,3,16,0,0,0,21,0,0,8,0,0,0,10,3,3,3,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,11,3,14,30,11,22,3,84
POA2834,0,13,0,4,16,0,38,0,0,0,0,0,0,3,3,0,0,9,4,0,14,8,5,8,12,3,0,32,6,3,7,12,3,0,32,10,4,22,11,0,0,44,5,0,0,9,0,0,18,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,16,27,31,46,65,38,0,213
POA2835,0,5,13,0,16,0,29,4,9,0,0,17,0,30,12,17,6,7,26,0,64,20,10,10,15,24,0,82,16,9,0,14,8,0,51,41,5,3,14,4,0,68,47,0,0,17,9,0,65,8,0,0,9,0,0,14,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,7,7,0,21,155,61,27,86,106,5,429
POA2836,0,12,0,0,8,0,21,0,0,0,0,3,0,7,0,9,5,6,0,0,16,0,13,9,4,3,0,28,0,5,8,0,0,0,14,0,0,5,0,0,0,5,0,0,3,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,14,4,42,32,16,27,0,114
POA2838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8,3,12,18,4,0,0,36
POA2839,0,3,0,0,13,0,20,0,3,5,0,0,0,13,0,24,9,7,3,5,42,0,42,20,8,5,0,74,0,3,4,4,0,0,9,3,5,0,0,0,0,14,0,0,0,3,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,3,0,19,7,95,37,18,33,5,204
POA2840,3,7,0,4,33,0,44,0,0,5,0,5,4,15,0,10,10,10,4,0,31,4,10,15,11,9,0,43,5,3,5,4,7,0,22,20,11,0,18,6,0,54,4,0,4,12,0,0,18,5,3,0,5,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,0,27,39,48,36,50,88,0,264
POA2842,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,3,5,0,8,0,0,0,5,0,0,5,0,0,0,0,0,0,7,6,0,0,6,0,0,8,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,23,9,0,42
POA2843,0,0,0,4,4,0,4,0,0,0,3,0,0,4,0,0,4,4,0,0,18,0,0,0,5,3,0,12,3,0,0,10,0,0,10,14,0,0,0,0,0,12,4,0,0,3,0,0,11,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,12,24,6,9,32,23,0,89
POA2844,0,0,0,0,4,0,5,0,0,0,0,0,0,4,4,0,0,12,9,0,14,17,0,0,8,3,0,33,7,0,0,10,0,0,21,18,0,0,10,3,0,28,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,14,48,0,0,51,23,0,123
POA2845,0,6,0,0,0,0,5,0,9,0,0,0,0,9,0,11,0,0,0,0,16,3,10,0,8,0,0,27,8,4,0,3,0,0,15,10,5,0,10,0,0,21,26,8,0,4,0,0,42,40,0,0,4,0,0,46,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,57,0,34,3,0,189
POA2846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,9,6,0,10
POA2847,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,0,10,3,8,0,7,0,0,10,7,0,0,8,5,0,16,21,0,0,11,3,0,36,21,0,0,17,0,0,41,10,3,0,3,0,0,13,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,73,14,0,50,11,0,143
POA2848,0,0,0,0,0,0,0,4,0,0,0,0,0,5,11,0,0,0,0,0,17,25,10,3,6,0,0,46,17,3,0,12,0,3,35,43,4,0,7,4,0,59,25,0,0,6,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,7,122,23,5,40,10,3,198
POA2849,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,5,3,0,0,0,14,3,0,0,3,0,0,7,5,0,0,6,0,0,14,10,0,0,0,0,0,11,35,0,0,0,0,0,39,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,64,7,3,26,8,0,103
POA2850,0,0,0,8,5,0,17,0,6,0,4,0,0,4,5,17,7,13,3,0,51,26,40,19,26,9,0,115,30,16,7,23,5,0,75,65,28,10,42,3,3,145,229,48,5,52,9,0,345,423,10,4,77,11,3,528,313,0,0,22,6,0,347,57,0,0,4,0,0,63,13,0,0,0,0,0,14,0,0,0,0,0,0,0,6,0,0,0,0,0,6,4,0,0,0,4,0,8,22,13,0,30,9,3,82,1197,173,53,306,62,10,1801
POA2852,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,3,9,0,0,10,14,3,0,12,0,0,29,32,0,3,12,3,0,45,49,4,0,15,5,0,68,73,3,0,8,0,0,83,6,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,6,178,14,12,62,12,0,274
POA2864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,0,0,6,0,0,4,0,0,11,5,0,0,0,0,0,7,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,8,18,3,0,40
POA2865,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,4,0,0,7,0,0,0,0,0,0,6,3,0,0,9,0,0,11,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,6,25,8,0,48
POA2866,0,0,4,0,3,0,12,3,0,0,0,0,0,0,0,0,10,4,0,0,7,8,0,0,11,0,0,19,10,0,3,8,0,0,27,29,0,0,19,0,0,49,48,0,0,12,3,0,62,29,0,0,9,0,0,32,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,13,122,4,12,74,14,0,231
POA2867,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,5,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,7,8,0,0,20,10,0,36
POA2868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,3,0,0,4,0,0,8,0,0,0,5,0,0,4,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,6,0,0,25,8,0,47
POA2869,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,9,5,6,0,22,0,6,11,6,0,6,37,3,4,0,18,0,0,28,8,0,3,12,4,0,19,10,0,0,4,0,0,10,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,16,29,14,22,52,14,10,136
POA2870,0,0,0,3,3,0,13,0,12,0,6,0,0,19,16,79,0,24,8,0,122,72,34,13,53,10,3,182,51,15,6,47,4,0,130,123,16,5,67,16,0,224,192,5,3,96,8,0,307,141,0,3,40,4,0,188,24,0,0,12,0,0,33,3,0,0,0,0,0,4,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,3,9,6,0,26,6,0,45,636,174,39,371,59,3,1280
POA2871,7,4,0,7,5,0,21,4,10,0,5,0,0,18,26,50,7,17,0,3,111,72,24,4,30,10,5,142,56,20,4,20,3,0,110,134,8,4,49,3,0,203,108,0,0,50,4,3,161,66,0,0,13,7,0,84,11,0,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,13,7,0,19,17,0,60,502,134,19,214,53,12,932
POA2873,0,0,0,5,3,0,9,0,0,3,0,0,0,4,0,0,0,7,3,0,12,4,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,6,0,4,21,6,3,39
POA2874,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,4,3,0,17
POA2875,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,5,3,3,17,7,0,0,6,0,0,12,0,0,0,11,0,0,12,0,0,0,3,0,0,3,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,7,11,4,9,41,7,3,70
POA2876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,4,0,0,4,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,19,4,0,19
POA2877,0,10,0,4,6,0,20,0,5,0,0,5,0,14,5,11,4,7,0,0,29,14,27,21,19,3,9,88,26,7,0,19,0,0,63,18,5,0,26,0,0,57,14,0,0,13,8,0,32,4,0,0,10,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,8,9,28,90,67,29,104,48,9,354
POA2878,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,3,3,9,0,27
