POA_CODE_2021,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
POA3023,37,1916,124,2083,293,4702,273,5271,86,2147,163,2395,55,1982,374,2410,78,3886,998,4970,108,4771,821,5695,142,4181,451,4771,206,2731,214,3147,318,1670,134,2121,296,611,74,985,115,80,40,230,1724,28682,3677,34082,21,1795,110,1931,131,4593,262,4990,54,2118,105,2277,25,1816,136,1980,57,4106,444,4612,113,5146,340,5599,177,4382,251,4803,274,2771,149,3192,475,1802,85,2354,399,519,69,982,209,105,32,344,1932,29145,1990,33065,57,3716,238,4013,420,9299,538,10258,146,4267,262,4679,84,3801,504,4388,137,7990,1453,9573,218,9917,1163,11292,318,8559,703,9577,477,5498,365,6340,793,3467,223,4479,698,1128,136,1968,320,184,74,575,3657,57829,5663,67146
POA3024,32,1588,105,1724,245,2533,205,2980,60,906,54,1020,42,988,70,1103,47,2558,151,2760,41,3290,185,3521,50,1561,83,1698,66,985,47,1100,105,560,25,694,72,169,8,244,30,22,4,59,792,15172,938,16901,24,1476,98,1599,97,2604,178,2883,41,882,63,984,34,879,69,977,65,3224,189,3477,66,2977,160,3198,118,1513,75,1705,108,1036,49,1196,108,592,30,724,96,164,13,268,62,22,5,91,812,15368,921,17099,56,3064,207,3316,339,5141,376,5864,102,1784,117,2001,75,1875,137,2086,109,5783,339,6238,104,6268,343,6714,172,3075,157,3404,173,2025,97,2295,219,1149,59,1421,165,330,18,515,92,46,13,149,1603,30541,1857,34004
POA3025,6,486,35,527,37,691,54,788,12,233,20,264,7,273,21,302,20,914,91,1020,10,966,57,1037,29,673,39,747,29,460,33,521,65,336,24,426,142,245,20,404,135,77,10,220,484,5363,405,6254,6,456,34,499,12,737,68,814,10,261,18,292,3,284,11,301,14,926,79,1022,26,962,51,1040,27,687,46,758,49,441,29,515,118,405,15,539,237,332,28,596,238,80,19,334,736,5578,399,6713,19,940,66,1024,52,1426,125,1600,18,501,34,551,10,557,34,598,36,1845,167,2047,31,1929,112,2077,53,1370,85,1508,73,903,59,1035,178,737,46,962,372,580,48,999,372,165,27,561,1221,10946,801,12962
POA3026,11,333,23,367,37,772,64,870,13,271,13,295,10,235,16,256,13,540,45,602,10,813,41,872,17,529,29,575,28,318,29,378,23,133,5,159,17,32,3,57,7,3,0,7,178,3983,262,4425,3,313,28,351,23,789,46,859,9,262,8,277,0,212,21,229,4,530,43,580,16,890,37,944,25,521,25,561,31,258,14,303,33,134,5,170,29,29,6,61,5,0,5,13,174,3937,223,4338,17,648,51,709,57,1563,106,1730,17,531,19,570,10,450,32,487,18,1071,85,1181,29,1707,75,1811,40,1045,49,1132,58,576,41,678,52,260,14,324,43,63,7,117,12,3,5,16,357,7925,487,8770
POA3027,10,422,34,474,35,643,41,717,5,225,13,250,3,363,30,397,6,941,87,1031,6,1064,50,1129,3,487,24,516,10,234,17,256,17,125,8,145,6,16,4,31,5,0,0,3,114,4526,301,4939,0,384,26,411,11,647,45,702,0,165,16,183,0,276,19,297,7,870,62,938,17,998,58,1071,15,418,12,451,17,246,13,276,31,119,12,157,8,15,0,21,4,0,4,10,110,4147,252,4509,15,812,60,882,53,1285,77,1417,8,397,28,433,8,639,51,694,9,1813,144,1965,26,2063,106,2199,18,906,39,969,23,481,28,532,46,237,11,300,13,29,3,52,8,6,4,12,224,8669,554,9448
POA3028,16,824,62,905,125,1324,97,1546,38,616,50,702,29,764,67,859,48,2099,171,2314,46,1929,137,2117,69,1580,111,1758,110,1561,71,1744,182,1025,49,1258,153,357,31,536,101,64,13,179,920,12145,849,13915,6,767,53,829,51,1409,90,1538,30,602,31,662,24,736,44,799,48,1975,132,2159,54,1950,114,2119,96,1698,96,1888,155,1708,68,1932,229,1082,59,1371,259,381,26,661,217,76,19,318,1168,12390,727,14278,30,1593,115,1732,175,2732,184,3091,68,1219,82,1369,51,1499,110,1660,94,4076,300,4471,102,3878,252,4232,168,3273,201,3642,264,3267,140,3673,413,2108,109,2628,408,737,49,1196,322,141,28,496,2089,24529,1573,28191
POA3029,90,5870,479,6439,543,9687,783,11014,158,3087,274,3522,88,4247,505,4844,119,10840,1268,12232,147,12396,1027,13568,177,5795,460,6435,244,3849,244,4334,338,2330,150,2808,280,845,71,1192,111,83,18,210,2284,59031,5280,66596,61,5549,447,6057,247,9480,758,10482,81,3007,207,3297,56,3333,261,3646,127,11555,859,12541,192,11097,718,12010,215,5353,314,5885,354,4169,227,4745,471,2482,139,3089,350,812,54,1218,198,100,24,326,2352,56937,4001,63291,152,11415,927,12499,782,19165,1542,21494,241,6098,480,6815,144,7578,769,8490,244,22398,2127,24770,340,23490,1746,25580,393,11151,778,12319,599,8016,469,9079,809,4807,290,5903,631,1662,118,2408,308,187,43,541,4638,115971,9286,129888
POA3030,106,4473,308,4895,580,8872,570,10020,188,3168,194,3547,109,3128,232,3466,151,7956,561,8672,165,10665,588,11411,169,6808,360,7330,266,4391,246,4898,374,2724,176,3269,357,911,94,1364,177,153,46,380,2637,53255,3367,59258,56,4279,295,4633,269,8546,504,9316,83,2934,185,3195,62,3104,186,3351,139,8987,566,9686,178,10635,545,11357,316,6680,338,7340,368,4529,196,5094,474,2857,162,3490,552,1039,128,1710,480,186,103,768,2976,53764,3200,59945,164,8756,603,9526,850,17416,1076,19334,270,6103,373,6749,167,6235,415,6820,287,16944,1124,18359,345,21297,1133,22767,483,13491,696,14671,634,8921,444,9998,843,5584,335,6759,914,1948,220,3076,661,337,151,1147,5616,107022,6566,119201
POA3031,8,476,34,516,38,671,52,765,16,280,21,312,11,566,24,599,20,1924,113,2057,28,1456,88,1570,34,965,63,1065,57,686,48,792,74,472,31,569,65,136,11,207,60,23,4,89,399,7654,481,8534,5,489,29,527,16,704,39,758,10,301,25,330,15,614,35,666,27,2073,121,2221,23,1591,89,1703,28,1041,64,1136,52,742,37,835,106,472,40,613,135,158,17,308,98,44,12,149,504,8225,511,9237,11,965,65,1041,48,1380,91,1522,22,580,39,641,25,1179,61,1266,45,3996,231,4272,47,3048,175,3275,62,2006,135,2199,111,1430,83,1622,176,937,66,1181,195,291,29,511,156,66,14,241,900,15884,988,17772
POA3032,5,815,54,882,54,1417,75,1546,19,618,22,661,17,1025,43,1092,32,2732,165,2924,29,2336,128,2492,40,1861,103,1999,63,1396,80,1540,90,937,50,1077,88,369,26,487,81,46,6,135,521,13552,756,14824,11,745,38,796,26,1271,72,1365,17,589,27,633,19,1032,51,1099,39,2900,187,3123,36,2329,109,2478,43,1892,96,2031,77,1536,65,1684,110,970,48,1132,175,293,27,492,161,52,7,219,712,13609,736,15049,16,1561,96,1674,77,2692,144,2912,31,1206,48,1291,39,2052,100,2195,74,5634,348,6047,68,4665,239,4968,86,3747,193,4028,140,2933,147,3220,203,1906,101,2208,263,658,51,976,237,99,16,354,1237,27160,1485,29874
POA3033,7,387,19,413,43,844,35,923,9,423,13,449,10,355,17,386,10,741,53,803,18,928,35,980,27,978,38,1043,38,725,23,787,53,565,12,633,158,471,28,651,135,89,4,231,512,6510,270,7297,0,368,20,387,31,843,48,924,8,409,13,423,3,333,10,352,21,788,35,841,13,920,37,972,28,1027,41,1091,53,796,21,870,102,717,25,842,267,497,34,797,200,76,10,288,716,6769,296,7782,8,756,38,807,71,1685,79,1839,20,832,25,876,16,696,25,737,33,1525,80,1642,32,1844,74,1950,50,2010,76,2139,89,1527,42,1651,160,1276,36,1479,421,966,58,1451,333,169,16,514,1232,13287,568,15078
POA3034,3,316,14,334,32,635,34,705,5,274,6,285,3,326,6,343,11,666,49,723,15,756,39,814,25,723,27,766,44,568,23,634,110,485,18,611,182,362,17,570,155,85,12,251,571,5201,256,6032,3,283,9,296,9,607,27,649,3,282,4,292,4,239,13,258,13,618,25,650,20,792,30,843,19,704,24,750,59,663,24,745,108,676,27,813,272,409,35,717,291,60,4,355,805,5343,218,6357,8,601,26,633,44,1243,63,1346,10,556,12,575,8,569,16,597,21,1282,74,1376,30,1556,66,1659,39,1424,53,1510,96,1231,45,1373,219,1162,40,1424,456,772,54,1280,436,152,18,607,1375,10546,470,12388
POA3036,0,152,11,164,29,336,12,369,7,179,7,187,3,172,0,171,12,261,12,280,7,294,15,315,4,357,13,376,14,376,17,408,23,315,9,341,38,199,0,240,34,39,0,78,168,2678,98,2934,0,103,3,107,4,285,11,302,4,189,10,198,3,157,3,164,5,264,9,285,3,312,10,325,15,403,18,436,13,404,16,437,28,361,15,404,52,171,15,232,71,60,11,141,204,2715,120,3036,6,254,14,272,37,620,23,676,9,368,15,391,8,329,3,335,14,521,21,560,16,612,20,643,16,766,28,817,25,786,30,843,47,674,22,746,90,370,15,476,108,103,15,224,371,5392,213,5974
POA3037,21,1351,85,1456,201,3446,181,3827,84,1827,85,1990,38,1807,81,1921,62,3103,177,3341,72,3321,171,3562,110,3593,138,3849,175,2586,105,2868,306,1358,53,1719,287,436,35,756,128,52,11,190,1485,22868,1123,25477,10,1277,73,1364,90,3380,179,3644,51,1763,62,1883,34,1695,51,1784,55,3061,159,3279,66,3679,182,3929,130,3820,137,4083,222,2630,102,2947,357,1379,66,1799,384,411,38,831,297,68,15,381,1693,23159,1072,25927,29,2630,161,2818,290,6827,359,7475,133,3592,147,3871,72,3497,131,3706,119,6164,335,6622,137,7002,353,7489,244,7412,274,7932,395,5211,202,5816,662,2734,123,3520,674,842,76,1591,425,118,26,569,3181,46025,2193,51402
POA3038,7,549,30,586,76,1265,75,1415,34,803,38,880,24,914,51,989,36,1512,82,1632,45,1256,71,1370,58,1592,72,1725,99,1931,62,2099,188,1376,56,1621,197,498,21,718,118,64,9,187,892,11760,558,13215,8,507,26,537,35,1245,57,1334,16,843,29,891,17,818,31,865,33,1379,77,1497,50,1327,55,1430,64,1865,91,2021,163,2152,63,2375,212,1305,55,1573,268,433,17,713,188,66,3,262,1050,11931,510,13488,13,1057,53,1125,113,2509,129,2752,46,1647,67,1773,40,1730,81,1850,72,2895,158,3127,91,2580,124,2795,122,3460,167,3749,269,4079,125,4470,400,2678,110,3188,465,931,33,1434,302,133,13,449,1938,23694,1072,26703
POA3039,8,373,14,389,28,698,21,746,18,340,14,369,11,504,20,535,16,1457,58,1533,14,1127,36,1176,16,958,38,1012,37,865,46,951,46,584,25,656,83,210,19,311,83,50,6,144,357,7163,299,7821,5,349,4,357,16,720,16,753,4,336,11,351,7,554,11,575,16,1531,50,1607,22,1181,41,1242,33,1057,29,1119,36,908,38,986,64,622,23,708,144,266,27,439,187,79,8,268,536,7601,257,8401,4,723,17,749,45,1418,40,1502,24,677,17,722,18,1053,32,1105,35,2990,109,3138,38,2308,72,2423,50,2013,72,2130,72,1775,86,1936,105,1206,51,1361,223,477,46,752,272,130,15,415,894,14769,556,16224
POA3040,5,549,16,573,51,1472,44,1569,21,802,37,855,12,961,47,1030,35,1757,80,1871,19,1625,60,1703,26,1787,58,1871,51,1546,46,1643,57,1023,41,1123,92,419,19,529,109,102,14,230,475,12048,472,12997,3,493,24,522,19,1379,33,1438,14,775,17,810,14,942,35,990,36,1829,98,1960,21,1804,75,1895,40,1980,58,2076,65,1617,66,1748,93,1077,43,1205,174,466,23,662,266,134,27,423,741,12493,494,13727,8,1043,41,1089,64,2857,80,3004,36,1579,51,1670,27,1902,88,2017,63,3585,175,3835,37,3420,133,3598,67,3763,121,3950,114,3162,110,3393,154,2097,78,2332,266,884,43,1195,373,239,42,655,1221,24540,965,26722
POA3041,4,262,8,281,30,884,27,940,18,474,13,507,7,384,14,402,13,692,25,737,8,811,26,853,10,935,31,979,21,718,23,758,37,547,20,600,34,228,16,276,53,57,5,111,246,5986,209,6437,0,263,6,269,19,798,24,847,0,407,14,422,5,403,8,423,13,697,24,736,16,886,39,934,18,979,34,1029,26,801,18,844,49,587,24,656,84,224,13,323,108,78,9,189,340,6113,217,6675,8,525,17,549,47,1687,48,1785,26,879,29,927,16,790,26,828,32,1385,52,1468,20,1698,66,1790,33,1912,67,2008,46,1514,42,1602,85,1132,40,1255,120,453,30,601,159,129,10,304,587,12103,422,13111
POA3042,11,500,13,529,63,854,27,945,23,413,17,446,11,441,16,474,21,1062,42,1128,20,1155,29,1208,35,1054,39,1124,34,816,41,891,76,619,21,710,114,330,25,470,115,89,10,210,518,7334,286,8135,0,474,22,491,27,875,31,933,4,378,12,392,4,380,14,398,25,1094,46,1162,16,1200,49,1269,24,1114,38,1182,51,916,26,996,100,765,27,891,193,413,28,629,172,99,11,286,619,7709,302,8625,14,973,33,1020,89,1732,58,1876,26,791,28,844,22,816,35,871,42,2163,87,2288,35,2356,86,2474,60,2167,75,2305,86,1737,66,1889,175,1382,46,1605,306,739,51,1101,284,192,28,501,1135,15041,585,16763
POA3043,6,509,19,533,66,895,40,1001,24,447,16,487,15,483,19,526,28,1219,84,1340,21,1143,50,1214,52,977,45,1075,75,848,42,961,119,773,27,923,162,456,28,653,77,76,14,168,650,7829,392,8872,8,460,18,493,30,909,39,976,5,395,18,422,5,407,20,429,14,1166,57,1237,28,1158,56,1247,49,1027,44,1120,89,939,36,1064,176,925,39,1139,234,445,33,705,130,63,16,211,768,7883,392,9047,14,967,38,1021,94,1801,78,1972,37,835,38,908,17,891,40,951,41,2385,147,2572,49,2295,108,2460,98,2003,91,2199,159,1786,78,2027,291,1701,69,2061,395,900,62,1357,212,142,29,381,1415,15714,784,17912
POA3044,9,809,26,839,92,1532,68,1692,31,720,27,778,17,822,26,868,26,2195,89,2310,35,2163,108,2309,42,1746,84,1877,68,1345,66,1472,95,735,30,858,151,325,29,506,199,127,15,338,769,12519,562,13847,0,812,34,851,48,1602,80,1727,18,653,26,694,18,749,24,795,38,2378,108,2521,32,2277,93,2400,63,1889,73,2026,68,1358,63,1492,118,823,47,990,269,410,39,715,410,197,42,648,1080,13150,620,14847,9,1623,63,1691,140,3134,149,3419,49,1376,56,1478,34,1569,51,1654,67,4574,197,4833,66,4444,200,4709,110,3636,160,3900,137,2706,122,2965,218,1559,70,1847,423,735,62,1221,610,325,53,987,1851,25672,1180,28701
POA3045,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,0,0,6,8,0,0,7,5,0,3,6,10,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,13,33,41,0,0,0,3,0,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,4,16,19,0,0,3,3,0,0,3,4,0,0,3,3,0,0,3,6,0,0,6,8,0,0,6,8,0,3,8,12,0,3,3,11,0,0,4,4,0,0,0,0,0,0,0,0,0,11,48,64
POA3046,19,1256,81,1350,109,1724,153,1985,31,755,59,840,32,1285,121,1437,44,3541,295,3882,65,2769,163,2993,100,1731,128,1956,146,1403,81,1628,151,805,59,1010,203,480,49,731,257,161,51,465,1150,15909,1224,18287,13,1182,89,1285,56,1653,140,1841,16,665,39,719,18,1181,70,1271,61,3439,247,3747,60,2619,144,2820,115,1781,101,1999,161,1496,77,1735,208,953,62,1226,414,621,62,1101,482,189,76,747,1593,15781,1110,18483,28,2435,169,2636,162,3373,289,3827,50,1415,94,1557,50,2466,189,2709,101,6982,545,7631,121,5386,303,5814,218,3508,233,3961,306,2900,155,3363,354,1763,120,2239,615,1104,108,1829,738,352,130,1211,2749,31690,2337,36772
POA3047,19,723,76,817,110,1342,173,1625,22,598,82,699,21,783,116,918,49,1858,293,2204,80,1265,225,1574,96,925,147,1159,179,806,120,1102,168,422,47,644,146,208,36,397,62,43,9,114,956,8968,1323,11249,6,658,67,735,48,1238,148,1436,21,565,62,650,14,656,66,740,28,1518,177,1733,65,1168,137,1380,133,884,121,1132,188,760,91,1040,222,416,51,687,201,249,40,489,141,58,9,206,1074,8177,984,10225,27,1384,145,1554,155,2582,323,3061,40,1158,142,1346,33,1435,182,1655,85,3382,468,3932,148,2437,367,2952,225,1808,263,2293,373,1562,213,2144,386,837,104,1329,349,460,82,889,202,101,19,327,2031,17142,2302,21478
POA3048,3,539,66,611,84,1115,132,1334,28,552,40,617,31,650,52,726,31,1227,117,1369,56,973,109,1135,100,855,78,1029,166,786,64,1015,195,413,27,637,158,188,16,367,40,31,5,79,891,7326,705,8922,5,528,73,609,38,1117,104,1269,16,526,42,586,23,599,54,673,37,1190,120,1347,64,969,97,1128,152,927,71,1151,227,809,85,1111,258,445,42,752,185,173,31,389,89,37,12,135,1096,7323,738,9157,13,1067,143,1218,130,2235,240,2598,45,1082,85,1204,55,1251,103,1407,68,2416,235,2718,119,1942,209,2265,249,1778,146,2180,391,1593,147,2133,455,856,67,1385,341,367,52,757,128,71,20,213,1987,14649,1447,18081
POA3049,5,257,15,274,47,491,27,566,19,272,20,309,10,279,15,298,17,631,34,684,17,557,29,604,21,579,33,633,45,581,22,643,59,380,16,459,63,149,10,218,33,23,8,66,326,4203,225,4759,4,249,18,264,7,508,34,546,10,267,15,288,4,275,27,311,4,612,31,646,15,603,47,664,35,636,29,699,46,648,31,721,92,435,22,547,110,143,13,272,69,23,6,91,393,4393,270,5059,9,502,31,539,54,998,68,1112,24,540,35,599,15,558,33,605,20,1245,64,1329,31,1162,75,1265,52,1214,69,1330,84,1229,51,1368,153,815,39,1004,170,291,24,488,99,43,11,159,717,8597,499,9812
POA3051,6,237,23,278,23,529,61,613,11,311,20,343,3,866,72,940,11,1943,164,2118,16,1042,107,1163,23,619,47,691,35,443,67,540,41,310,41,389,33,115,13,161,30,21,0,47,222,6434,623,7286,3,229,35,274,5,500,69,575,4,318,40,361,7,1004,104,1118,15,1958,186,2165,13,1080,100,1192,30,688,64,781,37,484,45,569,53,310,24,385,58,102,9,169,44,22,11,71,272,6708,693,7670,14,474,63,548,28,1032,130,1186,17,626,60,704,12,1872,176,2066,23,3902,353,4283,25,2124,206,2355,49,1311,112,1472,69,926,114,1105,90,618,67,779,89,218,24,333,72,40,13,126,494,13138,1323,14953
POA3052,4,99,8,105,7,140,14,153,4,438,31,468,3,680,26,717,7,822,45,871,5,374,38,424,10,188,22,218,10,175,19,198,10,140,8,155,24,81,12,110,21,11,5,39,103,3152,216,3469,0,75,9,87,0,131,9,135,6,708,55,767,3,769,38,813,13,759,50,822,10,309,23,342,8,199,17,225,8,175,14,200,16,155,15,186,45,78,0,126,83,23,10,114,198,3382,243,3826,4,173,22,195,8,273,14,292,6,1143,86,1238,8,1447,68,1529,19,1582,97,1696,18,686,61,760,15,389,41,446,21,350,29,400,28,294,20,342,72,163,14,245,104,33,12,155,304,6533,462,7297
POA3053,0,147,15,164,6,262,24,304,3,418,22,446,15,1734,114,1865,24,2527,173,2725,16,825,65,908,21,410,46,470,32,314,18,367,25,268,17,311,54,128,20,210,43,34,8,84,243,7079,528,7848,0,132,10,146,4,226,21,254,7,546,16,573,10,1892,115,2018,30,2496,171,2692,9,757,60,828,22,427,37,487,34,389,20,445,51,299,23,371,82,143,16,238,94,28,11,132,337,7345,502,8188,0,284,23,310,11,492,44,555,16,965,36,1020,26,3630,231,3890,50,5028,338,5417,25,1587,132,1736,38,841,78,963,67,696,44,809,77,569,37,684,135,273,30,447,135,64,19,217,587,14428,1028,16034
POA3054,0,160,7,168,11,262,17,290,0,123,8,129,4,336,7,350,6,962,36,1004,5,512,22,537,9,369,24,393,13,364,21,392,14,324,8,348,14,157,7,177,20,29,3,51,90,3596,157,3845,0,147,6,150,6,260,14,278,0,122,3,128,0,472,15,490,9,1100,33,1142,12,535,21,570,11,436,19,464,15,391,15,415,9,353,24,386,27,185,7,214,47,42,6,93,150,4036,156,4343,6,307,13,328,14,522,30,570,0,251,9,259,3,812,24,842,15,2061,67,2148,18,1046,43,1112,17,801,40,858,21,751,31,809,24,674,27,732,43,336,11,391,66,70,9,141,240,7633,315,8186
POA3055,0,353,15,365,32,530,11,573,12,229,3,241,12,538,15,570,24,1687,69,1775,16,1146,57,1219,30,795,26,850,30,572,22,622,46,363,11,422,63,176,13,254,65,31,7,102,327,6421,253,7001,0,322,9,330,14,569,23,606,6,263,12,272,16,630,23,672,44,1830,85,1959,29,1208,46,1283,31,839,27,893,41,644,22,706,68,407,26,506,125,190,12,324,133,46,8,181,503,6951,291,7746,0,679,18,705,47,1096,35,1180,16,488,16,524,31,1174,46,1243,68,3512,152,3734,46,2355,100,2507,59,1636,51,1748,70,1214,45,1332,114,773,39,927,187,365,29,580,195,75,13,289,836,13371,545,14746
POA3056,0,495,17,512,36,749,20,810,9,319,4,329,10,1015,32,1059,33,3301,137,3476,33,2170,68,2267,36,1323,49,1403,58,888,51,991,59,545,34,639,126,259,24,409,111,50,11,174,516,11102,453,12067,5,455,13,472,14,729,15,760,9,317,16,344,14,1201,43,1268,54,3626,123,3804,32,2080,55,2165,40,1301,40,1379,66,998,31,1092,109,642,34,785,217,278,23,516,197,64,11,268,743,11694,408,12846,6,952,26,983,51,1477,36,1571,20,633,20,669,29,2213,82,2326,91,6928,266,7280,66,4244,126,4432,75,2618,87,2788,119,1887,78,2086,171,1189,67,1426,338,533,46,922,305,115,25,440,1263,22797,855,24912
POA3057,4,230,11,244,13,363,20,395,8,167,9,187,6,423,16,445,18,1977,90,2089,11,1176,57,1240,13,644,36,697,26,366,22,412,14,234,10,258,47,110,9,158,38,31,7,71,196,5720,284,6200,5,234,11,250,3,347,16,364,4,164,7,178,13,592,25,623,26,2240,91,2364,13,1342,56,1411,22,658,28,706,23,473,17,517,33,295,15,339,75,130,10,215,62,35,3,98,284,6501,276,7063,7,462,23,489,26,709,34,762,17,334,15,364,18,1019,41,1069,43,4225,179,4445,26,2518,112,2654,37,1303,66,1399,45,838,42,932,45,523,26,597,123,236,14,372,103,60,7,173,482,12216,559,13262
POA3058,11,947,35,995,72,1712,44,1832,37,699,27,760,23,1080,54,1157,49,2979,138,3161,45,2710,104,2863,73,2185,84,2342,100,1517,63,1670,158,897,48,1104,230,429,42,699,227,113,30,379,1026,15267,679,16963,0,926,38,965,42,1641,61,1741,16,751,24,782,27,1057,44,1124,73,3009,148,3234,60,2846,86,2991,85,2342,79,2511,127,1611,70,1803,229,1003,47,1276,386,493,44,927,397,120,66,591,1439,15801,702,17941,18,1873,69,1954,114,3355,103,3573,53,1447,49,1547,44,2138,97,2285,124,5982,283,6388,110,5552,195,5860,155,4530,165,4852,221,3124,130,3473,383,1899,96,2376,615,920,91,1624,631,239,95,963,2464,31067,1374,34906
POA3059,12,777,44,831,73,1360,74,1506,17,669,17,701,12,705,27,746,28,1402,54,1493,32,1396,70,1498,41,1280,50,1371,79,1160,43,1282,104,688,32,820,96,220,12,319,28,16,0,44,525,9662,427,10617,4,670,25,697,41,1393,60,1487,15,669,27,707,11,716,22,744,18,1562,61,1638,42,1461,50,1556,72,1356,53,1482,101,1153,39,1291,110,602,21,730,89,143,8,248,52,22,0,76,553,9745,355,10659,21,1446,66,1529,115,2748,133,2994,35,1334,37,1413,21,1420,45,1487,49,2960,116,3128,70,2859,131,3056,116,2639,105,2857,174,2316,84,2574,214,1285,47,1545,181,363,20,568,80,32,0,120,1085,19409,785,21274
