POA_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2534,..,8,14,0,9,7,13,4,3,54,..,7,10,13,14,58,75,78,54,307,5,9,7,5,5,6,15,3,5,65,444,272,248,307,344,418,396,220,79,2719,..,3,146,367,458,537,528,267,38,2339,..,18,155,102,54,64,35,14,0,441,..,4,8,36,51,34,13,14,8,171,911,..,..,..,..,..,..,..,..,911,..,272,..,..,..,..,..,..,..,272,..,176,83,19,19,15,0,0,0,310,..,13,18,5,7,7,9,10,3,76,..,18,11,3,11,5,4,0,0,59,..,26,27,4,11,13,18,5,0,105,..,15,22,31,37,93,122,101,65,487,13,13,14,10,13,17,21,7,5,121,923,558,477,577,652,784,762,424,119,5273
POA2535,..,0,6,5,3,16,27,11,0,71,..,0,11,12,31,96,148,169,99,561,9,11,8,7,11,6,11,9,0,65,514,244,277,348,395,657,739,482,162,3820,..,6,183,432,449,754,980,546,105,3455,..,36,142,92,92,154,98,29,4,654,..,6,18,54,62,39,18,22,17,245,1057,..,..,..,..,..,..,..,..,1057,..,237,..,..,..,..,..,..,..,237,..,176,97,37,33,17,8,0,0,362,..,17,9,5,7,24,26,19,21,120,..,22,20,3,10,12,5,0,0,69,..,5,8,14,16,32,44,23,6,145,..,8,29,28,65,163,252,262,131,939,9,18,13,14,17,13,15,13,4,116,1059,522,521,682,748,1204,1441,917,285,7385
POA2536,..,18,28,20,27,55,36,16,6,194,..,16,58,42,119,273,376,312,134,1341,20,16,15,13,15,38,34,22,5,172,1289,704,747,819,1080,1515,1614,893,260,8915,..,24,381,751,988,1489,2001,1019,188,6841,..,147,403,278,309,363,207,60,11,1777,..,35,136,198,245,138,69,58,31,914,2550,..,..,..,..,..,..,..,..,2550,..,510,..,..,..,..,..,..,..,510,..,507,222,101,101,62,13,0,0,1005,..,82,27,26,31,72,75,49,36,391,..,56,35,13,27,7,4,3,4,164,..,34,74,46,57,109,75,26,5,423,..,45,123,120,298,505,668,482,185,2412,37,48,39,30,48,69,67,32,13,390,2593,1487,1450,1568,2105,2811,3180,1735,467,17384
POA2537,..,13,20,12,16,36,19,8,0,120,..,9,30,41,74,194,230,185,115,881,8,21,5,9,12,28,20,12,7,128,743,443,465,523,760,1129,1086,580,206,5947,..,7,232,493,726,1145,1465,677,142,4887,..,76,282,201,231,307,156,37,4,1294,..,10,51,99,138,99,42,33,23,496,1573,..,..,..,..,..,..,..,..,1573,..,377,..,..,..,..,..,..,..,377,..,320,159,66,49,39,12,0,0,643,..,34,23,9,27,32,51,30,23,229,..,30,34,14,18,18,9,0,0,122,..,30,38,25,35,71,53,11,5,264,..,23,63,89,155,408,404,297,160,1597,16,35,34,25,28,52,44,20,12,267,1591,939,917,1021,1402,2165,2241,1105,366,11752
POA2538,..,3,0,0,4,0,9,5,0,24,..,0,4,3,4,28,34,30,19,121,0,4,3,0,0,0,6,0,0,23,166,113,79,128,131,203,207,88,39,1170,..,0,37,152,167,266,293,90,27,1033,..,14,41,30,37,37,36,8,0,205,..,0,5,16,23,11,7,10,0,73,373,..,..,..,..,..,..,..,..,373,..,95,..,..,..,..,..,..,..,95,..,51,27,19,14,4,0,0,0,112,..,13,4,0,0,9,8,9,6,57,..,6,6,4,0,0,0,0,0,15,..,3,3,0,4,5,17,7,0,41,..,0,5,12,15,48,64,42,26,210,4,7,9,3,3,11,13,3,0,50,376,194,149,235,253,383,431,175,64,2268
POA2539,..,35,35,15,14,49,26,17,4,207,..,13,32,38,80,297,409,324,174,1369,19,31,22,18,19,37,45,14,9,213,1361,668,808,941,1078,1636,1799,960,330,9572,..,14,453,922,1064,1746,2325,1159,198,7883,..,105,451,364,307,323,200,53,3,1798,..,14,108,210,263,107,65,74,56,896,2751,..,..,..,..,..,..,..,..,2751,..,578,..,..,..,..,..,..,..,578,..,505,256,105,79,88,19,0,0,1047,..,59,34,12,22,61,55,41,38,327,..,34,45,28,25,11,13,5,0,174,..,49,98,44,38,83,64,38,7,420,..,37,83,107,229,559,670,509,258,2462,50,53,38,39,45,84,87,30,13,435,2802,1441,1568,1837,2065,3068,3513,1909,579,18773
POA2540,..,57,54,25,54,113,103,53,35,495,..,40,111,110,210,517,718,630,320,2653,59,70,50,30,49,75,74,40,24,482,3375,1982,2085,2236,2723,3487,3610,2037,668,22194,..,56,1283,2342,2836,3916,4547,2419,392,17790,..,433,1130,730,769,719,461,136,18,4402,..,68,291,415,517,304,173,147,112,2018,6791,..,..,..,..,..,..,..,..,6791,..,1502,..,..,..,..,..,..,..,1502,..,1448,641,270,234,171,34,0,0,2798,..,179,98,48,73,148,176,140,90,949,..,131,104,43,50,49,35,18,19,449,..,118,149,74,119,220,222,103,45,1056,..,97,275,282,564,1032,1361,1049,462,5117,122,139,114,93,109,143,150,97,32,987,6907,4166,4089,4288,5270,6713,7152,4105,1165,43855
POA2541,..,65,73,39,56,64,48,29,6,382,..,43,97,88,196,360,455,374,194,1809,43,41,39,20,32,29,19,11,3,237,2406,1382,1748,1533,1493,1639,1602,946,350,13086,..,44,1031,1439,1241,1564,1644,970,229,8166,..,413,939,464,357,266,150,54,8,2647,..,70,293,396,401,229,118,68,48,1622,4756,..,..,..,..,..,..,..,..,4756,..,885,..,..,..,..,..,..,..,885,..,811,415,176,129,65,16,0,0,1609,..,168,100,36,62,118,137,54,36,714,..,96,99,50,28,25,13,3,0,308,..,145,194,83,91,151,107,56,8,831,..,87,269,222,430,681,754,571,288,3300,100,97,86,49,69,42,46,21,8,525,4861,2818,3426,2916,2800,3136,2988,1797,630,25354
POA2545,..,0,0,0,0,5,0,0,0,11,..,0,0,6,10,13,12,4,3,53,3,3,0,0,0,7,5,4,0,16,53,38,32,46,62,103,106,35,7,483,..,0,17,37,58,97,140,53,3,406,..,7,13,20,25,32,26,0,0,130,..,0,3,13,10,8,0,9,0,39,107,..,..,..,..,..,..,..,..,107,..,35,..,..,..,..,..,..,..,35,..,31,16,11,11,6,0,0,0,66,..,0,4,0,0,0,6,0,0,14,..,0,0,0,0,0,6,0,0,10,..,4,0,0,0,10,3,0,0,26,..,0,6,8,16,29,36,17,7,115,3,7,0,0,3,9,6,4,0,34,107,92,67,89,128,188,226,77,9,984
POA2546,..,0,18,8,21,33,22,6,4,104,..,12,25,27,50,151,256,161,99,777,4,13,3,3,13,23,23,8,3,100,568,249,333,382,506,858,1043,453,178,4555,..,12,159,325,424,848,1183,534,111,3594,..,52,201,155,190,237,219,56,4,1109,..,7,39,75,81,43,54,35,31,364,1146,..,..,..,..,..,..,..,..,1146,..,225,..,..,..,..,..,..,..,225,..,188,85,58,41,33,11,0,0,416,..,18,17,10,11,14,32,25,16,140,..,13,22,3,5,7,6,0,0,66,..,19,38,23,34,61,47,14,9,233,..,13,54,62,122,320,467,257,133,1428,11,23,26,12,16,44,46,14,3,193,1159,569,633,722,921,1611,2057,934,299,8903
POA2548,..,20,12,9,9,21,20,8,0,92,..,17,34,28,59,147,190,193,82,750,3,18,14,8,4,24,13,4,4,95,495,292,334,358,473,699,751,458,145,4003,..,7,167,317,462,706,932,513,83,3189,..,61,200,163,148,123,105,42,9,851,..,8,31,62,82,41,23,11,19,291,987,..,..,..,..,..,..,..,..,987,..,253,..,..,..,..,..,..,..,253,..,143,91,32,24,20,4,0,0,318,..,18,15,14,13,11,13,12,12,101,..,23,18,0,3,4,5,3,0,58,..,41,36,15,22,40,37,13,0,191,..,32,68,64,123,262,302,253,127,1222,5,25,31,7,17,35,30,4,4,160,993,609,659,676,888,1251,1448,857,245,7623
POA2549,..,4,7,0,5,10,14,3,0,39,..,4,11,11,11,45,67,51,29,224,0,11,0,0,0,9,12,3,0,39,311,140,146,205,237,315,316,143,47,1858,..,8,83,205,294,360,371,169,31,1523,..,28,103,76,78,75,62,16,3,438,..,0,18,26,42,28,12,7,11,136,637,..,..,..,..,..,..,..,..,637,..,121,..,..,..,..,..,..,..,121,..,109,44,9,13,18,3,0,0,189,..,11,6,0,4,9,15,13,0,55,..,6,6,0,4,11,0,0,0,29,..,7,20,0,7,20,16,8,0,75,..,6,25,26,35,84,129,87,37,419,6,20,7,3,10,11,15,3,0,81,641,313,302,356,477,622,628,289,74,3707
POA2550,..,16,21,11,26,52,23,11,6,169,..,18,43,34,86,247,297,186,82,999,23,21,21,13,10,38,26,9,0,174,1242,693,703,814,1046,1488,1128,536,174,7821,..,23,408,781,1002,1533,1349,594,124,5811,..,145,395,348,346,384,203,42,3,1870,..,19,99,156,176,139,60,53,30,740,2551,..,..,..,..,..,..,..,..,2551,..,509,..,..,..,..,..,..,..,509,..,529,211,83,64,48,5,0,0,950,..,51,23,13,29,58,53,37,24,286,..,37,21,16,18,12,4,3,6,124,..,31,58,26,52,99,58,26,10,361,..,37,100,107,220,493,558,303,127,1946,46,46,41,33,35,64,44,22,0,335,2601,1434,1362,1563,1950,2830,2327,1076,320,15467
POA2551,..,5,5,3,7,12,15,5,0,46,..,7,4,9,24,53,75,68,30,274,7,5,5,4,6,4,15,5,0,47,252,124,147,152,196,291,303,166,51,1674,..,0,72,115,181,276,357,149,26,1180,..,36,80,67,76,69,39,6,3,366,..,4,19,45,37,20,17,12,9,168,502,..,..,..,..,..,..,..,..,502,..,81,..,..,..,..,..,..,..,81,..,91,23,14,18,12,6,0,0,168,..,13,8,3,8,16,14,11,6,70,..,14,8,3,8,3,0,0,0,32,..,9,6,7,9,23,19,11,0,90,..,11,14,22,56,114,139,109,51,503,11,11,8,10,6,10,20,5,0,86,518,271,243,281,403,538,619,298,90,3256
POA2555,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,13,4,5,15,5,5,12,9,0,70,..,0,5,17,9,3,15,9,0,63,..,0,4,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,3,28,..,..,..,..,..,..,..,..,28,..,4,..,..,..,..,..,..,..,4,..,3,7,6,3,0,0,0,0,14,..,0,0,0,0,0,5,0,0,7,..,0,0,0,0,0,3,0,0,8,..,0,0,0,5,4,0,0,0,5,..,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,28,13,16,21,21,10,27,10,6,145
POA2556,..,0,6,0,3,3,5,0,0,17,..,4,7,4,5,11,13,6,0,49,0,0,0,0,0,4,0,0,0,7,163,171,118,108,162,164,146,39,15,1086,..,6,84,123,226,244,208,83,19,990,..,17,28,21,13,13,7,3,0,100,..,5,8,13,24,8,18,3,0,78,364,..,..,..,..,..,..,..,..,364,..,138,..,..,..,..,..,..,..,138,..,162,83,36,5,6,0,0,0,299,..,5,6,0,6,13,18,10,6,61,..,5,8,5,5,9,3,6,0,40,..,0,9,3,3,10,9,3,0,47,..,7,9,19,10,21,23,15,3,106,5,0,4,4,0,9,0,0,0,26,366,346,239,226,303,333,287,112,31,2250
POA2557,..,28,44,9,16,21,4,3,0,125,..,12,61,46,33,62,48,19,11,292,22,12,29,9,10,5,5,0,0,93,2444,1048,2202,1600,929,741,484,175,53,9669,..,85,2178,2442,1333,959,639,242,36,7905,..,163,851,313,150,87,26,3,0,1588,..,18,130,175,171,102,45,20,16,671,5100,..,..,..,..,..,..,..,..,5100,..,892,..,..,..,..,..,..,..,892,..,709,470,112,50,27,3,0,0,1368,..,80,108,42,60,83,93,47,21,533,..,48,76,22,24,12,8,7,0,190,..,48,83,24,45,37,16,10,0,259,..,33,154,143,90,104,77,37,18,647,50,39,50,29,22,9,7,3,0,219,5151,2105,4090,3300,1940,1422,905,368,94,19375
POA2558,..,3,10,4,22,15,16,6,0,72,..,11,22,24,37,66,68,33,14,276,12,12,17,9,6,8,3,4,0,77,1058,665,761,788,688,771,431,153,45,5361,..,23,506,904,789,992,583,152,23,3975,..,78,226,181,125,96,43,8,0,759,..,15,96,150,155,125,56,34,4,641,2162,..,..,..,..,..,..,..,..,2162,..,589,..,..,..,..,..,..,..,589,..,543,443,130,45,17,6,0,0,1180,..,61,50,35,37,54,64,38,17,357,..,37,36,23,17,10,3,0,0,133,..,13,23,17,40,34,30,11,0,169,..,17,50,64,102,122,116,44,19,532,21,31,37,17,14,14,9,6,0,149,2187,1402,1473,1521,1325,1467,897,286,68,10633
POA2559,..,3,3,0,7,10,4,0,0,25,..,9,7,13,11,22,28,13,0,102,11,5,8,4,0,5,0,0,0,33,391,182,243,213,140,125,87,31,8,1418,..,6,140,231,119,104,62,21,0,695,..,12,42,34,20,12,3,0,0,130,..,6,62,74,54,35,15,0,5,245,770,..,..,..,..,..,..,..,..,770,..,147,..,..,..,..,..,..,..,147,..,134,84,9,6,4,0,0,0,245,..,17,21,6,5,12,9,5,0,79,..,10,9,7,0,0,0,0,0,34,..,5,7,6,13,15,4,0,0,48,..,10,13,25,27,34,44,16,5,177,15,12,7,6,5,0,4,0,0,51,787,369,383,408,246,223,144,55,11,2625
POA2560,..,150,146,56,110,116,85,25,6,692,..,104,296,241,309,619,906,600,238,3316,145,122,107,72,50,53,57,26,17,647,8007,4957,5810,5496,4583,4512,3892,1781,501,39542,..,181,3981,6184,4948,5093,4485,1854,228,26961,..,792,2225,1259,933,603,259,64,6,6139,..,197,775,1188,1150,733,395,227,93,4763,16211,..,..,..,..,..,..,..,..,16211,..,4049,..,..,..,..,..,..,..,4049,..,3346,2252,799,386,150,28,0,0,6963,..,572,451,222,237,418,424,251,122,2696,..,243,276,146,112,79,27,6,4,883,..,287,377,216,248,245,198,63,15,1642,..,238,715,698,810,1170,1381,895,310,6227,280,217,232,157,105,100,91,30,22,1234,16491,10119,11283,10879,8931,8586,7285,3391,803,77769
POA2563,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,24,13,16,14,20,6,6,3,116,..,0,9,18,17,11,10,10,0,70,..,4,12,0,5,6,0,0,0,31,..,0,6,0,3,0,3,0,0,14,46,..,..,..,..,..,..,..,..,46,..,15,..,..,..,..,..,..,..,15,..,9,3,0,0,0,0,0,0,21,..,0,0,0,4,0,3,0,0,13,..,3,0,0,0,0,0,0,0,3,..,0,0,5,0,5,0,0,0,9,..,0,0,0,5,5,0,3,0,14,0,6,0,0,0,0,0,0,0,6,46,39,31,34,30,36,20,13,7,250
POA2564,..,8,17,9,12,26,24,3,0,90,..,9,31,35,54,121,166,124,32,571,12,13,15,7,5,0,8,5,0,80,1454,863,910,1033,831,793,595,311,71,6869,..,32,609,1282,938,871,585,274,34,4626,..,71,200,121,128,69,44,8,0,640,..,49,146,205,224,167,104,44,11,948,2929,..,..,..,..,..,..,..,..,2929,..,843,..,..,..,..,..,..,..,843,..,541,463,159,78,35,0,0,0,1273,..,105,74,32,50,70,80,49,13,475,..,29,38,21,26,14,3,0,0,140,..,11,42,26,31,46,39,17,3,209,..,20,66,72,139,236,266,177,37,1010,32,30,38,14,17,8,11,13,6,166,2958,1738,1679,1923,1629,1517,1138,579,115,13257
POA2565,..,29,39,11,23,22,31,4,0,163,..,29,87,69,96,178,232,136,68,890,26,23,28,17,6,18,16,7,4,144,3514,1653,2696,2534,1575,1545,1063,456,156,15186,..,86,2478,3984,2116,1975,1265,473,77,12464,..,173,621,346,201,148,66,17,6,1570,..,29,197,296,319,232,95,54,27,1255,7078,..,..,..,..,..,..,..,..,7078,..,1621,..,..,..,..,..,..,..,1621,..,1039,886,229,99,48,10,0,0,2300,..,190,221,89,78,162,160,83,43,1021,..,66,111,44,24,22,9,8,0,283,..,67,127,48,72,73,52,19,4,457,..,48,198,183,223,329,348,198,90,1624,50,42,61,26,22,25,22,6,4,265,7129,3362,4888,5249,3151,3016,2024,868,253,29931
POA2566,..,22,24,15,27,42,36,3,0,166,..,16,52,41,87,188,227,101,30,741,30,15,29,9,9,12,23,7,7,138,2941,1544,1878,2053,1601,1647,1187,388,105,13336,..,45,1453,2685,2067,2149,1441,398,47,10290,..,143,444,332,250,156,73,19,0,1416,..,42,200,339,317,242,164,63,29,1385,5916,..,..,..,..,..,..,..,..,5916,..,1532,..,..,..,..,..,..,..,1532,..,1134,903,299,120,48,9,0,0,2514,..,192,155,83,91,152,163,99,35,970,..,70,79,46,29,31,14,4,0,283,..,55,68,42,55,81,68,16,0,390,..,40,136,152,219,333,355,161,38,1440,69,58,67,25,29,25,24,7,7,319,5986,3306,3512,4016,3182,3210,2315,767,157,26452
POA2567,..,18,36,21,22,29,29,12,3,163,..,18,68,60,104,211,249,151,40,893,51,48,29,15,16,13,18,3,5,200,4644,2816,2385,3092,3154,2158,1303,563,138,20249,..,66,1908,4094,4446,2899,1648,604,80,15738,..,263,964,633,578,322,90,12,0,2859,..,47,236,453,545,277,115,65,23,1765,9326,..,..,..,..,..,..,..,..,9326,..,2685,..,..,..,..,..,..,..,2685,..,2353,1007,216,115,55,3,0,0,3760,..,149,128,63,73,171,187,122,65,951,..,96,92,46,36,23,10,10,0,304,..,34,114,77,60,58,62,21,5,433,..,36,169,185,265,358,349,207,51,1625,106,91,61,48,39,25,28,12,5,417,9434,5825,4677,5816,6157,4178,2492,1043,234,39859
POA2568,..,3,0,0,0,0,0,0,0,6,..,0,0,0,0,7,8,31,20,68,0,0,0,0,0,0,0,0,0,3,81,58,29,52,52,58,84,92,33,538,..,5,20,78,106,90,126,115,21,556,..,5,23,11,6,3,0,3,0,43,..,0,0,5,0,4,0,0,5,14,161,..,..,..,..,..,..,..,..,161,..,53,..,..,..,..,..,..,..,53,..,52,17,8,0,4,0,0,0,88,..,4,0,0,0,0,0,5,4,13,..,0,0,0,0,0,0,3,0,11,..,3,0,0,0,0,0,0,0,5,..,0,0,3,0,11,18,40,24,96,0,0,0,0,0,0,0,0,0,3,161,116,66,99,113,112,150,166,50,1044
POA2569,..,0,0,0,0,3,0,0,0,9,..,3,0,0,4,10,8,3,0,23,5,4,0,0,0,0,0,0,0,7,109,85,56,80,90,99,85,23,3,636,..,0,51,90,117,137,124,29,4,558,..,11,24,23,30,14,8,5,0,124,..,0,4,7,11,5,4,4,0,40,245,..,..,..,..,..,..,..,..,245,..,75,..,..,..,..,..,..,..,75,..,68,26,6,3,0,0,0,0,107,..,5,0,4,0,4,13,6,3,45,..,4,3,4,0,3,4,0,0,18,..,0,0,0,0,3,4,0,0,10,..,6,3,3,4,11,18,13,4,65,5,9,0,0,3,4,0,0,0,16,246,181,111,153,179,189,174,48,16,1306
POA2570,..,51,78,32,30,55,40,19,6,308,..,71,164,118,134,315,443,339,183,1774,76,69,61,18,25,29,27,9,10,320,7424,3608,5216,4728,3487,2814,2278,1096,352,31009,..,127,4831,6735,4718,3560,3048,1260,204,24479,..,561,2266,1084,691,387,134,39,3,5163,..,56,386,668,736,322,143,81,52,2441,15160,..,..,..,..,..,..,..,..,15160,..,3139,..,..,..,..,..,..,..,3139,..,2473,1174,281,157,74,13,0,0,4173,..,236,233,82,97,232,232,144,68,1322,..,156,196,86,66,22,22,12,5,558,..,113,207,74,61,108,80,42,6,694,..,128,399,334,342,535,651,472,233,3102,155,141,119,51,55,45,47,16,12,636,15315,7120,9804,9397,6923,5278,4360,2067,585,60869
POA2571,..,9,7,3,5,13,9,4,0,48,..,0,29,18,21,87,83,59,25,314,26,21,20,5,0,9,10,4,0,85,1346,714,782,892,884,810,526,197,54,6213,..,18,643,1196,1256,1101,716,225,32,5188,..,121,364,235,218,152,57,17,0,1159,..,9,65,98,121,64,36,15,4,415,2816,..,..,..,..,..,..,..,..,2816,..,618,..,..,..,..,..,..,..,618,..,625,282,65,35,12,4,0,0,1020,..,36,11,18,24,36,57,42,21,247,..,40,37,16,9,14,11,0,0,131,..,12,19,12,16,24,15,12,0,105,..,19,61,63,82,154,144,89,32,650,48,36,33,14,20,10,14,9,0,177,2860,1530,1518,1722,1783,1571,1040,409,94,12531
POA2572,..,4,0,0,0,9,0,4,0,22,..,8,17,14,22,45,57,46,19,229,5,8,3,0,0,0,4,0,0,26,495,356,351,300,309,326,284,149,39,2605,..,15,286,331,378,409,361,175,37,1986,..,115,219,86,66,40,27,13,0,573,..,6,32,58,74,26,18,6,7,224,1009,..,..,..,..,..,..,..,..,1009,..,207,..,..,..,..,..,..,..,207,..,264,96,32,17,10,4,0,0,412,..,13,15,11,8,14,27,12,12,111,..,13,14,9,10,0,8,0,0,47,..,7,9,5,10,12,5,6,0,51,..,8,33,27,46,83,95,79,29,408,7,17,12,4,6,3,5,7,0,60,1017,657,712,555,605,607,546,296,89,5085
POA2573,..,10,14,3,8,7,5,0,0,49,..,10,15,19,35,63,58,52,16,257,15,12,8,3,3,5,4,4,4,52,658,324,433,340,385,294,252,145,39,2865,..,8,328,364,364,275,277,148,32,1805,..,72,227,110,106,50,18,3,0,585,..,13,57,70,105,46,19,15,10,349,1270,..,..,..,..,..,..,..,..,1270,..,202,..,..,..,..,..,..,..,202,..,269,96,42,33,9,5,0,0,451,..,20,10,3,22,21,28,20,3,130,..,27,13,3,15,5,3,4,0,64,..,26,27,13,13,17,15,0,0,110,..,13,38,47,59,106,94,78,28,462,17,29,10,9,8,15,6,4,4,102,1289,674,810,655,724,547,471,266,84,5527
POA2574,..,0,0,0,7,6,3,5,0,23,..,0,0,7,20,35,48,64,27,205,15,7,3,3,0,9,3,6,0,43,556,340,292,368,381,367,307,181,51,2839,..,10,199,429,495,448,400,188,25,2201,..,51,151,99,100,77,29,11,3,531,..,4,39,58,60,35,22,13,11,243,1117,..,..,..,..,..,..,..,..,1117,..,287,..,..,..,..,..,..,..,287,..,319,130,49,26,14,0,0,0,534,..,22,14,10,13,26,35,31,11,150,..,11,24,7,14,8,5,0,0,72,..,0,5,0,14,18,5,4,0,54,..,3,19,26,67,63,100,92,37,405,19,11,5,6,3,9,9,6,0,69,1134,720,588,686,797,696,602,348,87,5660
POA2575,..,25,28,10,28,25,29,16,4,159,..,9,43,33,74,186,270,206,90,917,36,42,13,15,14,23,14,10,3,176,1620,868,1031,988,1189,1145,1040,588,183,8654,..,21,871,1254,1324,1290,1227,634,113,6737,..,116,455,303,281,205,102,40,0,1509,..,18,72,128,216,123,60,57,29,704,3193,..,..,..,..,..,..,..,..,3193,..,716,..,..,..,..,..,..,..,716,..,637,280,96,84,49,4,0,0,1157,..,57,56,20,33,65,55,60,25,364,..,54,77,30,27,12,11,6,0,218,..,38,90,40,51,55,49,26,0,351,..,27,96,96,179,336,408,305,115,1552,55,67,33,27,27,35,24,14,3,297,3244,1755,2021,1999,2227,2166,1958,1137,291,16803
POA2576,..,16,24,16,13,14,22,12,0,122,..,6,13,32,69,154,358,379,174,1184,9,22,15,11,11,18,17,9,15,115,954,527,361,617,878,952,1313,1053,319,6986,..,7,262,753,1067,1151,1495,1238,259,6238,..,46,111,112,167,134,162,58,12,801,..,0,16,69,142,97,44,41,44,457,1903,..,..,..,..,..,..,..,..,1903,..,621,..,..,..,..,..,..,..,621,..,338,165,72,72,43,13,0,0,698,..,31,22,7,14,18,40,48,25,199,..,20,35,5,6,7,5,5,0,83,..,29,48,28,28,31,48,23,0,242,..,12,43,59,128,233,463,492,241,1664,10,29,28,16,20,30,33,17,19,197,1912,1133,727,1125,1629,1744,2295,1917,605,13101
