POA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA2703,5,0,5,91,30,3,126,417,22,565
POA2705,237,37,279,1520,630,59,2214,5414,827,8457
POA2706,10,5,10,134,38,12,185,587,103,872
POA2707,33,9,40,174,79,11,267,600,86,951
POA2710,278,40,323,1203,516,80,1803,5428,827,8058
POA2711,79,16,90,388,181,15,579,1760,347,2687
POA2712,38,33,70,162,59,4,232,804,131,1168
POA2713,101,13,113,353,136,15,513,1499,269,2279
POA2714,92,20,116,328,142,26,493,1750,270,2514
POA2715,34,7,43,175,67,6,255,717,151,1120
POA2716,20,7,30,119,50,0,170,563,95,820
POA2717,18,3,25,122,67,4,193,626,179,996
POA2720,207,18,228,1231,488,54,1768,4536,559,6869
POA2721,0,0,0,28,8,4,42,113,24,177
POA2722,74,14,89,472,200,25,690,1758,324,2775
POA2725,3,0,5,40,21,5,63,214,23,298
POA2726,8,6,10,40,20,0,68,114,29,204
POA2727,0,0,0,53,18,0,75,152,40,272
POA2729,33,0,37,238,88,7,333,922,76,1326
POA2730,48,0,49,151,68,5,222,804,93,1117
POA2731,156,62,219,1090,330,46,1469,4219,483,6171
POA2732,88,19,106,191,93,14,299,1173,139,1617
POA2733,8,4,18,72,27,10,103,279,101,477
POA2734,3,0,6,67,32,0,102,256,32,390
POA2735,3,0,8,53,29,0,87,226,21,329
POA2736,10,0,6,48,24,3,69,230,44,347
POA2737,3,4,8,106,32,4,144,376,123,650
POA2738,20,0,21,411,128,22,564,963,93,1623
POA2739,17,0,17,192,84,13,289,722,114,1126
POA2745,189,12,203,6748,1194,139,8088,15651,767,24500
POA2747,463,59,530,11016,1848,232,13096,25811,2668,41577
POA2748,37,0,40,202,94,11,310,1187,55,1548
POA2749,112,4,118,3310,767,88,4164,8323,642,13133
POA2750,779,316,1099,7993,1746,170,9903,27682,2861,40446
POA2752,40,3,45,1188,232,16,1439,2834,190,4467
POA2753,416,91,515,2736,703,59,3494,10083,994,14575
POA2754,172,19,189,1206,275,27,1509,3997,227,5728
POA2756,329,21,358,6548,1417,174,8146,18380,1395,27915
POA2757,22,0,22,136,35,0,176,499,26,703
POA2758,119,7,125,1543,381,26,1952,5089,227,7270
POA2759,160,25,179,4608,1235,89,5929,14099,1015,21045
POA2760,375,136,514,6680,1016,134,7826,18184,2713,28723
POA2761,262,18,285,6448,1085,124,7658,17692,1410,26753
POA2762,47,5,49,5876,494,73,6442,8410,889,15740
POA2763,226,15,243,7282,960,74,8314,16206,1087,25607
POA2765,215,22,245,11045,1323,144,12512,18475,2791,33776
POA2766,370,187,564,2827,505,35,3371,9094,1121,13585
POA2767,199,18,220,3861,764,64,4687,12921,1096,18702
POA2768,136,8,145,6044,754,76,6872,14132,1890,22895
POA2769,134,8,142,4616,394,36,5047,6103,372,11518
POA2770,436,54,493,8919,1861,209,10981,30977,4712,46671
POA2773,110,4,115,1094,301,21,1413,3348,111,4872
POA2774,141,13,157,2536,604,32,3178,6885,262,10325
POA2775,19,0,21,148,43,0,188,1023,142,1349
POA2776,53,5,53,823,185,16,1023,2165,96,3278
POA2777,495,84,581,3240,816,76,4127,9944,440,14512
POA2778,23,5,32,424,95,7,530,1442,59,2032
POA2779,53,3,59,995,188,24,1209,2752,117,4077
POA2780,303,52,354,1783,469,64,2323,8711,584,11613
POA2782,208,16,229,1014,302,18,1334,3727,300,5361
POA2783,40,3,40,467,135,11,617,1525,71,2211
POA2784,9,0,9,238,61,10,308,732,40,1079
POA2785,101,7,111,692,164,17,875,3021,257,4157
POA2786,22,0,18,156,54,5,216,757,58,1025
POA2787,97,7,103,558,259,21,835,2501,503,3837
POA2790,411,28,438,1970,810,100,2881,8927,1212,13017
POA2791,10,0,12,38,13,4,56,190,25,272
POA2792,11,0,14,45,17,0,61,248,23,330
POA2793,9,0,11,112,52,4,167,644,115,920
POA2794,352,32,387,1390,582,56,2034,5949,677,8663
POA2795,969,85,1061,6953,2624,317,9897,23666,3060,36624
POA2797,5,3,9,74,22,0,94,205,42,338
POA2798,21,5,24,414,111,17,540,1009,159,1707
POA2799,91,10,100,687,204,35,923,2228,152,3296
POA2800,928,154,1103,8194,2757,390,11339,24192,2356,37891
POA2803,3,0,3,31,14,0,46,180,19,241
POA2804,70,14,83,353,165,20,538,1561,243,2339
POA2805,8,0,11,51,18,0,73,232,36,339
POA2806,29,7,34,92,43,6,138,467,99,709
POA2807,0,0,0,38,17,3,62,278,48,382
POA2808,0,0,0,14,5,0,25,143,22,188
POA2809,5,0,6,34,10,0,43,109,13,168
POA2810,120,17,128,372,191,21,589,1863,196,2645
POA2817,4,0,4,54,24,0,80,181,37,296
POA2818,11,3,17,129,65,3,196,412,59,665
POA2820,154,30,191,772,364,41,1177,3491,1419,6087
POA2821,90,33,120,638,274,48,956,2252,501,3715
POA2822,7,3,6,59,30,4,89,202,55,348
POA2823,24,21,44,191,76,8,268,659,149,1072
POA2824,49,33,82,270,105,4,380,1058,214,1659
POA2825,50,13,69,335,103,3,438,1178,165,1787
POA2826,3,0,3,30,7,0,32,110,6,149
POA2827,101,19,117,491,239,26,754,1856,365,2979
POA2828,14,0,15,88,33,9,126,409,95,630
POA2829,63,0,64,378,157,12,542,1437,329,2309
POA2830,820,126,957,7244,2649,310,10213,21904,3205,35320
POA2831,16,4,23,320,89,13,420,803,203,1425
POA2832,8,12,15,213,67,5,280,838,561,1676
POA2833,6,0,12,55,17,4,73,314,126,512
POA2834,43,5,48,173,78,7,258,1073,363,1695
POA2835,65,13,76,553,162,12,725,1789,487,3002
POA2836,7,3,5,61,31,0,90,458,163,709
POA2838,0,0,0,13,5,0,25,112,40,179
POA2839,13,3,17,111,46,7,164,544,140,853
POA2840,28,3,34,297,77,9,383,1117,359,1857
POA2842,14,0,10,99,31,7,138,387,63,584
POA2843,39,3,44,148,49,0,195,683,165,1038
POA2844,43,10,49,168,52,9,222,759,115,1093
POA2845,29,0,26,320,100,17,439,1075,71,1582
POA2846,8,0,4,32,10,0,33,168,22,226
POA2847,47,3,49,319,172,11,500,1351,173,2024
POA2848,41,5,48,149,56,4,215,961,133,1310
POA2849,36,6,44,186,76,4,266,962,145,1375
POA2850,372,60,433,3137,928,141,4209,9856,1178,15243
POA2852,73,6,78,565,217,25,806,1866,290,2960
POA2864,14,6,20,128,52,7,187,415,61,660
POA2865,22,0,25,121,70,11,200,485,64,755
POA2866,79,16,97,478,166,31,675,1564,219,2463
POA2867,9,0,9,104,30,6,142,296,44,483
POA2868,20,3,25,91,34,7,128,298,34,465
POA2869,39,8,47,166,65,9,238,817,204,1254
POA2870,309,27,343,1865,717,92,2680,6204,663,9550
POA2871,243,31,278,1275,480,78,1827,4695,667,7187
POA2873,24,5,35,78,24,4,103,314,59,475
POA2874,5,12,16,55,9,0,61,185,50,300
POA2875,32,6,31,110,43,8,169,443,58,665
POA2876,8,0,8,94,16,0,112,223,43,375
POA2877,96,17,112,515,205,8,735,1732,328,2797
POA2878,4,0,6,26,8,0,32,153,51,237
POA2879,4,3,10,44,17,4,63,335,104,499
POA2880,465,126,599,2294,989,117,3403,10183,1403,14992
POA2898,12,0,15,72,22,0,104,247,36,379
POA3000,61,11,73,1806,526,11,2341,35111,4170,41625
POA3002,116,4,119,376,273,8,660,3673,275,4609
POA3003,16,0,15,762,154,8,923,5908,601,7440
POA3004,150,87,242,1040,371,12,1423,8184,1068,10672
POA3006,62,4,65,1720,498,18,2236,17790,1313,21338
POA3008,42,5,42,1536,315,23,1873,11063,1347,14283
POA3011,311,73,390,2999,593,49,3634,14437,1474,19546
POA3012,373,99,479,4737,737,107,5575,15367,1502,22444
POA3013,274,21,300,3122,406,64,3592,8572,480,12644
POA3015,275,37,320,4190,640,71,4896,9093,637,14620
POA3016,274,27,303,2954,722,45,3717,8988,508,13216
POA3018,360,29,398,2417,598,63,3075,7565,534,11172
POA3019,104,15,116,1295,289,26,1605,5904,659,8171
POA3020,973,84,1058,6078,1501,130,7712,26569,2837,37114
POA3021,806,267,1087,7027,2049,125,9204,32179,4369,45758
POA3022,95,8,107,451,121,10,588,1737,308,2625
POA3023,482,83,575,12070,2422,215,14710,32980,5182,52875
POA3024,137,11,149,7730,1145,150,9026,14339,1460,24825
POA3025,506,45,561,2180,423,46,2648,7027,663,10339
POA3026,18,3,16,1987,251,38,2270,3672,381,6330
POA3027,11,0,12,2162,261,54,2470,4217,468,7150
POA3028,463,29,496,4556,1159,86,5804,16190,1379,23368
POA3029,483,46,541,28015,4029,420,32470,55701,7726,95904
POA3030,959,183,1147,26096,4165,512,30769,54248,5317,90342
POA3031,216,18,241,2490,528,70,3084,11255,876,15209
POA3032,313,41,354,4761,1060,78,5898,18109,1283,25290
POA3033,491,18,514,2573,748,35,3351,8584,496,12435
POA3034,568,31,607,1950,588,31,2567,7381,457,10411
POA3036,199,19,224,961,376,19,1356,3503,172,5023
POA3037,541,30,569,9412,1960,147,11520,27736,1851,41108
POA3038,428,18,449,3635,1729,75,5436,16459,931,22827
POA3039,394,16,415,2434,675,52,3160,10285,527,13976
POA3040,593,53,655,4376,1210,60,5646,16102,883,22629
POA3041,286,16,304,2394,654,39,3082,7315,385,10781
POA3042,445,51,501,2934,770,57,3757,9545,562,13866
POA3043,335,35,381,2757,841,52,3648,10545,724,14920
POA3044,900,77,987,5365,891,92,6354,16211,1034,23595
POA3045,0,0,0,3,0,0,4,4,44,55
POA3046,1033,173,1211,5769,1088,96,6957,21214,2137,30306
POA3047,283,41,327,2822,576,44,3438,11424,1997,16866
POA3048,196,15,213,2264,557,34,2861,10249,1155,14261
POA3049,141,15,159,1434,498,35,1977,5753,435,8156
POA3051,108,13,126,1605,339,29,1973,10045,1203,13220
POA3052,144,12,155,568,180,15,764,5605,437,6810
POA3053,191,18,217,854,326,15,1191,12976,1009,15177
POA3054,126,9,141,1026,386,23,1440,5582,276,7293
POA3055,254,34,289,2095,463,45,2603,9724,537,12865
POA3056,411,26,440,2951,713,62,3726,17817,820,22359
POA3057,159,5,173,1503,395,44,1943,9553,516,12011
POA3058,857,100,963,5909,1025,138,7071,20991,1311,29370
POA3059,116,0,120,3905,919,56,4868,11242,640,16750
POA3060,494,44,534,2329,439,45,2812,7611,830,11247
POA3061,99,11,113,607,143,10,760,2903,329,3988
POA3062,0,0,0,0,0,0,0,4,0,6
POA3063,9,3,7,76,25,3,105,333,41,475
POA3064,441,83,539,22822,3380,406,26608,53101,5167,84878
POA3065,112,12,135,923,300,23,1244,7334,787,9362
POA3066,62,0,67,749,208,14,976,6741,569,8284
POA3067,98,3,97,921,282,10,1210,6649,498,8362
POA3068,350,31,385,2835,776,72,3675,12383,706,16765
POA3070,482,32,528,4191,825,91,5106,15582,806,21495
POA3071,358,132,495,3154,638,67,3860,11602,735,16200
POA3072,652,88,740,5420,1100,102,6620,20785,1318,28727
POA3073,1440,303,1753,7860,1651,132,9646,30609,2891,43146
POA3074,508,31,543,2647,905,56,3595,12550,937,17085
POA3075,600,32,630,3430,848,50,4333,13415,1215,18957
POA3076,282,289,567,5895,1242,111,7246,17225,2052,26518
POA3078,206,4,215,2059,473,42,2571,7346,438,10361
POA3079,427,32,464,2847,863,63,3771,10182,497,14453
POA3081,227,17,245,2139,449,56,2642,8232,767,11649
POA3082,392,19,417,4249,1495,81,5831,17439,1006,24271
POA3083,728,76,812,4560,1293,66,5920,19690,1430,27049
POA3084,865,80,952,5091,1271,87,6448,14912,746,22108
POA3085,431,17,453,2727,629,49,3403,7728,338,11466
POA3087,190,7,201,1696,415,44,2156,5066,240,7464
POA3088,586,78,670,5255,1561,108,6922,14520,690,22134
POA3089,122,8,125,2445,730,79,3257,6571,248,10080
POA3090,101,0,107,437,151,8,590,1485,72,2147
POA3091,15,4,21,217,113,3,340,968,59,1367
POA3093,143,8,150,671,290,6,966,2221,120,3308
POA3094,138,5,148,1874,599,57,2527,4663,205,7393
POA3095,310,48,366,5495,1956,134,7584,14754,655,22999
POA3096,58,0,57,315,129,6,452,1104,33,1589
POA3097,13,0,13,249,128,18,395,808,75,1276
POA3099,46,6,46,909,340,37,1284,2631,147,4066
POA3101,683,98,786,4080,1261,62,5401,14543,852,20798
POA3102,156,8,163,1247,293,26,1564,3694,173,5431
POA3103,570,46,624,2707,797,27,3535,9160,441,13134
POA3104,578,39,622,4001,949,57,5005,11985,514,17505
POA3105,478,25,512,1742,542,28,2307,6930,277,9518
POA3106,598,90,696,2733,1036,46,3818,9955,569,14347
POA3107,557,46,613,2503,666,49,3222,8172,401,11794
POA3108,911,84,993,3882,1119,44,5037,15606,914,21558
POA3109,926,52,989,5853,1477,75,7405,17096,842,25340
POA3111,529,51,584,2128,640,54,2818,7377,369,10563
POA3113,77,9,79,1646,552,46,2249,4534,215,6992
POA3114,57,4,62,639,297,19,953,2121,89,3164
POA3115,37,4,43,645,299,20,962,2155,96,3213
POA3116,156,8,165,2220,746,65,3033,6099,347,9474
POA3121,376,29,411,3339,892,73,4298,22692,1521,28515
POA3122,378,23,409,3047,901,44,3994,14693,889,19579
POA3123,289,19,319,2383,631,43,3056,9114,461,12628
POA3124,901,99,1008,3691,1101,63,4848,12992,654,18498
POA3125,505,34,545,2124,469,34,2627,9721,782,13128
POA3126,303,21,323,1334,493,19,1844,4478,211,6539
POA3127,433,54,494,3272,975,62,4311,10794,524,15630
POA3128,556,119,673,3232,625,35,3900,14724,1397,20017
POA3129,410,22,435,3289,701,61,4050,10304,528,14882
POA3130,1123,116,1241,6122,1379,106,7612,18801,927,27336
POA3131,783,108,895,4220,918,81,5216,13096,949,19262
POA3132,302,27,326,3286,724,63,4075,9349,393,13818
POA3133,567,178,758,4188,1203,68,5460,12693,767,18925
POA3134,728,125,863,6289,1814,166,8267,19126,1127,28513
POA3135,409,61,476,4070,1040,84,5201,10874,635,16708
POA3136,1032,178,1221,8392,2618,229,11241,25097,1477,37816
POA3137,326,16,346,2543,809,88,3440,8117,365,11925
POA3138,312,31,346,4268,1336,177,5779,12048,654,18489
POA3139,143,18,158,2642,908,108,3657,7336,492,11485
POA3140,387,31,425,2921,1003,100,4028,9800,543,14376
POA3141,330,24,360,1962,758,37,2751,18892,1625,23266
POA3142,433,69,514,1496,770,29,2294,8405,728,11428
POA3143,181,28,218,1306,423,21,1758,6066,364,8187
POA3144,376,36,419,1727,592,35,2347,6435,362,9147
POA3145,589,84,680,3976,916,63,4955,14140,781,19880
POA3146,512,38,548,4824,1209,96,6125,14807,682,21616
POA3147,441,48,489,2907,523,54,3484,8353,489,12322
POA3148,169,13,181,1579,335,25,1945,5662,442,8044
POA3149,1109,73,1186,6464,1425,77,7962,20232,1147,29344
POA3150,2181,366,2567,10606,3073,135,13816,36991,2389,53198
POA3151,354,11,372,1654,477,12,2145,6712,359,9214
POA3152,967,179,1139,6040,2100,123,8261,19688,1071,29027
POA3153,432,177,612,3714,971,98,4788,11858,935,17577
POA3154,106,9,115,879,250,19,1152,2336,145,3634
POA3155,469,42,517,4086,1217,98,5403,13268,953,19623
POA3156,591,73,670,6672,2012,193,8882,21685,1214,31780
POA3158,57,3,56,1398,412,48,1859,3490,152,5497
POA3159,22,0,20,513,158,24,692,1284,108,2090
POA3160,66,5,73,1817,530,50,2400,4707,248,7355
POA3161,501,75,580,2607,1021,62,3688,9814,741,14245
POA3162,579,59,649,3186,977,87,4248,10063,639,14950
POA3163,588,120,718,5404,1002,79,6482,20348,1251,28081
POA3165,789,40,830,6312,1106,100,7516,15688,806,24008
POA3166,667,27,699,4173,849,51,5070,15008,856,20938
POA3167,251,10,271,1704,383,19,2109,5793,312,8214
POA3168,394,134,525,2106,439,32,2582,15551,1819,19946
POA3169,530,36,575,2954,793,52,3797,13105,934,17832
POA3170,434,86,519,3515,877,41,4440,11147,782,16370
POA3171,533,78,614,2778,653,46,3479,14166,1307,18954
POA3172,496,47,552,3577,1112,65,4747,13735,836,19326
POA3173,418,34,456,5318,1248,86,6653,16563,904,24118
POA3174,797,65,868,5618,1210,101,6938,24029,2214,33176
POA3175,1104,123,1233,7530,1718,109,9355,30627,3881,43865
POA3177,181,22,200,1669,340,44,2053,6611,902,9564
POA3178,514,43,554,5850,1638,116,7606,19585,755,27949
POA3179,58,3,64,1055,319,31,1402,3418,189,5006
POA3180,125,4,129,1366,382,28,1779,4392,198,6368
POA3181,336,212,555,1897,531,37,2461,14389,1259,18112
POA3182,158,24,184,2023,670,45,2736,16273,1760,20762
POA3183,205,18,225,2501,670,100,3270,10959,981,15208
POA3184,125,22,147,2204,561,46,2809,9522,848,13172
POA3185,266,21,288,2332,511,38,2885,7833,429,11144
POA3186,817,133,958,3873,1371,74,5319,13451,869,19635
POA3187,744,106,854,3296,706,54,4055,8950,587,13592
POA3188,354,33,394,3417,810,73,4299,10369,652,15323
POA3189,142,19,161,1230,244,25,1496,3352,267,5121
POA3190,264,32,291,2352,411,39,2800,6619,378,9797
POA3191,420,57,488,1859,606,39,2504,6268,420,9192
POA3192,850,96,954,4645,929,85,5663,13285,835,19783
POA3193,573,51,631,3539,1309,88,4925,11279,542,16744
POA3194,371,35,403,2253,585,50,2888,7897,358,11144
POA3195,800,59,863,7214,1855,162,9228,20253,913,30392
POA3196,665,46,718,4967,1241,152,6357,14649,1028,22036
POA3197,231,16,252,2030,678,47,2756,6913,367,10036
POA3198,325,61,385,2997,821,120,3939,9312,936,14187
POA3199,1211,334,1559,9263,3013,318,12597,30507,3259,46362
POA3200,185,15,194,738,244,44,1030,3121,536,4692
POA3201,349,75,423,3918,969,105,4984,11857,920,17764
POA3202,31,14,43,586,99,8,691,1409,148,2250
POA3204,613,43,665,6522,1250,88,7869,18220,977,27069
POA3205,210,68,278,1429,371,29,1827,7716,668,10211
POA3206,211,28,231,1855,515,40,2411,5618,325,8353
POA3207,219,22,240,2629,724,70,3418,10711,1077,15199
POA3211,10,0,16,192,81,0,274,704,119,1095
POA3212,267,19,291,3456,982,103,4546,9325,1683,15553
POA3213,40,4,45,780,292,17,1092,2553,193,3836
POA3214,395,52,453,3110,1110,135,4347,13940,1906,20197
POA3215,759,73,839,3270,1294,108,4674,12856,958,18481
POA3216,1735,210,1953,10205,3339,278,13825,33787,2188,49798
POA3217,158,6,168,4753,937,116,5806,9064,621,15490
POA3218,212,25,239,2744,797,84,3623,8031,533,12188
POA3219,495,64,561,2620,1105,100,3823,12377,1155,17357
POA3220,324,38,362,2752,953,82,3789,10007,702,14502
POA3221,12,0,12,143,44,4,183,426,30,644
POA3222,425,99,522,2883,1136,134,4157,10528,684,15363
POA3223,226,89,314,895,639,44,1580,6259,696,8532
POA3224,300,140,439,2453,862,90,3402,8394,679,12481
POA3225,276,15,298,632,463,15,1101,3367,322,4787
POA3226,376,48,424,3321,1154,88,4562,8934,673,14168
POA3227,94,13,112,986,373,24,1380,2735,300,4409
POA3228,343,80,420,5103,1327,146,6581,11325,967,18874
POA3230,96,12,102,435,230,14,676,1905,165,2751
POA3231,31,0,33,191,108,15,310,982,106,1402
POA3232,38,14,56,152,101,9,253,818,120,1195
POA3233,50,16,69,288,127,6,417,1436,208,2068
POA3234,0,0,0,38,12,0,48,134,13,202
POA3235,6,0,6,90,31,0,116,242,62,425
POA3236,4,0,4,25,16,0,38,156,27,222
POA3237,0,0,0,27,13,0,49,154,48,250
POA3238,0,0,4,37,17,0,51,141,20,210
POA3239,0,0,0,58,22,3,85,275,55,420
POA3240,15,6,20,438,134,15,587,1053,68,1703
POA3241,46,33,77,454,145,19,611,1698,243,2555
POA3242,5,0,5,165,44,4,208,505,44,758
POA3243,6,0,6,55,19,0,70,230,41,338
POA3249,36,10,44,506,201,20,726,1828,184,2743
POA3250,435,58,502,1798,751,84,2635,7347,595,10580
POA3251,14,0,11,76,33,5,112,311,25,453
POA3254,0,0,0,54,22,7,82,155,35,269
POA3260,132,19,148,629,244,14,884,2810,330,4029
POA3264,83,17,105,282,154,19,456,1330,120,1905
POA3265,25,8,40,479,152,16,639,1410,201,2252
POA3266,98,7,111,418,189,14,624,1709,189,2518
POA3267,4,0,4,32,9,0,35,130,15,181
POA3268,55,13,66,386,139,7,535,1428,166,2128
POA3269,11,5,14,111,48,4,159,345,44,549
POA3270,6,0,6,47,28,0,69,183,15,264
POA3271,0,0,3,20,11,0,30,109,26,159
POA3272,52,11,64,217,87,10,316,915,114,1341
POA3273,0,0,0,19,14,0,29,81,9,117
POA3274,6,0,3,35,19,4,58,129,14,203
POA3275,0,3,3,80,19,0,95,259,23,380
POA3276,4,0,4,64,24,3,93,250,25,363
POA3277,21,3,26,310,117,8,441,918,108,1461
POA3278,4,0,7,67,26,0,96,158,17,276
POA3279,0,0,0,62,11,4,73,144,23,234
POA3280,878,166,1049,5179,1983,204,7369,18436,1740,27543
POA3281,14,0,14,373,110,15,500,885,55,1434
POA3282,37,7,43,433,178,19,634,1221,137,1995
POA3283,8,0,6,214,96,5,316,762,82,1159
POA3284,139,26,166,581,263,20,871,2064,251,3184
POA3285,8,0,9,199,65,0,264,681,79,1032
POA3286,10,6,13,58,14,7,79,349,23,445
POA3287,4,0,4,72,18,7,96,226,23,340
POA3289,26,0,30,120,41,5,168,456,46,664
POA3292,4,0,4,10,3,0,16,138,20,176
POA3293,3,0,3,53,15,5,65,196,19,274
POA3294,13,9,17,148,58,7,213,522,57,791
POA3300,375,51,426,1502,532,54,2088,6102,523,8705
POA3301,6,0,6,222,64,4,293,680,66,1033
POA3302,4,0,4,42,12,0,49,234,21,306
POA3303,6,5,7,42,10,3,60,161,21,237
POA3304,62,19,79,339,159,19,520,1548,253,2318
POA3305,334,31,374,1764,753,63,2578,7946,735,11258
POA3309,0,0,0,10,4,0,11,68,14,97
POA3310,3,0,3,21,20,0,40,189,13,246
POA3311,92,15,110,154,86,3,248,1157,119,1521
POA3312,9,3,8,152,56,8,218,536,86,834
POA3314,7,0,10,79,24,4,103,320,36,463
POA3315,77,7,80,204,82,5,290,1031,119,1438
POA3317,3,0,7,27,11,0,37,99,26,159
POA3318,54,9,65,151,51,5,206,755,99,1054
POA3319,3,0,3,40,18,3,62,231,59,351
POA3321,7,0,7,396,79,7,485,801,60,1351
POA3322,5,0,5,21,10,0,32,112,3,150
POA3323,4,0,6,13,12,0,19,48,9,76
POA3324,10,7,19,70,20,0,93,351,43,483
POA3325,7,3,11,54,30,4,90,255,38,383
POA3328,11,6,19,472,112,13,604,1055,107,1755
POA3329,0,0,0,71,28,4,104,128,8,238
POA3330,3,0,3,34,8,0,40,118,18,171
POA3331,109,15,127,1587,340,43,1969,3258,234,5461
POA3332,10,0,7,228,63,10,300,549,64,909
POA3333,8,0,14,141,50,3,189,475,52,711
POA3334,4,0,4,55,32,0,82,325,65,472
POA3335,6,0,8,1338,215,23,1576,2789,350,4706
POA3336,16,3,19,4575,479,74,5125,6745,599,12472
POA3337,288,26,317,7245,1962,224,9433,19519,2289,31239
POA3338,259,33,293,7521,1392,191,9104,15747,2013,26864
POA3340,406,32,448,4729,1354,133,6217,13015,1055,20286
POA3341,9,0,12,290,73,12,369,879,88,1328
POA3342,76,14,93,652,221,17,887,2144,175,3208
POA3345,10,0,11,250,69,10,326,713,66,1108
POA3350,1418,245,1662,11085,3386,373,14839,36106,2914,53869
POA3351,66,9,75,1560,518,65,2145,4694,455,7297
POA3352,144,18,165,3436,1085,135,4656,9187,1107,14954
POA3355,413,111,530,1645,709,78,2423,7684,885,10995
POA3356,442,72,517,2193,920,122,3233,8702,954,12892
POA3357,52,6,58,727,277,22,1021,1830,118,2970
POA3358,13,0,13,780,156,29,959,1496,85,2543
POA3360,10,3,12,115,41,5,160,463,46,668
POA3361,32,6,29,98,22,0,124,401,58,589
POA3363,102,38,145,492,201,24,712,1987,304,3005
POA3364,27,10,35,335,140,9,484,1240,156,1877
POA3370,48,6,54,245,88,9,341,1188,108,1641
POA3371,16,12,27,91,81,3,173,644,156,977
POA3373,64,14,77,304,124,11,443,1481,167,2091
POA3374,3,0,3,58,25,0,90,252,30,372
POA3375,3,0,3,36,4,6,50,126,6,189
POA3377,282,34,321,1122,548,49,1724,5233,1233,8187
POA3378,0,0,0,24,10,0,35,56,9,101
POA3379,22,7,23,106,25,4,129,434,70,635
POA3380,146,72,221,769,301,34,1102,3635,526,5264
POA3381,16,0,16,184,54,7,244,786,157,1186
POA3384,12,0,12,81,39,0,118,346,56,517
POA3385,7,0,11,62,21,0,86,327,56,471
POA3387,4,0,3,46,13,0,64,165,20,243
POA3388,18,0,20,80,35,0,116,330,34,479
POA3390,18,8,27,127,51,10,186,523,59,772
POA3391,3,0,5,23,9,0,36,94,19,147
POA3392,40,3,42,64,28,0,98,373,47,521
POA3393,73,39,118,326,138,24,486,1479,221,2184
POA3395,13,3,16,48,27,3,79,205,12,304
POA3396,46,0,49,62,34,8,103,459,37,595
POA3400,509,59,570,2267,887,126,3278,8336,759,12374
POA3401,44,0,48,771,275,17,1059,2411,224,3694
POA3407,4,3,10,57,23,0,77,242,21,347
POA3409,44,5,43,130,67,8,200,588,57,847
POA3412,6,0,6,44,19,3,67,156,10,237
POA3413,8,0,8,29,12,3,42,110,10,167
POA3414,72,12,81,210,91,13,304,1077,98,1478
POA3415,0,0,0,3,0,0,3,30,0,37
POA3418,123,16,138,370,137,16,521,1730,164,2410
POA3419,34,4,38,116,56,14,182,530,49,749
POA3420,0,0,0,53,16,0,64,130,20,210
POA3423,17,11,24,47,20,0,70,307,40,415
POA3424,19,18,37,93,20,0,111,463,60,633
POA3427,19,5,20,1147,226,18,1394,2805,286,4486
POA3428,4,0,10,87,48,0,139,394,40,567
POA3429,611,48,664,7159,2234,212,9599,20660,1410,31668
POA3430,5,0,0,47,8,0,51,167,30,249
POA3431,29,0,33,813,267,20,1098,2292,154,3540
POA3432,0,0,0,21,16,0,32,111,10,159
POA3433,0,0,0,42,5,0,46,108,21,170
POA3434,56,6,58,1154,338,33,1528,3110,264,4902
POA3435,28,3,28,565,186,21,768,1670,170,2614
POA3437,118,63,184,2377,604,75,3054,5564,447,9062
POA3438,69,0,67,504,98,22,634,1275,78,1985
POA3440,15,0,19,408,115,10,539,999,79,1617
POA3441,10,0,11,261,88,10,360,735,78,1172
POA3442,150,7,167,1675,436,35,2147,4394,383,6926
POA3444,278,39,316,1522,518,60,2101,5739,568,8406
POA3446,15,0,15,198,72,5,279,567,60,910
POA3447,3,4,3,57,25,0,84,335,51,469
POA3448,8,4,17,140,56,9,207,544,66,822
POA3450,222,188,411,995,447,40,1483,4000,1145,6628
POA3451,87,4,95,955,348,47,1352,3167,299,4813
POA3453,20,4,26,282,114,11,410,1028,118,1554
POA3458,29,25,56,276,135,19,426,1402,185,2013
POA3460,95,22,124,321,144,15,481,1772,230,2485
POA3461,66,6,68,619,222,20,859,2845,311,4004
POA3462,17,5,17,180,64,7,244,715,93,1054
POA3463,70,3,70,271,147,8,427,1720,173,2324
POA3464,14,0,14,190,62,12,262,639,65,965
POA3465,370,56,431,1171,538,63,1783,6153,679,8607
POA3467,46,7,49,170,63,3,234,792,115,1143
POA3468,7,0,7,32,5,0,41,185,17,243
POA3469,8,0,15,23,9,0,39,152,49,237
POA3472,35,7,41,148,61,10,220,966,112,1295
POA3475,10,0,9,30,17,0,50,236,38,327
POA3477,5,0,5,103,65,4,176,447,71,689
POA3478,100,28,127,268,101,14,387,1667,184,2242
POA3480,79,17,92,201,98,9,306,1079,136,1524
POA3482,0,4,3,19,3,0,29,103,47,178
POA3483,28,6,31,115,26,0,144,524,62,735
POA3485,5,11,17,26,9,0,32,192,36,260
POA3487,0,0,0,10,8,0,24,42,8,68
POA3488,0,0,0,12,3,0,15,57,8,80
