POA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
POA2196,637,793,1432,335,409,747,0,0,5,117,122,236,0,0,0,3801,3940,7742,15,15,30,1908,1917,3823,38,39,76,23,22,46,7,21,28,150,146,298,48,60,107,101,127,228,109,103,210,5,6,8,26,27,47,107,120,228,326,371,696,4,0,6,7123,7444,14571,222,183,408,5871,5135,11004,8,5,12,0,0,0,24,19,40,35,46,77,51,64,117,1858,1661,3518,29,13,40,11,12,31,1897,1692,3591,1335,1282,2616,17143,16594,33743
POA2197,303,345,645,178,203,390,5,5,3,15,35,46,0,0,0,1094,1161,2258,3,0,3,305,336,640,0,5,7,20,17,34,3,3,7,53,51,99,8,9,17,28,36,64,29,39,66,10,10,17,14,16,24,45,52,94,118,99,218,10,4,15,1931,2068,3999,6,9,20,1686,1717,3397,0,3,6,0,0,0,0,0,0,20,29,45,20,29,45,506,421,929,6,0,5,4,0,7,518,420,945,544,522,1066,5011,5112,10121
POA2198,191,225,415,233,328,564,9,16,26,31,37,69,0,4,4,1280,1351,2632,0,4,9,508,497,1007,7,11,22,4,4,4,3,5,15,38,54,92,20,20,38,17,27,44,38,46,79,8,3,7,9,10,17,30,40,70,106,97,204,0,0,0,2336,2563,4899,16,11,28,1220,1226,2444,0,3,7,0,0,0,0,5,6,19,20,40,25,24,51,542,437,981,10,4,14,0,0,0,554,439,996,537,475,1010,4874,4969,9843
POA2199,737,866,1602,271,299,572,0,0,0,83,68,146,3,3,4,2078,2165,4240,4,4,12,661,636,1300,26,38,65,35,23,60,18,16,33,25,35,54,34,32,65,36,51,93,83,79,166,3,5,9,18,15,37,61,82,151,275,269,543,11,9,27,3739,3854,7591,55,63,116,3017,3099,6112,0,0,5,0,0,0,12,13,24,38,39,85,52,53,108,1309,1072,2384,13,3,11,9,13,23,1328,1090,2418,864,835,1693,9790,9856,19651
POA2200,2118,2610,4721,367,431,800,6,0,6,200,226,426,0,0,0,4166,4402,8569,11,4,15,1522,1644,3168,36,41,72,54,66,122,17,15,27,168,164,330,110,127,233,118,148,264,131,180,307,7,13,22,43,41,82,152,174,319,571,599,1167,24,22,43,7690,8291,15977,331,322,655,7722,7260,14981,8,4,11,0,0,0,37,40,75,99,91,190,132,125,260,3580,3225,6804,23,21,44,15,20,32,3617,3266,6886,2246,2265,4513,23863,24139,48003
POA2203,175,244,416,284,369,650,0,0,0,35,48,83,0,0,0,1320,1528,2851,0,0,0,437,524,954,10,25,33,0,0,0,11,7,21,26,26,50,21,31,53,31,33,64,49,43,89,0,3,4,4,12,9,59,74,137,85,117,204,3,6,6,2377,2849,5226,64,71,134,182,154,339,24,22,50,6,0,8,5,3,8,27,36,65,34,43,78,3262,3404,6668,70,57,129,11,12,30,3343,3474,6820,453,431,886,6642,7300,13946
POA2204,608,836,1443,426,490,916,0,6,9,53,52,102,0,0,0,2257,2510,4769,3,0,3,1095,1164,2266,22,26,51,0,3,3,9,18,23,21,26,47,28,21,49,34,40,73,73,70,141,4,5,8,11,14,18,73,76,147,162,182,349,6,4,8,4267,4707,8967,145,136,284,342,302,647,63,74,137,4,3,8,7,9,20,71,63,134,86,77,165,6465,6459,12919,120,113,234,25,46,73,6609,6623,13228,898,794,1699,13029,13540,26567
POA2205,780,968,1748,323,305,625,0,0,0,74,98,166,0,0,0,2029,2067,4097,12,12,22,596,625,1222,8,23,24,19,25,48,19,14,33,41,42,81,30,60,91,85,88,174,87,85,174,17,26,38,3,11,21,72,76,145,374,437,813,0,4,8,3797,3991,7782,402,354,754,1726,1553,3272,22,24,44,0,0,0,14,14,33,42,37,80,62,55,111,4787,4403,9192,51,28,82,7,19,24,4850,4448,9299,1298,1037,2329,12923,12420,25338
POA2206,254,348,608,391,399,795,6,0,11,46,51,93,0,0,0,2755,2893,5644,0,0,0,2361,2429,4793,38,45,81,7,11,18,6,17,24,65,53,116,32,36,64,32,42,76,67,64,134,6,12,24,12,13,26,57,74,139,139,154,292,6,4,9,6028,6311,12340,47,52,100,320,306,624,21,18,45,0,3,3,10,11,25,18,17,33,31,32,58,2415,2277,4692,33,25,60,10,22,30,2456,2328,4781,558,618,1177,9711,10012,19730
POA2207,330,507,838,595,722,1318,14,5,14,105,89,197,0,0,3,2817,3137,5949,14,11,29,2436,2610,5047,29,40,67,9,17,31,13,13,27,208,189,393,62,57,121,59,70,130,143,154,296,21,26,48,13,13,21,107,147,247,380,473,850,6,8,15,7012,7785,14801,281,246,531,2026,1963,3995,25,23,43,0,0,0,11,8,22,31,35,67,40,45,85,3122,2913,6037,29,25,56,16,14,29,3164,2958,6123,1016,950,1965,13901,14479,28382
POA2208,232,377,607,229,288,516,0,0,0,77,87,165,0,0,0,1645,1786,3431,5,5,8,1415,1449,2870,11,18,37,6,12,17,0,0,4,70,79,151,32,40,64,22,34,54,58,72,124,3,15,17,8,8,14,43,76,118,136,164,301,0,6,5,3776,4118,7887,60,55,114,473,466,937,5,12,20,0,0,0,13,6,19,4,18,26,15,24,42,1379,1203,2583,15,12,24,3,4,11,1397,1214,2613,320,335,654,6282,6598,12881
POA2209,424,560,984,367,422,782,0,0,0,169,197,364,0,0,0,1673,1783,3451,0,4,9,807,857,1666,30,37,62,12,8,20,0,15,18,97,79,173,62,70,130,67,84,157,118,159,274,6,15,24,14,4,18,94,105,199,211,249,462,9,14,24,3733,4099,7840,162,163,318,678,643,1325,6,7,11,0,0,0,13,6,24,25,30,50,35,35,70,2264,2036,4297,14,14,27,5,16,21,2277,2058,4344,452,485,932,7766,8055,15825
POA2210,514,824,1341,1321,1534,2853,4,10,10,348,442,788,3,0,6,3637,4065,7704,20,21,39,1490,1556,3044,50,60,109,51,59,111,14,17,36,238,229,474,84,99,189,108,145,249,243,250,493,26,37,57,22,32,54,253,322,572,488,482,968,33,36,63,8411,9390,17806,359,310,669,1205,1118,2324,16,20,40,0,0,0,22,18,44,43,41,85,68,63,126,4576,4070,8651,42,24,63,17,21,41,4642,4119,8753,1107,1109,2212,16322,16941,33262
POA2211,386,461,844,737,896,1629,0,0,3,155,231,386,0,0,0,2030,2262,4289,8,5,12,726,726,1449,14,23,34,12,17,28,14,18,28,159,169,322,33,44,79,57,78,131,109,158,270,16,19,30,4,8,9,108,146,253,265,271,541,22,35,59,4462,5092,9554,172,172,346,730,654,1387,4,4,7,0,0,0,39,37,79,29,29,56,70,63,136,2275,1995,4274,11,4,18,7,7,19,2296,2009,4308,528,506,1026,8647,8960,17610
POA2212,345,483,828,576,698,1277,0,0,0,135,172,309,0,0,0,2011,2301,4314,4,5,8,573,625,1200,11,26,35,18,19,35,9,18,23,181,187,367,50,81,132,67,75,140,95,113,210,13,10,23,9,10,20,105,126,234,226,251,484,11,15,30,4087,4737,8827,192,152,341,968,886,1849,5,3,6,0,0,0,130,131,258,28,33,67,154,171,327,2056,1796,3850,18,15,32,3,9,13,2077,1815,3891,532,582,1112,8360,8820,17184
POA2213,331,488,817,1254,1457,2713,0,0,0,188,248,435,0,0,0,3055,3249,6302,0,3,4,963,1020,1978,14,29,42,12,19,24,17,11,27,184,176,363,50,44,98,80,100,178,154,146,303,12,16,25,6,10,19,159,260,416,322,353,673,35,34,61,6508,7173,13673,250,283,528,870,877,1754,6,8,17,3,0,3,40,39,84,28,32,58,75,76,147,2785,2448,5234,26,12,35,6,7,14,2818,2463,5281,545,529,1068,11389,11900,23290
POA2214,29,44,71,311,386,698,3,0,3,28,36,63,0,0,0,639,716,1359,0,0,3,124,119,247,6,3,5,3,3,11,3,6,10,18,22,42,5,4,8,18,15,30,44,40,82,0,3,9,0,0,0,31,35,65,31,36,67,0,0,0,1279,1425,2701,11,15,27,139,134,271,0,0,3,0,0,0,0,0,0,6,8,19,10,8,15,455,362,817,0,5,4,0,0,0,456,368,826,86,70,157,2006,2068,4074
POA2216,501,670,1165,462,508,969,13,11,27,71,76,147,0,0,0,2687,2855,5536,14,21,33,2015,2131,4142,17,37,56,10,13,22,12,14,28,149,191,344,66,62,126,50,75,122,119,125,240,4,8,13,16,12,32,112,124,235,415,491,908,6,11,13,6238,6760,13003,1717,1312,3030,1485,1272,2762,32,36,69,0,0,0,32,22,52,49,49,101,79,75,147,3006,2711,5719,29,25,58,16,23,43,3052,2757,5808,1067,975,2033,14171,13850,28027
POA2217,413,624,1039,687,737,1427,3,0,4,91,93,181,0,0,0,2722,3118,5843,7,17,23,2272,2346,4619,29,30,57,10,8,13,6,8,20,310,276,591,45,55,98,86,115,204,136,165,299,5,10,17,13,10,23,108,126,230,418,493,914,3,8,16,6959,7621,14578,1586,1321,2909,962,850,1814,41,34,76,0,0,0,30,37,67,55,57,107,79,92,177,3070,2888,5952,37,28,59,14,24,35,3116,2937,6049,965,1071,2034,14123,14546,28673
POA2218,306,482,788,398,463,858,3,3,5,70,86,159,0,0,0,1357,1456,2818,4,9,18,918,954,1876,8,15,28,11,8,16,6,5,12,74,71,149,22,46,69,40,50,89,62,79,141,5,10,8,4,8,14,64,78,142,277,285,559,0,0,0,3314,3638,6948,849,690,1538,659,522,1181,25,7,33,0,0,0,21,15,39,19,19,42,42,39,81,2425,2183,4608,17,14,24,12,17,25,2449,2215,4660,497,459,953,8143,8041,16182
POA2219,67,139,210,511,658,1172,4,6,7,38,56,101,0,0,0,1594,1910,3500,0,3,3,1554,1695,3251,23,23,44,10,0,15,11,10,17,168,167,328,16,13,32,44,65,104,74,61,133,11,3,12,4,0,3,58,68,126,181,206,381,4,4,9,4291,4956,9239,46,54,101,271,261,533,18,20,44,4,0,4,3,7,8,10,23,34,21,25,45,1338,1262,2603,17,9,25,6,18,22,1366,1287,2649,449,496,950,6535,7240,13771
POA2220,1165,1586,2747,564,661,1218,0,0,0,159,210,366,0,0,0,1927,2194,4123,4,4,8,980,955,1939,24,26,50,16,21,35,11,3,17,74,92,166,59,84,142,76,79,159,179,217,403,6,14,17,17,25,35,114,107,221,408,459,864,6,8,13,4624,5159,9790,2800,2085,4888,699,593,1294,9,11,19,0,0,0,14,20,31,30,39,68,49,54,104,6493,6270,12770,31,15,43,20,34,55,6548,6317,12867,1017,1043,2067,16906,16855,33761
POA2221,272,382,656,602,749,1346,4,0,4,127,115,243,5,3,12,1745,2030,3774,5,4,7,1508,1592,3098,11,18,27,3,9,13,4,10,18,104,110,215,27,44,69,51,56,106,65,103,170,0,5,11,0,3,4,95,128,220,225,231,460,4,8,11,4599,5223,9816,145,125,268,452,434,885,15,22,38,3,3,10,5,3,12,11,15,30,24,18,48,2319,2090,4407,14,13,28,12,11,20,2340,2117,4458,467,428,893,8312,8747,17065
POA2222,239,319,561,378,490,864,0,0,0,80,96,178,0,0,0,1268,1442,2711,3,9,12,432,434,869,10,17,31,10,3,17,4,0,5,72,71,138,34,31,67,39,39,79,77,82,160,7,5,8,5,7,4,47,93,140,173,197,367,12,9,22,2646,3027,5666,681,554,1236,218,231,451,10,11,18,0,0,0,15,12,27,20,19,33,30,29,63,1953,1754,3701,28,17,47,8,16,25,1989,1785,3774,402,481,883,6210,6445,12660
POA2223,209,333,539,1100,1303,2404,0,0,3,234,280,507,0,0,0,2436,2775,5215,4,3,6,828,879,1707,18,31,50,24,22,42,10,21,31,54,57,109,45,47,97,53,60,112,127,153,276,10,11,24,3,7,15,160,208,368,275,305,584,9,23,35,5400,6192,11595,359,309,664,227,215,438,21,17,38,0,0,0,11,17,29,28,43,72,38,56,97,3599,3278,6880,43,28,74,13,14,31,3654,3319,6980,523,533,1053,10424,10980,21403
POA2224,98,187,286,855,1103,1954,0,0,4,78,97,178,0,0,0,1725,1996,3724,0,0,3,1115,1111,2225,10,15,26,9,3,13,13,21,33,120,114,234,15,25,34,40,50,90,108,133,235,10,18,24,3,10,13,103,171,271,175,167,348,5,7,10,4382,5032,9410,51,61,110,153,153,303,14,22,32,0,0,0,4,4,10,12,10,21,18,12,30,1964,1674,3636,7,7,15,7,8,11,1974,1689,3667,362,352,714,7049,7502,14559
POA2225,7,14,23,423,516,940,0,0,0,46,45,90,0,0,0,791,829,1618,0,3,4,98,98,203,0,0,0,0,0,0,10,10,17,4,0,9,4,7,12,26,24,56,37,45,84,4,4,11,0,0,0,49,65,111,51,53,104,3,0,3,1547,1705,3250,5,4,9,11,17,29,3,5,9,0,0,0,5,3,5,12,8,15,12,10,23,1062,963,2020,4,3,10,4,4,7,1069,969,2039,92,77,175,2751,2812,5560
POA2226,52,102,157,949,1066,2021,0,0,0,89,96,186,0,0,0,1516,1740,3255,9,6,14,183,187,371,9,11,16,4,9,15,17,17,33,9,6,19,43,38,79,43,59,100,104,121,223,4,3,4,4,7,8,180,219,398,121,109,232,0,0,5,3288,3697,6985,34,39,74,21,18,37,12,14,22,0,0,0,7,8,18,22,21,40,28,28,59,2636,2369,5011,13,21,37,4,8,17,2661,2397,5062,350,302,655,6446,6608,13054
POA2227,69,108,175,1217,1505,2717,0,0,0,101,144,244,0,0,0,1985,2161,4144,9,9,14,236,230,466,6,10,18,3,8,10,8,17,25,23,26,48,29,26,62,53,63,113,117,100,223,3,6,14,4,5,9,158,204,356,108,135,244,7,5,4,4057,4651,8708,50,40,96,43,36,81,13,20,33,0,0,0,8,0,9,12,30,40,18,29,47,2910,2640,5552,30,14,46,12,12,23,2947,2665,5612,324,288,612,7521,7846,15364
POA2228,155,244,396,1299,1713,3011,0,0,3,146,161,311,0,0,0,2661,2989,5652,4,8,10,520,566,1079,16,22,39,10,12,21,15,14,32,60,66,128,41,65,102,121,137,258,143,174,317,5,10,18,8,6,15,155,230,385,203,270,470,19,14,30,5428,6459,11882,98,112,209,129,140,273,25,23,43,0,4,4,19,18,38,29,22,50,50,46,93,3565,3286,6851,38,31,69,14,25,38,3612,3343,6960,604,539,1143,10106,10897,21001
POA2229,90,190,279,2448,2917,5364,0,0,0,182,192,371,0,0,0,4238,4714,8953,6,9,15,698,766,1466,34,54,86,9,9,23,18,33,53,57,59,120,38,39,73,103,128,233,226,303,528,9,20,31,5,5,10,272,378,648,222,264,486,10,12,24,8580,9897,18481,58,53,113,92,81,173,27,21,49,0,0,0,12,15,24,13,28,42,30,39,68,5370,4667,10035,35,27,68,16,34,50,5425,4727,10152,807,810,1621,15119,15827,30943
POA2230,87,168,254,2275,2558,4835,0,0,0,153,173,326,0,0,0,3971,4429,8402,13,12,18,432,454,886,17,23,44,7,4,12,30,34,65,28,25,53,36,54,84,136,155,290,240,283,528,18,18,40,0,8,11,299,412,712,317,321,633,9,3,13,7974,8970,16940,31,21,48,45,65,110,18,25,41,0,0,0,10,6,21,17,28,49,35,38,70,5993,5427,11411,51,40,90,21,48,66,6063,5508,11567,842,814,1654,15086,15605,30690
POA2231,9,13,20,201,249,449,0,0,0,5,13,17,0,0,0,304,318,622,0,4,4,27,27,46,0,0,0,0,0,0,6,0,9,0,4,6,0,3,8,6,8,15,14,20,35,0,0,0,0,0,0,13,24,38,12,18,28,0,0,0,590,685,1278,0,0,5,8,7,18,0,0,0,0,0,0,0,0,0,6,0,4,6,0,4,568,478,1045,7,7,11,0,0,0,571,485,1055,88,64,149,1265,1259,2528
POA2232,204,289,493,2476,3026,5499,0,0,0,254,282,539,0,0,0,4103,4702,8805,18,22,36,516,519,1035,26,32,48,18,24,38,30,47,83,60,64,124,80,80,163,144,194,341,294,324,612,22,30,53,11,10,24,317,418,735,321,414,728,17,11,26,8708,10194,18905,218,204,424,132,141,276,25,25,47,0,0,0,6,5,16,40,49,93,49,60,105,6861,6187,13051,72,69,136,23,41,58,6951,6292,13247,904,902,1802,17193,18109,35304
POA2233,83,123,204,2551,3000,5549,0,0,0,271,291,562,64,68,135,3891,4448,8343,35,41,77,200,206,410,9,24,33,16,23,41,20,32,56,6,10,17,74,76,151,106,111,222,263,314,580,22,24,44,7,16,22,336,421,760,229,242,470,17,18,32,8123,9369,17488,50,44,95,47,41,85,8,16,25,0,0,0,4,4,6,26,30,55,30,34,62,5665,5042,10704,48,31,77,16,25,40,5724,5102,10824,547,626,1178,14610,15352,29960
POA2234,105,181,291,2336,2748,5088,0,0,0,351,403,748,25,39,62,4453,4736,9194,18,20,42,1261,1235,2498,12,20,32,15,24,40,33,28,61,130,132,261,33,43,83,180,193,366,275,272,539,78,97,171,9,14,22,312,387,700,425,452,877,14,11,24,9966,10864,20828,93,113,211,321,342,666,19,17,43,0,0,0,12,15,21,10,14,29,23,32,55,4079,3467,7547,28,23,54,15,17,33,4125,3510,7633,453,470,921,15106,15543,30648
POA2250,388,602,991,4387,5524,9917,0,0,3,615,783,1398,92,104,199,6560,7475,14032,37,49,86,298,316,605,102,129,232,115,111,223,86,98,184,60,63,125,403,471,878,420,514,928,714,827,1544,40,50,89,181,222,407,822,1073,1894,921,1076,1996,43,55,96,15898,18946,34841,519,448,966,286,249,529,58,59,110,13,4,15,126,101,223,100,139,241,229,242,476,14721,13541,28261,153,119,269,73,103,176,14945,13755,28702,2263,2281,4547,34583,36582,71168
POA2251,116,159,267,2555,3250,5802,0,0,0,301,346,646,0,0,0,3279,3799,7082,23,42,68,82,85,172,61,97,154,10,17,26,43,51,93,15,17,35,226,235,461,124,185,307,326,395,716,30,38,68,43,42,89,413,562,977,415,528,935,20,24,42,7966,9706,17672,48,42,96,32,31,64,43,59,95,4,3,6,14,13,22,25,39,68,43,54,99,7052,6585,13640,49,54,103,25,55,78,7126,6688,13815,800,811,1616,16175,17554,33721
POA2256,86,159,246,1139,1494,2636,0,0,0,68,100,172,0,0,0,1504,1835,3341,5,4,13,49,50,95,11,24,37,11,19,27,16,13,33,7,3,9,52,56,107,58,82,137,166,197,372,15,29,42,9,16,24,182,190,374,130,152,281,4,3,11,3437,4275,7710,38,39,77,31,26,60,8,12,25,7,3,10,5,9,15,20,33,53,36,41,79,3411,3167,6575,23,33,60,17,23,32,3445,3221,6669,582,602,1179,7662,8377,16039
POA2257,125,206,329,2409,3001,5409,0,0,0,138,180,317,0,0,0,2956,3577,6535,5,20,25,113,132,247,51,82,133,17,27,40,25,43,68,0,0,0,66,62,125,87,107,196,269,294,562,16,33,49,21,23,41,268,406,679,270,304,579,8,6,13,6730,8296,15022,51,35,86,47,42,82,18,23,43,8,7,13,15,22,35,20,47,68,48,69,117,6478,5986,12463,54,36,93,29,57,92,6558,6084,12644,1028,1040,2076,14598,15802,30403
POA2258,9,30,30,375,472,850,0,0,0,49,52,95,11,17,30,465,468,931,6,3,9,11,14,25,5,3,16,7,12,24,4,7,14,0,0,0,37,33,71,26,41,61,58,58,116,6,6,13,13,18,27,57,83,141,60,74,132,5,5,7,1199,1356,2562,12,11,21,11,14,22,9,5,9,0,0,0,0,0,3,8,9,17,8,14,21,1211,1050,2259,8,15,26,4,7,13,1220,1070,2294,161,130,295,2631,2630,5253
POA2259,208,333,541,5389,6564,11949,3,0,3,507,644,1147,13,14,25,6963,7987,14953,12,11,29,229,240,469,125,182,308,86,94,185,49,65,110,41,39,77,241,260,499,272,340,608,628,706,1338,69,105,175,149,162,318,601,814,1410,650,778,1424,22,24,44,16071,19014,35079,250,225,477,180,136,314,19,16,39,10,19,22,56,59,108,96,117,206,155,184,343,13040,11679,24722,85,66,154,49,63,111,13174,11807,24979,2219,2248,4471,32270,33963,66236
POA2260,97,151,248,1835,2171,4006,0,0,0,117,127,240,0,0,0,2745,3064,5817,6,12,15,102,110,219,60,65,125,7,7,15,15,26,38,16,7,18,213,220,437,88,102,187,217,257,477,4,12,19,84,89,174,288,398,686,280,325,605,6,5,10,6082,7008,13091,64,58,119,57,51,109,23,25,50,0,0,0,10,8,23,13,24,38,29,29,59,5516,5096,10607,56,33,92,19,41,55,5587,5170,10759,746,671,1417,12682,13163,25845
POA2261,161,251,409,4339,5293,9630,4,11,8,326,389,711,4,6,4,6185,7159,13344,9,22,34,183,187,371,82,116,196,33,42,69,29,48,84,22,28,48,207,226,432,190,243,433,436,565,1000,36,48,86,107,102,210,518,784,1302,548,607,1156,12,18,24,13267,15880,29149,134,109,242,88,80,166,29,27,47,4,8,10,46,55,97,56,71,131,107,129,239,10768,10020,20791,95,57,154,35,64,100,10894,10150,21039,1818,2026,3841,26483,28642,55129
POA2262,54,92,146,1816,2215,4038,0,0,0,126,138,261,0,0,0,2151,2511,4666,4,6,6,45,39,82,41,63,102,22,28,51,5,15,18,14,6,22,39,45,84,70,87,164,167,227,392,23,44,72,22,29,50,195,239,433,162,152,315,5,3,9,4913,5855,10768,22,16,39,37,31,71,3,6,12,12,4,17,4,5,4,41,49,90,57,59,113,4667,4189,8854,25,13,31,22,32,54,4710,4232,8939,669,653,1326,10469,10944,21411
POA2263,98,138,241,2040,2531,4570,0,0,0,133,179,314,0,0,0,2483,2860,5349,0,4,6,78,70,147,33,56,89,13,19,38,20,12,27,4,3,6,64,80,144,72,102,169,203,265,466,22,27,46,23,34,58,226,300,526,215,233,450,12,18,28,5631,6799,12434,43,45,88,53,41,97,5,0,5,10,9,19,4,7,11,23,47,69,35,62,96,5032,4506,9541,38,24,67,22,41,64,5092,4579,9668,977,955,1927,11937,12621,24554
POA2264,46,72,113,1144,1446,2592,0,0,0,110,153,262,0,0,3,1291,1469,2760,0,0,0,46,24,67,54,71,122,7,12,22,10,19,29,0,3,8,32,55,88,38,55,95,131,157,289,40,49,89,358,396,753,252,309,556,241,304,546,64,74,137,3821,4592,8417,31,24,53,35,18,51,3,5,12,0,0,0,3,0,6,11,26,33,11,28,43,3324,3015,6340,33,34,70,14,25,38,3371,3078,6449,518,509,1019,7841,8326,16162
POA2265,6,13,24,346,432,778,0,0,0,39,44,87,0,0,0,395,456,853,0,0,0,3,9,14,17,20,39,14,5,14,0,4,11,0,0,0,23,29,54,24,25,54,54,76,125,10,20,28,773,937,1711,53,70,125,205,215,416,23,25,49,1991,2367,4354,9,8,18,6,5,12,4,0,4,0,0,4,5,8,13,11,9,24,23,19,39,1328,1195,2523,14,8,19,8,29,32,1349,1233,2579,218,216,436,3606,3855,7464
POA2267,6,13,19,213,267,479,0,0,0,22,20,43,0,0,0,215,275,491,0,0,0,9,4,11,6,9,12,0,0,3,9,4,8,0,0,0,6,0,3,9,13,22,43,48,83,4,6,12,21,16,37,76,91,165,26,24,52,5,4,11,654,781,1441,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665,563,1227,8,3,10,3,4,8,671,568,1244,121,92,210,1457,1463,2920
POA2278,7,7,10,210,254,469,0,0,0,11,16,29,0,0,4,210,245,456,0,0,0,7,5,9,7,5,10,0,0,0,0,5,5,0,0,0,5,10,11,16,10,27,28,35,64,4,7,13,5,0,6,72,62,134,24,21,43,0,0,0,606,678,1283,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,5,4,651,513,1165,11,6,12,0,0,0,655,518,1183,41,45,78,1305,1258,2565
POA2280,59,95,150,2204,2586,4789,0,0,0,294,334,625,6,0,7,2292,2573,4868,7,4,11,60,71,133,14,29,41,39,39,76,22,30,50,0,3,7,44,55,102,226,236,455,288,331,618,44,64,108,35,46,75,528,758,1293,309,361,677,29,31,59,6445,7559,14002,54,48,96,46,30,81,9,10,16,0,0,0,17,12,28,22,46,66,38,55,92,5972,5373,11345,28,24,56,12,25,35,6014,5424,11436,679,632,1307,13334,13856,27183
POA2281,39,56,95,1222,1452,2678,0,0,0,159,185,349,0,0,0,1437,1574,3008,0,0,5,48,55,103,25,34,54,11,13,19,13,18,35,0,0,0,30,30,59,77,81,155,199,235,438,15,27,47,27,34,59,260,356,610,130,167,298,4,3,6,3656,4268,7929,19,19,36,12,12,26,6,6,10,0,0,5,0,0,0,12,17,30,12,20,30,3366,3048,6412,19,14,34,3,17,22,3389,3079,6466,381,354,738,7511,7813,15323
POA2282,43,72,108,1159,1474,2631,0,0,0,177,206,389,3,0,3,1417,1739,3160,10,4,11,67,64,133,29,36,69,19,20,36,17,25,50,4,3,12,38,57,91,119,138,262,189,264,453,11,13,24,31,49,79,323,499,819,149,190,344,5,4,9,3754,4795,8557,47,39,83,31,34,65,7,10,17,0,5,5,17,15,31,12,25,32,29,45,71,3432,3097,6535,17,9,25,11,23,35,3464,3130,6595,337,309,649,7716,8430,16146
POA2283,77,140,216,1896,2187,4079,0,0,0,241,280,525,0,0,0,1849,2202,4051,4,13,19,36,29,69,56,85,142,20,14,31,25,41,68,0,8,9,45,53,105,121,173,292,234,241,480,44,50,94,94,112,204,499,699,1202,290,301,592,43,47,88,5501,6539,12039,28,32,59,14,12,29,6,7,9,3,3,9,5,3,4,24,43,63,31,50,77,5474,4942,10416,42,27,71,17,35,51,5542,4999,10538,760,688,1450,11953,12460,24419
