POA_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
POA2191,5,4,14,0,7,0,34,0,0,0,0,4,0,3,3,0,0,0,0,0,3,0,6,3,0,0,0,9,0,0,0,0,0,0,8,5,5,3,0,0,0,16,0,6,6,0,0,0,20,13,9,10,0,0,0,28,3,4,14,0,5,0,29,8,13,7,3,3,0,30,0,7,0,0,3,0,20,6,25,15,5,12,4,63,12,16,4,7,4,0,34,0,10,8,0,0,0,25,16,32,11,4,5,4,69,20,68,29,8,9,0,121,6,35,13,0,4,0,63,15,44,16,0,0,0,70,7,25,19,7,3,0,59,115,315,173,41,55,11,708
POA2192,16,9,13,0,5,0,52,0,0,0,0,0,0,0,4,0,8,0,5,0,22,0,6,7,0,0,0,12,8,9,0,0,3,0,20,9,12,7,5,10,0,40,6,5,11,5,4,0,39,7,13,14,7,0,0,48,15,22,5,0,3,0,50,12,23,11,3,9,0,57,15,20,3,8,8,0,55,35,43,23,4,16,3,122,15,20,10,0,4,4,53,24,13,3,0,0,0,42,19,40,17,0,5,0,87,39,83,27,11,13,0,170,14,39,13,3,4,0,71,12,33,14,4,6,0,73,17,29,8,7,12,4,80,279,403,212,60,111,20,1085
POA2193,16,16,18,0,5,3,58,0,3,0,0,0,0,10,7,4,6,0,5,0,22,3,5,0,0,0,0,13,9,6,4,4,3,0,24,3,3,7,0,0,0,24,17,9,9,0,8,0,45,10,13,14,10,12,0,64,22,30,13,5,10,0,73,20,29,15,5,8,0,83,25,15,10,8,9,0,61,51,61,30,8,7,3,154,38,37,10,5,6,0,91,32,38,20,5,5,0,93,49,81,20,3,3,0,165,85,151,49,13,16,4,323,35,97,23,12,3,0,169,34,101,26,3,3,0,163,22,41,22,5,5,0,98,468,730,302,88,123,14,1725
POA2194,19,8,20,4,14,0,70,10,0,3,0,0,0,11,5,4,6,0,5,0,20,10,5,3,0,3,0,26,9,7,10,4,0,0,31,11,17,18,0,7,0,45,22,20,17,3,13,0,74,23,14,16,9,15,4,73,21,16,16,6,3,0,74,45,31,31,9,8,0,130,34,28,5,12,7,0,91,65,95,33,10,23,4,230,41,31,17,11,7,0,109,26,43,8,3,7,0,86,57,59,17,10,6,3,152,51,76,27,12,11,0,179,24,37,20,3,7,0,99,23,35,14,0,6,0,73,31,45,17,5,14,6,125,533,578,298,99,167,24,1706
POA2195,14,23,16,3,7,0,69,7,0,3,0,0,0,16,8,6,3,5,7,0,26,0,6,9,4,0,0,21,6,6,11,4,8,0,35,8,14,18,3,16,0,60,20,27,23,11,15,0,85,23,41,27,0,6,4,102,22,51,24,4,7,0,107,17,65,19,5,15,0,129,11,35,15,9,6,0,81,34,56,32,9,13,3,147,6,34,7,0,5,0,59,0,15,5,0,3,3,36,12,55,15,7,4,0,94,34,84,23,17,11,0,164,4,19,9,0,4,0,32,9,7,12,0,0,0,23,19,49,29,12,7,5,116,260,598,295,92,141,19,1403
POA2196,32,53,31,8,23,5,145,7,3,3,0,0,0,12,10,6,14,0,4,0,41,9,19,13,5,6,0,45,11,17,23,0,15,0,72,22,16,32,4,13,0,95,22,33,26,5,14,0,104,29,47,30,16,19,3,143,21,46,28,8,17,3,136,38,75,44,7,18,0,179,30,50,19,9,16,6,126,65,145,93,19,28,4,356,25,58,18,6,10,0,118,18,56,19,3,4,3,103,38,153,61,16,13,3,280,90,312,83,25,34,4,544,35,98,43,7,9,0,201,30,68,32,7,6,0,144,44,106,73,10,20,7,260,565,1351,699,175,269,39,3097
POA2197,10,11,13,9,0,0,36,0,0,0,0,0,0,3,3,0,0,0,3,0,7,3,3,8,0,0,0,12,0,0,10,0,0,0,10,4,5,10,0,3,0,19,9,17,9,5,6,0,40,3,12,6,4,0,0,25,9,26,13,4,0,0,48,3,21,12,0,3,0,50,3,26,6,0,5,0,39,12,38,14,5,0,0,65,8,23,6,6,0,0,48,8,30,8,6,6,0,44,18,62,29,11,4,0,116,34,93,35,8,9,4,181,4,31,11,0,6,0,46,0,16,6,3,0,0,28,9,35,20,6,6,0,76,135,444,201,66,66,6,908
POA2198,8,13,10,9,9,0,44,0,0,0,0,0,0,0,3,0,3,0,0,0,7,3,4,8,0,0,0,20,4,4,3,0,0,0,16,5,3,7,0,0,0,17,6,15,11,0,4,0,33,9,15,15,7,9,0,47,6,15,5,0,0,0,30,8,15,8,8,3,0,42,5,12,7,0,0,0,24,16,38,20,7,9,0,89,6,23,8,8,0,0,40,7,27,9,0,0,0,48,20,62,23,11,6,0,115,32,137,36,12,22,0,238,10,39,8,0,5,0,65,9,41,11,0,6,0,62,23,45,20,4,8,0,102,166,507,208,66,84,8,1041
POA2199,28,19,23,5,6,0,79,3,0,5,0,5,0,13,13,3,8,0,6,0,30,3,8,5,0,3,0,16,14,3,17,5,6,0,35,11,10,15,4,8,0,45,12,21,15,3,4,0,63,14,35,15,4,6,0,83,12,34,20,5,12,4,87,11,37,18,10,15,0,101,16,37,20,5,10,5,92,36,94,42,16,14,0,205,17,32,3,4,5,0,64,11,41,10,5,3,0,68,21,94,28,9,14,0,175,38,139,47,25,9,0,255,14,50,19,10,4,0,107,11,44,14,0,4,0,76,25,45,37,8,9,0,128,304,751,377,131,138,19,1716
POA2200,41,63,43,12,20,0,181,7,4,8,4,3,0,23,18,14,7,8,7,0,54,8,11,4,0,7,0,34,14,17,24,0,8,0,67,23,26,25,10,16,3,104,14,62,39,8,18,4,154,32,71,58,22,30,0,214,51,79,43,22,28,4,220,73,93,53,16,27,3,272,41,85,33,10,21,0,193,99,171,93,29,35,0,428,33,69,29,11,12,4,159,33,49,31,14,11,3,143,60,116,42,16,25,9,270,78,204,95,24,31,3,436,17,91,28,11,14,0,174,24,58,36,4,10,0,119,50,99,63,18,27,0,271,720,1367,765,255,352,48,3512
POA2203,10,11,7,0,3,0,29,0,0,7,0,0,0,7,0,5,3,6,3,0,13,4,4,0,4,0,0,11,8,4,3,3,0,0,21,7,4,5,0,0,0,25,8,9,6,4,3,0,33,14,12,9,0,8,0,41,20,16,8,5,6,0,52,11,12,9,3,8,0,51,16,21,0,4,0,0,42,36,40,17,9,7,0,102,27,18,4,0,0,0,53,13,30,6,4,0,0,49,41,47,3,0,5,0,107,66,124,24,15,4,0,232,39,86,16,4,3,0,149,44,99,21,3,3,0,165,10,17,5,3,8,0,49,371,556,148,68,73,6,1226
POA2204,27,25,19,7,9,5,85,5,0,4,0,0,0,14,5,7,3,3,6,0,31,3,6,3,0,3,0,17,10,11,4,0,0,0,26,12,15,16,3,12,4,49,14,16,15,3,10,0,62,19,18,15,4,12,0,66,19,32,11,10,10,0,82,38,24,14,13,8,3,106,18,28,7,4,3,0,66,60,60,22,11,11,0,161,35,26,6,0,5,0,75,39,33,11,6,0,0,98,78,90,17,3,8,0,200,155,236,27,32,19,0,469,96,172,19,13,6,0,307,84,179,22,7,8,0,305,33,41,14,8,10,8,119,744,1021,252,142,139,26,2325
POA2205,18,19,10,6,0,3,61,0,5,0,0,0,0,3,0,7,4,0,4,0,13,0,3,0,5,0,0,9,10,6,8,3,3,0,34,14,6,3,3,5,0,32,25,17,7,4,3,0,57,14,13,15,4,3,0,45,26,16,13,3,9,3,73,33,28,6,9,5,0,87,47,34,7,5,13,0,108,106,70,34,12,18,5,232,89,58,8,5,9,5,173,77,58,12,0,8,7,164,117,82,20,14,9,3,246,154,166,43,9,14,0,381,65,88,17,4,8,3,182,40,49,9,5,8,0,113,40,50,21,11,11,4,134,891,761,249,93,128,42,2166
POA2206,16,36,17,5,5,0,88,3,0,6,0,0,0,12,4,5,14,0,0,0,21,12,8,8,0,3,0,30,14,4,9,0,4,0,35,7,12,18,5,8,0,57,10,23,11,4,4,0,53,18,24,21,3,10,0,67,11,20,27,4,6,0,62,13,18,23,3,13,0,72,13,17,11,0,13,0,57,24,55,35,11,13,0,141,14,22,10,9,0,0,57,10,35,7,0,7,0,64,29,79,28,10,3,0,145,68,199,78,11,16,0,376,51,166,47,11,9,5,289,53,173,42,14,5,0,281,28,60,51,3,14,0,153,405,963,448,89,147,11,2059
POA2207,37,44,54,6,6,0,149,4,3,7,0,4,0,19,9,7,9,0,8,0,38,9,8,14,0,0,0,40,11,12,14,4,11,0,55,19,25,11,11,13,0,85,16,24,33,4,14,0,93,29,35,26,10,9,0,112,24,43,22,5,13,0,114,27,41,29,8,14,0,118,21,35,23,6,13,0,98,63,110,63,12,13,0,266,24,57,12,8,4,0,106,33,66,17,9,7,0,131,48,104,47,13,12,0,221,141,300,108,15,18,4,580,60,169,46,15,14,0,301,47,163,40,8,15,0,277,43,97,50,9,20,0,224,674,1367,626,134,201,11,3014
POA2208,12,17,27,3,6,0,63,6,7,4,0,0,0,11,4,3,0,0,0,0,12,8,0,4,0,0,0,12,0,6,6,0,0,0,17,4,10,13,0,4,0,24,8,14,15,0,0,0,42,6,11,8,3,8,0,34,9,18,12,0,3,0,40,5,17,7,4,7,0,39,5,13,5,0,4,0,29,21,46,26,4,9,0,104,0,15,6,0,7,0,24,8,36,8,0,0,0,58,15,38,23,7,9,0,90,45,130,38,6,20,4,246,25,92,23,5,9,0,154,25,81,20,6,4,0,133,26,46,34,4,6,0,116,226,598,268,54,84,9,1249
POA2209,20,16,23,0,6,0,76,0,0,4,0,0,0,6,3,4,7,0,3,0,19,3,3,4,0,3,0,18,7,9,12,5,4,0,30,15,10,12,5,3,0,41,13,16,11,0,7,0,51,10,19,18,0,8,0,62,18,17,19,6,3,0,68,21,21,14,4,9,0,62,13,20,6,0,14,0,53,32,60,37,0,18,0,155,15,28,14,0,7,0,65,10,24,10,0,0,0,50,21,61,21,3,0,0,110,52,160,60,7,17,0,294,23,79,28,8,9,0,142,20,52,14,4,4,0,96,12,50,39,3,8,4,112,320,651,349,46,111,18,1497
POA2210,28,34,44,0,15,3,123,0,0,7,0,0,0,11,8,6,17,7,3,0,40,9,3,15,0,3,0,36,11,10,7,5,12,0,49,18,22,25,3,12,0,81,18,30,33,5,14,0,104,30,35,34,6,12,0,117,38,46,30,5,19,6,145,37,56,36,11,18,0,162,44,73,27,0,7,0,151,75,129,68,11,25,7,319,35,64,25,15,5,0,141,37,85,26,0,10,0,155,74,163,70,13,18,5,338,158,381,134,23,27,3,729,82,212,76,10,8,0,381,52,125,45,11,14,0,248,51,119,67,17,22,0,276,785,1601,806,144,253,28,3610
POA2211,29,23,20,0,11,0,76,0,0,5,0,3,0,11,10,7,3,0,3,0,29,9,6,6,0,0,0,24,7,4,8,0,3,0,31,10,11,12,0,4,0,43,18,17,24,0,0,0,58,18,24,26,4,5,0,75,16,21,24,3,4,0,70,13,30,22,10,8,0,86,13,29,13,6,8,0,73,40,60,47,4,18,0,175,13,43,16,0,4,0,78,26,44,20,0,9,0,102,43,99,31,9,6,0,192,93,232,80,6,14,0,426,35,69,25,8,5,0,149,23,57,29,3,3,0,115,33,52,33,5,9,0,130,456,827,449,65,133,20,1944
POA2212,14,23,19,4,7,0,62,3,6,0,0,0,0,7,5,6,3,0,4,0,18,5,0,4,0,0,0,13,7,10,14,0,7,0,31,13,14,16,0,10,0,48,9,11,12,0,4,0,43,8,24,17,0,7,0,60,13,25,18,4,5,0,68,16,29,23,5,3,0,77,14,29,18,5,10,0,82,34,69,41,13,10,0,164,11,34,15,3,5,0,67,18,39,11,5,3,0,81,47,91,42,14,8,0,201,90,232,66,11,19,4,421,30,86,20,8,9,0,157,16,32,11,9,4,0,79,21,69,34,4,11,4,146,396,836,390,77,121,13,1824
POA2213,24,34,23,5,13,0,93,13,4,8,0,0,0,23,10,9,9,0,0,0,22,3,5,9,0,6,0,26,8,18,14,0,3,0,46,23,19,18,4,3,0,66,22,30,19,0,4,0,76,26,35,34,0,11,0,108,12,35,33,4,10,0,96,14,49,23,10,3,3,103,11,27,21,9,5,0,72,44,100,64,11,12,0,233,27,60,26,4,7,0,123,24,67,26,5,8,4,130,72,165,51,9,18,3,318,148,395,106,24,26,7,704,57,170,44,10,9,0,285,52,109,35,4,5,0,211,36,76,45,5,13,0,178,630,1411,611,106,151,19,2925
POA2214,4,6,0,0,0,0,14,0,0,4,0,0,0,5,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,0,0,7,3,0,4,0,0,0,10,0,8,4,0,0,0,13,9,11,7,0,8,0,35,3,8,5,3,0,0,26,3,12,4,0,0,0,30,0,8,8,3,0,0,17,9,25,10,3,0,0,45,6,18,6,0,0,0,29,3,11,4,0,0,0,18,17,37,8,6,7,0,79,16,94,25,3,3,0,150,7,31,4,3,0,0,42,9,10,5,0,0,0,25,3,19,9,0,0,0,30,98,307,112,34,30,7,592
POA2216,28,26,23,4,12,3,94,4,0,3,0,0,0,13,7,7,11,0,7,0,26,7,5,6,3,5,0,20,17,9,10,5,5,0,46,13,13,6,5,10,0,45,18,28,15,3,7,0,72,19,25,15,8,14,0,90,29,27,19,3,13,0,94,23,44,14,8,15,0,101,41,41,13,9,5,0,105,61,124,40,11,21,8,257,49,39,11,0,0,5,110,43,53,13,7,5,0,124,67,96,35,11,9,3,223,93,176,45,15,22,6,354,47,98,37,9,14,0,195,46,103,35,10,13,0,203,60,72,31,12,25,0,194,669,980,387,121,187,24,2370
POA2217,22,30,29,5,18,0,97,9,0,4,0,3,0,13,9,9,7,0,0,0,25,11,4,10,3,3,0,34,10,9,7,0,4,0,33,18,20,10,0,11,0,65,27,21,16,0,11,0,75,22,23,14,0,15,0,83,19,29,25,3,12,0,95,26,38,16,6,11,3,100,33,37,14,0,8,4,93,65,107,40,18,9,0,244,39,52,15,8,0,0,114,55,61,20,13,4,6,154,51,93,43,10,13,3,211,106,197,71,17,12,5,404,41,112,46,11,13,0,218,41,135,64,5,8,0,252,47,82,37,12,20,6,192,646,1053,491,111,176,24,2505
POA2218,25,8,16,0,10,4,61,5,3,3,0,0,0,8,4,5,7,0,7,0,25,7,4,4,3,0,0,18,10,8,8,5,0,0,35,10,4,10,3,7,0,27,10,15,12,8,4,0,50,12,22,11,3,8,4,61,21,26,14,6,9,0,71,10,22,25,8,12,0,71,11,14,8,7,0,0,43,26,68,26,14,8,0,149,29,30,13,0,7,0,78,23,35,11,8,0,0,79,39,66,20,0,6,0,132,54,91,43,0,10,0,213,26,55,13,3,8,0,100,19,41,13,3,0,0,72,32,26,35,0,3,0,108,372,551,297,61,105,17,1400
POA2219,20,14,13,3,12,0,58,3,0,0,0,0,0,3,3,8,5,0,5,0,18,9,0,3,0,3,0,16,0,7,9,0,9,0,23,15,5,10,0,0,0,31,14,7,9,0,5,0,34,11,3,10,3,9,0,37,7,10,6,6,4,0,34,10,8,6,3,11,0,36,9,13,4,6,0,0,37,27,38,22,12,8,0,99,15,15,4,3,3,0,45,18,17,9,0,3,0,47,34,36,19,3,6,0,98,58,114,29,7,11,0,220,35,95,40,7,4,0,180,40,116,45,4,4,0,208,23,39,32,3,9,4,105,352,560,255,67,99,10,1343
POA2220,31,35,42,11,10,0,126,11,8,3,0,0,0,23,15,4,12,4,6,0,39,10,5,17,0,0,0,32,13,15,13,4,9,0,50,14,20,20,0,9,0,78,28,30,18,4,3,3,88,23,29,21,10,14,4,102,32,30,22,0,5,0,95,28,29,17,14,19,3,104,24,22,23,4,4,0,80,88,110,65,11,28,9,302,42,45,22,10,5,0,118,40,61,15,7,9,0,131,51,79,47,10,21,0,209,86,172,85,14,27,8,394,48,97,46,7,16,4,217,67,145,53,19,18,4,302,46,83,65,3,23,0,219,704,1014,601,135,233,26,2725
POA2221,32,27,22,0,9,0,96,3,3,3,0,0,0,16,8,5,8,0,0,0,25,5,3,6,0,4,0,22,12,6,8,0,0,0,30,4,9,15,0,0,0,33,10,16,15,4,0,0,42,10,23,19,4,10,0,63,13,10,20,4,6,0,52,12,18,15,4,4,0,49,8,16,13,0,0,0,37,23,61,40,0,10,0,128,10,24,10,6,0,0,51,9,28,11,5,4,0,61,33,42,29,3,10,0,117,49,155,89,10,19,0,325,45,145,53,3,13,3,258,55,199,95,9,13,3,382,29,68,45,9,9,0,168,373,867,511,65,118,14,1948
POA2222,14,22,26,4,4,0,69,0,3,10,0,0,0,13,0,0,0,0,0,0,8,0,11,0,0,5,0,13,3,3,9,0,6,0,21,4,9,3,0,3,0,20,9,12,13,7,9,0,47,12,8,11,4,11,0,51,10,8,13,5,13,0,44,19,22,13,7,6,0,63,10,22,10,3,0,3,47,38,45,21,3,9,4,121,10,23,14,3,3,0,56,9,20,10,3,0,0,44,21,49,17,4,7,0,101,55,126,36,8,12,0,241,24,66,20,5,5,0,112,19,49,13,0,0,3,94,20,29,25,6,7,0,81,296,527,263,51,85,13,1241
POA2223,31,30,38,0,0,3,99,3,0,4,0,0,0,12,7,10,6,0,0,0,29,9,4,6,0,3,0,24,6,14,7,4,9,0,33,10,9,15,4,7,0,45,8,22,23,0,9,0,61,16,22,17,5,12,0,68,22,23,17,5,4,0,70,19,30,11,3,7,0,75,8,38,15,3,5,0,62,47,86,40,5,9,0,183,24,43,22,3,6,0,90,25,45,10,0,0,0,80,33,82,28,7,3,0,165,75,234,81,9,10,0,409,40,155,38,7,12,0,253,61,201,45,7,7,0,328,28,57,34,3,9,4,134,481,1105,455,76,107,9,2223
POA2224,28,10,14,0,6,3,65,0,4,0,3,0,0,9,0,0,3,0,0,0,11,4,0,5,0,0,0,13,15,11,11,4,0,0,36,5,11,4,0,6,0,25,13,13,17,0,3,0,47,11,15,9,0,13,0,47,11,14,11,4,6,0,50,22,26,9,4,5,0,64,6,21,10,4,3,0,48,26,55,32,3,14,0,129,12,19,10,4,0,0,43,10,29,14,4,3,0,50,33,57,21,4,6,0,115,54,168,64,13,12,0,314,53,122,41,4,9,0,226,56,137,46,8,3,0,256,27,46,26,9,3,0,117,390,761,352,71,91,4,1666
POA2225,7,6,10,0,0,0,27,4,0,0,0,0,0,4,7,3,3,0,0,0,14,0,3,0,0,0,0,6,0,0,0,0,0,0,7,3,4,7,0,0,0,13,5,3,4,0,0,0,17,5,9,11,0,0,0,24,6,6,5,0,0,0,18,3,12,5,3,5,0,32,0,10,9,0,0,0,19,3,21,17,0,6,0,53,3,18,4,0,0,0,29,4,20,9,0,3,0,35,8,38,8,9,0,0,58,27,138,30,3,7,0,208,29,106,12,0,5,0,149,20,84,25,0,0,0,132,9,18,12,4,0,0,42,146,502,181,29,23,0,880
POA2226,22,16,15,3,6,0,61,11,0,9,0,3,0,20,4,0,4,0,0,0,12,8,0,7,0,4,0,19,6,4,10,0,0,0,20,10,13,11,0,0,0,30,20,13,26,0,0,0,58,7,19,10,3,9,0,51,9,16,18,9,3,0,51,13,31,15,4,8,0,69,11,26,7,8,3,0,64,37,63,20,7,5,0,139,16,35,7,0,5,0,63,12,54,14,9,6,0,85,45,87,33,9,4,0,174,77,311,65,12,8,0,474,51,166,30,7,5,0,249,26,90,21,4,3,0,145,15,43,18,0,0,0,79,398,999,318,74,71,3,1867
POA2227,18,16,15,0,4,0,57,3,5,3,0,3,0,11,13,3,12,3,0,0,29,6,3,8,0,0,0,17,11,0,8,0,3,0,24,11,15,9,0,4,0,37,12,14,8,0,4,0,45,11,22,11,3,7,0,47,8,21,10,5,10,0,55,16,20,23,0,6,0,76,8,24,14,0,4,0,50,23,54,37,8,8,0,133,15,32,18,8,3,0,73,29,48,17,0,0,0,92,38,95,39,11,3,6,195,69,273,65,17,9,0,431,50,164,35,9,13,0,270,33,137,39,9,3,0,231,21,58,23,9,10,0,117,384,1013,403,83,89,7,1985
POA2228,24,22,15,3,7,0,69,0,0,5,0,4,0,11,8,6,5,0,0,0,20,5,4,5,0,3,0,23,9,8,6,0,5,0,28,7,13,4,0,8,0,37,12,8,6,6,8,0,43,20,32,12,3,8,4,75,22,18,27,7,5,0,81,25,32,13,8,9,0,82,20,32,12,4,0,0,72,49,91,40,10,6,5,195,39,41,17,7,0,3,115,41,44,6,4,0,3,104,83,114,36,13,11,0,253,98,274,50,19,24,5,462,63,152,37,3,5,0,261,42,137,45,9,6,0,244,40,58,31,4,12,3,147,608,1090,366,94,133,23,2313
POA2229,41,28,29,5,3,4,114,8,3,3,0,0,0,16,15,5,16,3,0,0,44,10,3,9,0,5,0,26,10,10,8,0,4,0,37,18,16,16,3,4,0,58,30,18,21,6,5,0,74,22,20,24,5,17,0,90,22,24,21,9,9,0,86,32,32,27,7,17,0,115,25,31,24,15,5,0,102,59,92,52,8,9,0,231,36,46,37,9,16,0,134,35,62,33,5,8,0,143,70,162,51,17,9,0,311,141,410,111,28,18,0,708,86,323,95,18,7,0,529,107,415,113,14,9,0,667,56,113,39,9,21,0,235,811,1836,718,165,178,11,3724
POA2230,41,30,33,4,5,0,117,6,0,10,0,5,0,17,13,8,13,0,0,0,34,13,7,9,0,3,0,26,15,7,9,0,7,0,36,21,13,16,4,8,0,62,34,22,25,5,11,0,89,34,19,16,9,15,0,92,33,33,15,4,12,0,88,51,20,21,4,11,0,109,45,11,16,5,3,0,84,67,64,46,12,11,0,198,42,37,26,4,3,0,123,37,42,16,0,5,0,103,92,84,36,7,15,0,229,147,227,98,21,24,5,521,97,189,67,11,7,0,368,113,323,123,11,5,0,571,69,66,62,7,9,0,216,966,1203,640,116,159,12,3090
POA2231,4,11,4,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,3,0,0,0,6,0,4,3,0,3,0,11,3,0,6,0,3,0,13,0,5,0,0,3,0,11,0,0,3,0,0,0,6,3,3,3,0,0,0,14,0,0,0,0,0,0,0,10,17,8,0,0,0,32,4,14,6,4,0,0,18,5,12,0,0,0,0,19,11,21,10,3,0,0,32,17,47,12,3,6,0,85,5,29,0,0,0,0,40,3,23,3,0,0,0,29,5,12,3,4,4,0,22,65,194,56,24,23,0,369
POA2232,32,33,32,5,5,0,105,9,4,7,0,0,0,27,18,14,10,4,3,3,49,9,3,14,0,4,0,33,21,9,8,0,5,0,54,23,23,18,0,8,0,73,33,37,21,10,9,0,107,36,54,29,22,10,0,151,47,47,26,9,18,0,147,44,84,33,8,15,0,185,58,76,23,13,9,3,182,103,187,69,32,24,5,412,77,99,23,9,6,0,218,61,102,16,4,12,0,199,149,273,71,18,18,6,533,216,594,142,25,25,0,1006,112,292,71,12,5,0,498,58,147,47,11,4,0,268,52,123,48,10,11,0,236,1162,2192,706,193,206,18,4484
POA2233,38,31,28,3,3,0,105,3,0,11,6,5,0,19,20,7,13,0,5,0,44,12,6,17,3,3,0,45,20,18,12,0,5,0,55,23,28,25,0,9,0,93,24,41,43,7,9,6,129,30,50,49,3,16,0,146,20,58,43,9,15,0,158,41,77,41,15,17,0,196,24,83,39,15,6,0,170,76,202,90,29,22,0,414,32,133,50,18,10,0,240,36,127,25,14,8,0,201,68,357,90,28,15,4,562,214,745,126,34,26,3,1141,73,273,48,3,6,0,404,24,96,45,4,8,0,180,39,92,46,16,9,5,207,827,2439,839,217,182,21,4526
POA2234,41,52,45,3,7,0,145,10,4,9,0,0,0,29,11,8,19,4,7,0,47,13,9,18,0,5,0,50,16,13,26,0,9,0,64,26,20,36,0,14,0,108,30,44,38,5,18,0,141,40,39,37,3,19,0,139,34,41,42,14,13,0,151,35,52,49,6,16,0,163,27,59,51,11,13,0,156,57,131,96,18,11,0,322,20,71,32,10,7,0,149,32,92,51,13,5,0,195,73,222,90,12,18,0,420,198,604,186,28,25,0,1038,94,319,95,17,11,0,532,69,159,72,12,8,0,325,44,98,65,5,23,4,232,888,2050,1058,165,231,14,4396
POA2250,97,50,51,6,14,3,231,25,13,15,0,3,0,54,44,22,34,4,13,0,115,47,18,24,13,25,0,122,57,36,39,12,21,0,166,89,68,65,21,43,0,293,87,108,83,28,25,0,340,117,171,105,39,53,3,488,113,214,90,40,62,8,528,174,283,138,67,58,0,719,158,258,98,37,30,5,575,240,457,159,44,44,0,947,149,281,84,23,18,7,568,136,220,41,17,10,0,424,211,444,114,31,31,5,846,255,482,146,29,20,3,936,80,161,52,6,5,0,304,57,137,59,8,11,0,264,141,172,79,29,45,3,466,2273,3594,1476,462,533,45,8384
