POA_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
POA3000,0,0,163,0,0,163,0,0,22,0,0,22,0,0,36,0,0,36,0,0,47,0,0,51,0,0,90,0,0,98,0,0,389,0,0,390,0,0,451,0,0,456,0,0,542,0,0,545,0,0,210,0,0,208,0,0,164,0,0,164,0,8,165,0,0,165,0,0,127,0,0,125,0,8,2398,3,3,2416
POA3002,4,12,19,0,0,37,0,0,3,0,0,3,0,0,6,0,0,6,0,0,11,0,0,10,0,5,6,0,0,9,0,5,27,0,0,34,0,9,40,0,0,45,0,9,42,0,0,52,0,7,25,0,0,33,3,13,20,0,0,34,4,43,72,0,0,124,0,9,18,0,0,32,17,120,289,0,3,428
POA3003,0,7,22,0,0,29,0,0,6,0,0,6,0,0,0,0,0,0,0,0,8,0,0,13,0,0,14,0,0,16,0,8,87,0,0,98,0,10,105,0,0,114,0,21,141,0,0,161,0,22,79,0,0,98,0,47,70,0,0,124,4,41,55,0,0,94,0,13,23,0,0,40,14,171,606,0,0,795
POA3004,0,0,59,0,0,59,0,0,11,0,0,11,0,0,10,0,0,10,0,0,8,0,0,8,0,0,31,0,0,31,0,0,133,0,0,133,0,0,196,0,0,196,0,0,287,0,0,287,0,0,139,0,0,139,0,0,106,0,0,106,0,0,146,0,0,146,0,0,70,0,0,70,0,0,1195,0,0,1195
POA3006,0,3,89,0,0,86,0,0,16,0,0,16,0,0,18,0,0,18,0,0,26,0,0,33,0,4,58,0,0,58,0,3,280,0,0,284,0,0,401,0,6,402,0,8,541,0,0,552,0,0,218,0,0,221,0,0,167,0,0,172,0,6,153,0,0,160,0,6,115,0,0,114,0,32,2072,0,8,2114
POA3008,0,3,59,0,0,62,0,0,13,0,0,13,0,0,5,0,0,5,0,0,23,0,0,23,0,0,27,0,0,31,0,5,155,0,0,158,0,5,235,0,0,241,0,0,333,0,0,336,0,0,121,0,0,121,0,5,159,0,0,164,5,20,123,0,0,153,0,0,61,0,0,62,9,36,1317,0,5,1359
POA3011,63,22,20,0,0,109,14,6,6,0,0,29,8,7,9,0,0,18,15,11,25,0,0,49,30,16,56,0,0,98,98,30,227,3,0,350,96,58,249,0,3,405,232,93,229,0,0,554,202,76,78,3,0,358,250,88,58,0,0,394,168,44,27,0,0,241,67,20,42,0,0,125,1237,466,1019,13,3,2739
POA3012,109,45,11,0,0,163,28,9,4,0,0,40,24,10,11,0,0,40,59,21,11,0,0,93,61,16,31,0,0,112,165,88,121,0,0,374,241,159,106,0,0,512,459,327,70,5,0,864,355,177,19,0,0,553,400,92,11,0,0,507,246,46,0,3,0,297,139,55,17,0,0,204,2283,1040,414,14,4,3751
POA3013,99,20,3,0,0,118,19,3,0,0,0,25,19,0,0,0,0,26,30,8,4,0,0,45,38,5,6,0,0,48,126,24,26,0,0,171,128,32,46,3,0,213,266,70,47,3,0,385,242,67,31,0,0,338,392,66,7,0,0,464,325,38,3,0,0,369,79,16,12,0,0,108,1769,347,191,13,0,2323
POA3015,82,26,9,0,0,108,27,5,0,0,0,36,28,5,0,0,0,33,32,12,0,0,0,48,42,12,10,0,0,61,126,62,9,0,0,199,150,87,8,3,0,252,285,180,29,0,0,495,278,157,19,0,0,454,381,159,5,0,0,544,340,77,0,0,0,423,109,31,5,0,0,138,1873,822,100,7,0,2798
POA3016,93,31,4,0,0,127,21,9,3,0,0,33,12,6,0,0,0,18,28,9,0,0,0,45,24,15,4,0,0,47,80,41,27,0,0,144,79,47,32,0,0,164,133,80,47,0,4,259,120,73,20,0,0,212,201,119,15,0,0,337,396,126,15,0,0,530,107,28,12,0,0,142,1284,581,187,0,9,2052
POA3018,50,15,0,0,0,67,13,5,3,0,0,26,7,4,0,0,0,16,31,6,0,0,0,42,41,13,0,0,0,53,119,37,7,0,0,168,117,56,22,0,0,201,210,99,6,0,0,316,147,74,5,0,0,224,208,84,0,0,0,286,157,45,3,0,0,208,63,28,5,0,0,84,1167,469,57,0,0,1694
POA3019,48,28,0,0,0,76,6,9,0,0,0,12,11,10,0,0,0,22,11,6,3,0,0,14,16,13,5,0,0,33,53,53,16,0,0,122,59,90,6,0,0,152,100,172,0,0,0,279,38,56,3,0,0,95,42,37,0,0,0,85,21,25,0,0,0,44,50,21,0,0,0,78,450,519,39,3,0,1010
POA3020,238,42,7,0,0,288,77,13,3,0,0,93,79,9,8,0,0,93,115,20,12,0,0,149,136,27,21,0,0,186,468,109,52,0,0,622,515,163,31,0,0,708,760,238,12,0,0,1019,361,77,3,0,0,442,264,40,5,0,0,311,125,26,0,0,0,155,231,46,13,0,0,287,3361,807,178,0,0,4353
POA3021,336,28,7,0,0,373,117,10,8,0,0,135,113,11,7,0,0,123,167,23,8,0,0,202,232,35,20,0,0,283,683,144,73,0,0,905,796,150,48,0,0,996,916,100,21,0,0,1034,240,23,0,0,4,266,158,18,0,0,0,175,98,14,4,0,0,117,322,30,18,0,0,376,4169,584,225,0,4,4983
POA3022,18,0,0,0,0,15,8,5,0,0,0,9,0,3,0,0,0,3,12,0,0,0,0,15,9,3,0,0,0,12,51,15,0,0,0,69,43,20,0,0,0,68,70,22,0,0,0,88,26,5,0,0,0,30,15,0,0,0,0,15,9,7,0,0,0,16,34,4,0,0,0,32,294,82,0,0,0,372
POA3023,429,19,3,0,0,453,149,9,0,0,0,151,130,17,0,0,0,148,200,13,3,0,0,214,285,18,6,0,0,311,1053,100,25,0,0,1172,1427,153,36,0,0,1618,2222,193,7,0,0,2423,976,46,4,0,0,1024,722,33,0,0,0,761,386,24,3,0,0,411,662,40,4,0,0,706,8627,669,93,0,0,9397
POA3024,161,6,0,0,0,162,41,6,0,0,0,44,51,0,0,0,0,53,107,4,0,0,0,117,144,9,0,0,0,153,689,34,0,0,0,730,1313,40,0,0,0,1357,1890,39,0,0,4,1930,420,10,0,0,0,435,240,5,4,0,0,248,146,3,0,0,0,149,329,7,0,0,0,335,5535,177,10,0,4,5717
POA3025,61,12,5,0,0,72,11,3,0,0,0,15,17,3,4,0,0,23,14,4,0,0,0,24,24,10,0,0,0,37,74,38,0,0,0,111,104,48,8,0,0,154,197,130,7,0,0,337,159,84,0,0,0,245,133,93,0,0,3,232,52,35,0,0,0,87,77,25,0,0,0,104,919,484,19,4,3,1429
POA3026,58,0,0,0,0,58,16,0,0,0,0,16,20,0,0,0,0,20,24,0,0,0,0,24,37,0,0,0,0,37,136,0,0,0,0,137,231,4,0,0,0,238,430,3,0,0,0,433,170,0,0,0,0,170,102,0,0,0,0,102,65,0,0,0,0,65,88,4,0,0,0,93,1369,12,0,0,0,1384
POA3027,45,0,0,0,0,45,6,0,0,0,0,6,8,0,0,0,0,11,10,4,0,0,0,17,19,0,0,0,0,20,84,8,5,0,0,100,175,15,8,0,0,201,335,23,4,0,0,354,249,11,0,0,0,258,164,4,0,0,0,172,83,0,0,0,0,84,84,4,0,0,0,89,1279,71,19,0,0,1365
POA3028,169,11,8,0,0,192,60,8,4,0,0,72,58,7,6,0,0,74,101,3,3,0,0,112,160,13,4,0,0,180,434,53,24,0,0,512,537,64,41,0,0,642,769,78,17,0,0,867,343,23,8,0,0,375,163,19,5,0,0,188,122,3,0,0,0,126,210,16,5,0,0,236,3127,320,115,0,0,3567
POA3029,529,52,8,0,0,586,154,18,4,0,0,176,140,20,9,0,0,161,268,38,10,0,0,311,451,54,18,0,0,523,1765,236,50,0,0,2045,3458,384,55,0,10,3903,6125,330,18,0,4,6473,1888,95,0,0,0,1984,969,60,7,0,0,1043,611,45,3,0,0,656,1234,104,8,0,0,1353,17589,1420,178,0,18,19206
POA3030,620,47,9,0,0,673,189,31,8,0,0,231,164,25,4,0,0,189,334,22,3,0,0,367,405,61,12,0,0,475,1510,220,47,0,0,1780,2476,311,39,0,0,2829,4572,353,30,0,0,4948,2174,130,7,0,0,2307,1426,76,9,0,0,1513,726,42,4,0,0,767,1051,82,15,0,0,1146,15661,1393,177,0,0,17227
POA3031,29,44,18,0,0,96,11,7,8,0,0,30,8,5,9,0,0,26,10,16,10,0,0,38,14,24,27,0,0,68,25,89,116,0,0,230,41,97,160,4,0,298,62,199,152,6,0,419,67,145,27,0,0,241,98,184,33,0,0,315,130,128,16,0,0,278,31,49,25,0,0,97,532,995,605,8,0,2138
POA3032,125,45,30,0,0,197,27,18,16,0,0,56,17,6,9,0,0,37,31,17,17,0,0,64,50,21,45,0,0,120,129,99,203,0,0,431,128,120,249,0,0,495,222,225,280,0,0,733,176,164,82,0,0,419,344,206,43,0,0,595,401,120,39,0,0,558,117,66,47,0,0,231,1775,1099,1061,0,7,3944
POA3033,85,18,0,0,0,98,35,6,0,0,0,45,18,8,0,0,0,21,33,11,0,0,0,46,34,8,0,0,0,49,120,30,4,0,0,150,149,37,0,0,0,193,243,90,6,0,0,331,189,53,0,0,0,244,234,52,0,0,0,289,146,29,0,0,0,177,115,21,0,0,0,134,1399,359,15,0,0,1769
POA3034,63,24,0,0,0,84,19,3,0,0,0,25,14,6,0,0,0,24,19,9,0,0,0,28,22,6,0,0,0,30,90,31,0,0,0,117,106,38,4,0,0,146,192,67,0,0,0,258,125,43,0,0,0,169,134,44,0,0,0,184,90,23,0,0,0,115,83,24,0,0,0,111,950,334,5,0,0,1291
POA3036,45,3,0,0,0,44,8,0,0,0,0,8,16,5,0,0,0,19,18,0,0,0,0,17,26,0,0,0,0,26,73,0,0,0,0,76,68,5,0,0,0,69,134,8,0,0,0,142,98,3,0,0,0,105,107,0,0,0,0,106,88,0,0,0,0,89,66,5,0,0,0,66,742,30,0,0,0,778
POA3037,327,44,0,0,0,375,119,20,5,0,0,143,91,21,4,0,0,116,180,37,5,0,0,221,247,45,0,0,0,294,819,188,21,0,0,1025,945,255,19,0,0,1217,1643,208,7,0,0,1855,781,49,0,0,0,830,535,36,0,0,0,574,354,27,0,0,0,386,574,82,5,0,0,663,6620,1004,58,0,0,7687
POA3038,177,13,0,0,0,188,69,8,0,0,0,80,58,6,0,0,0,69,78,16,0,0,0,91,117,11,0,0,0,128,340,32,3,0,0,374,396,50,3,0,0,442,584,55,6,0,0,643,298,16,0,0,0,312,265,13,0,0,0,279,139,8,0,0,0,147,250,19,0,0,0,268,2768,246,15,5,0,3035
POA3039,63,10,19,0,0,98,12,0,8,0,0,21,13,5,8,0,0,23,19,7,9,0,0,40,23,8,18,0,0,52,67,34,92,0,0,193,69,29,170,0,0,269,113,54,155,0,0,326,96,31,50,0,0,180,205,54,27,0,0,287,308,46,22,0,0,372,72,26,18,0,0,115,1064,318,603,6,0,1986
POA3040,140,30,25,0,0,188,25,5,10,0,0,41,26,7,9,0,0,42,34,19,17,0,0,65,40,12,24,0,0,77,130,47,96,0,0,277,120,67,131,0,0,321,248,102,161,0,0,509,186,96,56,0,0,338,329,98,50,0,0,484,563,91,22,0,0,675,162,30,37,0,0,232,2000,613,624,0,3,3246
POA3041,78,15,4,0,0,91,26,0,3,0,0,27,13,4,4,0,0,19,30,4,5,0,0,40,28,9,8,0,0,46,78,33,36,0,0,145,102,26,32,0,0,164,162,55,28,0,0,250,146,47,10,0,0,204,210,50,10,0,0,280,244,33,3,0,0,279,115,34,15,0,0,159,1229,312,162,0,0,1699
POA3042,79,29,0,0,0,109,29,5,3,0,0,40,23,3,0,0,0,29,33,19,0,0,0,46,49,21,0,0,0,74,128,83,6,0,0,226,151,113,9,0,0,270,291,161,3,0,0,453,215,105,0,0,0,322,225,74,0,0,0,300,149,47,0,0,0,192,130,43,3,0,0,176,1487,713,39,3,4,2240
POA3043,87,22,0,0,0,110,44,16,0,0,0,58,30,8,0,0,0,31,58,10,0,0,0,75,67,19,0,0,0,87,212,67,0,0,0,283,288,90,0,0,0,379,487,113,4,0,0,606,260,36,0,0,0,295,163,17,0,0,0,177,85,21,0,0,0,105,153,20,0,0,0,177,1933,441,8,0,0,2382
POA3044,123,44,4,0,0,170,37,11,5,0,0,55,40,15,5,0,0,59,52,29,6,0,0,84,88,33,3,0,0,130,192,116,31,0,0,342,242,168,46,0,0,455,449,392,29,4,0,881,315,192,12,0,0,515,445,117,6,0,0,567,286,67,6,0,0,354,179,73,8,0,0,263,2451,1259,152,4,0,3864
POA3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3046,145,34,8,0,0,188,41,14,3,0,0,59,34,8,3,0,0,50,76,30,3,0,0,108,97,44,15,0,0,149,261,189,50,0,0,501,320,315,50,0,4,691,639,525,30,0,0,1199,379,212,8,0,0,603,322,104,9,0,0,436,175,42,0,0,0,220,208,78,7,0,0,297,2693,1612,187,3,4,4499
POA3047,107,9,14,0,0,125,39,7,4,0,0,52,30,0,0,0,0,30,65,5,12,0,0,78,84,12,6,0,0,101,290,72,38,0,0,402,318,63,52,0,0,426,258,34,23,0,0,315,52,12,6,0,0,68,50,8,0,0,0,59,45,4,0,0,0,49,104,15,8,0,0,126,1444,231,163,0,0,1838
POA3048,120,18,0,0,0,139,68,9,0,0,0,77,33,4,0,0,0,41,69,13,0,0,0,82,91,28,4,0,0,122,307,42,5,0,0,354,376,69,6,0,0,450,285,31,0,0,0,312,79,8,0,0,0,84,50,10,0,0,0,59,33,3,0,0,0,39,142,25,3,0,0,176,1650,266,16,0,0,1932
POA3049,73,10,0,0,0,84,27,0,0,0,0,24,14,0,0,0,0,20,44,9,0,0,0,54,52,10,0,0,0,53,153,28,3,0,0,186,173,74,0,0,0,253,302,53,0,0,0,355,148,7,0,0,0,162,108,8,0,0,0,113,67,4,0,0,0,78,91,14,0,0,0,106,1252,227,0,0,0,1486
POA3051,5,17,26,0,0,52,0,8,7,0,0,11,0,5,8,0,0,13,0,4,17,0,0,19,0,6,18,0,0,27,0,30,118,0,0,146,3,27,166,0,0,201,14,63,201,0,0,279,8,45,90,0,0,146,6,94,73,0,0,174,26,89,48,0,0,164,6,23,27,0,0,56,75,416,796,0,4,1286
POA3052,0,9,11,0,0,19,0,5,0,0,0,5,0,0,0,0,0,6,0,7,5,0,0,6,0,0,9,0,0,7,0,6,27,0,0,38,0,7,34,0,0,42,0,13,44,0,0,56,0,3,10,0,0,19,0,20,13,0,0,37,4,47,8,0,0,60,3,10,9,0,0,21,11,138,155,0,0,308
POA3053,4,15,27,3,0,46,0,3,9,0,0,12,0,3,13,0,0,16,0,0,14,0,0,20,0,5,26,0,0,29,0,14,75,0,0,85,0,12,82,0,0,100,5,13,124,0,0,141,5,8,37,4,0,55,6,23,29,0,0,60,4,55,28,0,0,87,3,13,21,0,0,41,26,172,491,3,0,696
POA3054,4,44,6,0,0,54,0,9,0,0,0,10,0,0,0,0,0,3,0,9,5,0,0,13,0,10,9,0,0,19,6,22,7,0,0,32,7,30,20,0,0,53,9,59,26,0,0,89,11,28,14,0,0,52,11,77,3,0,0,92,21,142,8,5,0,176,4,40,3,0,0,45,78,462,104,3,0,647
POA3055,54,14,19,0,0,88,13,6,9,0,0,25,15,4,8,0,0,20,19,7,20,0,0,49,23,8,31,0,0,64,39,32,104,0,0,180,63,43,150,0,0,253,121,91,144,0,0,352,113,66,35,3,0,210,153,46,23,0,0,217,147,24,14,0,0,189,57,26,26,0,0,106,809,369,578,5,0,1763
POA3056,74,43,23,0,0,139,14,14,6,0,0,36,9,3,15,0,0,30,21,13,12,0,0,48,29,23,37,0,0,89,67,52,167,0,0,289,82,67,234,3,0,391,148,161,248,5,0,571,132,114,80,8,0,332,237,161,56,3,5,453,241,105,29,0,0,376,76,37,27,4,0,144,1130,787,948,21,6,2897
POA3057,21,13,18,0,0,61,5,6,3,0,0,10,4,8,7,0,0,18,9,9,9,0,0,26,20,12,25,0,0,62,23,23,130,0,0,186,26,43,209,0,0,282,44,84,263,0,0,392,46,63,74,0,0,183,72,88,55,0,0,220,91,59,24,0,0,175,17,25,31,0,0,74,391,439,858,4,3,1687
POA3058,166,37,3,0,0,214,62,8,4,0,0,75,36,12,0,0,0,45,66,24,6,0,0,93,93,31,11,0,0,138,264,100,60,3,0,430,283,145,74,0,0,502,560,258,56,0,0,875,454,157,19,0,0,627,589,114,15,0,0,719,400,52,12,0,0,463,177,45,13,0,0,233,3139,988,274,6,5,4417
POA3059,140,7,0,0,0,146,48,0,0,0,0,43,39,0,0,0,0,39,59,0,0,0,0,64,82,5,0,0,0,81,269,11,0,0,0,273,369,15,0,0,0,385,875,30,0,0,0,903,529,7,0,0,4,540,393,4,0,0,0,400,240,0,0,0,0,244,280,4,0,0,0,288,3326,80,0,0,8,3412
POA3060,69,7,0,0,0,79,25,0,0,0,0,30,20,3,0,0,0,25,38,6,0,0,0,38,35,11,0,0,0,45,126,29,0,0,0,156,175,43,0,0,0,228,284,75,0,0,0,355,144,19,0,0,0,163,105,7,0,0,0,111,42,8,0,0,0,52,92,18,0,0,0,113,1163,219,7,3,0,1392
POA3061,27,0,0,0,0,33,15,0,0,0,0,15,10,0,0,0,0,14,16,0,0,0,0,11,22,3,0,0,0,25,64,9,0,0,0,74,119,6,0,0,0,125,97,10,0,0,0,107,29,0,0,0,0,30,13,0,0,0,0,13,16,0,0,0,0,16,29,6,0,0,0,34,448,33,3,0,0,480
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3063,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,4,9,0,0,0,0,9,11,0,0,0,0,11,14,0,0,0,0,14,10,0,0,0,0,10,10,0,0,0,0,10,8,0,0,0,0,8,7,0,0,0,0,7,71,0,0,0,0,71
POA3064,494,19,6,0,0,513,160,8,0,0,0,171,162,7,0,0,0,173,286,13,3,0,0,309,448,26,3,0,0,481,1828,169,18,0,4,2019,3501,279,21,0,0,3796,6081,180,9,0,0,6267,1786,40,3,0,0,1829,994,24,0,0,0,1020,644,15,3,0,0,660,1221,53,5,0,0,1282,17596,838,68,0,5,18513
POA3065,4,24,18,0,0,45,0,9,0,0,0,11,0,3,3,0,0,7,0,3,10,0,0,17,0,11,11,0,0,27,3,27,44,0,0,72,6,22,49,4,0,81,4,38,111,0,0,154,5,37,59,0,0,107,10,70,63,0,0,144,14,130,58,0,0,199,0,37,24,0,0,56,40,413,453,5,0,919
POA3066,3,17,18,0,0,42,0,3,0,0,0,3,0,0,0,0,0,0,0,6,12,0,0,13,0,11,15,0,0,27,4,27,72,0,0,98,8,17,107,0,0,137,3,55,171,0,0,229,12,52,74,0,0,134,12,58,68,0,0,147,19,51,49,0,0,121,5,19,30,0,0,52,69,321,624,0,0,1011
POA3067,12,10,22,0,0,41,3,0,0,0,0,13,0,0,0,0,0,3,3,3,3,0,0,19,4,4,15,0,0,24,9,24,99,3,0,143,9,27,132,5,0,177,16,46,156,14,0,233,11,38,77,11,0,136,29,77,82,6,0,193,35,77,39,5,0,157,9,22,23,0,0,58,146,333,650,52,0,1183
POA3068,36,72,26,0,0,132,7,15,7,0,0,23,0,8,0,0,0,15,8,19,13,0,0,42,12,24,12,0,0,51,32,54,78,0,0,166,20,57,102,0,0,173,49,121,106,3,0,278,42,85,74,0,0,197,64,207,68,0,0,342,141,295,55,3,0,496,24,61,20,0,0,104,427,1025,556,6,0,2020
POA3070,120,44,16,0,0,187,31,9,6,0,0,46,20,7,7,0,0,30,29,12,14,0,0,54,43,18,17,0,0,82,101,56,89,0,0,246,121,75,120,0,0,319,208,115,159,0,0,488,155,116,68,0,0,339,283,162,41,3,0,487,481,156,21,0,0,655,98,31,27,0,0,154,1688,804,590,6,0,3091
POA3071,84,24,17,0,0,126,23,11,4,0,0,36,19,0,4,0,0,28,28,10,14,0,0,46,39,16,17,0,0,71,93,43,70,0,0,209,110,46,90,0,0,249,229,102,92,0,0,429,150,94,28,0,0,273,269,90,19,0,0,380,275,40,14,0,0,332,81,39,12,0,0,133,1401,515,385,7,0,2306
POA3072,125,42,14,0,0,186,43,11,9,0,0,58,28,14,5,0,0,49,64,18,15,0,0,97,56,40,34,3,0,136,227,89,178,0,0,498,236,114,222,9,0,574,413,276,161,9,0,851,337,161,30,0,0,530,419,108,17,0,0,543,296,56,10,0,0,365,164,49,18,4,0,230,2404,973,710,23,0,4110
POA3073,200,58,4,0,0,273,73,20,5,0,0,100,54,23,8,0,0,80,101,49,0,0,0,152,141,60,14,7,0,225,391,242,33,3,0,671,463,385,29,0,0,878,783,536,29,3,0,1348,562,224,14,0,0,804,532,104,5,5,0,638,273,48,8,0,0,325,290,105,6,0,0,400,3860,1856,162,13,0,5885
POA3074,94,10,4,0,0,108,45,4,0,0,0,49,39,9,4,0,0,52,47,5,6,0,0,56,75,8,0,0,0,80,216,35,14,0,0,260,275,51,24,0,0,352,396,44,14,0,0,448,116,12,4,0,0,133,69,7,5,0,0,81,44,3,3,0,0,53,158,12,0,0,0,173,1575,193,79,4,0,1842
POA3075,118,0,4,0,0,117,37,0,5,0,0,38,46,3,0,0,0,50,58,3,7,0,0,61,87,0,5,0,0,99,253,23,26,0,0,300,377,30,28,0,0,437,554,30,15,0,0,607,221,6,8,0,0,229,148,0,5,0,0,155,98,6,0,0,0,102,187,4,8,0,0,203,2184,109,105,0,0,2402
POA3076,181,30,0,0,0,215,53,12,0,0,0,69,50,5,0,0,0,61,119,13,0,0,0,133,149,34,7,0,0,184,557,96,20,0,0,675,747,149,12,0,0,908,985,105,4,0,0,1103,386,29,0,0,0,412,228,28,0,0,0,256,118,15,0,0,0,129,296,45,0,0,0,343,3871,558,53,0,3,4490
POA3078,68,16,13,0,0,99,16,0,7,0,0,21,13,5,3,0,0,23,10,0,9,0,0,18,21,8,12,0,0,39,67,29,54,0,0,147,49,30,48,0,0,133,110,54,73,0,0,231,73,41,27,0,0,149,112,80,26,0,0,223,233,64,14,0,0,309,61,24,9,0,0,96,838,361,293,3,0,1491
POA3079,105,10,12,0,0,130,22,3,8,0,0,29,11,5,0,0,0,25,27,6,5,0,0,36,31,6,15,0,0,48,85,27,50,0,0,158,81,34,74,0,0,193,151,67,90,0,0,309,104,56,29,0,0,191,206,56,37,0,0,296,434,45,15,0,0,498,113,23,9,0,0,143,1365,339,344,0,0,2050
POA3081,52,20,0,0,0,77,24,6,0,0,0,28,20,4,0,0,0,25,18,11,0,0,0,29,35,15,3,0,0,51,104,70,4,0,0,177,125,81,8,0,0,214,225,178,0,0,0,404,158,99,0,0,0,266,120,51,0,0,0,170,82,38,0,0,0,120,60,44,6,0,0,109,1031,611,23,0,0,1659
POA3082,209,9,0,0,0,218,89,8,0,0,0,103,59,5,4,0,0,63,93,11,0,0,0,107,142,17,6,0,0,164,402,33,15,0,0,452,493,67,11,0,0,575,755,72,3,0,0,830,367,25,3,0,0,390,221,26,0,0,0,246,136,12,0,0,0,151,277,28,0,0,0,312,3251,320,51,0,0,3620
POA3083,201,29,15,0,0,244,66,3,0,0,0,68,55,4,0,0,0,61,62,16,8,0,0,79,83,28,10,0,0,126,266,66,57,0,0,389,352,93,63,0,0,508,564,148,33,0,0,739,403,53,7,0,0,463,317,39,11,0,0,370,216,13,6,0,0,234,217,31,12,0,0,256,2800,514,214,0,0,3536
POA3084,185,17,7,0,0,206,60,3,4,0,0,65,26,5,0,0,0,35,52,12,9,0,0,72,69,8,14,0,0,94,188,34,36,0,0,261,199,53,56,0,0,303,372,103,62,0,0,540,341,53,23,0,0,421,512,41,14,0,0,562,508,24,11,0,0,537,164,24,14,0,0,203,2678,370,242,3,0,3297
POA3085,83,15,0,0,0,98,29,6,0,0,0,31,20,4,0,0,0,24,37,3,0,0,0,47,47,4,0,0,0,56,126,27,0,0,0,153,165,26,0,0,0,195,305,65,0,0,0,369,255,41,6,0,0,300,321,15,0,0,0,340,174,10,0,0,0,187,85,12,0,0,0,100,1649,239,13,0,0,1895
POA3087,55,5,0,0,0,59,23,0,0,0,0,23,19,0,0,0,0,14,38,0,0,0,0,42,48,0,0,0,0,56,113,8,4,0,0,123,154,17,0,0,0,177,281,17,0,0,0,301,186,10,0,0,0,193,166,5,0,0,0,171,65,5,0,0,0,68,80,3,0,0,0,80,1222,78,7,0,0,1303
POA3088,166,15,4,0,0,183,68,8,0,0,0,73,56,3,0,0,0,61,97,8,5,0,0,104,104,13,0,0,0,117,339,54,19,0,0,405,453,65,18,0,0,533,763,105,12,0,0,882,653,55,4,0,0,717,578,28,5,0,0,608,268,14,0,0,0,280,212,21,3,0,0,239,3755,388,69,0,0,4213
POA3089,87,0,0,0,0,88,43,0,0,0,0,43,30,0,0,0,0,33,47,4,0,0,0,53,53,9,0,0,0,59,162,9,0,0,0,175,252,14,0,0,0,268,484,30,0,0,0,515,332,10,0,0,0,340,346,5,0,0,0,348,154,0,0,0,0,155,122,5,0,0,0,129,2110,91,0,0,0,2202
