POA_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
POA2205,19,41,12,3,0,0,0,0,68,0,3,0,0,0,0,0,0,8,0,10,25,21,15,10,9,14,105,19,52,32,24,17,10,9,14,182,1494,3898,2076,1017,773,537,264,73,10127,150,355,157,87,75,47,59,60,978,1664,4307,2267,1127,854,591,329,149,11290,4,7,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,12,7,16,5,0,4,0,0,0,29,1497,3910,1871,987,831,544,306,125,10070,127,317,123,83,52,33,29,10,783,1640,4239,2006,1071,884,578,336,131,10886,25,48,11,4,3,0,0,0,90,0,3,0,0,0,0,0,0,7,4,12,23,20,18,14,9,14,111,26,64,39,26,19,14,9,14,209,2991,7808,3950,2005,1598,1084,566,196,20194,282,673,278,174,124,80,85,64,1764,3301,8543,4273,2201,1740,1173,672,280,22174
POA2206,0,0,0,5,0,0,0,0,4,3,3,0,0,0,0,0,0,14,0,10,8,13,29,21,25,16,121,3,14,13,19,28,21,25,16,136,1141,918,1129,1469,1139,785,615,261,7459,43,57,39,59,41,35,54,48,371,1194,981,1181,1541,1205,839,692,330,7963,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,6,0,3,0,4,0,5,0,0,14,1031,947,1238,1510,1215,990,769,315,8007,37,51,40,42,50,51,69,115,466,1070,998,1284,1553,1273,1041,835,431,8484,4,4,0,0,0,0,0,0,9,3,3,4,0,0,0,0,0,13,0,8,14,11,28,24,25,22,131,7,19,10,21,34,24,25,22,151,2173,1861,2371,2976,2354,1779,1380,578,15470,87,109,80,103,90,82,125,165,831,2263,1982,2461,3094,2473,1880,1527,758,16450
POA2207,3,3,5,3,0,0,0,0,18,0,5,3,3,0,0,0,0,14,0,16,12,26,35,44,30,25,190,3,27,19,27,37,44,30,25,223,1681,1635,1764,1648,1535,1216,697,285,10457,86,107,99,64,61,82,84,87,665,1764,1764,1883,1744,1632,1341,820,397,11338,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,4,5,5,0,7,25,0,7,3,6,4,5,0,7,29,1475,1653,1909,1864,1692,1331,876,487,11279,68,88,95,53,55,59,104,166,694,1545,1745,2005,1922,1755,1394,980,659,12003,3,9,5,4,0,0,0,0,23,0,5,3,3,0,0,0,0,15,0,16,13,30,39,50,36,34,211,3,28,27,34,43,50,36,34,255,3154,3286,3665,3511,3225,2543,1576,769,21731,154,192,199,117,121,138,185,253,1358,3309,3502,3889,3668,3383,2731,1799,1059,23339
POA2208,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,4,6,12,15,12,7,63,4,9,5,9,13,15,12,7,68,771,657,806,843,682,549,367,156,4821,30,37,31,32,18,13,20,4,189,803,697,842,881,707,574,395,176,5085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,8,0,0,0,3,5,3,0,0,5,682,675,869,900,802,693,427,216,5256,29,39,35,22,24,20,26,23,218,713,720,901,921,834,710,451,233,5476,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,4,8,14,18,12,7,66,4,6,5,8,14,18,12,7,75,1455,1333,1672,1738,1481,1235,798,373,10078,56,84,66,56,45,37,40,26,405,1513,1417,1744,1802,1540,1285,852,406,10563
POA2209,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,7,8,12,12,10,15,23,96,0,8,13,18,21,10,15,23,108,888,1033,1013,885,940,710,370,141,5981,36,63,64,36,32,31,24,8,287,924,1105,1091,929,987,749,407,172,6371,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,4,0,0,0,3,0,0,13,848,1036,1083,1023,1009,821,468,245,6523,28,53,55,35,31,38,26,22,290,877,1093,1140,1059,1042,859,488,266,6828,5,0,7,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,0,7,11,12,19,16,18,24,99,5,13,15,15,18,16,18,24,118,1731,2075,2095,1901,1953,1531,833,384,12500,65,118,113,74,67,66,45,29,577,1799,2197,2230,1994,2037,1611,898,433,13198
POA2210,6,17,5,10,0,0,0,0,37,3,10,0,3,5,0,0,0,19,4,14,9,34,38,57,96,85,340,10,37,18,45,43,57,96,85,391,1950,1952,1903,1890,1924,1431,856,293,12195,101,135,119,89,110,95,100,70,813,2066,2121,2042,2016,2070,1587,1058,443,13401,0,3,0,5,0,0,0,0,6,0,0,0,3,0,0,0,0,5,0,5,0,0,8,3,0,3,28,0,8,0,8,13,3,0,3,43,1822,1897,2082,2136,2110,1661,1133,517,13354,98,110,111,100,71,77,129,171,874,1923,2023,2194,2239,2198,1747,1262,688,14276,10,18,5,12,0,0,0,0,39,3,5,4,4,5,0,0,0,21,4,20,14,40,53,58,102,91,370,15,43,22,48,56,58,102,91,432,3772,3844,3989,4024,4032,3096,1988,810,25551,202,246,227,186,177,175,233,241,1695,3988,4139,4241,4256,4267,3334,2317,1132,27681
POA2211,0,9,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,4,0,11,10,21,26,37,35,57,200,0,23,11,28,26,37,35,57,216,1105,1016,1072,997,1126,704,373,142,6531,50,69,48,45,43,41,26,43,361,1153,1106,1127,1066,1196,781,438,248,7115,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,10,0,3,4,0,3,0,3,0,14,974,1059,1121,1160,1169,802,526,265,7079,34,66,51,47,38,37,56,95,416,1007,1132,1175,1206,1208,840,585,358,7513,0,13,6,0,0,0,0,0,20,0,0,4,0,0,0,0,0,9,0,11,10,20,29,33,40,64,214,0,23,16,26,31,33,40,64,232,2078,2079,2197,2155,2288,1504,901,403,13614,86,136,98,88,80,78,81,140,778,2160,2238,2305,2270,2407,1617,1023,604,14630
POA2212,0,4,9,0,0,0,0,0,13,0,5,0,0,0,0,0,0,3,3,9,11,22,25,32,32,27,151,5,13,23,20,25,32,32,27,175,1046,1075,1079,966,933,626,275,119,6124,41,70,53,26,40,38,51,48,360,1093,1156,1153,1010,1000,693,356,201,6660,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,5,5,0,0,18,6,0,3,0,5,5,0,0,22,995,1108,1175,1106,1043,750,383,213,6773,41,68,53,38,26,44,68,133,477,1041,1176,1232,1151,1072,795,458,344,7275,0,7,9,0,0,0,0,0,19,3,5,4,0,0,0,0,0,6,4,7,11,23,24,36,30,27,170,9,17,22,22,24,36,30,27,193,2041,2187,2253,2075,1977,1371,655,336,12896,86,135,108,74,63,79,123,175,845,2138,2337,2385,2169,2066,1495,813,538,13928
POA2213,4,8,5,0,0,0,0,0,17,0,0,3,4,0,0,0,0,9,0,10,18,21,35,45,59,47,240,4,22,23,26,39,45,59,47,268,1415,1224,1465,1491,1338,959,412,131,8449,31,55,67,45,52,27,25,22,329,1447,1297,1560,1571,1433,1033,501,204,9046,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,11,6,0,5,30,0,0,0,11,11,6,0,5,31,1370,1352,1673,1589,1442,1000,585,261,9268,55,67,55,38,48,35,30,18,340,1422,1420,1724,1633,1502,1028,620,292,9643,4,8,7,6,0,0,0,0,24,0,0,3,4,0,0,0,0,9,0,14,18,27,47,50,66,52,271,0,25,25,37,50,50,66,52,304,2786,2575,3139,3081,2785,1953,996,399,17716,80,125,122,89,102,59,51,40,665,2877,2726,3281,3208,2932,2062,1117,494,18690
POA2214,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,3,4,4,7,23,14,4,63,0,3,0,4,7,23,14,4,70,261,200,237,276,197,166,116,10,1468,6,8,11,8,3,3,0,0,46,271,217,247,293,210,187,131,19,1581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,245,234,264,257,206,245,127,21,1600,8,6,7,4,5,3,6,4,34,250,243,268,257,206,249,136,20,1636,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,5,4,7,26,18,11,66,0,9,0,4,7,26,18,11,73,507,435,499,528,400,411,250,31,3065,13,12,19,14,13,7,7,4,82,517,456,521,550,417,442,269,43,3220
POA2216,7,8,0,8,3,0,0,0,18,0,8,4,0,0,0,0,0,10,4,13,8,15,24,29,23,19,131,13,20,10,19,27,29,23,19,163,1650,2585,2176,1515,1344,1059,610,207,11145,117,204,153,113,91,77,45,26,821,1778,2808,2343,1640,1462,1164,681,253,12127,0,4,6,6,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,9,6,0,0,20,3,0,3,3,13,6,0,0,27,1385,2474,2007,1621,1411,1147,761,316,11127,89,188,121,99,53,62,59,36,716,1478,2661,2136,1725,1477,1208,818,355,11868,5,6,7,4,5,0,0,0,30,0,7,4,0,0,0,0,0,13,5,13,12,17,38,34,22,20,154,15,24,15,20,40,34,22,20,195,3036,5055,4179,3136,2754,2205,1375,527,22268,208,384,280,207,148,135,105,65,1536,3251,5469,4477,3368,2943,2370,1502,611,24000
POA2217,0,15,5,6,0,0,0,0,17,0,5,0,0,0,0,0,0,10,0,9,12,20,22,47,33,37,177,0,29,16,20,21,47,33,37,206,1611,2327,2094,1638,1377,945,663,273,10932,69,175,116,82,72,39,67,77,683,1679,2534,2225,1740,1468,1032,757,392,11825,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,6,0,3,12,3,0,24,0,3,6,0,8,12,3,0,30,1415,2481,2051,1761,1515,1156,820,400,11593,67,171,116,71,67,56,82,171,804,1481,2660,2174,1830,1586,1218,906,569,12428,0,15,5,6,0,0,0,0,17,0,6,5,0,0,0,0,0,16,0,9,10,20,31,56,33,40,197,4,28,22,25,26,56,33,40,237,3030,4813,4146,3393,2893,2101,1481,674,22526,134,353,233,154,138,96,147,243,1487,3165,5196,4397,3567,3059,2251,1664,959,24255
POA2218,0,0,0,4,0,0,0,0,5,3,3,0,0,0,0,0,0,9,0,4,0,9,12,12,3,9,62,3,10,0,15,19,12,3,9,77,989,1395,1177,840,923,667,339,99,6433,65,90,67,36,46,29,13,4,353,1061,1494,1245,893,982,712,358,121,6860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,11,0,5,0,5,3,0,5,0,13,859,1324,1108,1027,961,731,380,153,6538,58,70,63,48,41,37,21,17,354,913,1394,1181,1076,1000,764,403,168,6905,5,3,0,4,0,0,0,0,8,3,3,0,3,0,0,0,0,10,0,4,0,11,17,12,9,14,74,3,10,3,22,21,12,9,14,88,1847,2717,2285,1868,1883,1392,715,255,12969,122,158,127,87,84,66,36,18,705,1973,2888,2421,1972,1982,1476,763,292,13760
POA2219,0,4,15,3,0,0,0,0,26,0,0,5,0,0,0,0,0,9,0,8,11,21,32,36,37,29,164,4,17,27,29,33,36,37,29,197,632,621,769,866,791,622,418,142,4859,45,47,41,42,45,46,30,18,325,678,689,839,942,863,697,486,188,5382,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,5,3,5,10,5,0,22,0,5,4,3,5,10,5,0,25,635,748,856,1028,944,782,549,209,5759,43,49,55,43,51,44,45,45,368,680,805,918,1077,991,833,593,257,6154,0,9,16,3,0,0,0,0,33,0,0,5,0,0,0,0,0,9,0,12,14,23,33,38,39,29,186,4,26,26,30,33,38,39,29,225,1272,1375,1625,1895,1734,1401,962,350,10619,91,99,96,93,94,83,75,64,692,1363,1493,1751,2017,1859,1528,1076,443,11534
POA2220,5,9,7,8,3,0,0,0,34,3,4,0,0,0,0,0,0,6,9,14,14,14,16,28,12,14,118,11,30,23,15,22,28,12,14,157,2602,3755,2072,1509,1674,1181,601,224,13615,190,235,87,65,59,52,38,49,774,2802,4016,2183,1582,1752,1263,655,285,14548,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,5,3,0,0,0,12,3,5,0,5,3,0,0,0,18,2254,3439,2168,1805,1908,1364,705,288,13934,123,176,80,90,57,54,61,100,747,2379,3619,2248,1900,1971,1425,769,386,14697,0,15,12,8,3,0,0,0,34,3,4,0,0,0,0,0,0,6,5,14,14,15,22,28,19,14,132,17,33,23,16,23,28,19,14,174,4856,7200,4239,3309,3584,2549,1308,509,27547,313,407,167,157,112,104,102,153,1522,5183,7642,4433,3485,3724,2682,1432,672,29240
POA2221,0,6,3,6,0,0,0,0,15,0,4,0,6,0,0,0,0,7,0,6,6,12,23,29,29,13,128,4,11,15,20,23,29,29,13,145,1091,839,902,1092,1065,755,423,175,6337,42,37,37,47,40,29,32,29,287,1139,881,958,1161,1129,808,486,215,6771,3,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,12,3,5,3,3,4,0,0,0,17,1068,790,1058,1236,1120,858,541,312,6979,30,44,38,34,41,28,41,58,312,1105,829,1107,1268,1166,885,583,371,7308,3,3,7,6,0,0,0,0,23,0,3,3,6,0,0,0,0,13,0,6,9,19,24,29,31,14,135,3,14,20,22,27,29,31,14,166,2165,1625,1960,2324,2188,1615,963,484,13321,71,78,79,80,82,60,71,82,597,2240,1713,2062,2428,2294,1701,1066,587,14084
POA2222,3,3,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,3,0,8,8,16,18,27,23,14,106,3,18,9,18,17,27,23,14,118,805,1001,809,699,723,525,236,69,4860,40,76,43,29,20,25,9,7,248,850,1092,866,743,761,575,266,86,5224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,10,0,0,0,3,4,4,0,0,16,702,958,852,812,812,576,303,136,5153,38,68,40,27,20,24,38,66,331,739,1033,893,845,841,604,342,205,5499,3,3,0,0,0,0,0,0,11,0,3,3,0,0,0,0,0,3,0,8,8,17,19,27,21,16,115,3,17,9,20,20,27,21,16,133,1505,1960,1660,1510,1541,1102,534,207,10009,79,148,91,52,43,47,43,74,580,1589,2126,1762,1582,1598,1176,602,291,10726
POA2223,6,15,11,6,3,0,0,0,35,0,4,4,0,0,0,0,0,10,0,13,21,28,32,42,46,42,235,3,25,34,37,35,42,46,42,277,1245,1174,1411,1348,1223,931,469,125,7930,32,54,65,34,40,33,20,21,291,1279,1256,1509,1423,1295,1013,538,187,8503,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,3,0,0,0,3,4,5,0,0,19,4,3,3,6,4,5,0,0,27,1172,1222,1561,1433,1385,1088,548,331,8748,36,54,45,28,38,34,34,48,317,1212,1280,1610,1474,1427,1127,579,381,9096,5,16,11,8,3,0,0,0,35,0,7,5,0,0,0,0,0,11,3,10,21,37,39,54,46,50,257,7,33,36,46,46,54,46,50,309,2415,2398,2977,2787,2606,2022,1019,457,16680,69,105,109,62,78,67,53,70,610,2488,2539,3119,2896,2728,2140,1114,576,17596
POA2224,0,14,7,6,0,0,0,0,21,0,4,0,0,0,0,0,0,10,0,3,7,12,22,34,65,54,202,5,20,15,19,23,34,65,54,236,825,600,752,950,836,648,502,186,5299,23,25,48,38,28,27,27,13,230,856,644,815,1005,888,710,597,255,5766,3,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,4,4,0,3,3,17,4,9,0,4,4,0,3,3,29,763,616,870,1030,887,810,693,363,6035,25,15,44,26,22,20,47,29,234,790,647,912,1068,917,828,750,396,6303,3,17,7,6,0,0,0,0,29,4,6,0,0,0,0,0,0,11,3,3,5,19,27,36,69,54,224,10,31,19,21,30,36,69,54,268,1587,1221,1620,1980,1725,1452,1194,553,11339,43,45,91,65,45,48,82,40,458,1647,1291,1733,2068,1798,1543,1348,649,12063
POA2225,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,5,5,18,7,15,17,4,71,0,6,11,21,7,15,17,4,79,351,182,355,437,288,245,103,21,1986,7,5,9,8,3,0,4,0,45,365,199,376,461,297,262,123,29,2109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,11,0,0,5,6,4,0,0,0,12,350,178,395,454,312,263,130,52,2140,5,6,10,5,4,7,6,3,48,351,185,409,467,323,270,135,56,2194,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,5,9,20,9,17,17,4,81,0,6,13,24,9,17,17,4,90,707,369,748,896,598,512,232,73,4126,11,13,19,18,11,9,5,4,89,716,385,784,929,619,536,257,83,4308
POA2226,0,4,3,0,0,0,0,0,9,0,3,3,0,0,0,0,0,10,0,12,10,25,27,34,38,16,166,0,17,16,24,29,34,38,16,185,754,614,849,908,695,518,254,69,4661,14,22,28,30,24,24,31,29,202,771,661,896,961,743,582,317,117,5044,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,5,3,3,0,3,28,5,0,3,9,3,3,0,3,26,661,664,964,961,771,609,291,119,5031,16,20,32,21,17,27,31,66,235,677,684,1001,995,789,640,325,187,5288,5,4,3,0,0,0,0,0,14,0,3,3,0,0,0,0,0,9,0,12,15,27,29,42,38,22,190,5,17,22,35,35,42,38,22,214,1417,1276,1813,1867,1458,1124,539,185,9691,31,50,60,50,40,53,64,94,433,1447,1344,1898,1950,1534,1222,640,302,10340
POA2227,0,5,13,4,3,0,0,0,24,0,0,0,0,4,0,0,0,7,0,7,16,33,35,30,50,48,218,3,14,34,34,39,30,50,48,251,915,724,929,1054,849,583,329,101,5492,26,32,29,35,15,19,18,7,177,942,766,994,1122,905,638,403,159,5920,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,6,4,7,6,4,0,3,22,3,3,4,7,11,4,0,3,29,878,804,1065,1132,945,718,486,203,6228,27,29,20,25,21,12,17,11,171,909,840,1093,1164,970,732,505,217,6432,4,9,13,4,4,0,0,0,31,0,0,0,0,4,0,0,0,9,0,11,21,40,41,31,54,44,244,4,18,34,38,48,31,54,44,279,1793,1528,2001,2184,1793,1304,817,310,11718,54,60,47,56,39,38,38,22,348,1848,1605,2090,2284,1874,1370,908,377,12346
POA2228,7,39,18,4,0,0,0,0,73,0,8,5,0,3,0,0,0,19,4,21,28,39,42,35,68,82,313,14,64,52,45,49,35,68,82,406,1095,1212,1322,1180,1035,801,513,231,7383,48,73,73,57,41,35,38,33,392,1155,1349,1442,1279,1124,874,614,342,8183,0,4,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,7,6,4,0,0,28,3,8,4,11,6,4,0,0,42,1064,1336,1484,1374,1131,966,811,533,8692,41,66,48,47,24,39,66,61,402,1110,1409,1534,1424,1161,1011,879,599,9136,7,40,23,4,0,0,0,0,84,0,10,5,3,3,0,0,0,19,9,19,28,43,49,39,68,83,343,15,71,60,53,54,39,68,83,446,2159,2542,2804,2546,2171,1769,1321,763,16077,89,138,123,104,66,74,102,93,790,2262,2756,2982,2707,2287,1884,1492,941,17315
POA2229,19,56,42,17,5,0,0,0,138,6,10,7,0,0,0,0,0,22,5,18,35,52,49,101,111,96,458,27,84,80,66,55,101,111,96,618,1736,1539,1814,1924,1677,1278,694,232,10901,62,103,80,81,46,43,32,54,498,1830,1720,1979,2076,1779,1422,835,380,12023,11,15,4,0,0,0,0,0,35,0,4,0,3,0,0,0,0,13,0,12,13,5,8,0,7,5,38,13,30,21,8,8,0,7,5,81,1654,1760,1964,2059,1851,1590,976,542,12396,43,99,56,77,46,49,56,119,551,1714,1884,2034,2146,1904,1647,1040,665,13025,25,74,44,19,5,0,0,0,168,7,8,10,5,0,0,0,0,36,5,28,49,50,54,102,118,107,501,44,113,99,75,59,102,118,107,706,3396,3297,3777,3984,3526,2871,1674,777,23292,105,197,143,163,97,89,88,170,1053,3540,3607,4014,4221,3679,3064,1873,1050,25052
POA2230,13,70,23,8,5,0,0,0,120,5,12,5,0,7,0,0,0,24,6,36,42,44,54,97,95,77,451,17,119,72,53,64,97,95,77,591,1603,2007,1661,1865,2044,1603,690,186,11662,55,113,86,78,77,54,50,30,544,1675,2241,1822,1993,2184,1757,832,292,12798,8,11,0,3,0,0,0,0,20,0,0,0,0,0,0,0,0,3,0,8,3,13,8,11,6,4,54,9,20,12,16,8,11,6,4,80,1653,2152,1821,2009,2180,1747,828,405,12789,51,94,85,69,64,70,61,90,576,1710,2267,1916,2094,2251,1824,894,497,13449,21,82,25,9,5,0,0,0,141,5,13,6,0,7,0,0,0,32,9,43,49,51,67,104,101,76,508,25,137,80,68,76,104,101,76,672,3257,4161,3484,3872,4217,3348,1521,590,24454,104,206,171,144,143,122,111,122,1125,3391,4508,3735,4088,4438,3578,1729,792,26249
POA2231,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,4,8,9,6,4,42,0,3,3,4,8,9,6,4,47,145,111,157,173,136,94,46,8,875,11,5,7,9,3,0,0,0,35,156,122,169,185,150,106,52,19,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,6,141,125,191,172,139,96,63,18,938,10,4,3,10,6,4,5,0,32,152,123,195,182,142,102,62,18,978,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,9,4,10,9,6,4,45,0,8,6,8,10,9,6,4,50,291,232,345,340,273,194,105,24,1809,20,3,10,18,7,0,3,0,71,309,243,361,368,295,209,118,35,1936
