POA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
POA2668,3,0,7,57,67,42,41,91,29,325
POA2669,12,0,26,227,260,151,157,264,153,1217
POA2671,63,30,149,584,846,384,341,722,308,3190
POA2672,22,8,44,180,272,114,138,328,158,1186
POA2675,28,4,44,236,282,138,116,397,183,1344
POA2678,0,0,0,187,102,8,4,129,7,433
POA2680,280,154,667,3682,4609,2013,1574,6602,1942,20420
POA2681,7,0,20,289,374,203,143,323,112,1451
POA2700,102,14,168,603,897,484,353,1162,396,3899
POA2701,60,13,93,358,504,303,197,469,138,1981
POA2702,6,0,17,103,171,98,73,149,48,644
POA2703,0,0,5,129,125,49,39,192,23,565
POA2705,157,37,279,1501,2047,955,737,2375,842,8457
POA2706,3,3,10,143,217,97,60,256,106,872
POA2707,26,3,40,203,253,126,90,187,85,951
POA2710,158,37,323,1452,2086,954,777,1942,842,8058
POA2711,49,16,90,466,641,281,259,695,351,2687
POA2712,12,33,70,203,269,147,145,262,138,1168
POA2713,66,10,113,409,538,245,230,575,281,2279
POA2714,59,19,116,390,636,332,264,622,278,2514
POA2715,19,12,43,176,251,133,107,290,166,1120
POA2716,9,9,30,160,176,99,100,188,96,820
POA2717,10,3,25,187,189,92,90,258,178,996
POA2720,136,26,228,1155,1707,867,705,1849,586,6869
POA2721,0,0,0,25,37,31,26,37,21,177
POA2722,47,10,89,443,616,307,286,793,334,2775
POA2725,3,0,5,62,63,53,31,74,22,298
POA2726,4,0,10,41,48,24,26,46,19,204
POA2727,0,0,0,56,55,37,30,47,44,272
POA2729,5,6,37,277,323,202,156,290,80,1326
POA2730,26,0,49,175,296,140,108,312,89,1117
POA2731,91,55,219,1134,1655,847,607,1477,452,6171
POA2732,55,14,106,274,402,210,189,405,138,1617
POA2733,14,3,18,80,92,56,44,113,99,477
POA2734,0,0,6,93,108,49,49,63,28,390
POA2735,3,0,8,61,92,46,37,73,23,329
POA2736,3,6,6,67,62,37,38,95,45,347
POA2737,3,4,8,102,127,59,58,178,123,650
POA2738,13,0,21,323,448,267,185,295,98,1623
POA2739,10,0,17,223,289,146,94,262,113,1126
POA2745,97,12,203,5201,7120,3382,2378,5611,810,24500
POA2747,277,59,530,7344,10665,4880,4110,11849,2728,41577
POA2748,13,5,40,300,372,210,240,371,51,1548
POA2749,63,6,118,2580,3583,1708,1369,3225,663,13133
POA2750,465,312,1099,7792,10951,4589,3558,10623,2930,40446
POA2752,18,5,45,873,1249,649,563,938,195,4467
POA2753,277,95,515,2716,3851,1880,1535,3556,1035,14575
POA2754,96,14,189,1073,1696,778,665,1299,227,5728
POA2756,198,21,358,5313,7638,3867,3159,6518,1415,27915
POA2757,10,0,22,126,217,100,88,145,24,703
POA2758,60,7,125,1281,2087,1271,1070,1303,257,7270
POA2759,100,19,179,3916,5304,2505,2100,6182,1039,21045
POA2760,218,145,514,4455,6138,2767,2724,9853,2789,28723
POA2761,203,15,285,4485,5833,2752,2507,9718,1460,26753
POA2762,29,5,49,2613,4142,2075,1563,4444,906,15740
POA2763,162,12,243,4577,6657,3330,2615,7315,1128,25607
POA2765,113,21,245,5471,8716,4247,3630,8861,2847,33776
POA2766,312,192,564,2023,2686,1302,1236,5196,1140,13585
POA2767,130,24,220,2962,3990,1908,1723,6952,1158,18702
POA2768,77,7,145,4357,5937,2980,2114,5596,1906,22895
POA2769,91,10,142,1996,3152,1689,1270,3027,379,11518
POA2770,280,50,493,6437,8244,3847,4313,18998,4836,46671
POA2773,49,4,115,1001,1613,943,512,704,100,4872
POA2774,58,17,157,2161,3427,1790,1176,1501,273,10325
POA2775,12,0,21,208,353,208,179,255,138,1349
POA2776,18,5,53,616,1128,605,368,472,98,3278
POA2777,292,90,581,2836,4676,2464,1648,2427,458,14512
POA2778,11,0,32,348,706,349,260,310,57,2032
POA2779,21,3,59,777,1341,681,497,659,128,4077
POA2780,167,52,354,2176,3695,1799,1128,2232,591,11613
POA2782,136,14,229,850,1708,975,639,891,296,5361
POA2783,24,3,40,447,725,328,242,384,80,2211
POA2784,3,0,9,202,384,206,120,123,42,1079
POA2785,38,10,111,750,1365,707,442,628,262,4157
POA2786,5,0,18,175,323,181,128,155,56,1025
POA2787,61,14,103,602,976,468,394,871,531,3837
POA2790,241,31,438,2106,3282,1716,1373,3302,1235,13017
POA2791,7,0,12,50,77,38,33,48,25,272
POA2792,10,0,14,73,99,29,34,80,27,330
POA2793,10,0,11,121,194,135,132,228,107,920
POA2794,211,31,387,1530,2162,1086,850,2320,712,8663
POA2795,592,91,1061,7084,10153,4677,3192,8417,3105,36624
POA2797,5,3,9,50,96,43,36,63,43,338
POA2798,11,3,24,323,514,263,189,254,155,1707
POA2799,56,3,100,620,883,461,362,810,161,3296
POA2800,531,150,1103,7477,10700,4854,3215,9236,2409,37891
POA2803,6,0,3,54,46,34,33,52,14,241
POA2804,42,19,83,415,574,308,235,551,259,2339
POA2805,5,0,11,53,65,53,36,99,36,339
POA2806,19,10,34,101,179,74,67,191,94,709
POA2807,0,0,0,64,79,49,44,104,46,382
POA2808,0,0,0,25,44,31,28,36,20,188
POA2809,4,0,6,27,43,25,32,35,10,168
POA2810,66,12,128,456,663,349,316,658,210,2645
POA2817,4,0,4,63,71,41,24,45,43,296
POA2818,3,3,17,103,217,94,67,126,56,665
POA2820,97,34,191,801,1223,596,521,1516,1434,6087
POA2821,41,34,120,636,936,425,357,842,514,3715
POA2822,4,3,6,63,76,48,41,63,60,348
POA2823,8,19,44,188,265,116,102,253,152,1072
POA2824,28,32,82,290,399,165,142,451,215,1659
POA2825,24,18,69,365,427,210,163,437,176,1787
POA2826,0,0,3,33,44,17,16,29,7,149
POA2827,58,18,117,476,661,383,317,773,357,2979
POA2828,12,3,15,116,133,65,46,177,92,630
POA2829,48,5,64,377,491,215,196,696,334,2309
POA2830,520,119,957,6669,9363,4109,2927,8999,3259,35320
POA2831,11,3,23,239,355,168,163,300,200,1425
POA2832,3,12,15,208,309,136,93,367,566,1676
POA2833,8,5,12,69,71,27,37,177,131,512
POA2834,22,5,48,233,334,165,126,468,362,1695
POA2835,40,8,76,514,696,303,274,725,492,3002
POA2836,9,3,5,94,111,56,46,243,156,709
POA2838,0,0,0,17,15,28,21,62,35,179
POA2839,11,3,17,108,162,54,52,333,141,853
POA2840,21,3,34,276,401,173,130,519,362,1857
POA2842,4,0,10,110,131,66,72,133,63,584
POA2843,19,5,44,174,238,130,100,239,168,1038
POA2844,27,9,49,177,254,135,119,287,126,1093
POA2845,13,0,26,280,417,217,152,441,76,1582
POA2846,4,0,4,34,46,32,34,50,18,226
POA2847,27,4,49,300,504,244,231,574,172,2024
POA2848,18,5,48,173,265,162,170,398,142,1310
POA2849,26,9,44,221,353,212,159,288,148,1375
POA2850,228,62,433,2783,4195,1992,1635,3426,1211,15243
POA2852,42,6,78,446,770,432,362,672,277,2960
POA2864,7,3,20,153,169,111,83,103,53,660
POA2865,11,0,25,151,203,119,68,148,64,755
POA2866,55,14,97,451,660,328,284,525,213,2463
POA2867,5,0,9,91,129,63,54,98,43,483
POA2868,16,3,25,86,122,51,56,119,36,465
POA2869,19,11,47,189,262,141,114,347,207,1254
POA2870,187,32,343,1768,2405,1213,926,2549,687,9550
POA2871,143,30,278,1268,1807,917,716,1811,668,7187
POA2873,18,5,35,90,94,57,61,108,60,475
POA2874,0,12,16,48,61,32,31,68,56,300
POA2875,16,6,31,122,177,81,69,152,60,665
POA2876,0,3,8,80,101,29,52,60,45,375
POA2877,60,20,112,456,612,287,273,841,331,2797
POA2878,0,0,6,40,49,14,27,62,49,237
POA2879,4,0,10,61,92,48,26,166,101,499
POA2880,287,125,599,2273,3557,1670,1371,4644,1469,14992
POA2898,8,0,15,81,115,58,34,50,34,379
POA3000,35,11,73,8182,9168,2181,1065,16795,4232,41625
POA3002,73,4,119,1299,1591,476,210,754,277,4609
POA3003,8,0,15,1781,2173,583,280,2013,603,7440
POA3004,95,87,242,2471,3116,888,468,2660,1073,10672
POA3006,33,5,65,4951,6181,1481,714,6673,1347,21338
POA3008,14,3,42,2705,3756,1063,571,4827,1373,14283
POA3011,231,75,390,4202,6030,1910,965,4969,1478,19546
POA3012,207,99,479,4522,6511,2439,1451,5987,1531,22444
POA3013,156,18,300,2982,4429,1595,882,2245,513,12644
POA3015,175,40,320,3169,5085,1979,1090,2657,634,14620
POA3016,116,30,303,2954,4389,1841,1027,2501,501,13216
POA3018,183,33,398,2279,3384,1509,859,2584,547,11172
POA3019,62,15,116,1327,1668,587,489,3418,685,8171
POA3020,585,86,1058,6018,7382,3196,2686,14917,2919,37114
POA3021,510,270,1087,6792,7688,3453,3292,20009,4524,45758
POA3022,71,12,107,431,578,208,171,910,319,2625
POA3023,318,87,575,9160,10791,4699,4094,18877,5244,52875
POA3024,103,10,149,4268,6036,2744,2351,7930,1498,24825
POA3025,334,41,561,1905,2545,1059,835,3322,675,10339
POA3026,13,3,16,1064,1296,606,539,2426,394,6330
POA3027,9,0,12,1266,1669,765,594,2381,478,7150
POA3028,309,38,496,4239,5710,2450,1953,7571,1446,23368
POA3029,287,59,541,14896,20667,9805,8862,33732,7940,95904
POA3030,668,180,1147,16534,22744,10247,8121,27217,5472,90342
POA3031,159,15,241,3577,5171,1528,735,3310,884,15209
POA3032,145,43,354,5527,7803,2722,1622,6269,1350,25290
POA3033,311,19,514,2481,3248,1515,1099,3563,532,12435
POA3034,379,30,607,1919,2438,1200,934,3456,457,10411
POA3036,108,19,224,1030,1311,650,509,1323,195,5023
POA3037,425,27,569,7871,9299,4013,3535,14451,1941,41108
POA3038,264,17,449,4416,5315,2598,2089,7430,975,22827
POA3039,252,16,415,3379,4413,1670,897,3074,538,13976
POA3040,327,56,655,5392,6684,2778,1646,5201,940,22629
POA3041,157,20,304,2383,3103,1428,890,2616,370,10781
POA3042,218,47,501,2859,3941,1601,1209,3671,598,13866
POA3043,190,46,381,2771,3626,1596,1276,4875,775,14920
POA3044,544,79,987,4923,6915,2869,1879,5937,1078,23595
POA3045,0,0,0,0,3,0,0,3,44,55
POA3046,587,183,1211,5370,7357,2876,2374,10124,2203,30306
POA3047,173,31,327,2230,2463,1063,1268,7800,2042,16866
POA3048,154,15,213,1985,2182,945,1048,6915,1196,14261
POA3049,99,14,159,1541,1950,839,667,2717,438,8156
POA3051,54,17,126,3147,4162,1080,520,3099,1204,13220
POA3052,114,10,155,2175,1664,429,218,1891,436,6810
POA3053,148,17,217,3577,4063,956,474,5095,1012,15177
POA3054,51,12,141,2096,2729,772,394,1022,279,7293
POA3055,148,38,289,3117,4317,1412,709,2763,554,12865
POA3056,236,33,440,6018,8194,2327,992,3987,841,22359
POA3057,75,12,173,3306,4647,1125,501,1918,518,12011
POA3058,505,108,963,6488,9233,3457,2072,6757,1367,29370
POA3059,80,5,120,3011,3821,1625,1566,6064,666,16750
POA3060,275,40,534,1773,2345,1059,1022,4198,846,11247
POA3061,72,12,113,546,629,251,300,1934,330,3988
POA3062,0,0,0,0,0,0,0,3,0,6
POA3063,6,3,7,105,111,49,64,105,38,475
POA3064,331,95,539,12913,16362,7370,7359,35494,5376,84878
POA3065,69,17,135,2487,3129,851,329,1761,804,9362
POA3066,41,0,67,2236,2967,608,288,1602,574,8284
POA3067,64,3,97,2175,3032,719,294,1648,495,8362
POA3068,201,23,385,4471,6243,2015,852,2473,720,16765
POA3070,274,39,528,5374,7924,2732,1245,3374,841,21495
POA3071,194,129,495,3855,5575,1891,1044,3050,780,16200
POA3072,339,83,740,6333,8882,3217,1911,7019,1372,28727
POA3073,809,311,1753,8088,11367,4340,3275,13065,3006,43146
POA3074,289,35,543,2717,3231,1513,1401,7233,986,17085
POA3075,345,34,630,2982,3594,1702,1550,7870,1261,18957
POA3076,204,292,567,4358,5604,2453,2142,9831,2126,26518
POA3078,113,10,215,2488,3714,1344,619,1742,448,10361
POA3079,260,32,464,3418,4714,1955,1054,2806,502,14453
POA3081,131,19,245,2334,3230,1178,737,3373,803,11649
POA3082,285,23,417,4720,5763,2522,2114,8085,1072,24271
POA3083,415,77,812,5400,6546,2758,2084,8751,1507,27049
POA3084,462,81,952,4786,6983,3212,1901,4437,790,22108
POA3085,253,20,453,2466,3578,1514,928,2623,352,11466
POA3087,79,9,201,1544,2293,986,687,1692,255,7464
POA3088,359,77,670,4729,6917,3146,1954,4696,699,22134
POA3089,63,3,125,2289,3196,1397,890,2040,271,10080
POA3090,84,0,107,463,598,278,191,551,66,2147
POA3091,11,4,21,291,353,201,155,305,64,1367
POA3093,99,14,150,673,1008,445,305,756,124,3308
POA3094,57,6,148,1648,2459,1142,679,1245,221,7393
POA3095,156,50,366,5028,7570,3781,2117,3828,671,22999
POA3096,49,0,57,377,449,259,135,335,39,1589
POA3097,0,0,13,263,405,218,154,159,77,1276
POA3099,21,6,46,830,1259,749,444,628,146,4066
POA3101,366,101,786,5106,6265,2661,1560,4315,890,20798
POA3102,65,4,163,1323,1679,769,451,1040,170,5431
POA3103,286,53,624,2852,3691,1873,1092,3185,440,13134
POA3104,269,39,622,3884,4891,2457,1607,4106,557,17505
POA3105,218,31,512,2071,2543,1210,849,2528,309,9518
POA3106,402,91,696,2794,3796,1793,1418,3958,577,14347
POA3107,313,38,613,2373,3130,1543,1155,3175,413,11794
POA3108,430,75,993,4238,5311,2554,1712,6800,941,21558
POA3109,527,60,989,4987,6341,3373,2300,7461,874,25340
POA3111,373,55,584,2188,2842,1454,969,2732,387,10563
POA3113,33,9,79,1565,2267,1161,730,1058,214,6992
POA3114,23,0,62,767,922,511,347,519,95,3164
POA3115,10,3,43,690,1010,491,336,594,94,3213
POA3116,77,4,165,2080,2815,1182,880,2159,366,9474
POA3121,196,44,411,8086,9574,2383,1139,5761,1567,28515
POA3122,186,24,409,5135,6558,2181,1056,3742,897,19579
POA3123,153,27,319,3160,4252,1530,805,2415,467,12628
POA3124,574,94,1008,4346,5741,2535,1455,3754,664,18498
POA3125,279,37,545,2789,3363,1384,869,3933,787,13128
POA3126,184,24,323,1520,2036,949,579,1238,222,6539
POA3127,207,53,494,3647,5177,2321,1158,2812,520,15630
POA3128,339,121,673,3914,4896,1994,1196,6613,1408,20017
POA3129,196,27,435,3255,4274,1869,1127,3829,522,14882
POA3130,560,122,1241,6030,8130,3728,2193,6283,977,27336
POA3131,454,114,895,3863,5324,2433,1512,5125,1000,19262
POA3132,130,26,326,3052,4487,1810,1074,2978,421,13818
POA3133,315,185,758,3896,5195,2657,1668,4709,796,18925
POA3134,425,134,863,6393,8400,3715,2200,6646,1159,28513
POA3135,175,61,476,3675,5239,2290,1398,3438,662,16708
POA3136,549,193,1221,8010,11459,5020,3120,8669,1532,37816
POA3137,201,17,346,2636,3499,1450,929,3019,389,11925
POA3138,166,36,346,4020,5448,2361,1578,4391,692,18489
POA3139,60,20,158,2261,3406,1618,1232,2454,511,11485
POA3140,193,33,425,3193,4255,1845,1296,3217,564,14376
POA3141,140,30,360,6356,7487,1804,920,5038,1669,23266
POA3142,194,74,514,2927,3312,1230,760,2436,762,11428
POA3143,70,31,218,2116,2715,885,466,1623,381,8187
POA3144,197,30,419,2277,2851,1159,691,1799,362,9147
POA3145,349,90,680,4645,6047,2409,1409,4551,820,19880
POA3146,267,30,548,5340,7101,2945,1622,3927,679,21616
POA3147,287,52,489,2699,3736,1666,882,2843,502,12322
POA3148,87,8,181,1564,2187,847,544,2449,460,8044
POA3149,505,83,1186,6047,7978,3953,2516,7646,1194,29344
POA3150,1260,378,2567,10416,13250,6958,4683,15420,2477,53198
POA3151,156,14,372,1820,2371,1108,769,2764,383,9214
POA3152,620,179,1139,6070,7878,3588,2552,7828,1110,29027
POA3153,278,180,612,3615,4832,2034,1369,4745,983,17577
POA3154,70,9,115,747,1092,506,345,797,153,3634
POA3155,267,42,517,4044,5632,2399,1554,5035,967,19623
POA3156,349,82,670,6900,9235,4113,2683,7624,1225,31780
POA3158,22,3,56,1183,1890,890,502,863,170,5497
POA3159,5,0,20,425,714,332,234,277,111,2090
POA3160,27,5,73,1607,2558,1187,663,1090,251,7355
POA3161,316,77,580,3405,4364,1518,831,3368,756,14245
POA3162,370,65,649,3664,4525,1754,946,3411,658,14950
POA3163,347,119,718,6214,8807,3197,1676,6922,1264,28081
POA3165,404,47,830,5314,7155,3055,1862,5782,841,24008
POA3166,390,35,699,4628,6010,2395,1410,5574,910,20938
POA3167,133,10,271,1633,2179,999,664,2402,338,8214
POA3168,243,131,525,3905,4158,1359,972,7735,1832,19946
POA3169,377,35,575,3113,3903,1746,1334,6779,963,17832
POA3170,257,82,519,3196,4202,1899,1460,4814,790,16370
POA3171,364,47,614,3033,3156,1481,1167,8794,1329,18954
POA3172,314,50,552,3616,4344,1925,1344,7207,879,19326
POA3173,280,29,456,4510,5164,2415,1771,9299,958,24118
POA3174,546,72,868,5308,6118,2626,2193,14609,2318,33176
POA3175,695,120,1233,6862,7926,3440,3181,18462,3996,43865
POA3177,104,26,200,1535,1647,727,666,4043,937,9564
POA3178,290,36,554,6191,7746,3414,2279,7491,830,27949
POA3179,29,6,64,1053,1359,602,435,1362,198,5006
POA3180,56,4,129,1406,1765,729,593,1652,233,6368
POA3181,200,210,555,5113,5925,1428,663,3700,1282,18112
POA3182,89,24,184,5259,6765,1624,761,4561,1801,20762
POA3183,95,23,225,4063,4990,1413,719,3034,995,15208
POA3184,60,22,147,3509,4646,1349,614,2204,858,13172
POA3185,146,22,288,2850,3782,1202,662,2196,450,11144
POA3186,439,141,958,4544,6019,2667,1533,3976,889,19635
POA3187,420,117,854,3096,4043,1851,1046,2941,604,13592
POA3188,164,28,394,3613,4817,2121,1150,2974,656,15323
POA3189,64,17,161,1127,1491,618,380,1231,280,5121
POA3190,161,32,291,2270,3137,1216,672,2107,391,9797
POA3191,297,59,488,2077,2899,1279,643,1857,428,9192
POA3192,494,98,954,4309,6087,2510,1313,4679,885,19783
POA3193,223,45,631,4004,5344,2652,1370,2826,555,16744
POA3194,184,29,403,2613,3623,1373,766,2396,379,11144
POA3195,434,56,863,7005,9452,4112,2230,6634,955,30392
POA3196,421,50,718,4804,6792,2627,1678,5058,1073,22036
POA3197,131,21,252,2202,2961,1203,759,2532,379,10036
POA3198,183,54,385,2912,4166,1681,1071,3392,963,14187
POA3199,668,346,1559,9182,13266,5690,3749,11155,3318,46362
POA3200,134,12,194,804,1001,439,367,1525,558,4692
POA3201,251,78,423,3653,4682,1778,1239,5467,948,17764
POA3202,18,14,43,485,667,250,143,555,147,2250
POA3204,355,47,665,6222,8343,3468,1888,6132,1011,27069
POA3205,133,62,278,2512,3221,1008,482,2318,671,10211
POA3206,80,23,231,2018,2891,1092,596,1432,331,8353
POA3207,96,24,240,3643,4924,1580,887,3083,1091,15199
POA3211,7,0,16,216,259,142,113,240,123,1095
POA3212,172,21,291,2972,4023,1819,1400,3628,1706,15553
POA3213,22,7,45,729,1022,502,393,991,202,3836
POA3214,245,64,453,3413,4157,1829,1655,7180,1970,20197
POA3215,466,77,839,3565,4998,2188,1549,5193,994,18481
POA3216,977,220,1953,10506,14543,6597,4340,11538,2273,49798
POA3217,126,13,168,3352,4921,1893,1291,3371,654,15490
POA3218,101,24,239,2619,3900,1606,944,2563,540,12188
POA3219,287,61,561,3338,4730,2009,1367,4732,1182,17357
POA3220,156,31,362,3215,4449,1961,1178,2972,718,14502
POA3221,4,0,12,152,192,107,67,95,31,644
POA3222,246,109,522,2952,4520,2223,1581,3357,726,15363
POA3223,98,90,314,1392,2357,1337,939,1786,721,8532
POA3224,174,136,439,2440,3393,1728,1193,3044,689,12481
POA3225,142,18,298,838,1546,873,464,750,323,4787
POA3226,213,48,424,2868,4676,2309,1372,2271,672,14168
POA3227,38,17,112,905,1473,767,414,546,308,4409
POA3228,177,80,420,3985,6216,2836,1744,3105,989,18874
POA3230,60,9,102,496,941,447,288,395,179,2751
POA3231,13,5,33,233,521,263,119,150,112,1402
POA3232,29,16,56,209,328,167,105,278,120,1195
POA3233,18,11,69,372,603,336,230,321,216,2068
POA3234,0,0,0,43,72,24,18,26,15,202
POA3235,6,0,6,67,120,60,58,56,64,425
POA3236,0,0,4,36,70,37,23,27,33,222
POA3237,0,0,0,32,65,34,34,32,52,250
POA3238,0,0,4,29,73,38,36,19,20,210
POA3239,0,0,0,70,113,50,50,85,55,420
POA3240,12,7,20,348,518,287,215,253,79,1703
POA3241,20,30,77,470,739,365,287,440,250,2555
POA3242,0,0,5,155,244,115,88,110,45,758
POA3243,3,0,6,62,101,66,44,34,38,338
POA3249,18,6,44,536,722,429,378,501,178,2743
POA3250,274,57,502,1961,2572,1276,1017,3131,624,10580
POA3251,4,0,11,75,120,58,59,98,28,453
POA3254,0,0,0,52,69,47,29,41,32,269
POA3260,81,16,148,718,1094,582,426,888,324,4029
POA3264,48,20,105,365,435,250,215,511,132,1905
POA3265,13,8,40,453,529,335,250,467,213,2252
POA3266,52,13,111,491,597,338,301,593,186,2518
POA3267,5,0,4,34,46,24,12,45,12,181
POA3268,31,13,66,455,535,290,255,429,158,2128
POA3269,4,5,14,115,146,75,68,107,42,549
POA3270,8,0,6,59,76,41,29,47,15,264
POA3271,0,0,3,31,29,13,15,36,25,159
POA3272,32,12,64,260,310,202,152,290,123,1341
POA3273,0,0,0,25,23,5,21,29,7,117
POA3274,4,0,3,34,47,26,42,31,20,203
POA3275,0,3,3,86,102,55,32,82,23,380
POA3276,0,0,4,74,101,46,46,68,27,363
POA3277,5,0,26,280,437,210,158,272,102,1461
POA3278,0,0,7,51,82,36,31,53,20,276
POA3279,0,0,0,64,60,28,23,40,19,234
POA3280,474,180,1049,5458,7795,3478,2287,6731,1802,27543
POA3281,11,0,14,314,408,234,186,244,55,1434
POA3282,12,8,43,374,570,336,241,334,131,1995
POA3283,3,0,6,207,327,195,159,184,86,1159
POA3284,74,26,166,567,907,568,350,550,247,3184
POA3285,4,0,9,189,304,186,128,144,81,1032
POA3286,3,6,13,102,121,71,47,75,24,445
POA3287,0,0,4,81,94,52,40,60,22,340
POA3289,22,0,30,121,174,74,109,156,36,664
POA3292,4,0,4,26,50,27,24,28,25,176
POA3293,3,0,3,41,95,33,33,53,24,274
POA3294,7,3,17,142,240,127,89,126,54,791
POA3300,218,48,426,1604,2397,1154,885,2141,527,8705
POA3301,0,0,6,209,298,167,138,156,65,1033
POA3302,0,0,4,70,79,46,40,46,17,306
POA3303,3,5,7,52,72,33,34,28,17,237
POA3304,34,19,79,373,548,308,272,574,253,2318
POA3305,217,36,374,1959,2978,1575,1154,2830,762,11258
POA3309,0,0,0,24,21,19,15,19,11,97
POA3310,0,0,3,39,52,39,38,47,15,246
POA3311,60,15,110,229,346,187,168,460,129,1521
POA3312,0,3,8,161,212,118,117,147,82,834
POA3314,3,0,10,94,129,74,72,62,30,463
POA3315,52,7,80,274,338,206,162,334,127,1438
POA3317,0,0,7,23,52,18,17,21,26,159
POA3318,33,8,65,178,270,144,106,252,112,1054
POA3319,0,0,3,60,99,42,36,56,60,351
POA3321,4,0,7,270,415,228,164,203,59,1351
POA3322,0,0,5,32,31,19,28,33,5,150
POA3323,0,0,6,19,19,7,11,22,5,76
POA3324,6,7,19,102,101,64,64,114,43,483
POA3325,8,3,11,63,83,68,47,86,35,383
POA3328,9,6,19,332,490,298,243,287,111,1755
POA3329,0,0,0,45,68,36,34,41,11,238
POA3330,4,0,3,39,46,25,15,31,16,171
POA3331,85,9,127,1074,1562,769,636,1180,242,5461
POA3332,9,0,7,189,266,137,97,159,63,909
POA3333,5,0,14,134,213,127,71,118,54,711
POA3334,5,0,4,99,121,51,56,80,63,472
POA3335,4,0,8,740,1065,457,431,1654,363,4706
POA3336,9,3,19,2149,2879,1326,1204,4275,636,12472
POA3337,192,26,317,5413,6971,3192,3039,10259,2367,31239
POA3338,182,31,293,4357,6001,2749,2553,9162,2051,26864
POA3340,275,41,448,4028,5592,2470,1931,5180,1083,20286
POA3341,6,0,12,285,382,200,150,230,81,1328
POA3342,43,15,93,593,871,453,333,774,174,3208
POA3345,11,0,11,203,339,178,136,184,63,1108
POA3350,833,254,1662,11067,16103,6977,4587,12192,2946,53869
POA3351,34,5,75,1380,2031,1019,854,1554,455,7297
POA3352,63,21,165,2930,4279,2121,1662,2843,1113,14954
POA3355,221,116,530,1983,2743,1269,995,3087,915,10995
POA3356,252,78,517,2398,3179,1403,1119,3806,981,12892
POA3357,21,6,58,584,933,557,322,447,125,2970
POA3358,8,0,13,537,737,311,257,607,95,2543
POA3360,6,5,12,114,174,89,88,161,50,668
POA3361,23,6,29,108,127,69,81,140,64,589
POA3363,59,37,145,505,781,406,349,657,302,3005
POA3364,8,9,35,353,532,274,235,317,172,1877
POA3370,30,6,54,257,449,236,221,367,107,1641
POA3371,12,5,27,156,198,155,117,203,149,977
POA3373,37,16,77,363,529,299,232,486,187,2091
POA3374,0,0,3,57,116,51,36,71,39,372
POA3375,3,0,3,35,45,27,26,40,4,189
POA3377,168,34,321,1308,1931,896,747,2051,1247,8187
POA3378,0,0,0,24,32,13,10,15,9,101
POA3379,8,7,23,121,159,72,87,133,67,635
POA3380,74,77,221,886,1281,650,540,1386,522,5264
POA3381,3,3,16,189,324,196,140,175,168,1186
POA3384,3,0,12,86,123,64,85,108,47,517
POA3385,4,0,11,65,107,75,64,101,48,471
POA3387,0,0,3,40,66,33,43,51,21,243
POA3388,9,0,20,71,128,66,68,108,41,479
POA3390,3,0,27,149,186,102,98,173,62,772
POA3391,0,0,5,23,39,14,22,33,14,147
POA3392,22,3,42,78,113,71,60,149,50,521
POA3393,39,44,118,338,557,287,245,528,224,2184
POA3395,9,3,16,45,73,44,49,70,19,304
POA3396,29,0,49,105,132,81,73,172,36,595
POA3400,282,58,570,2355,3309,1512,1127,3309,756,12374
POA3401,13,0,48,782,1035,573,451,624,230,3694
POA3407,4,3,10,72,91,46,45,67,21,347
POA3409,35,0,43,171,228,114,84,190,61,847
POA3412,7,0,6,38,66,24,41,52,10,237
POA3413,4,0,8,42,46,19,21,27,10,167
POA3414,33,17,81,230,373,229,171,372,106,1478
POA3415,0,0,0,4,11,7,5,11,0,37
POA3418,78,16,138,454,564,292,281,649,175,2410
POA3419,17,0,38,139,198,111,94,169,44,749
POA3420,0,0,0,48,53,17,32,39,17,210
POA3423,3,11,24,58,104,55,76,82,42,415
POA3424,9,18,37,112,160,78,91,128,59,633
POA3427,11,5,20,878,1254,504,403,1150,294,4486
POA3428,0,0,10,108,137,79,73,136,37,567
POA3429,355,50,664,6703,9078,4024,2969,7446,1446,31668
POA3430,0,0,0,51,58,29,26,61,33,249
POA3431,14,0,33,746,1051,589,392,603,160,3540
POA3432,0,0,0,37,43,27,12,22,15,159
POA3433,0,0,0,35,35,41,21,27,19,170
POA3434,20,8,58,1020,1411,710,565,929,266,4902
POA3435,9,3,28,508,725,405,331,469,179,2614
POA3437,53,65,184,1934,2801,1428,999,1457,447,9062
POA3438,49,0,67,413,581,347,197,367,72,1985
POA3440,7,0,19,301,486,317,199,232,82,1617
POA3441,3,3,11,235,368,215,164,125,79,1172
POA3442,92,15,167,1280,2220,1159,773,1093,395,6926
POA3444,174,39,316,1507,2435,1321,933,1619,591,8406
POA3446,9,0,15,172,288,159,105,125,63,910
POA3447,0,0,3,77,153,80,54,60,45,469
POA3448,3,3,17,149,265,135,113,102,59,822
POA3450,87,188,411,1044,1883,1031,667,861,1154,6628
POA3451,36,7,95,829,1506,826,574,777,306,4813
POA3453,15,4,26,264,463,285,194,237,116,1554
POA3458,10,23,56,322,624,348,225,291,193,2013
POA3460,57,23,124,430,755,379,220,473,231,2485
