POA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
POA2525,130,515,422,3035,60,4162,0,19,4,213,0,236,381,9,17,34,3,444,122,22,12,54,7,217,90,35,22,93,0,240,683,419,320,2618,32,4072,83,5,19,7,0,114,29,3,9,26,0,67,122,31,34,250,0,437,175,35,32,123,0,365,47,3,3,16,0,69,201,3,0,5,0,209,157,97,54,806,4,1118,362,94,55,310,10,831,11,0,7,0,0,18,78,14,34,26,0,152,375,43,27,163,13,621,46,29,9,44,0,128,41,4,0,9,0,54,43,26,13,11,0,93,71,32,6,43,0,152,17,3,4,12,0,36,15,3,0,0,0,18,168,142,87,824,4,1225,182,12,29,17,4,244,26,13,3,6,0,48,67,13,3,22,3,108,29,0,0,4,0,33,37,0,3,6,0,46,65,18,5,75,0,163,800,145,120,227,8,1300,35,3,0,45,307,390,3936,1020,785,6147,452,12340
POA2526,147,750,517,4541,77,6032,3,25,11,410,7,456,186,6,13,23,0,228,207,30,18,46,5,306,112,50,24,104,0,290,976,578,479,3629,68,5730,113,9,21,11,0,154,30,3,11,26,0,70,172,65,57,358,3,655,139,37,12,102,0,290,33,10,0,10,0,53,243,9,13,9,0,274,179,135,80,1098,18,1510,500,143,76,445,20,1184,28,0,4,0,0,32,94,25,42,30,0,191,502,78,57,152,9,798,81,28,16,118,0,243,38,13,6,13,0,70,46,18,11,11,0,86,76,12,12,37,0,137,16,3,0,12,0,31,10,6,0,9,0,25,279,167,97,1025,0,1568,171,36,3,27,0,237,30,16,8,3,0,57,129,12,7,35,3,186,16,0,4,5,0,25,39,0,3,6,0,48,52,21,16,58,0,147,994,217,158,301,14,1684,101,15,9,57,599,781,4823,1435,1026,8662,790,16736
POA2527,238,1149,869,8728,66,11050,4,56,41,1109,17,1227,127,11,16,45,0,199,75,33,14,69,0,191,203,79,41,211,4,538,1847,1044,898,7112,64,10965,198,5,49,10,0,262,36,10,13,49,0,108,336,120,105,673,12,1246,70,38,18,88,0,214,47,14,7,32,0,100,203,5,4,0,0,212,289,146,116,1848,11,2410,266,143,58,566,5,1038,8,0,9,0,0,17,25,18,0,39,0,82,199,37,16,94,4,350,171,62,37,250,0,520,64,21,14,39,0,138,75,51,39,29,0,194,72,31,15,75,0,193,26,5,0,17,0,48,10,13,4,0,0,27,465,229,200,1675,17,2586,45,17,14,19,0,95,33,10,12,4,0,59,201,46,25,105,6,383,5,0,4,0,0,9,39,3,5,4,0,51,127,27,35,101,0,290,980,274,158,407,22,1841,51,20,15,159,868,1113,5231,2121,1620,16039,1050,26061
POA2528,220,981,760,6828,108,8897,3,69,45,1386,24,1527,80,5,8,25,0,118,167,16,4,58,0,245,135,54,34,99,3,325,1668,836,678,5621,128,8931,160,6,43,21,5,235,38,8,9,53,0,108,346,99,77,444,7,973,142,40,27,120,4,333,67,17,6,16,0,106,75,8,3,7,0,93,279,141,116,1478,29,2043,381,91,42,380,15,909,8,0,0,4,0,12,41,10,9,28,0,88,441,45,22,81,0,589,170,47,25,144,3,389,128,37,24,38,0,227,58,36,34,15,0,143,121,19,18,55,0,213,17,9,5,21,0,52,8,11,6,3,0,28,437,203,133,1238,11,2022,162,12,10,26,0,210,19,5,16,3,0,43,246,26,30,94,4,400,3,0,0,0,0,3,46,6,5,5,0,62,104,31,30,69,0,234,1081,181,198,329,21,1810,76,21,7,108,1385,1597,5778,1785,1401,13092,1674,23730
POA2529,278,1309,811,7933,52,10383,4,77,29,864,15,989,204,14,16,40,0,274,219,50,17,115,6,407,164,65,45,151,0,425,1947,1116,832,6901,64,10860,138,9,62,7,0,216,52,9,9,52,0,122,364,123,85,604,14,1190,198,47,31,188,0,464,65,21,11,39,0,136,157,15,4,8,0,184,374,186,132,1957,10,2659,565,176,73,667,10,1491,30,0,0,0,0,30,33,10,5,23,0,71,1008,150,67,411,6,1642,275,85,51,227,5,643,99,44,21,23,0,187,63,45,31,26,0,165,132,34,30,61,0,257,33,0,6,18,0,57,14,8,11,0,0,33,424,251,176,1625,13,2489,187,25,7,50,4,273,81,20,16,4,0,121,326,53,44,153,8,584,9,6,0,7,0,22,80,3,4,3,0,90,115,35,20,83,0,253,1638,359,223,500,14,2734,103,24,15,169,1085,1396,7889,2529,1662,15800,1250,29130
POA2530,371,1561,1150,10785,149,14016,0,91,40,1462,12,1605,270,12,8,61,0,351,124,30,21,81,0,256,231,127,58,225,4,645,2873,1470,1181,8936,138,14598,348,23,84,39,0,494,56,16,14,78,0,164,378,141,95,736,17,1367,149,41,23,163,0,376,63,11,8,46,0,128,308,11,10,12,0,341,495,210,174,2207,19,3105,564,215,66,747,11,1603,49,0,0,0,0,49,65,25,16,52,3,161,454,83,29,186,3,755,229,65,38,229,4,565,112,33,28,23,0,196,110,47,52,29,5,243,126,41,20,120,6,313,25,0,6,25,0,56,23,8,0,4,0,35,766,331,254,2081,28,3460,164,34,19,40,0,257,38,15,15,7,0,75,196,34,20,88,9,347,29,7,0,5,0,41,83,0,9,8,0,100,181,56,38,114,0,389,1445,344,190,508,19,2506,83,13,9,152,1065,1322,8536,2928,2086,20085,1407,35042
POA2533,77,725,539,5233,30,6604,5,21,5,329,4,364,124,0,7,44,0,175,40,9,5,33,0,87,115,51,23,87,0,276,1375,709,480,5154,43,7761,44,3,13,10,0,70,40,8,7,56,0,111,190,60,41,421,3,715,71,13,17,55,0,156,19,3,4,15,0,41,34,3,3,15,0,55,315,164,116,1990,10,2595,199,77,23,244,0,543,10,4,5,0,0,19,10,5,0,7,0,22,46,7,8,15,0,76,86,21,20,59,0,186,47,16,13,11,0,87,59,35,22,24,0,140,77,11,7,39,0,134,25,4,0,14,0,43,8,8,0,0,0,16,396,173,124,1529,15,2237,20,5,0,16,0,41,51,8,10,4,0,73,53,10,3,25,0,91,9,0,4,6,0,19,25,0,0,0,0,25,71,26,6,68,0,171,532,170,139,244,8,1093,32,0,6,77,734,849,3347,1326,945,10724,836,17178
POA2534,13,241,167,1858,26,2305,0,11,3,127,4,145,18,6,5,15,0,44,12,5,3,13,0,33,31,16,13,21,0,81,431,220,150,1799,25,2625,9,4,3,5,0,21,21,5,8,17,0,51,60,16,6,110,3,195,13,6,3,16,0,38,10,5,0,4,0,19,20,0,3,0,0,23,95,52,46,769,10,972,61,25,13,85,0,184,0,0,0,0,0,0,0,4,0,8,0,12,8,0,0,0,0,8,20,10,5,19,0,54,8,3,5,12,0,28,20,19,12,12,0,63,11,4,0,11,0,26,5,3,6,12,0,26,0,0,0,0,0,0,77,66,57,556,0,756,3,4,0,0,0,7,11,4,0,0,0,15,12,5,0,3,0,20,5,0,0,0,0,5,4,0,0,0,0,4,22,9,3,23,0,57,145,43,32,67,4,291,0,4,4,31,217,256,922,441,293,3844,270,5770
POA2535,29,255,226,2479,62,3051,0,9,9,169,3,190,40,4,7,11,0,62,8,3,0,5,0,16,62,12,10,32,0,116,735,311,229,2512,67,3854,13,7,6,4,0,30,32,6,4,20,0,62,89,18,12,172,0,291,14,7,0,13,0,34,6,0,0,0,0,6,21,6,0,6,0,33,145,77,48,896,6,1172,45,18,13,80,3,159,8,0,0,0,0,8,3,8,0,8,0,19,4,0,0,0,0,4,24,7,3,20,0,54,17,5,0,3,0,25,26,10,0,11,0,47,25,0,5,3,0,33,7,0,0,0,0,7,0,0,0,0,0,0,198,83,63,741,16,1101,8,3,0,6,0,17,17,6,3,3,0,29,14,0,0,3,0,17,3,0,3,5,0,11,0,0,0,0,0,0,40,8,4,16,0,68,210,51,40,99,9,409,3,0,5,47,363,418,1444,523,418,5102,501,7988
POA2536,112,634,444,5858,91,7139,4,44,15,1192,26,1281,99,12,9,48,0,168,118,17,0,18,4,157,174,39,23,86,0,322,1409,627,420,5628,125,8209,88,8,17,10,0,123,63,9,11,49,4,136,254,62,27,467,9,819,91,16,8,49,0,164,35,9,0,5,0,49,66,8,0,5,0,79,279,143,74,1877,34,2407,181,71,20,210,5,487,7,0,0,0,0,7,11,8,0,8,0,27,10,0,0,0,0,10,56,18,11,43,0,128,34,4,19,16,0,73,48,34,20,11,0,113,91,17,12,39,0,159,37,7,4,15,0,63,15,0,3,0,0,18,355,147,119,1507,23,2151,23,3,0,3,0,29,34,0,7,4,0,45,43,7,3,14,0,67,8,6,0,0,0,14,20,0,0,3,0,23,50,20,4,44,3,121,604,128,86,211,12,1041,37,13,10,129,1277,1466,3580,1202,803,12205,1536,19326
POA2537,55,432,335,4329,78,5229,0,18,0,516,21,555,17,3,3,23,0,46,32,3,6,18,0,59,142,32,21,77,0,272,874,440,353,3920,77,5664,28,0,16,3,0,47,22,3,4,25,0,54,192,50,45,308,13,608,25,6,0,20,0,51,31,9,0,12,0,52,31,0,3,0,0,34,198,101,86,1464,34,1883,68,31,11,142,4,256,0,0,0,0,0,0,4,10,0,15,0,29,9,0,0,3,0,12,17,16,0,19,0,52,12,4,8,7,0,31,40,19,15,25,0,99,42,4,5,21,0,72,16,7,5,10,0,38,0,0,0,0,0,0,212,114,102,1074,9,1511,15,0,5,0,0,20,11,14,0,0,0,25,18,0,0,7,0,25,3,0,0,0,0,3,23,4,0,0,0,27,46,14,3,49,0,112,268,60,36,163,6,533,10,4,0,84,867,965,1956,806,622,8532,1063,12979
POA2538,11,89,84,788,4,976,0,3,0,60,0,63,6,0,0,13,0,19,3,0,0,0,0,3,13,11,6,16,0,46,196,82,62,749,7,1096,0,0,0,0,0,0,5,0,0,5,0,10,27,12,10,60,6,115,6,4,0,17,0,27,3,0,0,0,0,3,0,0,0,0,0,0,38,25,19,264,0,346,21,15,4,42,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,12,4,3,0,3,0,10,9,0,4,3,0,16,9,0,0,0,0,9,5,0,0,0,0,5,3,0,0,0,0,3,53,21,26,241,3,344,0,0,0,0,0,0,6,4,4,5,0,19,3,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,16,0,29,51,9,14,38,0,112,7,4,3,36,217,267,393,171,142,1642,232,2580
POA2539,111,745,554,6624,91,8125,4,22,22,701,7,756,66,14,18,68,0,166,56,9,5,29,0,99,153,37,35,75,8,308,1321,660,501,6499,99,9080,93,0,25,14,0,132,39,10,4,54,0,107,228,58,44,469,7,806,50,17,9,48,0,124,42,9,0,13,0,64,55,4,12,10,0,81,281,131,131,2080,27,2650,220,83,24,372,0,699,19,3,5,0,0,27,17,0,0,22,0,39,11,0,0,4,0,15,79,23,8,46,4,160,38,14,8,9,0,69,57,35,26,26,0,144,71,24,10,36,0,141,23,4,4,16,0,47,4,0,5,0,0,9,385,218,144,1728,15,2490,24,3,0,4,0,31,29,13,5,3,0,50,35,7,0,14,0,56,0,4,3,0,0,7,25,5,9,0,0,39,70,29,12,71,0,182,509,154,157,246,3,1069,35,5,6,137,971,1154,3250,1354,1029,13482,1187,20302
POA2540,257,1841,1294,15904,168,19464,7,106,70,2713,46,2942,224,15,26,97,5,367,189,18,18,66,0,291,345,91,51,199,6,692,3378,1711,1243,14045,210,20587,209,10,54,22,5,300,97,21,15,123,0,256,506,145,80,1174,22,1927,253,42,16,128,3,442,101,26,10,41,0,178,106,13,3,18,3,143,598,340,217,4174,42,5371,402,174,66,583,10,1235,32,4,0,0,0,36,36,13,8,39,0,96,43,4,4,10,0,61,239,72,36,193,3,543,86,31,28,41,0,186,120,68,46,56,0,290,209,44,12,82,3,350,69,17,8,36,0,130,11,16,0,0,0,27,777,461,289,3537,42,5106,43,9,0,12,0,64,57,20,25,17,0,119,88,16,10,39,0,153,11,0,4,0,0,15,48,0,10,0,0,58,150,51,28,141,3,373,1350,360,256,680,33,2679,71,19,20,255,3209,3574,8148,3304,2249,30875,3691,48267
POA2541,169,1011,884,9335,128,11527,9,99,52,2394,46,2600,189,8,18,50,6,271,44,15,3,23,0,85,161,60,31,106,3,361,1619,1013,753,7886,154,11425,265,8,69,16,9,367,45,8,8,59,0,120,214,76,47,678,7,1022,59,16,10,81,0,166,47,10,3,18,0,78,342,16,9,8,0,375,287,156,115,2349,34,2941,158,55,25,267,3,508,34,0,0,0,0,34,18,11,7,13,5,54,27,3,4,7,0,41,47,23,6,77,3,156,49,20,18,15,4,106,70,51,35,35,4,195,70,24,12,58,0,164,38,0,4,12,0,54,18,6,0,3,0,27,381,215,166,1747,33,2542,23,3,0,14,0,40,54,3,12,0,0,69,53,9,9,35,0,106,18,5,0,0,0,23,32,6,3,0,0,41,66,23,12,78,0,179,1132,194,166,360,10,1862,61,10,6,162,1865,2104,4724,1823,1417,17849,2226,28039
POA2545,5,30,27,326,12,400,0,0,0,86,0,86,0,0,0,0,0,0,4,0,0,0,0,4,11,0,3,6,0,20,80,31,27,312,3,453,6,0,0,0,0,6,0,0,0,3,0,3,13,0,3,37,0,53,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,15,11,8,91,4,129,5,3,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,31,8,7,103,0,149,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5,6,22,0,57,5,0,0,4,97,106,164,65,51,724,121,1125
POA2546,53,332,235,3038,53,3711,0,16,3,455,7,481,20,0,0,14,0,34,27,6,5,9,0,47,77,17,15,36,3,148,798,349,244,2955,68,4414,30,0,8,0,4,42,30,0,0,35,0,65,138,27,14,265,3,447,21,3,0,9,0,33,19,0,0,5,0,24,38,0,0,3,0,41,142,77,54,1076,15,1364,71,21,18,83,3,196,4,0,0,3,0,7,3,0,9,6,0,18,6,5,0,0,0,11,34,3,3,16,0,56,11,9,6,11,0,37,24,4,11,14,0,53,47,11,5,18,0,81,24,7,4,11,0,46,8,0,0,4,0,12,186,98,73,897,6,1260,3,0,0,0,0,3,13,8,0,3,0,24,16,0,0,12,0,28,4,3,3,0,0,10,16,0,4,0,0,20,26,9,0,38,0,73,293,65,44,108,8,518,7,8,3,48,682,748,1762,619,447,6408,832,10068
POA2548,47,290,214,2532,24,3107,0,9,0,167,6,182,47,4,6,13,0,70,12,0,0,8,0,20,108,28,16,44,0,196,709,330,217,2658,47,3961,42,5,10,0,0,57,22,6,3,21,0,52,115,18,19,238,0,390,18,4,3,19,0,44,26,6,0,8,0,40,35,0,0,3,0,38,114,67,48,846,7,1082,78,22,9,100,0,209,6,0,0,0,0,6,4,0,3,0,0,7,0,0,0,0,0,0,15,3,0,8,0,26,9,5,4,8,0,26,25,9,7,10,0,51,31,3,3,15,0,52,12,4,0,11,0,27,0,0,0,0,0,0,167,68,47,688,3,973,0,0,0,0,0,0,28,3,0,0,0,31,14,0,4,4,0,22,5,0,0,0,0,5,9,0,0,0,0,9,26,7,0,35,0,68,285,72,63,120,7,547,16,0,4,44,374,438,1633,577,384,5371,455,8420
POA2549,37,128,151,1525,3,1844,0,0,3,79,0,82,9,0,0,7,0,16,8,0,0,0,0,8,39,23,9,22,4,97,267,133,119,1298,24,1841,6,0,9,0,0,15,11,4,0,10,0,25,44,17,11,156,4,232,4,4,0,0,0,8,4,0,0,0,0,4,3,0,0,4,0,7,50,42,15,380,4,491,27,13,0,41,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,8,0,26,0,0,0,3,0,3,7,4,4,3,0,18,15,0,0,3,0,18,6,0,0,0,0,6,0,0,0,0,0,0,55,25,30,385,9,504,0,0,0,4,0,4,4,0,0,3,0,7,7,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,11,0,23,81,24,38,48,0,191,9,3,0,26,190,228,569,249,222,2837,221,4098
POA2550,72,587,428,6075,104,7266,4,18,14,654,13,703,38,9,16,45,0,108,12,7,3,11,0,33,150,54,39,86,8,337,936,589,399,5104,102,7130,56,0,21,4,0,81,21,8,0,37,0,66,239,56,64,555,7,921,15,3,7,19,0,44,29,8,0,9,0,46,52,0,5,0,0,57,182,142,85,1869,26,2304,64,32,14,158,3,271,4,0,0,0,0,4,6,6,0,11,0,23,0,0,0,0,0,0,25,7,9,34,0,75,35,16,4,12,0,67,41,28,13,11,0,93,36,12,0,31,4,83,8,4,0,9,0,21,0,0,0,0,0,0,244,131,110,1352,18,1855,5,0,4,0,0,9,10,0,6,4,0,20,23,3,7,14,0,47,0,4,0,3,0,7,14,0,0,3,0,17,41,16,6,46,0,109,411,96,88,205,11,811,21,9,4,152,1085,1271,2150,1069,778,11628,1313,16938
POA2551,10,122,49,1175,28,1384,0,10,5,253,8,276,19,0,0,3,0,22,12,5,0,6,0,23,30,8,4,7,0,49,208,98,83,1169,29,1587,15,0,0,0,0,15,13,8,0,3,0,24,47,11,6,110,0,174,12,0,0,5,0,17,4,0,0,0,0,4,13,0,0,4,0,17,27,20,16,336,3,402,11,9,6,35,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,7,3,4,0,17,7,0,0,0,0,7,10,5,0,9,0,24,0,0,0,0,0,0,0,0,0,0,0,0,49,20,18,278,4,369,10,3,0,0,0,13,4,0,0,0,0,4,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,3,0,16,97,18,8,51,4,178,6,4,0,34,293,337,520,198,127,2512,355,3712
POA2555,8,8,4,20,0,40,0,0,0,0,0,0,44,0,0,0,0,44,3,0,0,0,0,3,0,0,0,0,0,0,4,0,4,13,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,7,15,5,0,5,0,25,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,13,0,0,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,11,0,0,0,0,21,21,90,12,3,44,21,170
POA2556,39,80,45,420,10,594,0,3,3,53,0,59,59,7,0,0,0,66,49,14,5,22,0,90,9,3,3,9,0,24,70,63,36,323,5,497,11,4,0,0,0,15,6,0,0,6,0,12,27,6,0,23,0,56,24,11,0,19,0,54,4,0,0,3,0,7,16,0,0,0,0,16,36,19,8,82,0,145,184,41,13,155,4,397,0,0,0,0,0,0,68,13,15,17,0,113,8,0,4,4,0,16,131,13,13,109,0,266,8,9,0,6,0,23,9,4,4,0,0,17,9,0,0,3,0,12,8,0,0,9,0,17,0,0,0,0,0,0,23,14,4,61,0,102,19,0,0,5,0,24,0,3,0,3,0,6,11,0,5,0,0,16,0,0,0,0,0,0,11,0,3,0,0,14,3,0,0,6,0,9,198,42,25,37,6,308,14,6,4,13,202,239,928,226,118,942,218,2432
POA2557,477,627,395,3461,22,4982,6,27,25,352,7,417,685,16,21,43,0,765,186,38,19,109,0,352,23,29,7,51,0,110,676,412,256,2384,19,3747,625,32,54,28,0,739,47,12,0,22,0,81,127,24,24,197,4,376,143,72,32,161,0,408,27,12,3,13,0,55,1101,27,23,4,0,1155,161,95,57,676,0,989,721,294,124,908,8,2055,14,0,6,0,0,20,457,88,45,187,0,777,99,26,10,28,0,163,282,99,49,335,0,765,87,39,14,13,0,153,58,29,22,10,0,119,75,11,8,53,0,147,22,7,9,29,0,67,303,58,18,18,0,397,161,95,58,559,0,873,252,37,24,43,0,356,53,11,11,5,0,80,180,7,8,33,0,228,33,4,0,3,0,40,159,7,34,17,0,217,18,13,5,25,0,61,4073,371,229,354,18,5045,171,9,20,71,671,942,9953,1603,977,6826,741,20100
POA2558,284,423,257,2427,18,3409,3,29,11,380,8,431,199,5,18,16,3,241,74,13,7,31,0,125,35,13,5,24,0,77,516,271,194,1889,14,2884,333,12,17,4,0,366,39,6,0,12,0,57,91,23,21,145,0,280,69,14,6,40,3,132,22,0,0,4,0,26,363,16,8,0,0,387,110,61,33,531,3,738,143,54,28,154,0,379,5,0,0,0,0,5,262,69,23,42,0,396,30,0,0,9,0,39,68,22,10,67,0,167,94,15,12,10,0,131,56,6,12,13,0,87,64,4,0,27,3,98,21,3,0,9,0,33,281,28,8,20,3,340,137,49,58,455,3,702,57,13,3,9,0,82,78,16,12,3,0,109,98,6,8,3,0,115,9,4,0,0,0,13,87,0,10,4,0,101,14,7,9,19,0,49,1960,215,94,154,15,2438,89,14,5,50,440,598,4738,850,522,4494,501,11105
POA2559,97,63,50,442,11,663,0,9,11,141,3,164,47,0,0,3,0,50,0,0,0,0,0,0,8,0,0,4,0,12,124,50,29,338,14,555,53,0,6,0,0,59,0,0,0,3,0,3,15,10,0,29,3,57,16,0,3,8,0,27,6,5,0,0,0,11,97,3,0,0,0,100,21,13,13,81,0,128,12,7,3,24,0,46,0,0,0,0,0,0,46,10,3,15,0,74,0,0,0,0,0,0,8,0,0,0,0,8,23,3,4,0,0,30,13,12,0,5,0,30,6,0,0,8,0,14,3,3,0,0,0,6,215,14,12,8,0,249,16,17,5,43,0,81,0,0,0,0,0,0,14,0,0,0,0,14,11,0,4,0,3,18,0,0,0,0,0,0,26,7,0,0,0,33,3,0,0,0,0,3,765,66,42,43,17,933,34,0,0,16,378,428,1427,185,118,842,425,2997
POA2560,1485,2977,2074,18024,238,24798,24,311,128,3554,54,4071,1866,49,109,115,14,2153,375,60,36,148,5,624,287,105,57,266,5,720,4367,2323,1580,14363,270,22903,2483,117,238,68,16,2922,203,28,23,110,0,364,751,199,161,1189,35,2335,412,136,57,327,9,941,178,20,24,84,0,306,2703,66,46,43,3,2861,926,456,270,4275,37,5964,765,326,153,1045,15,2304,111,8,11,4,0,134,988,324,121,316,10,1759,193,25,17,44,0,279,330,135,69,370,7,911,706,108,99,66,14,993,371,121,83,118,10,703,434,66,49,172,0,721,263,25,30,58,3,379,1838,205,125,72,30,2270,1078,474,317,3201,33,5103,261,39,22,52,0,374,401,73,67,37,0,578,590,54,27,56,7,734,210,10,14,4,0,238,701,28,33,38,8,808,149,44,21,134,0,348,13506,1205,848,1195,110,16864,736,69,47,299,4583,5734,33268,5936,4049,33981,5311,82545
