POA_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA3123,0,4,5,23,4,5,0,0,0,37,0,0,3,3,5,0,0,0,0,9,0,0,5,34,11,0,5,6,0,63,0,0,0,9,6,4,7,0,3,23,0,0,0,3,0,0,0,0,0,3,0,0,3,18,11,14,13,8,5,65,0,14,7,44,10,10,9,0,0,94,0,0,11,29,18,15,7,0,0,75,0,5,16,65,15,5,8,0,0,120,0,3,4,32,6,0,4,0,0,55,0,3,4,39,9,11,0,0,0,65,0,0,0,7,0,7,0,0,0,15,5,33,17,37,22,13,9,9,0,136,0,4,14,58,25,20,4,0,4,126,0,0,0,3,3,0,0,0,0,4,0,0,5,8,0,6,0,0,0,16,5,25,36,186,57,40,26,23,14,413,14,44,54,161,54,39,40,47,21,477,619,1586,1942,5035,1886,1517,1183,745,319,14834
POA3124,0,0,3,17,0,0,0,0,0,26,0,0,0,0,3,0,3,0,0,9,0,0,3,25,6,13,3,0,0,61,0,0,0,5,3,3,10,9,11,39,0,0,0,0,0,0,0,0,0,0,0,0,4,9,10,25,27,24,9,96,3,11,21,37,22,21,17,9,0,134,0,8,17,44,34,26,24,13,3,169,0,0,7,68,28,39,27,16,10,198,0,5,6,43,15,5,13,4,0,95,0,7,7,35,11,0,0,0,0,68,0,0,0,10,3,0,0,3,0,20,7,28,25,34,23,12,12,0,3,150,0,0,22,63,51,29,35,6,3,219,0,0,3,3,3,3,0,0,0,19,0,0,0,3,7,3,0,3,0,14,0,31,27,163,85,61,63,50,39,521,24,67,66,151,82,61,60,55,66,623,892,2578,3096,4839,3045,2757,2264,1492,1008,21965
POA3125,0,0,22,24,6,0,0,0,0,56,0,0,0,0,0,3,0,0,0,3,0,6,16,104,9,15,4,0,0,144,0,0,0,3,7,7,16,11,6,40,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,14,4,5,9,49,0,8,13,26,18,13,8,4,0,79,0,5,11,31,18,6,6,0,0,72,3,9,123,191,53,33,41,16,6,481,0,3,3,28,14,6,3,3,0,58,0,0,7,26,10,0,3,0,0,51,0,0,0,11,4,0,0,0,0,16,4,15,7,14,5,5,3,0,0,53,0,8,39,49,52,42,43,24,4,263,0,0,0,0,0,0,0,0,0,3,0,0,6,9,0,4,0,0,0,22,0,12,62,137,64,37,35,32,27,405,17,46,191,277,52,56,42,26,30,732,602,1421,3012,4566,1713,1398,1060,838,545,15147
POA3126,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,5,6,0,6,0,0,11,0,0,0,5,0,3,5,3,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,10,4,44,0,11,3,8,0,6,4,0,0,35,0,4,4,7,13,10,6,5,3,55,0,0,3,21,16,11,5,7,5,70,0,0,0,23,5,4,7,0,0,41,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,9,12,18,20,5,11,8,6,0,76,0,5,4,26,28,14,9,0,0,87,0,0,0,0,3,3,0,0,0,11,0,0,0,6,0,0,0,0,0,5,0,8,14,42,38,25,15,17,12,165,8,18,22,47,25,13,32,25,22,207,253,982,1152,1395,1095,1083,923,570,323,7773
POA3127,0,0,3,12,0,0,0,0,0,20,0,0,0,0,12,0,0,0,0,11,0,11,8,62,15,0,11,0,0,106,0,0,0,7,9,6,7,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,3,12,12,12,19,11,3,71,0,15,16,31,16,16,12,4,4,120,0,13,12,23,30,15,11,8,0,112,0,3,11,60,23,24,11,10,7,142,0,0,3,33,10,0,5,0,0,62,0,3,7,15,6,8,0,0,0,37,0,0,0,7,4,6,4,0,0,25,4,19,18,28,10,8,11,0,0,99,0,8,13,43,35,19,14,0,0,131,0,0,0,6,5,4,5,0,4,17,0,0,0,10,0,8,4,0,0,22,0,22,33,106,56,45,42,35,14,339,19,41,51,118,62,64,68,38,15,476,727,2250,2648,4157,2814,2452,2076,994,494,18608
POA3128,0,3,14,38,8,0,0,0,0,72,0,0,0,4,3,3,0,0,0,11,0,3,25,126,27,15,15,0,3,209,0,0,0,3,0,10,6,3,6,40,0,0,0,0,0,0,0,0,0,3,0,0,3,3,10,7,11,10,3,57,0,16,17,51,34,9,16,9,0,157,0,6,10,26,13,13,8,8,7,84,0,3,44,131,26,6,12,9,9,249,0,6,14,145,18,11,18,0,0,223,0,0,10,51,17,4,0,0,0,92,0,3,0,4,0,0,0,0,0,11,0,5,17,14,13,10,5,6,0,75,0,18,79,145,72,55,69,10,6,455,0,0,3,0,5,0,0,3,0,12,0,4,0,11,0,0,3,0,0,15,11,27,63,183,50,57,53,27,19,492,24,70,232,465,116,78,94,75,113,1263,839,1986,3758,7943,2762,2197,1665,1019,673,22841
POA3129,0,0,7,38,5,0,0,0,0,54,0,0,0,0,7,5,0,0,0,6,0,4,18,87,28,10,4,0,0,160,0,0,0,3,0,3,4,4,0,25,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,11,9,10,3,38,0,8,16,42,21,19,10,13,0,127,0,0,9,20,23,15,5,4,0,77,0,3,26,74,24,10,24,0,10,167,0,12,14,101,24,19,17,3,0,186,0,5,3,25,18,0,3,0,0,56,0,0,0,7,10,3,0,0,0,19,0,16,17,26,4,6,5,0,0,67,0,4,13,50,64,55,33,14,4,229,0,0,0,0,0,3,4,3,0,17,0,0,0,11,3,4,0,0,0,18,0,20,22,92,55,52,57,68,33,399,27,52,59,166,50,48,46,26,22,492,890,2165,2359,4954,2520,2115,1580,913,435,17946
POA3130,0,3,8,36,5,10,6,0,0,70,0,0,6,0,11,0,0,0,0,22,5,19,19,116,33,27,24,6,0,236,0,0,0,10,5,10,6,5,6,52,0,0,0,0,0,0,0,0,0,3,0,0,0,12,25,18,21,26,12,109,0,21,30,74,41,23,25,8,3,220,0,7,14,54,28,17,17,16,4,159,0,14,25,125,40,39,54,20,19,342,0,3,11,104,37,18,17,0,0,184,0,5,3,46,21,5,3,5,0,92,0,0,0,4,4,8,3,0,0,18,4,19,13,23,21,27,7,6,0,122,0,10,23,111,103,101,61,31,8,453,0,0,0,4,4,9,5,0,0,24,0,0,0,6,6,11,4,0,0,22,0,27,43,170,100,82,97,73,47,643,24,77,94,209,116,75,87,87,120,882,1502,4204,4169,8329,4743,3897,2867,2079,1241,33044
POA3131,0,6,24,112,8,7,6,4,0,165,0,0,0,0,9,0,0,0,0,4,0,13,14,91,34,33,12,4,4,207,0,0,0,13,4,3,17,5,10,58,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,6,18,22,6,70,6,21,20,49,15,17,16,5,3,155,0,4,11,32,31,15,12,14,0,124,0,7,31,160,34,33,36,23,6,334,0,8,0,86,17,8,10,3,0,133,0,5,5,72,11,10,7,0,0,118,0,5,0,7,5,0,0,0,0,16,0,6,15,26,11,3,3,4,0,72,0,10,10,104,107,111,92,36,5,474,0,0,0,0,3,3,0,0,0,13,0,3,3,10,5,0,0,0,0,19,4,31,37,137,87,68,70,75,44,557,38,81,76,254,104,93,107,92,92,929,1289,2644,2542,6512,3115,2491,2085,1625,895,23191
POA3132,0,4,0,36,0,0,0,0,0,47,0,0,0,3,10,0,0,0,0,10,0,7,9,71,15,12,7,0,0,120,0,0,0,6,10,12,8,7,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,19,20,10,0,66,4,12,9,44,22,8,3,6,5,107,0,7,12,41,26,13,4,0,0,105,0,0,10,49,12,14,11,9,0,102,0,9,0,67,3,6,13,0,0,94,0,4,4,34,8,6,5,0,0,60,0,0,5,4,4,8,3,0,0,25,0,12,0,18,13,9,3,0,0,61,0,15,11,69,30,38,38,12,0,208,0,0,0,6,4,0,0,0,0,12,0,0,0,7,0,5,3,0,0,15,0,12,21,129,50,62,50,31,14,381,13,30,36,104,43,44,28,42,31,372,997,1983,1858,5054,2308,1876,1484,909,326,16795
POA3133,0,9,16,62,13,4,0,0,0,105,0,0,0,0,3,5,0,0,0,17,0,13,11,69,25,30,21,4,0,165,0,0,0,3,13,10,25,11,4,61,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,16,21,23,12,88,0,27,37,40,38,28,24,4,0,204,6,5,15,28,19,24,11,5,3,104,0,14,40,155,85,51,67,28,11,452,0,7,8,43,21,0,12,0,0,93,0,5,7,25,6,3,0,0,0,47,0,4,0,11,0,5,0,6,0,29,0,15,16,9,11,9,4,0,0,71,0,11,8,68,87,68,47,12,5,306,0,0,0,4,3,0,4,0,0,16,0,3,3,5,3,4,0,0,0,21,5,24,48,90,90,88,129,83,50,607,16,41,52,109,50,51,67,72,45,504,1011,3017,2802,5102,3171,2602,2617,1864,758,22951
POA3134,0,7,5,44,8,3,0,0,0,68,0,0,0,10,7,3,0,0,0,26,0,10,13,97,36,23,11,5,0,192,0,0,0,12,15,29,28,8,14,94,0,0,0,0,0,0,0,0,0,0,0,0,3,14,33,27,34,37,15,164,0,16,8,43,26,14,8,3,0,124,5,8,29,73,57,41,26,22,3,263,0,5,13,137,28,40,28,18,0,271,0,6,10,59,16,7,4,0,0,95,0,13,15,49,20,7,5,0,0,107,0,0,0,6,0,9,0,0,0,23,0,3,22,43,27,27,11,8,0,137,0,9,11,71,47,37,42,11,8,225,0,0,0,3,0,9,4,4,3,24,0,0,0,11,7,7,0,0,0,35,6,37,51,202,119,110,114,82,32,754,34,87,98,276,135,100,78,77,61,947,1870,4217,4173,9508,4788,4082,3141,1964,863,34607
POA3135,0,0,7,17,5,5,0,0,0,30,0,0,0,3,5,0,0,0,0,9,0,3,6,48,16,19,8,0,0,111,0,0,0,9,3,3,8,5,0,27,0,0,0,0,0,0,0,0,0,4,0,0,0,10,9,18,24,14,3,85,0,12,14,23,12,12,11,5,0,86,0,4,8,34,20,18,8,7,0,101,0,0,7,59,10,15,19,4,3,121,0,0,3,23,6,5,5,0,0,51,0,16,25,32,15,8,0,0,0,96,0,0,0,0,5,0,0,0,0,3,4,8,6,29,15,11,10,0,0,84,0,5,6,26,13,16,11,8,0,83,0,0,0,5,3,0,3,5,0,18,0,0,0,6,3,0,3,0,0,11,3,17,24,128,58,34,44,39,18,363,31,54,51,182,68,78,78,44,33,625,1276,2718,2283,5693,2906,2329,1856,1160,476,20698
POA3136,0,0,3,24,3,7,8,0,0,44,0,0,0,5,12,11,5,0,0,27,0,8,9,90,46,48,20,6,5,234,0,0,0,14,12,17,25,12,0,67,0,0,0,4,0,0,0,0,0,5,0,5,7,21,31,54,70,49,33,276,0,13,10,27,13,16,17,0,5,95,8,16,23,105,75,68,54,18,12,373,0,8,9,115,34,33,31,15,8,244,0,3,0,34,15,4,0,0,0,64,0,22,28,77,22,10,7,0,0,153,0,0,0,3,9,3,0,0,0,19,7,3,23,41,21,16,21,4,0,149,0,3,6,55,24,21,15,0,0,132,0,0,0,3,8,9,20,6,7,57,0,0,0,12,5,9,6,0,0,31,0,26,50,234,138,121,116,105,38,836,54,141,116,390,152,153,144,139,74,1365,2866,5617,4976,12729,5903,5477,4606,2886,1221,46296
POA3137,0,0,0,5,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,5,3,7,4,35,22,21,4,0,0,80,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,19,23,26,9,90,0,3,0,8,0,0,0,0,0,19,0,0,9,16,18,12,11,11,4,78,0,3,0,41,7,8,16,4,3,74,0,0,0,0,0,0,0,0,0,0,0,4,15,31,3,6,0,0,0,62,0,0,0,0,0,0,0,0,0,3,0,4,0,17,12,5,0,0,0,37,0,0,3,19,8,5,0,0,0,35,0,0,3,0,4,9,4,0,0,21,0,0,0,4,0,3,0,0,0,11,0,10,9,41,18,33,32,30,7,190,19,39,33,101,33,53,42,32,43,391,930,1706,1697,4035,1783,1799,1343,920,346,14558
POA3138,0,4,0,10,0,0,0,0,0,11,0,0,0,6,5,3,0,0,0,16,0,13,11,49,32,20,14,4,4,144,0,0,0,0,3,5,9,8,4,30,0,0,0,0,0,6,0,0,0,6,0,0,3,15,8,35,35,37,11,147,0,5,11,10,10,4,3,0,0,43,0,3,14,41,50,27,23,13,3,165,0,0,0,49,19,6,15,7,0,96,0,0,0,15,0,0,0,0,0,16,0,0,12,16,4,0,0,0,0,39,0,0,0,0,0,0,0,6,0,5,0,0,5,18,12,6,10,4,0,52,0,0,0,14,5,3,0,0,0,26,0,0,0,0,8,4,4,0,0,14,0,3,4,15,7,8,5,0,0,39,0,7,25,104,47,62,51,40,21,353,33,77,80,182,83,71,78,42,26,664,1551,3022,2794,6712,2897,2520,2074,1141,346,23059
POA3139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,4,12,0,9,0,0,0,26,0,0,0,3,5,3,3,8,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,14,17,6,0,47,0,0,0,0,0,0,0,0,0,0,0,0,4,13,6,12,6,0,0,43,0,0,0,0,0,0,9,0,0,16,0,0,0,0,0,4,0,0,0,4,0,0,10,12,6,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,3,14,6,0,12,0,0,26,0,0,0,5,0,0,0,0,0,5,0,0,0,0,3,0,3,0,0,8,0,0,0,0,4,0,0,0,0,5,4,0,3,25,27,26,24,27,4,138,14,57,66,107,90,71,61,37,9,524,906,1863,1751,3588,1973,1945,1416,650,158,14257
POA3140,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,6,0,0,0,10,0,9,3,42,22,14,11,4,0,105,0,0,0,9,7,6,11,3,0,35,0,0,0,0,0,0,0,0,0,4,0,0,0,8,9,17,25,14,0,70,0,6,3,0,8,11,4,0,0,28,0,3,8,36,40,19,19,7,0,133,0,3,7,34,5,21,9,3,0,78,0,0,0,0,6,0,0,0,0,5,0,3,7,23,4,3,0,0,0,41,0,0,0,0,8,0,0,0,0,6,0,6,11,14,10,12,0,0,0,46,0,0,3,6,0,0,0,0,0,15,0,0,0,0,0,6,0,0,0,20,0,0,0,6,3,4,0,0,0,16,0,9,24,53,62,39,45,28,8,260,27,43,41,148,71,84,64,60,24,564,967,2011,2140,4430,2405,2194,1708,1068,425,17348
POA3141,0,0,0,21,0,0,0,0,0,24,0,0,3,3,3,5,4,0,0,11,0,3,13,143,26,4,8,4,0,207,0,0,0,27,7,14,14,11,5,78,0,0,0,0,0,3,0,0,0,3,0,0,6,82,16,9,12,10,0,138,0,4,15,92,12,6,16,0,0,148,0,0,18,131,20,23,7,3,0,200,0,0,14,72,14,7,18,4,5,128,3,3,6,71,15,4,0,0,0,109,0,0,24,98,12,8,3,0,0,148,0,0,3,18,9,9,0,0,0,50,17,20,32,171,16,25,15,9,0,310,0,0,25,74,31,33,21,6,3,201,0,0,0,21,3,0,3,0,0,34,0,0,3,21,4,3,0,0,0,29,7,19,98,765,128,124,118,114,80,1454,50,95,195,821,175,137,103,63,27,1668,690,1070,2934,12725,2443,2095,1692,1024,360,25028
POA3142,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,5,3,31,0,10,3,0,0,51,0,0,0,7,3,4,17,31,33,97,0,0,0,0,0,0,0,0,0,0,0,0,3,18,3,11,5,8,6,52,4,11,18,22,12,10,11,3,0,91,0,0,0,26,14,30,42,14,3,136,0,0,3,14,4,7,17,10,0,54,0,3,0,16,3,3,6,0,0,32,0,0,0,27,4,0,0,0,0,30,0,0,0,4,0,0,0,0,0,9,7,10,22,36,20,19,20,5,0,140,0,0,0,18,15,10,9,3,0,50,0,0,0,0,0,0,5,0,0,8,0,0,0,10,0,7,6,0,0,16,5,6,27,152,70,62,121,77,44,560,22,61,90,174,88,100,103,90,73,803,405,992,1498,3231,1530,1678,1746,1226,514,12817
POA3143,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,6,5,0,0,41,0,0,0,11,3,7,18,10,3,55,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,3,4,12,0,34,0,0,13,14,3,0,6,0,0,33,0,0,7,48,10,4,23,7,0,101,0,0,0,28,7,0,7,0,0,44,0,0,0,11,0,0,0,0,0,17,0,0,4,32,10,0,4,0,0,55,0,0,0,10,3,0,0,0,0,12,8,19,16,29,14,9,7,3,4,102,0,0,3,22,7,8,0,0,0,46,0,0,0,0,0,0,0,0,4,6,0,0,0,3,0,0,0,0,0,3,0,15,7,154,39,39,41,36,17,355,5,29,52,105,54,19,43,41,23,374,430,760,1004,3322,1186,901,905,647,218,9376
POA3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,43,6,4,8,4,0,63,0,0,0,0,0,0,15,10,4,34,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,14,9,13,0,47,0,5,6,22,9,4,4,6,0,53,0,0,0,20,21,18,20,8,4,96,0,5,0,20,6,4,6,4,0,41,0,0,0,10,7,0,0,0,0,14,0,6,4,8,5,0,5,0,0,24,0,0,0,3,0,5,0,0,0,12,5,11,14,25,11,14,7,0,0,89,0,0,0,19,12,5,0,0,0,35,0,0,0,0,4,0,0,4,0,3,0,0,0,0,0,0,3,0,0,11,3,12,15,86,33,38,32,36,10,275,9,32,26,88,51,39,30,39,33,353,434,1180,1333,2538,1485,1311,1142,913,419,10763
POA3145,0,0,4,10,0,3,0,0,0,21,0,0,0,0,3,0,0,0,0,11,0,0,10,92,19,14,12,0,0,143,0,0,4,9,5,12,23,11,13,70,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,6,16,16,7,70,0,14,19,47,13,4,7,6,0,115,0,0,9,46,40,28,21,8,4,169,0,7,26,124,28,15,32,8,3,234,0,0,0,48,3,10,0,0,0,57,0,3,4,32,12,9,0,0,0,66,0,0,0,6,9,0,4,0,0,23,15,18,31,29,21,14,10,0,0,146,0,0,27,57,43,35,33,3,4,200,0,0,0,4,10,0,3,0,0,15,0,0,4,3,0,4,0,0,0,20,14,23,55,298,104,71,88,59,29,734,20,60,78,257,52,71,70,47,25,673,1092,2617,3470,6535,3235,2668,2088,1221,680,23594
POA3146,0,0,3,14,5,0,0,0,0,28,0,0,0,0,3,3,0,0,0,7,0,3,6,71,16,10,6,0,0,112,0,0,0,11,12,9,24,9,10,68,0,0,0,0,0,0,0,0,0,0,0,7,0,16,23,19,21,16,5,100,0,22,22,32,19,16,17,3,0,136,0,13,10,66,40,35,39,5,0,206,0,0,6,71,39,52,23,22,8,225,0,3,5,35,8,3,0,0,0,50,4,3,3,30,12,4,0,0,0,50,0,3,0,5,5,4,0,3,0,22,5,24,40,52,27,16,19,0,0,192,0,3,11,60,50,30,12,6,3,172,0,0,0,0,6,0,3,4,0,14,0,0,0,6,9,6,0,0,0,22,4,21,47,212,84,93,63,59,22,610,24,62,66,198,92,82,62,60,29,677,1241,3275,3621,6617,3891,3207,2323,1407,548,26131
POA3147,0,5,4,14,0,3,0,0,0,26,0,0,0,0,3,0,0,0,0,5,0,3,4,35,9,17,5,0,0,70,0,0,3,7,3,7,18,0,8,46,0,0,0,0,0,0,0,0,0,6,0,0,5,11,10,10,9,7,3,52,0,4,13,32,13,13,16,0,0,97,0,3,0,23,6,16,12,7,3,70,0,4,12,101,26,30,17,18,8,222,0,0,0,23,8,6,11,0,0,50,0,0,7,17,12,0,0,3,0,41,0,0,0,6,4,7,0,0,0,28,4,14,9,16,16,9,6,3,0,77,0,7,11,45,49,27,23,8,4,174,0,0,0,5,0,3,0,0,0,13,0,0,0,3,3,0,4,0,0,10,4,22,30,136,69,78,59,48,26,476,31,48,47,143,63,47,66,43,40,522,787,1991,1863,3806,2205,1825,1299,835,489,15102
POA3148,0,8,4,23,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,5,9,78,14,14,12,3,0,134,0,0,0,11,0,11,12,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,3,3,3,0,17,0,7,10,44,8,0,0,0,0,73,0,4,6,20,10,4,4,4,0,58,3,8,51,201,41,26,35,11,0,379,0,0,4,26,5,0,0,0,0,35,0,0,0,38,13,3,3,0,0,64,0,0,0,5,0,0,0,0,0,10,0,0,6,9,3,0,0,0,0,17,0,0,12,48,36,39,16,0,0,151,0,0,0,0,0,0,0,0,0,4,0,0,4,15,0,0,0,0,0,22,0,13,39,165,50,60,59,42,21,447,10,32,47,204,42,24,29,19,5,422,563,941,1120,3656,1106,880,660,439,181,9552
POA3149,0,5,23,76,16,0,0,0,0,115,0,0,0,4,0,6,0,0,0,5,0,8,17,68,30,26,19,5,0,176,0,3,0,15,15,35,33,19,4,130,0,0,0,0,0,0,0,0,0,0,0,0,7,9,9,20,22,24,16,97,4,22,71,77,38,62,28,5,0,298,0,23,22,60,53,30,19,8,5,227,4,78,223,531,262,183,121,65,20,1484,0,8,16,88,32,14,19,0,0,168,0,5,6,55,10,8,3,0,4,106,0,0,0,6,9,10,4,0,3,30,10,36,31,40,12,18,14,0,0,159,0,12,36,105,117,96,68,16,3,451,0,4,0,3,0,0,0,3,0,13,0,0,3,10,3,0,7,0,0,22,9,64,78,240,149,118,108,99,57,929,36,106,155,287,156,121,71,101,55,1091,1552,4442,4724,9101,4847,4094,2997,2397,1186,35340
POA3150,0,44,36,147,32,22,6,0,0,292,0,0,4,0,6,7,0,0,0,15,4,26,41,150,64,55,31,3,0,372,0,3,4,17,13,45,39,24,19,160,0,0,0,0,0,4,0,0,0,6,3,5,4,11,17,16,27,52,25,163,11,119,144,138,120,97,77,30,9,745,0,29,44,56,81,51,52,27,11,348,5,167,332,888,541,463,369,168,64,3007,3,12,29,146,57,53,57,7,0,368,3,14,31,65,39,12,19,6,0,185,0,0,5,20,39,55,47,39,17,214,4,59,45,47,22,22,15,12,0,221,0,17,42,183,291,270,145,38,11,1003,0,0,0,0,8,8,3,8,6,35,0,0,3,7,10,3,4,3,0,30,10,115,155,334,214,262,230,245,131,1697,64,210,247,535,218,176,222,279,297,2250,2296,7802,8168,14976,8285,7282,6710,5209,2567,63298
POA3151,0,6,4,20,0,0,0,0,0,38,0,0,0,0,0,3,0,0,0,3,3,6,7,44,10,20,7,3,0,94,0,0,0,0,6,8,7,4,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,12,6,26,0,8,13,18,7,8,5,0,0,66,0,0,0,14,5,10,4,0,0,37,0,18,58,194,41,37,47,18,3,409,0,0,3,45,3,3,3,0,0,61,3,7,9,32,4,6,3,0,0,56,0,0,0,0,0,0,0,0,0,4,5,8,9,11,7,5,0,3,0,41,0,3,17,36,54,62,49,7,0,235,0,0,0,0,0,0,0,3,0,0,0,0,0,4,4,4,0,0,0,8,0,12,17,71,26,35,41,51,19,278,5,12,24,82,28,23,44,34,12,276,425,1034,1341,2952,1367,1183,1015,996,372,10675
POA3152,0,3,7,46,10,9,3,0,0,85,0,0,0,9,10,0,0,0,0,18,4,15,26,118,53,33,49,19,0,320,0,0,0,4,7,11,23,3,3,48,0,0,0,0,7,0,0,0,0,9,0,0,3,9,5,23,46,41,19,143,0,29,81,96,66,62,35,17,9,399,0,3,15,57,45,35,33,24,0,215,0,35,74,281,171,188,189,60,10,1012,5,13,0,65,13,20,16,3,0,130,0,5,4,41,14,8,0,3,0,81,0,0,0,6,4,6,6,0,0,25,0,19,16,26,4,8,3,0,4,86,0,6,11,81,113,129,93,21,7,454,0,0,0,0,3,3,6,6,7,21,0,0,4,9,4,6,3,0,0,29,9,31,75,179,111,143,170,138,159,1011,36,96,101,211,95,98,96,110,66,910,1726,4184,4030,8813,4337,4440,4136,2140,1139,34940
