POA_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
POA3048,47,46,42,3,136,13,6,11,0,20,11,15,34,3,66,8,18,47,0,72,38,39,67,0,150,37,62,74,3,181,221,133,99,0,447,117,161,120,21,416,80,218,117,12,429,97,247,111,15,458,38,205,70,10,326,44,162,53,7,274,77,296,84,9,459,48,177,48,3,275,19,130,26,0,181,9,67,12,3,95,11,96,12,0,121,33,149,49,9,246,25,43,27,9,104,979,2281,1098,97,4458
POA3049,26,17,10,0,48,9,0,3,0,14,7,3,9,0,18,3,6,5,0,14,25,4,20,0,50,16,11,25,0,50,100,26,47,0,170,69,32,58,5,162,49,27,48,3,130,82,73,45,10,208,47,78,38,0,160,44,76,35,0,160,112,173,56,0,345,106,177,29,4,312,66,157,21,3,240,36,99,7,0,143,53,235,21,0,315,27,77,25,4,128,16,16,3,0,37,889,1278,509,31,2706
POA3051,27,4,15,8,53,5,0,3,4,15,12,0,21,0,36,3,0,21,0,23,14,4,29,0,58,13,12,39,0,69,61,15,33,12,121,45,23,33,7,105,73,33,47,11,168,87,37,53,10,184,72,38,35,10,156,73,41,30,7,152,185,85,68,13,343,182,86,18,6,292,150,88,10,7,254,110,80,4,5,201,351,333,30,8,718,45,53,32,0,127,13,4,11,4,27,1527,935,530,124,3115
POA3052,9,4,3,4,17,0,4,0,0,7,0,0,4,3,9,4,0,0,0,6,0,3,0,0,11,0,0,5,5,17,12,4,7,5,32,19,11,11,4,36,19,6,12,3,40,45,11,7,3,70,34,13,8,0,55,32,12,5,3,54,73,23,20,3,123,76,32,4,6,111,53,18,3,0,75,33,17,5,0,57,117,115,12,0,254,22,26,7,0,51,0,6,0,0,9,558,307,123,38,1032
POA3053,55,4,14,19,99,11,3,3,4,26,11,0,21,11,39,11,0,12,4,32,26,8,20,11,63,31,12,24,11,81,48,11,22,18,101,54,14,38,17,120,87,24,22,28,155,123,21,32,18,191,64,20,19,10,119,88,18,18,9,134,206,56,24,16,297,152,35,9,11,212,122,43,7,11,190,93,15,4,3,114,251,159,13,4,424,51,29,21,3,102,5,3,11,0,25,1495,481,350,208,2533
POA3054,3,4,5,0,6,6,0,4,0,4,0,0,7,0,5,3,0,9,0,15,16,0,14,0,29,3,0,12,3,18,25,4,11,5,46,28,3,16,6,54,35,9,16,4,71,57,8,18,9,98,37,13,17,12,80,61,14,20,0,96,125,44,28,0,194,122,45,10,0,178,97,54,9,3,160,80,36,5,8,129,295,346,19,4,663,29,40,16,0,87,7,4,0,0,13,1031,632,228,61,1951
POA3055,24,10,10,8,42,4,0,3,4,12,6,0,4,0,14,3,3,15,0,24,28,9,5,5,41,11,10,18,3,46,94,12,33,0,137,56,23,50,6,133,65,30,42,13,158,122,56,41,5,224,76,55,33,5,179,94,43,35,4,178,224,147,56,10,436,192,130,30,3,354,144,139,16,10,306,116,97,12,8,233,238,527,21,12,799,44,62,18,0,130,14,12,6,0,37,1564,1367,460,107,3495
POA3056,29,12,6,6,48,4,4,0,0,9,6,3,11,0,20,6,0,12,0,21,47,4,19,3,75,34,9,28,5,73,161,19,35,7,226,86,21,63,13,188,117,44,68,17,245,187,55,62,10,315,129,47,47,11,236,137,55,51,17,257,395,165,98,31,689,362,172,22,26,582,373,210,20,13,614,284,155,11,0,455,626,788,27,10,1460,97,85,48,3,234,16,8,7,0,33,3085,1860,653,182,5780
POA3057,11,0,9,0,22,0,0,4,0,9,0,0,0,4,6,7,0,10,0,13,18,0,7,3,30,7,3,17,0,32,71,7,18,5,106,38,16,21,5,83,46,13,42,8,112,84,20,31,6,140,78,23,28,9,139,80,22,30,6,138,234,105,79,11,426,227,87,14,11,342,214,99,15,5,339,190,91,5,6,285,376,353,25,9,762,46,29,24,4,95,9,3,0,0,15,1744,897,371,99,3108
POA3058,82,16,27,6,131,30,3,9,0,41,13,8,19,0,42,7,3,24,0,35,74,19,37,9,140,44,21,71,3,142,309,51,84,15,466,152,63,139,22,374,178,118,146,14,452,218,151,109,23,507,136,163,124,18,440,190,182,75,10,455,403,457,159,30,1047,373,461,78,16,929,283,492,51,12,841,209,359,24,8,595,506,1305,48,16,1879,116,181,75,5,374,39,40,16,0,93,3364,4090,1322,210,8990
POA3059,50,25,14,0,100,22,3,4,0,33,13,18,8,0,36,10,6,19,0,41,36,14,19,0,69,30,31,36,0,98,157,57,51,0,264,117,72,50,5,246,96,151,75,4,320,119,191,68,3,384,79,199,54,0,333,75,203,35,3,313,202,501,99,10,814,172,425,43,5,646,133,379,40,4,551,82,301,18,0,399,136,719,24,8,883,52,210,41,0,305,30,35,7,0,80,1610,3552,712,53,5923
POA3060,35,18,12,0,69,10,3,7,0,20,8,8,9,0,23,3,12,17,0,29,36,15,30,0,81,29,44,38,4,110,186,71,52,0,310,82,91,56,11,245,61,129,77,6,276,69,167,51,6,294,44,136,44,7,227,54,112,23,6,199,104,271,63,6,440,90,156,40,8,292,45,141,17,6,207,51,89,10,0,149,67,188,13,3,266,39,93,42,3,175,13,18,12,3,44,1027,1756,603,74,3459
POA3061,14,12,4,0,31,5,8,0,3,7,3,0,4,0,9,0,7,11,0,21,19,19,11,0,45,14,16,14,0,38,103,31,23,0,155,26,46,38,0,119,36,56,25,5,118,30,80,26,0,135,11,52,12,0,81,7,50,11,0,69,35,65,19,0,124,8,43,9,0,71,9,23,8,0,34,3,11,4,0,18,0,33,0,0,39,5,48,16,0,69,8,8,8,0,24,337,605,246,25,1209
POA3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,7,0,0,0,6,9,0,0,0,8,5,4,0,0,6,4,6,0,0,7,0,5,3,0,5,3,17,3,0,25,8,14,0,0,22,9,7,0,0,17,0,7,0,0,7,0,22,0,0,25,3,3,0,0,11,3,0,0,0,6,48,80,20,5,152
POA3064,347,182,133,6,663,43,36,25,10,105,42,73,76,3,194,38,70,98,0,208,127,260,194,4,585,138,344,291,7,783,604,606,393,15,1620,373,825,449,35,1688,390,1278,468,40,2173,489,1646,428,50,2618,374,1452,318,31,2179,448,1464,233,24,2167,1090,2944,366,65,4463,665,2011,250,38,2964,389,1481,98,23,1991,237,854,67,15,1173,312,1486,106,8,1912,210,973,218,16,1426,113,219,71,7,407,6443,18193,4285,386,29309
POA3065,12,0,11,4,20,3,0,4,0,8,5,3,12,0,19,0,3,17,3,27,15,6,37,4,60,11,10,28,0,42,33,17,25,3,76,21,20,37,14,96,39,22,38,7,101,46,23,17,7,91,42,16,7,5,68,43,16,28,3,78,118,32,21,8,175,126,38,4,5,177,126,39,6,7,178,132,22,3,0,158,486,238,19,12,762,34,38,28,0,103,3,8,11,0,23,1292,548,364,76,2273
POA3066,6,0,11,0,22,0,0,4,0,6,3,3,21,0,28,0,0,25,0,31,9,9,34,4,51,13,6,24,3,50,41,14,31,5,93,20,17,40,7,83,32,15,24,0,71,48,11,19,3,78,35,11,6,9,58,51,14,8,0,73,158,29,12,7,216,157,34,4,14,210,168,32,6,3,212,146,31,6,4,176,388,125,12,5,528,50,28,16,0,94,0,9,5,5,19,1319,406,315,68,2109
POA3067,9,0,5,3,20,8,0,0,0,8,0,0,3,0,8,5,0,0,0,8,4,3,6,4,16,14,0,4,0,17,22,4,10,0,40,25,12,12,9,56,30,13,19,5,70,57,22,17,11,106,37,18,19,6,79,52,15,11,6,81,179,57,30,0,267,183,38,13,6,243,168,51,11,0,228,113,39,0,0,154,377,255,14,3,650,41,26,9,0,81,0,0,0,0,3,1318,555,185,59,2127
POA3068,12,5,5,0,21,8,0,7,0,11,7,3,10,0,18,6,0,12,0,21,19,3,21,0,42,6,3,24,3,40,91,8,39,3,143,63,17,50,13,138,72,15,33,0,129,125,25,42,6,194,68,40,29,5,141,100,28,42,8,175,256,102,72,6,445,267,106,23,10,410,236,144,21,3,408,178,128,5,0,318,666,1045,45,13,1775,75,84,36,0,199,11,10,6,0,20,2265,1764,524,92,4645
POA3070,32,3,5,0,45,17,0,0,0,20,7,6,8,0,15,8,4,18,0,25,33,9,21,5,66,28,4,32,3,67,168,14,34,3,222,84,16,78,10,185,88,41,64,9,209,128,43,66,6,242,117,66,70,10,251,118,88,60,3,271,291,203,105,16,618,279,195,42,8,520,262,245,50,11,569,205,212,17,9,448,626,1462,55,9,2155,92,141,63,4,297,13,19,6,0,38,2602,2762,784,104,6257
POA3071,26,9,6,0,38,17,0,0,0,22,7,0,4,0,16,4,0,13,0,18,44,9,21,0,75,32,5,43,4,82,128,17,46,5,197,74,30,66,4,178,89,60,63,6,222,111,78,55,19,260,78,56,61,8,202,104,78,41,9,232,249,185,82,6,518,211,227,29,14,482,196,227,22,4,448,152,171,13,4,336,355,804,50,4,1203,54,95,53,7,206,11,9,13,0,37,1941,2058,682,94,4773
POA3072,80,22,38,3,139,22,10,9,0,44,16,7,24,3,50,20,6,35,0,54,78,16,45,4,147,42,27,72,4,143,297,49,82,17,446,160,88,126,24,409,162,104,133,32,432,200,160,142,34,533,144,166,113,22,441,170,195,106,20,492,458,443,138,33,1073,395,400,68,27,891,279,445,38,11,772,230,320,27,12,587,437,994,55,11,1501,107,178,84,4,370,43,27,23,5,98,3350,3648,1360,271,8624
POA3073,122,45,41,6,209,64,13,18,4,92,31,19,35,9,96,22,20,70,5,110,145,37,100,11,296,80,57,156,8,303,643,110,160,13,926,300,177,261,44,776,285,268,263,28,839,372,373,250,42,1042,241,356,176,26,799,259,345,142,40,781,666,770,219,55,1707,528,667,112,26,1337,387,625,61,21,1086,266,428,23,13,734,376,868,55,13,1310,160,290,153,13,614,99,48,38,11,200,5059,5511,2316,374,13259
POA3074,101,31,40,3,170,39,3,9,0,50,22,23,24,0,70,21,10,36,0,73,97,29,47,4,181,48,37,80,5,176,452,92,67,9,623,173,132,136,21,463,152,204,120,12,491,183,239,137,8,561,87,181,58,19,345,80,168,73,11,328,162,369,112,16,657,103,239,54,12,413,65,149,28,7,244,30,109,13,0,141,49,156,15,0,226,52,136,59,4,247,62,29,21,9,119,1975,2349,1120,143,5580
POA3075,96,45,42,4,185,21,8,6,0,40,15,11,18,0,45,24,12,25,0,63,93,31,49,3,180,40,43,78,4,167,427,108,82,11,627,201,147,140,7,500,157,234,150,24,565,158,265,130,17,569,80,220,97,9,405,80,209,72,9,372,186,501,113,17,821,123,311,57,9,497,69,219,23,9,320,35,123,21,0,186,57,212,23,0,291,67,151,52,9,267,49,36,20,4,105,1984,2890,1198,138,6209
POA3076,100,36,43,0,176,20,10,7,0,44,21,8,24,0,54,22,8,42,0,72,60,41,71,0,170,57,52,118,3,227,334,113,144,17,610,162,177,161,4,508,166,267,182,13,630,202,380,165,19,767,151,390,156,13,703,139,361,108,18,627,325,739,151,17,1230,207,587,74,15,881,122,453,33,7,615,78,260,29,4,374,81,445,22,0,551,69,258,83,5,416,41,37,24,0,107,2376,4625,1621,152,8779
POA3078,20,4,10,0,31,10,0,0,0,15,4,0,6,0,10,5,3,8,0,13,20,0,13,3,38,16,3,18,0,34,77,11,12,4,103,42,7,26,3,74,50,21,35,4,106,73,24,30,3,131,42,25,28,9,104,56,42,27,4,129,138,83,61,0,282,139,94,11,0,250,125,132,23,3,280,94,114,6,0,216,269,755,33,7,1063,44,71,28,0,143,8,6,0,0,13,1225,1398,366,49,3037
POA3079,28,5,11,3,52,16,6,6,0,27,6,3,6,0,12,10,0,14,0,23,40,7,15,0,65,17,3,21,3,49,80,16,34,3,132,83,23,37,3,142,102,25,49,8,176,108,43,38,6,192,80,54,25,6,173,90,68,43,4,202,215,138,86,7,455,190,171,30,8,399,173,187,28,3,390,110,158,11,4,285,389,1170,59,8,1623,52,123,41,0,224,28,16,3,0,41,1803,2221,568,67,4656
POA3081,22,3,22,0,52,7,3,8,0,19,4,8,27,0,38,7,6,21,3,41,23,10,40,0,79,15,17,58,0,94,100,29,67,7,203,56,34,75,15,183,50,61,73,10,199,62,78,81,14,236,57,78,51,10,195,66,87,48,10,205,174,186,66,20,448,155,147,20,10,340,128,160,16,5,313,85,113,8,0,208,148,256,25,0,432,52,73,37,0,163,17,19,16,6,55,1240,1372,761,107,3484
POA3082,103,26,22,3,155,39,6,8,0,51,18,3,11,3,39,15,10,23,5,53,87,18,46,3,152,70,34,86,0,189,345,81,106,7,542,204,118,125,6,460,227,195,154,16,585,249,241,123,16,627,152,203,108,7,471,150,261,77,11,506,337,628,137,16,1120,243,519,78,8,846,152,431,43,4,633,77,322,21,3,425,102,642,32,5,786,77,244,75,5,398,42,39,31,3,113,2693,4028,1316,118,8150
POA3083,96,24,34,3,160,36,0,0,3,48,25,10,15,0,50,21,11,29,0,65,121,26,35,8,186,81,29,76,7,185,362,73,113,12,557,244,110,123,18,488,235,181,119,23,554,280,208,121,20,641,159,212,99,20,492,158,246,94,13,519,314,487,153,28,978,249,451,77,12,785,158,421,38,9,624,92,269,12,6,383,175,702,36,8,918,91,198,95,6,395,58,37,13,0,111,2965,3687,1292,196,8139
POA3084,51,23,20,0,95,21,4,3,0,33,20,7,13,0,37,9,5,18,0,23,71,6,19,0,99,31,11,45,0,91,192,22,42,0,256,141,27,64,7,239,202,84,81,9,375,195,99,78,15,383,138,93,69,10,309,162,122,79,7,366,327,350,142,10,829,265,336,57,8,663,223,402,40,0,669,159,341,14,0,519,396,1565,51,4,2013,91,200,70,0,363,46,18,10,0,75,2727,3715,921,78,7445
POA3085,41,4,8,0,51,8,5,0,0,16,8,0,4,0,10,5,0,10,6,12,33,3,11,0,52,16,4,26,0,52,101,15,36,0,155,80,18,40,3,140,109,37,55,3,202,106,64,53,4,222,62,70,51,0,191,66,94,34,0,196,128,204,75,9,412,135,239,24,6,404,101,284,23,3,402,68,187,10,4,276,177,613,29,0,824,44,108,38,0,188,16,4,4,0,26,1299,1959,532,36,3833
POA3087,29,9,5,0,37,11,0,7,0,13,8,0,5,0,16,4,0,5,0,15,18,0,12,0,32,19,9,17,0,43,87,7,18,4,110,57,7,45,6,117,69,27,54,0,152,86,46,34,0,167,48,55,33,0,135,31,61,29,7,131,101,159,42,6,305,100,170,33,3,308,64,182,14,0,265,72,117,11,0,199,103,278,16,3,403,28,67,30,0,123,19,10,6,4,36,947,1203,420,38,2611
POA3088,61,11,15,0,90,23,6,5,0,27,14,6,11,0,31,7,4,21,0,34,59,12,29,0,102,47,18,53,4,116,260,25,63,3,344,191,39,92,3,316,229,85,99,5,430,280,112,128,11,533,134,124,92,8,360,142,168,72,7,398,327,485,143,9,964,231,487,68,9,793,221,518,46,7,794,159,401,21,0,583,290,1103,44,5,1441,74,211,78,0,359,47,20,9,5,80,2799,3832,1082,77,7795
POA3089,18,5,11,0,28,4,3,0,0,14,7,0,0,0,15,4,0,8,0,12,18,7,10,0,32,20,0,21,0,46,64,9,24,3,95,72,4,35,5,113,86,33,28,3,156,93,52,41,3,192,43,62,34,3,143,69,66,27,0,173,153,217,75,0,447,115,266,29,6,423,111,288,29,0,430,60,203,9,0,275,139,616,21,0,775,34,119,45,0,194,10,14,8,0,30,1123,1983,457,24,3588
POA3090,4,0,0,0,4,4,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,7,0,9,16,0,0,0,18,11,8,6,0,14,15,9,4,0,19,18,6,5,0,29,12,9,0,0,21,11,9,0,0,24,25,39,4,4,68,18,39,4,0,62,17,37,0,0,53,15,43,0,0,51,28,210,0,0,244,7,27,8,0,44,0,5,0,0,5,191,436,38,7,676
POA3091,4,3,0,0,10,6,0,0,0,6,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,5,0,3,0,6,3,0,0,0,10,8,0,5,3,19,13,3,0,0,22,13,6,0,0,20,7,14,4,0,19,8,5,0,0,18,19,31,5,0,56,12,29,0,0,41,9,31,0,0,34,11,20,0,0,29,24,86,0,0,111,4,25,6,0,34,6,7,0,0,10,164,257,30,5,460
POA3093,9,5,3,0,15,8,0,0,0,10,7,0,0,0,5,0,0,4,0,4,5,0,3,0,7,5,0,0,0,11,32,3,11,0,43,24,4,13,3,46,24,9,13,0,49,36,8,13,0,51,25,16,15,0,54,22,13,8,4,46,62,48,15,0,121,60,47,8,0,119,31,44,9,0,79,14,47,0,0,67,69,222,4,0,296,10,22,12,0,50,7,7,0,0,11,451,496,133,12,1085
POA3094,17,4,6,0,25,3,0,5,0,7,12,4,4,0,18,0,0,6,0,6,14,0,11,0,22,13,0,23,0,36,73,5,13,0,96,67,12,43,7,125,91,11,41,4,147,107,32,34,0,177,55,32,33,5,117,48,50,36,0,140,119,149,51,6,321,113,188,28,4,338,79,161,20,0,260,52,122,3,4,183,98,405,21,0,518,34,65,31,0,131,11,6,4,0,26,1003,1255,408,37,2706
POA3095,54,11,22,4,88,15,0,8,0,22,7,0,4,0,22,15,3,14,0,25,51,5,28,0,85,29,5,36,0,79,165,16,40,0,226,171,36,64,7,276,232,48,85,3,374,270,87,87,7,455,180,134,70,3,393,175,136,70,7,387,348,387,139,8,885,245,461,47,7,763,192,556,48,7,803,134,450,23,0,605,412,1771,75,3,2264,76,264,67,0,409,34,29,7,0,68,2814,4410,937,57,8222
POA3096,9,0,0,0,9,4,0,0,0,4,0,0,4,0,4,0,0,3,0,0,3,0,0,0,6,0,0,3,0,3,15,0,6,0,13,14,0,9,0,22,15,9,9,0,33,19,7,6,0,36,15,6,6,0,26,11,11,5,0,28,22,34,6,0,66,15,39,7,0,66,17,40,3,0,59,5,27,9,0,35,15,83,3,0,101,9,22,8,0,34,0,0,3,0,5,175,289,73,10,540
POA3097,6,0,0,0,12,0,0,5,0,0,3,0,0,0,5,0,0,0,0,5,0,0,5,0,7,0,0,0,0,0,10,0,0,0,9,4,4,0,0,9,17,0,0,0,16,11,10,5,0,22,6,4,0,0,13,14,7,3,0,23,10,20,5,0,35,15,11,8,0,31,18,15,0,0,29,8,8,0,0,22,29,87,0,0,118,7,20,10,0,36,3,0,3,0,6,167,201,44,0,410
POA3099,7,0,3,0,9,0,0,0,0,3,3,0,3,0,6,0,0,4,0,3,11,0,6,0,20,16,0,11,0,26,39,4,12,0,54,29,11,20,0,50,42,19,8,0,80,50,26,16,0,94,28,25,20,0,69,35,32,9,0,84,73,98,24,0,190,37,99,14,0,147,38,90,15,0,138,23,69,4,0,96,60,173,9,0,233,23,66,25,0,104,4,0,0,0,7,523,718,190,7,1435
POA3101,49,21,53,0,122,10,8,10,0,29,10,4,21,5,35,5,10,15,3,31,35,9,22,8,72,35,12,26,3,82,88,20,38,6,153,75,27,44,8,156,89,41,76,12,214,129,68,57,8,258,98,70,44,6,216,119,63,42,7,231,287,175,95,20,576,249,182,31,12,473,213,216,41,11,484,154,141,18,0,315,629,1665,130,18,2438,86,210,86,5,387,24,15,8,0,48,2389,2950,863,121,6327
POA3102,14,3,4,3,20,4,3,5,0,11,0,0,3,0,9,6,0,9,0,15,10,0,8,0,26,8,0,9,0,24,43,8,11,0,62,24,3,11,4,39,37,6,22,5,70,30,12,24,0,67,30,33,18,0,78,39,22,17,0,81,77,63,31,5,174,43,64,16,0,124,52,66,12,0,138,29,63,4,0,93,101,531,32,6,669,14,52,20,0,93,7,11,3,0,20,565,956,264,22,1818
POA3103,53,28,62,6,149,17,8,17,0,41,16,10,30,0,52,8,5,20,0,37,34,9,20,0,67,20,7,27,0,58,93,33,31,3,158,68,39,41,3,158,89,59,61,10,218,121,72,51,8,251,73,65,38,8,183,99,73,21,3,201,156,185,73,10,415,138,139,34,5,322,115,162,27,0,307,63,140,20,3,224,246,889,56,9,1194,48,186,55,0,291,10,10,5,0,32,1476,2129,682,63,4348
POA3104,73,34,62,9,170,28,9,19,4,60,12,9,31,0,48,3,7,20,0,36,38,22,32,0,95,19,27,30,0,83,110,47,45,0,202,99,40,53,4,197,114,102,64,5,287,122,111,66,3,302,66,105,41,8,224,94,111,48,7,259,177,311,81,9,578,136,257,50,5,452,127,252,46,0,426,69,251,18,0,343,275,1401,61,4,1741,55,257,60,0,370,21,29,11,4,64,1638,3396,830,62,5931
POA3105,62,12,13,0,89,19,0,4,0,23,11,3,9,0,23,6,6,0,3,16,61,12,19,0,88,33,9,19,0,62,156,19,25,0,209,101,34,43,9,187,81,51,51,4,192,91,68,50,3,209,51,49,32,4,137,52,61,35,0,157,119,155,67,6,352,89,159,24,6,276,60,155,26,0,234,54,118,13,0,186,129,477,23,0,630,46,79,28,0,154,25,11,5,3,43,1235,1486,486,49,3255
POA3106,67,23,29,0,111,27,4,14,0,40,16,5,12,0,36,20,0,14,0,39,51,9,15,0,77,29,20,31,6,84,182,30,33,0,248,113,46,39,5,211,123,81,59,6,272,151,85,47,12,291,73,98,33,0,209,111,104,35,0,245,188,240,60,10,495,131,239,29,5,403,121,241,22,0,379,75,191,7,0,280,261,830,42,3,1140,50,181,36,0,274,29,26,9,3,62,1831,2464,549,49,4894
POA3107,55,10,20,0,89,13,4,8,0,28,15,7,11,5,32,12,7,6,0,20,54,11,11,0,76,17,23,25,0,69,172,32,23,0,228,123,47,54,7,220,119,62,72,8,257,125,72,62,6,264,67,98,38,5,206,89,95,48,0,230,145,230,80,6,449,97,203,37,3,351,78,192,29,4,305,51,169,13,0,232,154,619,32,6,805,39,109,37,0,194,23,14,6,0,45,1455,1997,602,54,4107
POA3108,144,34,83,13,277,57,6,18,4,88,30,19,13,0,56,19,6,34,0,62,107,21,54,0,185,71,39,53,8,173,314,50,80,9,447,190,98,74,11,372,199,121,117,14,455,252,171,85,12,525,157,139,81,13,387,162,163,68,11,406,311,390,137,17,864,238,251,64,18,571,170,277,37,7,488,93,196,8,0,301,287,736,43,5,1071,102,197,60,9,364,50,26,8,0,88,2962,2954,1114,155,7190
POA3109,164,50,75,0,295,62,6,16,0,92,23,17,26,3,72,19,20,22,3,63,108,30,36,4,185,87,51,59,4,198,346,96,72,4,522,232,129,88,7,460,259,190,131,11,588,275,242,101,15,632,115,257,86,15,467,164,234,88,11,496,296,593,120,11,1027,228,484,78,11,806,155,482,47,10,690,83,319,24,4,421,257,1070,71,4,1401,88,287,57,4,433,47,31,9,0,92,3008,4569,1223,125,8920
POA3111,43,6,22,0,66,7,4,6,0,20,6,0,8,0,17,3,9,7,0,12,56,11,11,0,72,23,15,11,0,50,100,23,27,0,149,77,26,24,4,132,102,44,40,0,185,102,56,42,3,202,47,75,31,3,163,83,88,29,0,201,133,178,47,6,363,88,144,29,0,261,81,166,17,0,261,40,151,7,3,202,177,701,35,0,912,41,112,23,0,181,19,16,3,0,40,1242,1818,413,21,3484
POA3113,18,9,4,0,26,3,0,6,0,10,3,0,3,0,10,6,3,0,0,5,19,3,5,0,26,13,0,8,0,23,60,4,8,0,72,43,11,22,0,74,48,16,17,0,82,68,29,24,0,125,39,41,21,3,103,40,40,23,0,108,97,115,32,0,245,67,116,20,0,199,56,139,11,0,209,32,119,8,0,155,158,606,23,0,789,28,107,30,0,166,6,4,0,0,16,796,1376,268,11,2446
POA3114,4,3,5,0,14,0,0,0,0,5,0,4,0,0,3,0,3,0,0,3,11,0,3,0,15,4,0,0,0,4,26,0,5,0,29,17,7,6,0,29,25,7,6,0,41,38,9,9,0,53,22,12,5,0,37,15,23,3,0,45,45,33,3,0,78,26,48,6,3,80,16,46,4,0,65,14,40,0,0,63,80,338,6,0,424,11,53,6,0,70,5,3,4,0,15,356,638,67,7,1058
POA3115,5,8,0,0,9,10,0,0,0,13,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,4,0,15,20,0,8,0,32,17,0,8,0,30,29,7,4,0,42,43,19,10,0,67,24,10,0,0,42,30,18,0,0,44,52,50,19,0,122,35,74,5,0,111,28,54,11,0,96,20,52,0,0,79,73,263,10,0,340,13,45,9,0,69,5,4,4,0,13,421,602,92,7,1119
POA3116,28,7,16,0,47,15,0,4,0,22,7,0,11,0,20,5,4,3,0,13,34,0,13,0,55,20,0,28,0,55,126,13,34,4,172,79,22,43,4,144,94,44,45,0,179,117,66,40,0,222,61,72,42,0,170,69,99,16,4,192,142,236,62,5,455,112,245,31,0,384,94,236,15,0,340,68,145,7,0,222,93,349,21,0,464,40,108,38,0,191,21,11,8,0,39,1211,1672,469,29,3382
