POA_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
POA2114,3,0,0,26,11,4,16,14,4,79,0,0,0,10,7,8,18,14,3,63,6,20,34,306,87,116,120,16,10,705,19,87,45,700,115,79,58,24,13,1146,0,4,18,114,35,25,17,8,6,226,6,11,11,178,39,27,25,6,0,311,0,0,0,5,6,9,3,6,0,34,0,5,3,22,15,11,3,10,0,72,0,3,3,47,15,24,49,44,19,206,0,9,7,47,35,8,6,0,4,116,4,29,109,744,242,193,110,66,13,1506,0,0,3,29,29,51,68,61,20,267,0,4,22,153,53,33,43,23,7,337,0,0,0,0,0,3,4,4,4,14,0,0,7,3,0,5,0,0,0,23,0,0,0,17,11,10,14,3,0,52,0,3,98,240,0,0,6,0,0,341,0,0,4,11,10,9,4,4,8,43,3,8,33,99,57,59,28,17,0,299,0,0,0,4,0,4,5,3,0,18
POA2115,0,0,0,10,7,10,5,0,4,28,0,0,0,0,0,8,6,9,7,27,0,5,15,80,33,41,39,4,4,224,0,9,18,129,35,29,14,10,3,248,0,0,13,52,21,15,13,3,0,123,0,0,13,94,28,32,27,9,0,203,0,3,0,24,18,11,0,0,0,51,0,0,0,9,8,4,0,0,0,29,0,0,0,9,6,23,20,18,10,83,0,0,0,4,4,0,3,0,0,16,0,17,36,321,144,95,71,17,12,716,0,4,0,37,41,72,65,35,12,264,0,14,12,64,19,13,17,3,0,137,0,0,0,0,0,6,4,9,4,16,0,0,0,4,0,9,4,0,3,18,0,0,0,6,3,12,8,0,0,27,0,0,0,13,4,0,0,0,0,11,0,0,0,0,0,0,4,0,0,6,0,4,21,54,30,40,10,3,0,160,0,0,0,0,0,0,0,0,0,3
POA2116,0,0,0,9,0,0,0,4,0,12,0,0,0,0,0,0,0,6,3,11,0,6,3,48,21,50,26,7,4,162,5,4,20,94,27,17,6,11,0,182,0,0,8,25,19,12,4,0,0,67,0,3,8,67,13,30,18,8,0,144,0,0,0,6,5,3,5,0,0,22,0,0,0,4,3,0,5,0,0,13,0,0,0,3,0,0,7,8,0,25,0,0,0,3,0,5,0,0,0,10,0,13,44,138,111,58,36,23,5,421,0,4,3,13,14,21,22,4,0,80,0,0,0,18,6,9,4,0,0,40,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,4,0,0,10,0,0,0,3,0,0,0,0,0,5,0,0,0,14,3,0,0,0,0,24,0,0,0,3,0,0,0,0,0,4,0,3,10,21,16,17,3,5,0,85,0,0,0,0,0,0,0,0,0,11
POA2117,0,0,0,6,8,4,6,12,5,44,0,0,0,0,5,3,10,23,4,41,3,35,24,189,71,133,96,11,3,566,5,28,47,275,84,63,40,26,8,566,0,0,9,53,35,25,8,4,4,142,0,15,27,135,47,48,38,10,0,309,0,3,5,28,23,17,0,0,0,80,0,4,4,14,11,0,7,3,4,43,0,0,3,14,8,13,19,30,16,105,0,0,8,20,14,10,0,0,0,59,5,55,114,458,322,228,111,56,5,1359,7,5,4,80,88,126,87,49,11,452,0,12,17,95,62,42,51,16,0,295,0,0,0,0,0,0,6,5,8,17,0,0,0,5,5,0,0,0,4,16,0,0,0,7,3,3,0,0,0,18,0,0,3,9,9,4,0,0,0,24,0,0,0,4,3,0,4,12,0,27,0,12,45,72,53,41,25,9,0,265,0,0,0,0,0,0,0,0,0,0
POA2118,0,4,7,12,12,8,8,28,3,65,0,0,0,0,0,0,8,15,11,42,10,61,68,384,147,406,233,50,6,1367,17,186,87,700,170,106,70,28,10,1368,0,8,14,82,51,27,27,17,6,229,3,41,38,275,65,48,29,3,3,500,0,9,4,15,10,0,0,0,0,34,0,0,0,6,9,5,6,0,3,34,0,0,0,15,0,17,28,26,7,103,0,8,10,29,13,8,0,0,0,73,0,64,105,446,349,163,93,31,9,1254,0,0,0,14,36,45,35,18,4,154,0,17,47,112,89,64,91,42,9,476,0,0,0,0,0,0,10,0,0,13,0,0,0,8,5,0,7,4,0,20,0,0,0,8,20,16,14,4,0,68,0,0,6,37,14,0,0,0,0,54,0,5,0,0,0,0,6,7,9,25,0,17,44,57,27,36,20,11,3,231,0,0,0,3,0,0,0,0,0,10
POA2119,0,0,4,7,8,3,6,10,3,39,0,0,0,0,0,0,0,3,0,6,3,21,20,81,60,123,71,11,0,386,0,31,23,175,115,67,18,20,3,442,0,0,3,16,11,0,10,0,0,42,0,3,0,34,11,6,7,0,0,68,0,3,0,5,0,0,0,6,0,8,0,3,0,3,9,7,6,6,0,37,0,0,0,5,9,9,13,5,7,45,0,0,7,6,0,8,3,0,0,27,0,24,8,86,77,32,27,10,0,261,0,0,0,14,9,4,8,5,0,34,0,15,14,42,36,28,46,17,3,196,0,0,0,0,0,6,4,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,0,5,5,4,5,0,0,14,0,0,6,4,7,3,0,0,0,20,0,0,5,0,3,0,6,8,3,20,3,17,26,33,31,32,36,21,0,201,0,0,0,0,0,0,0,0,0,0
POA2120,0,0,11,13,10,21,22,11,4,88,0,0,3,3,0,3,0,4,3,16,3,22,24,77,58,122,76,17,3,410,0,46,53,334,155,97,63,26,14,789,0,0,3,28,21,13,3,6,0,79,0,12,9,108,41,22,23,3,0,221,0,0,0,0,0,0,3,0,0,10,0,3,3,12,23,13,8,4,0,70,0,0,0,6,0,11,14,14,7,50,0,4,5,17,14,8,0,5,0,56,0,31,44,147,111,67,43,18,3,454,0,0,0,18,9,43,43,55,15,193,0,6,11,42,44,47,40,16,3,210,0,0,0,0,0,0,3,3,0,9,0,0,0,10,5,5,4,0,0,24,0,0,0,9,11,11,3,0,0,34,0,0,12,29,7,0,0,0,0,49,0,0,6,6,11,0,7,4,0,42,5,20,20,53,71,52,36,14,6,281,0,0,0,0,0,5,0,0,0,4
POA2121,0,5,5,13,5,6,11,18,10,65,0,0,0,5,4,3,7,3,0,26,6,104,108,525,221,392,335,35,9,1740,60,461,150,1618,301,240,111,29,23,2991,0,8,22,95,55,30,23,13,4,246,0,7,12,142,37,32,21,6,0,257,0,0,0,3,3,0,0,0,0,15,0,3,3,6,14,13,11,8,0,54,0,0,0,13,3,16,33,22,14,110,0,11,12,36,31,9,3,5,0,107,10,124,250,861,565,279,142,45,8,2286,0,0,0,7,4,8,8,3,0,39,0,21,45,180,85,99,107,42,3,585,0,0,0,0,0,0,0,0,0,4,0,0,4,6,0,3,4,0,0,22,0,0,0,19,12,3,7,6,0,46,0,0,46,99,3,0,0,0,0,155,0,0,7,3,7,7,3,6,3,36,5,24,64,65,47,51,35,19,3,317,0,0,0,0,0,0,5,0,0,3
POA2122,0,3,5,25,15,7,15,10,5,91,0,0,0,0,0,3,8,14,3,37,9,42,72,412,198,325,282,43,12,1395,9,52,102,548,93,95,63,31,6,991,0,14,49,169,75,66,51,29,12,460,0,4,10,146,36,41,40,14,10,301,0,0,0,4,0,8,5,3,0,21,0,0,0,19,5,8,10,11,4,57,0,0,4,25,7,26,86,95,57,310,0,9,10,52,31,20,11,7,0,139,3,38,118,564,348,243,178,78,18,1585,0,0,0,7,14,19,22,10,10,90,0,8,55,258,97,95,101,54,15,677,0,0,0,0,0,3,3,12,0,19,0,0,0,6,5,3,0,0,3,27,0,0,9,11,12,3,10,3,0,49,0,0,29,99,3,0,0,0,0,130,0,0,3,5,3,5,4,6,8,30,0,19,34,64,51,53,25,13,5,261,0,0,0,0,5,3,0,7,0,9
POA2125,0,3,0,7,0,12,8,15,0,51,0,0,0,0,0,8,5,6,0,25,0,18,27,119,53,156,188,27,6,583,0,15,37,193,150,129,122,49,21,711,0,0,8,43,14,24,23,7,7,118,0,3,8,77,31,40,24,9,0,204,0,0,0,4,0,0,0,0,0,11,0,0,4,9,3,13,13,7,0,47,0,0,0,4,6,19,26,23,14,88,0,5,0,12,5,0,3,5,0,31,0,12,12,77,71,62,40,20,3,296,0,0,0,8,24,19,16,6,4,78,0,6,11,42,39,61,82,25,7,268,0,0,0,0,0,3,3,5,6,10,0,0,5,0,0,3,0,0,0,11,0,0,0,8,3,5,5,0,0,21,0,0,0,8,4,0,0,0,0,13,0,0,0,0,6,7,5,12,0,32,0,16,28,51,37,44,40,12,0,231,0,0,0,0,0,0,0,0,0,0
POA2126,0,0,7,10,10,11,4,13,9,66,0,0,0,0,0,0,10,7,4,24,8,40,31,113,57,182,149,16,0,593,5,155,149,606,400,176,115,63,11,1687,0,0,11,34,46,36,37,21,4,193,0,14,19,81,69,51,49,28,0,307,0,0,0,8,11,6,3,0,0,25,0,3,3,0,15,12,3,3,0,50,0,0,5,11,10,20,25,12,3,80,0,9,6,8,13,6,3,0,0,47,0,32,39,111,117,54,44,15,0,420,0,0,0,4,12,18,15,4,0,63,0,21,67,75,109,80,106,66,12,534,0,0,0,0,0,4,4,3,0,6,0,0,0,7,4,10,7,0,3,27,0,0,0,5,5,6,3,0,0,13,0,0,3,12,13,0,0,0,0,37,0,0,11,0,4,3,5,9,7,35,3,14,31,37,42,44,24,12,7,203,0,0,0,0,0,0,0,0,0,3
POA2127,0,0,0,25,10,11,4,0,0,56,3,5,0,5,0,0,5,0,0,14,7,21,57,259,63,52,53,7,0,513,10,31,43,660,60,30,26,4,0,865,0,6,21,147,41,25,16,0,0,269,0,8,14,347,38,16,5,0,0,442,0,0,5,31,4,3,4,0,0,51,0,0,0,47,4,0,0,0,0,57,0,0,9,54,17,21,19,4,0,119,7,3,9,49,20,7,0,4,0,100,9,66,118,1247,370,164,82,30,8,2101,0,0,0,36,21,12,0,0,0,79,5,6,10,185,44,17,17,13,0,303,0,0,0,0,0,6,4,0,0,6,0,0,3,14,4,0,0,0,0,20,0,0,0,15,3,3,3,0,0,19,0,0,8,31,9,0,0,0,0,47,0,0,7,10,0,0,6,0,0,23,4,7,43,136,49,39,25,6,0,309,0,0,0,7,0,0,0,0,0,12
POA2128,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,4,0,0,17,0,13,9,59,15,0,0,0,0,93,0,3,0,18,9,0,0,0,0,27,0,4,3,17,0,0,0,0,0,29,0,0,0,11,3,0,0,0,0,13,0,0,0,7,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,5,0,3,13,189,48,64,25,4,0,343,0,0,0,28,25,12,7,3,0,80,0,0,4,21,3,0,0,0,0,29,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,3,0,0,3,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,6,13,34,7,4,6,0,0,68,0,0,0,4,0,0,0,0,0,8
POA2130,0,0,0,15,5,0,4,0,0,28,0,0,0,0,4,4,4,16,11,40,0,0,6,26,5,5,5,0,0,44,0,5,3,60,9,5,6,0,0,92,0,0,0,7,6,0,3,0,0,24,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,10,23,10,5,0,4,0,48,0,0,0,7,3,10,16,18,18,74,0,0,0,17,8,0,0,3,0,28,0,3,4,29,9,0,3,16,43,117,0,0,0,3,3,3,3,5,3,28,0,0,7,37,4,11,8,0,0,66,0,0,0,0,0,0,3,4,0,3,0,0,0,4,0,0,0,0,0,5,0,0,0,0,5,4,0,0,0,6,0,0,27,41,0,0,0,0,0,74,0,0,8,0,0,0,0,0,0,16,0,0,12,58,39,15,13,5,0,136,0,0,0,4,0,0,0,0,0,8
POA2131,0,0,0,36,3,7,14,11,5,78,0,0,0,9,3,8,27,73,56,175,0,6,34,92,34,53,53,15,15,307,10,56,45,459,76,34,30,21,10,742,0,5,13,98,22,12,4,11,4,175,0,0,3,21,4,0,7,6,0,45,0,0,0,7,0,0,0,0,0,12,0,3,5,39,6,12,16,6,5,93,0,7,5,55,25,38,63,108,83,375,0,0,0,40,29,17,4,6,0,99,0,0,19,88,50,30,20,11,3,227,0,3,0,14,21,25,36,35,13,152,0,5,24,153,35,20,35,14,3,289,0,0,0,5,0,0,0,6,3,19,0,0,0,15,10,8,3,5,3,42,0,0,3,8,9,10,0,3,3,33,0,22,545,928,28,9,8,3,0,1547,0,0,0,4,0,0,3,7,0,18,3,12,24,132,59,71,35,18,3,359,0,0,0,0,3,0,0,0,0,10
POA2132,0,0,0,9,0,9,7,6,5,35,0,0,0,4,0,16,25,54,36,136,3,5,9,32,26,31,25,7,0,133,0,12,9,80,26,29,10,4,8,175,0,3,3,27,5,3,7,8,0,54,0,0,0,8,0,0,4,0,0,15,0,0,0,0,7,5,0,0,0,4,0,0,0,25,11,10,10,6,0,58,0,0,3,13,19,40,91,118,82,362,0,0,5,16,9,4,0,0,0,26,0,6,16,44,38,18,7,7,3,137,0,0,4,29,21,49,59,36,14,210,0,0,6,49,11,11,10,7,0,95,0,0,0,0,0,4,9,4,0,14,0,0,0,0,0,3,4,0,0,5,0,0,5,0,7,8,8,4,0,28,0,0,39,30,6,0,0,0,0,76,0,0,0,0,5,0,0,0,0,8,0,3,9,44,27,37,16,3,0,137,0,0,0,0,0,3,0,0,0,8
POA2133,0,0,0,4,0,3,7,0,0,22,0,0,0,8,3,14,46,49,18,135,0,4,3,26,11,30,25,0,4,109,0,0,12,68,25,23,20,5,5,169,0,0,5,21,10,10,10,6,3,60,0,0,0,6,4,3,0,0,0,9,0,0,3,6,0,6,0,0,0,11,0,3,0,37,25,13,7,5,0,91,0,3,0,38,38,77,142,130,54,473,0,0,0,16,6,3,0,0,0,27,0,0,3,23,36,31,24,10,8,135,0,0,9,48,62,81,81,49,20,356,0,0,0,18,11,9,13,5,0,54,0,0,0,0,0,0,0,9,0,10,0,0,0,3,4,0,3,0,0,18,0,0,0,8,5,0,0,0,0,11,0,0,8,12,5,0,0,0,0,20,0,0,0,0,0,0,3,0,0,11,0,14,14,46,27,37,21,5,3,171,0,0,0,0,0,3,0,0,0,8
POA2134,0,0,0,5,0,0,12,8,0,27,0,0,0,4,3,4,21,48,19,99,0,24,85,196,57,74,75,10,0,519,8,45,48,320,43,22,22,5,4,514,0,0,57,156,23,13,9,8,5,274,0,0,0,19,7,4,3,0,0,31,0,0,3,10,3,0,0,0,0,14,0,0,0,13,3,3,6,0,3,34,0,0,3,20,4,14,42,53,60,195,0,6,13,38,10,4,4,0,3,80,0,5,38,191,62,56,20,22,6,400,0,0,6,12,11,27,31,16,3,105,0,0,89,375,53,26,12,8,3,568,0,0,0,0,0,0,3,5,0,10,0,0,3,4,3,0,0,0,0,6,0,0,0,8,3,16,5,8,0,41,0,0,818,651,14,3,0,0,0,1487,0,0,0,0,0,0,0,0,0,3,0,0,30,49,18,25,15,8,0,144,0,0,0,0,0,0,4,0,0,8
POA2135,0,0,0,8,0,4,15,15,5,51,0,0,8,0,6,13,29,47,38,132,11,12,35,140,75,118,105,21,7,524,17,87,109,1004,211,143,118,50,32,1775,4,0,24,110,22,20,19,9,0,204,0,0,0,27,11,4,4,0,0,42,0,0,0,10,11,4,0,6,0,31,0,0,0,23,9,15,8,3,0,60,0,0,0,23,17,32,76,83,52,282,0,3,8,27,6,3,0,3,0,55,4,32,122,715,239,251,134,87,28,1612,0,5,6,57,96,100,61,38,23,385,0,3,26,140,45,38,50,40,15,363,0,0,0,0,0,0,4,4,0,10,0,0,0,6,0,0,0,3,0,10,0,0,11,20,7,19,0,9,5,66,0,8,2015,1474,20,0,0,0,0,3517,0,0,0,0,4,0,0,0,0,8,0,9,38,50,22,19,18,9,7,157,0,0,0,0,3,0,0,0,0,8
POA2136,0,0,0,5,0,3,4,4,0,15,0,0,0,0,3,15,19,35,13,89,0,0,7,31,27,28,35,5,0,140,3,27,25,195,39,33,30,9,3,359,0,4,3,22,12,4,3,3,0,51,0,0,0,10,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,4,0,17,6,9,0,0,0,35,0,0,0,25,11,35,53,62,35,221,0,0,0,0,5,0,0,0,0,6,0,4,19,74,58,57,25,9,3,244,0,3,8,26,33,38,35,19,8,170,0,0,5,38,17,9,4,10,0,82,0,0,0,0,0,0,3,8,0,11,0,0,0,5,0,3,3,0,0,7,0,0,6,3,0,0,0,0,0,14,0,0,5,29,6,0,0,0,0,37,0,0,0,0,0,0,0,0,3,6,0,4,10,27,13,13,3,6,0,73,0,0,0,0,0,0,0,0,0,5
POA2137,0,0,3,21,7,19,15,7,4,87,0,0,4,6,9,28,53,79,43,221,6,16,23,108,62,71,87,17,0,381,7,24,31,306,76,46,42,39,14,581,0,0,7,73,15,11,12,3,3,119,0,0,4,76,19,6,11,9,0,123,0,0,0,9,4,5,0,0,0,21,0,0,3,63,43,31,17,13,3,163,0,8,14,63,79,156,298,302,207,1121,0,4,3,28,13,7,4,3,0,62,4,38,38,265,143,108,54,28,7,689,0,6,6,57,50,66,61,33,15,299,0,3,10,77,55,38,47,39,7,266,0,0,0,3,0,4,25,10,12,53,0,0,0,13,7,3,3,0,5,31,0,0,0,8,3,0,5,0,0,20,0,0,107,100,5,0,0,0,0,217,0,6,4,6,4,9,0,4,0,34,0,4,17,88,69,53,28,28,0,292,0,0,0,0,10,3,5,0,0,22
POA2138,0,0,0,10,4,4,9,6,3,26,0,4,0,6,3,0,19,30,16,79,3,16,67,265,47,86,63,16,0,567,15,39,49,725,83,27,31,4,0,982,0,4,29,137,27,12,10,0,0,220,3,4,6,154,18,4,8,0,0,190,0,0,0,14,8,4,0,0,0,25,0,4,5,46,7,8,3,4,0,76,0,0,9,32,24,45,83,72,24,293,0,3,8,34,12,8,0,0,0,69,7,19,97,843,186,138,84,34,3,1410,0,0,5,30,10,10,9,11,0,80,0,0,24,147,31,19,31,8,0,262,0,0,0,6,0,4,6,4,0,15,0,0,0,7,0,0,3,3,0,17,0,0,7,25,0,0,0,0,0,33,0,0,68,62,8,0,0,0,0,135,0,0,4,0,3,3,4,4,3,20,3,9,20,85,43,21,14,3,0,200,0,0,0,7,0,3,0,0,0,6
POA2140,0,0,0,9,0,0,3,5,0,19,0,0,0,3,0,4,3,8,3,26,0,3,31,130,35,40,25,6,0,286,121,398,256,2762,210,78,25,19,0,3856,0,8,13,139,28,10,8,0,0,204,0,0,4,38,0,0,0,0,0,47,0,0,0,8,0,0,0,0,0,9,0,0,0,21,8,4,0,0,0,31,0,0,4,30,13,5,5,3,6,69,3,3,9,37,9,6,0,0,0,63,0,27,90,629,187,113,66,40,4,1147,0,0,5,19,14,9,15,7,5,66,0,7,44,162,15,22,8,8,0,272,0,0,0,0,0,0,0,0,0,4,0,0,0,12,3,0,0,0,0,13,0,0,5,16,8,15,0,0,0,46,0,11,656,1095,30,5,0,0,0,1806,0,0,0,0,0,0,3,0,0,8,5,17,43,76,16,14,12,0,0,185,0,0,0,0,0,0,0,0,0,0
POA2141,0,0,0,13,9,0,7,6,0,34,0,0,0,5,4,4,9,29,8,70,0,18,40,177,48,95,64,3,3,451,5,12,86,387,74,62,43,15,9,695,0,4,20,116,30,15,23,11,0,221,0,7,7,67,7,11,4,0,0,108,0,4,0,35,21,12,3,0,0,69,0,0,0,11,8,0,9,0,0,39,0,0,3,20,4,12,26,28,22,111,0,0,0,33,10,6,3,0,0,59,32,56,273,1993,557,543,196,89,16,3749,0,5,13,105,85,98,88,48,10,463,0,4,32,261,52,52,32,17,3,449,0,0,0,0,0,0,6,4,0,14,0,0,6,6,0,7,0,0,0,18,0,4,18,80,64,48,26,13,0,259,6,12,675,916,21,6,4,4,0,1639,0,0,0,0,0,0,0,0,0,9,5,14,44,125,44,35,25,0,0,288,0,0,0,0,0,3,15,6,0,31
POA2142,0,0,0,8,4,3,3,4,4,20,0,0,0,0,0,0,8,23,11,43,4,0,11,46,14,25,20,8,0,119,57,201,327,1984,158,72,54,14,6,2869,0,0,13,50,13,7,10,0,0,106,0,3,23,128,27,13,13,9,0,220,0,12,23,141,82,64,16,3,0,341,0,0,0,13,9,0,9,0,0,26,0,0,0,3,6,4,13,12,7,43,0,0,0,22,3,0,0,0,0,32,0,9,21,85,37,45,17,19,5,234,7,27,44,375,328,332,299,156,35,1600,0,4,12,109,14,21,14,0,6,179,0,0,0,0,0,5,7,3,6,16,0,0,0,14,0,3,0,0,4,21,0,0,16,27,13,9,9,5,0,77,0,10,932,1330,76,18,9,0,0,2372,0,0,3,0,4,3,0,0,0,12,3,17,44,82,46,28,10,3,0,240,0,0,0,0,4,0,10,0,0,10
POA2143,0,0,0,4,4,0,3,7,0,16,0,0,0,0,0,0,13,8,0,25,0,0,5,21,5,16,6,0,0,55,0,9,16,90,16,16,12,5,0,166,0,8,5,23,14,14,6,0,0,75,0,4,4,13,3,5,0,0,0,25,0,6,3,38,20,11,3,3,0,85,0,0,0,5,0,6,0,0,0,7,0,0,0,0,7,6,6,13,5,46,0,0,0,0,0,0,0,0,0,3,3,0,15,70,46,31,19,6,0,188,0,7,16,103,74,71,53,19,0,351,0,0,9,39,16,12,6,0,0,77,0,0,0,0,0,0,3,0,0,4,0,0,0,5,0,5,3,0,0,10,0,5,0,28,8,4,10,4,0,56,0,0,21,37,7,6,0,0,0,61,0,0,0,0,0,0,0,0,0,0,4,12,25,43,14,13,12,4,0,121,0,0,0,5,3,9,13,8,0,31
POA2144,0,0,6,4,8,0,5,0,0,38,0,0,0,0,0,5,23,18,15,62,0,3,15,72,23,66,25,4,0,221,44,194,186,1382,155,100,35,14,3,2117,0,7,12,62,27,20,19,11,0,150,0,15,49,78,23,13,3,0,0,181,0,19,55,204,132,90,16,6,3,521,0,0,0,0,0,0,3,0,0,10,0,0,6,8,4,13,19,34,34,119,0,0,0,7,7,3,0,0,0,23,5,9,26,202,69,68,36,20,10,446,3,10,34,198,221,271,239,116,28,1125,3,15,44,203,37,24,24,13,0,359,0,0,0,3,0,0,10,14,5,32,0,0,0,3,3,0,6,0,0,11,0,7,5,49,38,19,9,0,0,121,0,24,2072,2839,37,22,11,4,0,5009,0,0,0,0,0,0,0,0,0,0,0,29,29,48,19,19,9,0,0,158,0,0,0,4,0,3,7,3,0,17
POA2145,6,5,8,26,18,11,30,36,9,143,0,0,4,10,15,31,82,135,49,322,0,9,9,115,50,129,84,14,3,408,416,2024,1426,11877,1525,638,380,121,43,18453,0,8,14,92,43,38,26,16,0,242,0,26,70,344,104,75,31,15,12,680,0,17,32,202,108,91,19,12,8,494,0,8,7,20,25,28,27,25,8,149,0,4,12,36,26,72,149,126,81,509,0,4,0,21,11,10,0,6,0,50,5,24,20,163,98,85,53,37,9,489,14,43,65,519,508,574,345,172,37,2266,9,13,27,129,69,50,65,23,9,395,0,0,0,9,10,56,359,385,135,959,0,0,4,34,9,16,35,12,7,114,0,0,0,55,15,35,20,12,3,144,0,14,255,829,67,23,8,3,0,1198,0,0,5,0,3,7,20,19,11,64,17,92,183,355,195,116,73,21,3,1060,0,0,0,10,7,8,4,0,0,18
