POA_CODE_2021,CANA_HNA_MHC_dep_anx,CANA_HNA_Stroke,CANA_HNA_oth_LTHC,CANA_HNA_no_LTHC,CANA_HNA_LTHC_NS,CANA_HNA_Tot,CANA_dsnt_HNA_Arth,CANA_dsnt_HNA_Asth,CANA_dsnt_HNA_Can_rem,CANA_dsnt_HNA_Dem_Alzh,CANA_dsnt_HNA_Dis_ges_dia,CANA_dsnt_HNA_HD_HA_ang,CANA_dsnt_HNA_Kid_dis,CANA_dsnt_HNA_LC_COPD_emph,CANA_dsnt_HNA_MHC_dep_anx,CANA_dsnt_HNA_Stroke,CANA_dsnt_HNA_oth_LTHC,CANA_dsnt_HNA_no_LTHC,CANA_dsnt_HNA_LTHC_NS,CANA_dsnt_HNA_Tot,CANA_NFA_NS_Arth,CANA_NFA_NS_Asth,CANA_NFA_NS_Can_rem,CANA_NFA_NS_Dem_Alzh,CANA_NFA_NS_Dia_ges_dia,CANA_NFA_NS_HD_HA_ang,CANA_NFA_NS_Kid_dis,CANA_NFA_NS_LC_COPD_emph,CANA_NFA_NS_MHC_dep_anx,CANA_NFA_NS_Stroke,CANA_NFA_NS_oth_LTHC,CANA_NFA_NS_no_LTHC,CANA_NFA_NS_LTHC_NS,CANA_NFA_NS_Tot,CANA_Tot_Arth,CANA_Tot_Asth,CANA_Tot_Can_rem,CANA_Tot_Dem_Alzh,CANA_Tot_Dia_ges_dia,CANA_Tot_HD_HA_ang,CANA_Tot_Kid_dis,CANA_Tot_LC_COPD_emph,CANA_Tot_MHC_dep_anx,CANA_Tot_Stroke,CANA_Tot_oth_LTHC,CANA_Tot_no_LTHC,CANA_Tot_LTHC_NS,CANA_Tot_Tot,ADFS_CS_Arth,ADFS_CS_Asth,ADFS_CS_Can_rem,ADFS_CS_Dem_Alzh,ADFS_CS_Dia_ges_dia,ADFS_CS_HD_HA_ang,ADFS_CS_Kid_dis,ADFS_CS_LC_COPD_emph,ADFS_CS_MHC_dep_anx,ADFS_CS_Stroke,ADFS_CS_oth_LTHC,ADFS_CS_no_LTHC,ADFS_CS_LTHC_NS,ADFS_CS_Tot,ADFS_PS_NCS_Arth,ADFS_PS_NCS_Asth,ADFS_PS_NCS_Can_rem,ADFS_PS_NCS_Dem_Alzh,ADFS_PS_NCS_Dia_ges_dia,ADFS_PS_NCS_HD_HA_ang,ADFS_PS_NCS_Kid_dis,ADFS_PS_NCS_LC_COPD_emph,ADFS_PS_NCSMHC_dep_anx,ADFS_PS_NCS_Stroke,ADFS_PS_NCS_oth_LTHC,ADFS_PS_NCS_no_LTHC,ADFS_PS_NCS_LTHC_NS,ADFS_PS_NCS_Tot,ADFS_Tot_Ser_Arth,ADFS_Tot_Ser_Asth,ADFS_Tot_Ser_Can_rem,ADFS_Tot_Ser_Dem_Alzh,ADFS_Tot_Ser_Dia_ges_dia,ADFS_Tot_Ser_HD_HA_ang,ADFS_Tot_Ser_Kid_dis,ADFS_Tot_Ser_LC_COPD_emph,ADFS_Tot_SerMHC_dep_anx,ADFS_Tot_Ser_Stroke,ADFS_Tot_Ser_oth_LTHC,ADFS_Tot_Ser_no_LTHC,ADFS_Tot_Ser_LTHC_NS,ADFS_Tot_Ser_Tot,ADFS_HNS_Arth,ADFS_HNS_Asth,ADFS_HNS_Can_rem,ADFS_HNS_Dem_Alzh,ADFS_HNS_Dia_ges_dia,ADFS_HNS_HD_HA_ang,ADFS_HNS_Kid_dis,ADFS_HNS_LC_COPD_emph,ADFS_HNS_MHC_dep_anx,ADFS_HNS_Stroke,ADFS_HNS_oth_LTHC,ADFS_HNS_no_LTHC,ADFS_HNS_LTHC_NS,ADFS_HNS_Tot,ADFS_NS_Arth,ADFS_NS_Asth,ADFS_NS_Can_rem,ADFS_NS_Dem_Alzh,ADFS_NS_Dia_ges_dia,ADFS_NS_HD_HA_ang,ADFS_NS_Kid_dis,ADFS_NS_LC_COPD_ang,ADFS_NS_MHC_dep_anx,ADFS_NS_Stroke,ADFS_NS_oth_LTHC,ADFS_NS_no_LTHC,ADFS_NS_LTHC_NS,ADFS_NS_Tot,ADFS_Tot_Arth,ADFS_Tot_Asth,ADFS_Tot_Can_rem,ADFS_Tot_Dem_Alzh,ADFS_Tot_Dia_ges_dia,ADFS_Tot_HD_HA_ang,ADFS_Tot_Kid_dis,ADFS_Tot_LC_COPD_emph,ADFS_Tot_MHC_dep_anx,ADFS_Tot_Stroke,ADFS_Tot_oth_LTHC,ADFS_Tot_no_LTHC,ADFS_Tot_LTHC_NS,ADFS_Tot_Tot
POA2832,24,5,33,3,0,72,97,125,37,0,89,58,10,27,73,7,57,918,49,1338,3,0,0,0,3,0,0,0,5,0,0,17,717,738,123,136,45,6,110,68,18,39,100,12,88,933,762,2149,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,3,0,3,0,0,0,4,0,4,11,0,27,5,0,3,0,3,0,0,0,4,0,4,17,0,28,112,112,40,6,99,63,18,38,86,11,79,668,31,1089,7,0,0,0,3,4,0,7,0,0,0,4,538,554,123,112,45,6,108,68,18,39,101,12,81,689,568,1676
POA2833,0,0,8,7,0,30,45,40,8,0,41,22,6,10,20,5,21,300,13,454,0,0,0,0,0,0,0,0,0,0,0,0,149,146,56,42,13,0,46,32,3,18,24,6,21,309,164,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,3,51,37,13,0,46,28,5,16,22,5,19,221,12,388,0,0,0,0,0,3,0,3,0,0,0,0,108,117,56,33,13,0,46,28,5,18,24,6,21,227,128,512
POA2834,60,14,70,21,3,203,194,119,55,3,95,87,16,58,133,22,96,749,59,1369,3,9,0,0,0,0,0,0,4,0,0,5,393,415,286,158,80,19,131,134,31,100,195,28,170,769,458,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,3,0,10,6,0,8,6,0,3,8,3,49,12,7,3,0,10,6,0,8,6,0,3,13,3,49,261,133,72,17,119,131,22,85,182,27,150,558,50,1290,5,0,0,0,0,0,0,0,0,0,3,7,342,356,286,142,80,19,131,136,27,95,191,28,161,577,393,1695
POA2835,48,21,55,10,0,172,231,297,69,4,166,122,26,48,195,20,153,2029,95,3043,3,5,3,0,0,0,0,0,0,0,0,18,555,586,294,326,96,35,208,167,30,64,245,34,212,2056,651,3793,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,4,0,4,4,0,0,9,0,6,30,0,52,6,4,4,0,7,4,0,0,9,0,6,32,0,54,285,267,92,30,191,152,30,64,230,30,176,1448,68,2476,0,0,0,4,4,4,0,0,0,0,4,23,434,469,299,268,96,35,208,159,30,64,236,34,186,1497,502,3002
POA2836,3,7,4,3,0,21,44,51,11,0,37,29,6,3,40,5,22,495,31,700,0,0,0,0,0,0,0,0,0,0,0,5,169,178,49,52,9,0,45,33,6,4,43,6,29,502,207,895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,9,0,10,0,0,0,0,4,4,0,0,0,0,0,9,0,10,43,53,14,0,38,30,6,4,46,6,23,351,23,542,0,0,0,0,4,0,0,0,0,0,0,15,135,157,49,52,9,0,45,33,6,4,49,6,23,367,158,709
POA2838,0,0,0,0,0,5,9,5,3,0,25,13,6,4,11,0,4,111,9,179,0,0,0,0,0,0,0,0,0,0,0,0,43,43,12,7,4,0,26,15,3,3,11,0,4,111,53,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,4,0,21,15,4,3,11,0,4,76,5,143,0,0,0,0,0,0,0,0,0,0,0,0,38,40,12,7,4,0,26,15,3,3,11,0,4,76,40,179
POA2839,4,11,6,9,0,42,61,89,9,0,64,36,10,8,49,3,25,622,16,865,6,4,0,0,6,0,0,0,0,0,0,12,155,169,79,96,9,11,81,55,14,15,53,15,30,642,171,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,9,77,70,9,11,80,48,14,15,48,12,25,458,15,708,0,0,0,0,0,3,0,0,0,0,0,4,125,138,79,70,9,11,81,47,14,15,49,15,27,468,145,853
POA2840,23,12,36,9,0,109,110,167,47,0,94,73,19,19,118,12,108,1203,95,1829,0,4,0,0,4,0,0,0,0,0,7,15,429,457,145,189,53,20,119,108,34,39,141,21,143,1223,521,2389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,7,5,0,4,6,0,0,15,0,26,5,3,0,0,7,5,0,4,10,0,0,15,0,26,135,142,53,20,109,102,31,35,125,18,110,873,64,1486,5,3,0,0,0,6,0,0,0,0,3,16,314,345,145,149,49,20,119,108,34,35,130,21,119,909,380,1857
POA2842,12,0,23,0,0,51,70,70,19,0,30,29,4,17,47,0,51,349,16,598,0,0,0,0,0,0,0,0,0,0,0,4,60,72,90,81,29,5,45,38,6,29,59,3,70,356,79,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,4,3,0,0,4,0,4,4,0,18,10,0,4,0,4,3,0,0,4,0,4,4,0,18,78,55,25,0,40,33,6,22,53,4,66,251,20,504,5,6,0,0,0,3,0,0,0,0,0,4,51,58,90,61,29,5,45,38,6,29,51,3,68,259,69,584
POA2843,24,5,25,5,4,86,97,98,38,0,58,55,22,18,60,7,45,608,27,976,0,0,0,0,0,0,0,0,0,0,0,4,193,202,126,107,43,9,75,72,21,27,83,16,65,617,233,1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,4,0,8,7,4,4,3,3,4,7,0,38,15,10,8,0,8,7,4,4,3,3,4,7,0,41,115,83,35,9,63,63,14,26,75,10,54,448,33,840,3,0,0,0,0,0,0,0,0,0,0,7,153,164,126,92,43,9,72,72,21,27,80,16,64,458,183,1038
POA2844,16,9,30,6,0,90,164,130,50,5,66,74,19,35,78,9,62,612,38,1082,0,3,0,0,0,4,5,0,0,0,0,13,115,132,193,150,52,13,88,102,30,50,92,20,94,632,153,1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,5,4,7,3,9,8,0,8,8,0,25,6,3,9,5,4,7,3,9,8,0,8,6,0,24,185,118,44,7,79,90,33,44,80,15,74,461,30,950,4,0,0,0,3,4,0,0,5,0,3,9,98,119,193,125,52,13,88,102,30,50,85,20,89,478,126,1093
POA2845,38,6,50,17,3,138,181,188,54,0,108,66,9,35,153,12,122,1067,72,1786,4,0,0,0,0,0,0,0,0,0,0,11,80,89,234,214,65,6,131,88,26,63,194,20,177,1093,156,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,3,3,0,0,8,0,3,8,0,29,7,0,4,0,3,3,0,0,8,0,3,8,0,29,227,166,62,6,128,81,22,59,180,16,144,756,57,1490,0,0,0,0,5,0,0,0,0,0,0,6,64,67,234,170,65,6,130,88,26,63,184,20,148,766,122,1582
POA2846,3,0,5,0,0,11,36,19,7,0,11,12,0,13,10,0,17,135,3,217,5,0,0,0,0,0,0,0,0,0,0,0,18,18,51,16,12,0,14,8,3,14,19,0,24,135,19,253,0,0,0,0,0,0,0,0,0,0,0,4,0,4,6,0,0,0,0,0,0,4,0,0,0,9,0,8,6,0,0,0,0,0,0,4,0,0,0,7,0,12,43,16,12,0,14,8,3,7,19,0,20,104,3,190,0,0,0,0,0,0,0,0,0,0,0,0,18,22,51,16,12,0,14,8,3,14,19,0,24,110,19,226
POA2847,63,21,74,12,3,197,267,180,78,4,135,97,25,63,186,21,131,1178,97,2018,4,4,0,0,9,0,0,0,0,4,4,5,199,220,342,214,98,14,171,143,39,89,248,41,211,1199,300,2447,0,0,0,0,0,0,0,0,0,0,0,3,0,3,22,9,4,0,19,19,4,9,10,9,10,21,0,81,22,9,4,0,19,19,4,9,10,9,10,28,0,78,320,172,93,12,153,122,34,77,226,37,175,874,89,1780,6,0,0,0,0,0,0,0,3,0,4,3,147,164,342,186,98,14,171,142,35,89,240,41,180,902,237,2024
POA2848,58,9,60,10,4,186,195,136,53,10,107,86,21,52,146,24,77,597,39,1187,4,0,0,0,5,0,0,4,0,5,0,3,159,170,272,169,66,20,144,117,31,87,200,33,142,606,200,1540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,4,3,16,7,4,5,6,0,0,6,0,42,14,8,4,3,16,7,4,5,6,0,0,6,0,42,249,135,60,13,122,98,26,74,181,29,124,461,38,1129,8,10,0,0,8,5,0,4,4,6,7,4,104,133,272,145,66,20,144,117,27,87,193,33,133,471,147,1310
POA2849,18,4,41,8,0,92,188,105,54,4,79,61,13,41,86,6,86,825,48,1353,3,0,0,0,5,0,0,3,3,0,0,8,150,161,225,113,63,11,100,72,23,57,109,16,132,847,194,1610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,8,0,6,5,3,4,6,0,7,22,0,44,7,3,8,0,6,5,3,4,6,0,7,20,0,50,216,96,57,11,91,69,17,48,101,14,112,638,36,1195,0,0,0,0,0,0,0,0,0,0,0,4,122,130,225,98,63,11,98,72,23,52,106,16,119,663,158,1375
POA2850,267,86,351,103,26,1055,1391,1571,428,17,675,637,113,309,1456,104,969,10705,668,16722,18,13,9,3,10,9,0,7,16,0,11,90,1218,1362,1752,1722,531,133,864,843,179,474,1740,188,1327,10889,1913,19146,5,0,0,0,0,0,0,0,0,0,0,11,0,18,90,37,37,11,53,74,8,38,64,7,36,190,9,446,98,42,37,11,53,75,8,38,66,7,36,202,7,461,1613,1379,482,117,782,745,158,423,1573,172,1142,7647,525,13677,30,8,15,5,16,13,4,11,12,5,13,56,964,1100,1742,1430,524,133,857,833,179,468,1650,188,1195,7905,1500,15243
POA2852,53,13,91,29,7,236,337,332,95,3,148,160,30,77,289,27,197,1983,94,3166,3,6,0,0,0,5,0,0,6,0,0,20,291,325,427,392,119,23,181,210,47,113,351,40,295,2030,396,3734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,17,9,0,15,23,0,5,18,3,14,45,0,114,35,17,9,0,15,23,0,5,18,3,14,42,0,117,386,302,108,19,158,179,46,106,300,32,240,1400,81,2585,11,0,3,0,5,6,0,0,3,0,7,15,229,263,427,316,119,23,178,204,47,115,329,40,258,1459,315,2960
POA2864,6,0,10,0,0,32,106,71,14,4,36,42,0,17,71,7,44,433,17,731,0,0,0,0,0,0,0,0,0,0,0,0,53,55,119,74,18,5,44,51,8,27,76,5,59,438,73,824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,3,0,0,0,0,0,10,0,24,3,4,0,0,3,3,0,0,0,0,0,11,0,25,115,58,17,0,37,45,4,26,69,5,51,296,16,583,0,0,0,0,0,0,0,0,0,0,0,0,47,57,119,64,18,5,42,51,8,27,70,5,53,311,64,660
POA2865,11,0,10,4,0,40,89,89,21,0,55,35,0,13,71,6,48,494,25,818,5,4,0,0,0,0,0,0,5,0,0,3,58,72,105,96,29,0,60,45,3,18,84,3,62,505,87,927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,3,8,0,18,9,0,0,0,0,0,0,0,6,0,3,8,0,18,101,76,29,0,56,41,3,12,71,3,58,348,23,674,0,0,0,0,0,0,0,0,0,0,0,13,53,66,105,77,29,0,60,45,3,18,77,3,62,362,81,755
POA2866,37,4,49,17,24,169,259,257,85,4,136,98,25,61,235,18,163,1724,94,2703,5,0,0,0,0,0,0,0,0,0,0,13,220,242,308,284,103,18,145,130,33,79,277,21,211,1752,341,3112,0,0,0,0,0,0,0,0,0,0,0,3,0,5,14,3,9,0,7,14,3,5,10,5,7,22,6,57,14,3,9,0,7,14,3,5,10,5,10,22,6,60,286,208,91,16,132,109,24,70,249,18,178,1229,74,2178,14,7,10,0,9,4,0,0,6,0,3,13,184,225,307,222,103,18,147,123,33,79,262,21,188,1273,262,2463
POA2867,8,5,16,4,0,41,49,52,24,0,26,23,6,12,37,9,35,332,26,539,0,0,0,0,0,0,0,0,0,0,0,5,58,61,60,60,28,0,32,35,6,13,48,10,52,337,80,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,8,0,13,0,0,0,0,0,3,0,0,0,0,3,5,0,19,59,47,23,0,32,29,6,13,41,10,43,218,14,418,0,0,0,0,0,0,0,0,0,0,0,0,39,43,60,51,28,0,32,35,6,13,49,10,47,229,59,483
POA2868,21,3,19,0,0,59,49,47,7,0,25,23,4,11,50,10,29,306,14,479,0,0,0,0,0,0,0,0,0,0,0,0,32,34,73,57,22,11,30,42,7,19,72,11,43,308,50,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,6,0,4,0,0,0,3,0,8,6,0,0,0,3,6,0,4,0,0,0,3,0,8,72,40,19,11,32,37,6,17,68,12,42,219,12,422,0,0,0,0,0,0,0,0,0,0,0,0,33,31,73,44,22,11,29,39,7,19,70,11,40,223,43,465
POA2869,35,8,28,6,0,116,146,147,40,7,89,62,7,36,99,10,68,673,60,1168,6,0,0,0,0,0,4,0,3,0,0,9,223,247,205,179,50,18,121,101,22,61,136,16,96,686,281,1528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,4,8,11,6,4,6,5,6,10,0,38,7,0,10,4,8,11,6,4,6,5,6,10,0,35,192,149,42,14,111,90,18,58,124,16,87,488,42,1028,0,0,0,0,0,0,0,0,0,0,4,11,174,193,205,150,50,18,121,96,21,58,132,16,94,508,224,1254
POA2870,270,60,259,70,28,851,950,1140,286,17,539,411,74,176,986,72,614,6386,427,10405,20,17,8,0,4,3,0,8,8,0,4,42,702,781,1306,1287,362,122,686,577,131,268,1266,131,882,6500,1154,12036,3,0,0,0,0,0,0,0,0,0,0,3,0,5,64,18,22,5,40,53,6,19,31,6,36,78,10,252,64,18,22,5,38,53,6,19,37,6,35,78,10,258,1220,1049,329,121,641,514,122,245,1145,121,724,4521,338,8665,17,8,5,0,4,4,0,0,9,5,0,47,549,628,1304,1079,360,122,681,567,131,267,1184,131,758,4644,895,9550
POA2871,175,47,173,67,14,562,859,737,276,13,463,365,80,186,660,40,421,4717,314,7663,15,10,4,0,9,0,0,0,5,0,0,46,670,740,1082,828,352,86,568,471,123,245,839,91,602,4830,993,8965,0,0,0,0,0,0,0,0,0,0,0,7,0,4,37,19,19,4,31,27,4,18,23,15,11,53,3,155,37,18,19,4,33,27,4,18,25,15,11,60,3,165,993,660,315,44,508,410,109,213,732,73,504,3351,258,6348,50,22,14,33,21,28,11,13,33,6,20,44,543,678,1082,702,345,86,564,470,123,241,785,91,542,3454,799,7187
POA2873,6,0,15,0,0,36,83,58,24,0,37,29,0,5,25,11,18,255,16,461,0,0,0,0,0,0,0,0,0,0,0,0,65,65,101,64,32,3,47,43,12,15,32,8,36,255,77,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,3,4,4,0,0,0,0,0,0,13,8,0,6,0,3,4,4,0,0,0,0,0,0,13,96,48,29,3,44,43,7,15,26,8,33,189,12,411,0,0,0,0,0,0,0,0,0,0,0,4,51,57,101,53,32,3,47,43,12,15,32,8,38,192,70,475
POA2874,6,6,11,0,0,30,39,42,11,0,28,15,0,3,16,6,18,162,13,288,0,0,0,0,0,0,0,0,0,0,0,0,47,46,52,43,18,13,31,21,0,9,22,5,32,169,56,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,36,16,0,29,15,0,7,17,4,22,120,6,245,3,0,3,11,0,7,0,0,3,0,10,0,40,53,51,40,18,13,31,21,0,9,24,5,29,119,47,300
POA2875,8,6,18,12,0,62,81,54,25,0,34,26,9,14,51,14,42,389,48,678,4,0,6,0,0,0,0,0,0,0,0,9,56,65,102,65,39,9,44,37,13,17,62,15,67,407,106,802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,5,20,3,0,0,0,0,0,0,0,0,0,0,8,5,20,94,55,37,9,39,36,11,14,53,15,60,287,32,583,4,0,4,0,0,0,0,0,0,0,0,0,46,59,102,55,39,9,39,39,13,17,55,15,58,296,86,665
POA2876,7,4,14,3,0,24,39,49,12,0,19,11,7,15,28,4,26,270,14,407,0,0,0,0,0,0,0,0,0,0,0,0,55,61,46,53,11,6,20,17,7,16,38,5,42,269,79,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,8,0,11,3,0,0,0,0,0,0,5,0,0,0,8,0,11,44,41,8,6,17,17,8,17,33,5,27,185,13,320,0,0,0,0,0,0,0,0,0,0,0,0,44,49,46,41,11,6,20,17,7,16,39,5,27,194,56,375
POA2877,55,15,50,17,6,213,298,301,71,7,181,121,39,51,208,26,159,1885,118,2958,7,3,0,0,0,0,0,0,0,0,4,14,380,405,394,341,89,33,230,164,48,71,267,36,212,1917,501,3575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,3,0,3,4,0,8,6,0,5,18,3,48,11,9,3,0,3,4,0,8,6,0,5,18,3,45,372,277,81,38,219,159,44,66,242,40,181,1329,94,2449,7,4,4,0,4,0,0,0,0,0,4,21,279,304,394,283,89,33,229,167,48,68,253,36,188,1362,371,2797
POA2878,0,0,0,0,0,7,17,14,6,0,9,6,5,0,12,3,7,150,9,219,0,0,0,0,0,0,0,0,0,0,0,0,55,55,25,16,6,0,18,7,5,3,19,0,9,150,68,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,3,22,16,8,0,13,10,5,0,19,0,9,113,9,178,0,0,0,0,0,0,0,0,0,0,0,3,50,52,25,16,6,0,18,7,5,3,19,0,9,121,51,237
POA2879,9,5,16,0,0,41,61,49,16,0,39,37,6,23,34,9,17,253,20,424,0,0,0,0,0,0,0,0,0,0,0,6,102,109,78,63,22,4,52,45,13,24,46,9,32,262,119,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,4,0,3,3,10,3,3,0,0,10,7,0,4,0,4,0,3,3,10,3,3,0,0,9,68,49,18,4,51,42,13,24,36,7,27,197,18,393,0,7,0,0,0,0,0,0,0,0,0,7,88,96,78,53,22,4,52,45,13,24,46,9,33,206,107,499
POA2880,423,114,470,111,35,1472,1928,1868,449,25,1131,776,169,401,1673,122,1026,8278,672,14999,24,23,6,0,17,19,3,5,22,0,10,70,1476,1625,2527,2166,608,181,1452,1082,284,599,2119,241,1510,8462,2183,18097,3,0,0,0,0,0,0,0,0,0,0,12,3,18,134,58,33,20,83,83,19,55,69,20,63,131,16,453,132,61,39,20,84,83,27,55,74,21,60,144,18,467,2346,1773,557,155,1344,976,247,527,1941,216,1301,6094,556,13199,41,17,8,4,22,24,5,13,17,0,8,61,1176,1325,2517,1848,605,181,1452,1080,280,590,2039,241,1375,6297,1749,14992
POA2898,0,0,0,5,0,12,21,23,14,0,14,5,0,0,20,0,10,298,8,394,0,0,0,0,0,0,0,0,0,0,0,5,35,38,27,23,12,0,16,13,4,5,21,0,12,308,39,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,8,0,16,0,6,3,0,0,0,0,0,0,0,0,10,0,20,27,25,8,0,15,12,4,0,14,0,10,237,6,327,0,0,0,0,0,0,0,0,0,0,0,6,30,37,27,19,12,0,16,13,4,5,20,0,10,250,36,379
POA3000,202,32,200,74,4,502,555,1947,272,9,474,259,88,76,2537,56,1627,31728,510,38422,0,6,9,0,8,3,0,0,8,0,7,230,3903,4162,663,2018,312,35,529,310,106,104,2743,89,1834,32028,4416,43084,6,6,0,0,0,0,0,0,5,0,3,46,4,64,23,10,11,0,21,12,5,3,42,10,18,117,4,196,25,17,12,0,21,12,5,3,39,10,18,163,8,256,633,1952,299,27,505,292,97,98,2678,80,1772,30399,472,37307,3,14,0,0,4,3,0,0,10,0,9,243,3780,4064,663,1983,312,35,525,308,106,99,2730,90,1794,30811,4258,41625
POA3002,47,11,83,7,3,187,324,354,177,12,94,141,38,34,412,32,331,2889,108,4413,0,4,3,6,0,3,0,0,0,0,0,23,259,292,377,376,192,52,115,177,41,43,458,40,422,2921,369,4896,0,0,0,0,0,0,0,0,0,0,0,13,0,13,17,0,14,0,12,18,6,0,3,4,14,35,0,90,17,0,14,0,12,18,6,0,3,4,14,48,0,98,349,353,179,51,97,158,37,46,448,34,387,2616,101,4238,6,0,0,0,4,6,0,0,0,0,4,11,248,270,369,361,193,52,109,176,39,46,454,41,404,2672,348,4609
POA3003,41,7,52,20,0,127,154,504,81,0,117,87,33,19,634,8,436,5575,126,7309,0,0,0,0,0,0,0,0,0,0,5,23,556,592,177,526,91,7,125,105,36,28,679,18,489,5618,686,8025,0,4,0,0,0,0,0,0,0,0,3,8,0,13,8,5,9,0,6,3,0,0,9,0,6,33,5,60,10,6,9,0,6,3,0,0,9,0,8,37,5,71,166,495,86,7,120,98,33,30,659,17,459,5035,117,6782,0,0,0,0,0,0,0,0,0,0,0,39,537,579,180,502,89,7,125,103,39,31,664,20,471,5111,652,7440
POA3004,92,19,123,41,4,326,486,728,266,13,247,262,34,69,741,34,699,7226,219,10085,3,4,4,0,3,0,0,0,4,0,10,36,1018,1072,559,775,317,41,281,323,45,93,838,54,830,7300,1247,11482,6,0,0,0,0,0,0,0,8,0,8,41,0,50,25,10,17,4,15,19,0,0,19,5,25,74,7,156,27,10,17,4,20,24,0,0,26,5,32,109,3,210,527,727,297,36,258,294,45,90,808,52,769,6456,206,9430,7,4,4,0,5,3,0,0,3,0,3,34,977,1032,559,741,317,41,281,319,45,95,830,55,801,6601,1194,10672
POA3006,94,20,136,38,0,310,473,1300,242,9,345,255,58,71,1450,36,1090,16455,347,21010,3,5,0,0,0,0,0,0,6,0,9,100,1255,1376,536,1338,291,27,389,297,71,94,1548,54,1235,16592,1602,22699,3,4,0,0,0,0,0,0,0,0,3,55,0,69,14,13,20,0,6,17,4,3,23,0,23,86,8,173,14,13,20,0,6,17,4,5,25,0,31,142,5,239,521,1295,266,24,383,273,65,80,1510,48,1171,15180,325,19829,0,3,5,0,0,3,0,4,8,0,3,93,1157,1270,540,1311,290,27,387,290,71,90,1537,54,1201,15420,1491,21338
POA3008,56,16,102,22,0,213,325,645,192,0,273,201,43,54,696,35,692,11179,209,13851,4,4,0,0,0,0,0,0,0,0,4,75,1347,1432,373,677,219,11,303,234,56,69,752,52,807,11280,1550,15495,4,0,0,0,0,0,0,0,0,0,0,24,0,31,17,7,12,0,17,20,0,3,22,5,28,71,7,146,21,5,12,0,17,20,0,3,25,5,28,97,5,175,349,641,205,9,286,209,49,67,723,48,750,10080,186,12791,0,0,0,0,0,0,0,0,0,0,0,56,1259,1316,373,650,217,11,303,225,55,67,749,52,780,10227,1456,14283
POA3011,419,82,532,100,17,1325,744,1795,266,7,538,314,91,113,2363,59,1455,13190,514,19483,17,5,3,3,6,4,0,0,11,0,10,91,1336,1470,1147,1957,362,200,791,487,157,208,2792,136,1996,13379,1875,22278,0,5,0,0,0,0,0,0,0,0,0,16,0,22,25,11,12,5,12,16,9,8,27,3,25,107,0,188,21,17,12,5,12,16,9,8,27,3,30,124,6,214,1099,1774,342,182,769,459,146,190,2717,133,1850,10932,455,17989,20,10,0,13,4,11,0,4,9,0,13,79,1224,1349,1136,1803,354,194,789,487,158,200,2754,136,1888,11135,1685,19546
