POA_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
POA4113,970,1193,335,144,527,463,93,194,1282,99,1126,8367,349,12784,110,136,51,13,112,79,18,27,79,9,132,923,58,1495,82,53,32,17,44,55,11,12,56,15,69,223,16,492,36,19,10,8,15,15,0,6,20,10,25,103,4,209,101,26,24,14,68,59,7,15,44,6,59,350,20,626,26,27,6,0,19,12,7,0,30,0,38,312,10,432,94,90,31,10,126,72,16,12,57,10,178,1486,47,2035,111,104,100,21,246,119,35,17,114,22,386,5476,114,6598,48,65,11,5,102,54,7,6,42,10,96,2525,58,2925,28,18,4,5,17,9,4,3,21,0,34,176,6,274,35,27,17,3,25,20,0,3,31,0,53,368,6,532,679,569,282,88,787,502,103,103,503,94,1084,11946,338,15624,22,11,4,0,11,16,0,3,16,3,20,83,979,1118,1665,1773,620,234,1317,978,193,306,1799,195,2217,20396,1664,29524,..,..,..,..
POA4114,1572,2288,420,130,978,718,194,576,2528,208,1630,8338,711,15374,268,291,76,26,372,164,46,68,198,44,233,2212,175,3530,163,74,49,21,87,66,17,62,115,43,91,173,22,574,62,19,17,9,32,24,3,16,33,7,33,84,5,221,81,27,34,9,72,43,11,27,67,14,88,227,13,498,34,44,8,7,48,18,9,8,43,10,49,435,31,631,88,105,26,8,167,51,38,14,73,21,215,1938,83,2593,11,14,3,0,17,10,4,0,13,0,19,216,5,293,41,41,4,9,77,28,16,7,61,11,73,1150,33,1428,27,17,9,0,23,6,0,3,19,4,27,76,5,158,23,23,5,0,46,7,0,4,28,3,41,772,36,960,811,652,229,95,941,429,158,209,648,156,883,7269,406,10896,51,44,14,3,37,23,8,19,49,4,33,256,3018,3431,2434,2985,671,229,1963,1176,363,806,3223,370,2552,15863,4134,29702,..,..,..,..
POA4115,786,1070,280,126,427,391,74,156,1028,74,978,7164,371,10983,95,88,27,9,86,41,4,19,81,16,103,805,40,1240,134,66,46,32,55,64,5,30,72,24,87,336,19,713,37,17,8,8,16,29,0,12,23,9,28,88,4,193,50,21,19,18,37,38,6,6,31,16,42,232,12,390,8,20,4,0,15,8,3,0,16,0,24,217,13,309,62,46,21,0,81,33,5,0,30,9,94,745,24,1045,43,35,36,10,80,56,17,9,54,13,144,2164,25,2549,34,37,10,3,86,24,9,5,19,3,62,1095,29,1350,33,15,7,6,15,14,4,0,19,0,32,153,7,246,34,30,11,0,35,13,3,8,32,8,37,414,9,567,519,371,186,92,501,329,62,91,377,95,649,6249,183,8597,16,4,3,0,0,4,0,4,7,4,10,49,504,587,1322,1444,470,215,931,720,140,252,1408,171,1638,13465,1058,20169,..,..,..,..
POA4116,529,994,219,36,326,229,50,102,836,54,818,8223,382,11486,84,141,39,11,131,61,14,12,71,8,109,1192,59,1725,81,49,46,6,39,44,12,12,50,10,67,270,22,542,33,15,12,3,14,22,6,11,10,7,20,111,3,195,84,21,34,13,63,57,4,8,37,15,56,354,19,596,40,29,3,7,42,12,4,5,33,7,50,396,24,561,87,86,41,5,152,57,15,8,69,19,176,1395,46,1961,98,104,103,12,250,94,24,26,88,25,406,5006,84,6043,71,75,15,0,185,65,13,12,38,10,113,1879,67,2383,20,10,5,0,12,3,0,0,29,0,18,144,0,225,50,46,15,3,65,33,9,6,25,5,62,519,17,751,650,560,303,63,949,450,107,100,440,94,1075,11275,330,14981,16,6,0,0,13,4,0,3,5,3,11,85,867,989,1193,1562,529,100,1293,684,161,203,1282,157,1902,19583,1573,27459,..,..,..,..
POA4117,59,147,14,4,38,18,7,11,106,6,104,1086,37,1479,19,30,8,0,27,11,5,0,15,7,16,317,19,426,8,5,0,0,9,3,0,0,6,3,7,13,0,31,4,3,0,0,0,0,0,0,0,0,0,4,0,16,3,0,0,0,0,0,0,0,4,0,0,19,0,27,8,6,0,0,13,0,0,0,8,0,18,71,0,110,3,4,0,0,16,3,0,0,0,0,6,119,9,158,0,4,0,0,0,0,0,0,0,0,17,78,0,98,16,16,0,0,11,3,6,0,13,0,15,235,3,295,0,0,0,0,0,0,0,0,3,0,0,14,3,16,3,0,0,0,5,0,0,0,0,0,7,93,0,106,58,68,15,3,85,28,12,7,49,13,93,962,39,1279,0,0,0,0,0,0,0,0,0,0,0,4,185,191,121,214,31,5,125,47,16,18,157,17,195,2051,258,2954,..,..,..,..
POA4118,1583,2425,462,69,886,633,135,392,2386,155,1897,12311,868,20252,267,229,69,5,223,114,29,58,174,25,195,1932,108,2971,202,102,72,18,110,79,14,58,101,25,131,441,54,1023,60,27,19,13,36,36,8,16,27,5,44,152,19,338,134,29,29,12,105,52,11,16,75,29,86,428,23,787,19,27,5,0,24,9,0,0,25,0,32,282,13,389,59,79,20,3,95,40,14,7,53,7,128,911,33,1304,16,27,6,0,26,13,5,0,22,3,55,653,11,811,38,39,9,0,86,33,12,6,19,3,48,969,22,1214,36,20,11,3,25,21,3,0,22,3,30,190,14,323,37,28,14,0,31,14,6,7,33,4,30,370,9,521,876,597,239,64,760,408,104,166,555,107,789,6334,312,9669,28,23,4,7,18,17,8,4,20,3,19,83,1418,1567,2488,3047,713,136,1665,1063,244,558,2955,259,2696,18726,2591,31493,..,..,..,..
POA4119,206,327,56,16,101,95,17,34,285,21,258,2387,113,3454,30,34,7,3,34,15,4,3,22,4,23,296,20,442,15,15,3,4,6,6,0,0,4,6,20,62,0,115,6,0,4,0,7,0,0,6,6,0,3,26,3,56,17,4,9,0,19,16,5,3,10,0,14,133,0,193,13,11,0,0,7,0,0,0,3,0,19,94,3,143,20,9,11,0,23,8,6,0,10,6,30,241,16,347,13,22,16,0,33,14,7,6,17,0,47,679,14,828,19,19,8,4,41,11,0,0,13,0,33,564,10,675,0,3,0,0,0,0,0,0,3,0,3,33,0,49,17,12,7,0,16,7,5,0,15,0,8,175,4,236,151,130,52,11,192,92,24,20,101,18,203,2309,70,3082,0,6,0,0,0,0,0,0,0,0,0,18,246,267,358,462,112,27,295,183,41,53,388,43,465,4718,430,6809,..,..,..,..
POA4120,371,662,176,14,194,206,39,98,1048,51,713,4276,213,6970,22,40,11,0,24,15,0,10,47,3,30,236,7,376,31,18,19,0,13,19,5,10,38,4,36,191,11,338,15,12,0,4,3,5,0,4,26,0,19,92,5,160,38,21,17,6,17,21,6,5,32,10,32,144,9,261,3,4,3,0,11,3,0,0,19,0,4,80,5,112,11,18,11,0,15,10,0,0,19,0,36,279,8,378,3,10,0,0,5,5,0,0,12,0,19,256,4,312,9,12,0,0,15,5,0,0,16,0,17,530,11,603,7,18,3,0,5,4,0,0,20,0,22,228,5,288,4,14,4,0,6,4,0,4,12,0,12,113,5,165,148,166,70,10,116,97,14,37,236,32,221,2152,72,2981,4,8,0,0,6,5,0,0,3,5,4,30,388,429,525,833,248,26,309,298,56,135,1288,80,936,6451,669,10387,..,..,..,..
POA4121,1297,1876,619,136,581,637,144,288,2068,164,1773,12951,668,19961,65,79,24,3,35,29,9,14,70,5,94,482,32,799,93,69,39,5,44,48,0,12,89,11,96,539,20,902,28,20,15,8,13,23,4,7,24,0,27,264,10,379,55,14,25,6,36,30,5,11,33,9,52,227,11,405,4,6,3,0,5,9,9,3,20,0,17,120,5,167,24,29,8,3,14,11,0,0,22,4,48,459,14,594,19,23,10,3,12,15,7,0,19,0,47,633,11,762,27,29,4,4,26,11,5,7,23,3,19,434,14,556,26,27,5,6,17,5,0,4,35,3,33,303,7,432,24,15,7,0,14,9,0,0,16,0,25,207,7,304,367,311,150,40,213,183,29,50,348,40,457,3672,132,5294,17,10,8,3,13,7,0,4,15,0,15,41,727,814,1677,2196,774,173,803,826,177,346,2433,212,2242,16661,1527,26062,..,..,..,..
POA4122,2202,2914,870,250,1045,1099,244,511,3208,237,2804,18152,954,29187,161,166,73,24,143,97,23,32,154,25,181,1326,56,2075,166,104,70,33,94,103,26,56,147,17,160,714,34,1352,72,32,30,11,29,40,8,15,52,10,74,341,22,574,158,40,67,25,89,107,7,31,80,17,111,592,33,1072,44,41,11,5,32,23,12,0,37,7,59,389,17,590,102,115,33,7,120,47,13,17,72,10,180,1512,39,2072,67,84,41,7,122,66,19,16,77,11,217,3671,61,4281,65,87,16,5,165,48,17,5,66,9,133,2159,53,2687,49,40,13,0,26,21,5,4,78,9,69,476,14,697,55,46,17,0,44,26,7,9,57,0,64,521,23,757,934,758,377,126,874,582,126,175,817,107,1251,11704,358,16171,34,18,5,3,15,20,6,6,24,0,25,123,1576,1790,3171,3682,1251,379,1930,1704,379,688,4043,349,4078,29981,2895,47147,..,..,..,..
POA4123,956,1363,341,38,495,432,91,206,1315,84,1177,9012,456,13806,100,106,42,3,65,43,9,21,108,14,104,825,50,1291,102,57,32,7,58,55,10,25,61,9,74,361,24,687,32,11,19,0,14,30,8,6,8,5,23,151,7,255,57,17,19,7,32,39,4,8,38,10,40,252,10,420,10,11,0,0,20,10,4,3,8,4,24,177,0,230,36,37,21,0,42,19,4,5,39,4,67,641,15,849,32,45,22,4,81,33,9,10,43,6,134,2637,26,2998,19,33,3,0,45,19,0,0,20,3,53,845,22,1026,19,16,4,0,13,9,0,5,26,0,25,167,4,255,28,17,10,4,22,21,5,3,30,0,37,292,11,424,441,359,168,24,394,286,54,94,379,50,577,6339,175,8441,17,8,5,0,11,14,5,7,8,3,4,44,527,610,1411,1731,509,66,899,732,153,302,1698,140,1758,15397,1150,22857,..,..,..,..
POA4124,1363,1820,420,87,704,554,99,286,1780,132,1496,10475,722,16898,139,140,42,6,100,50,19,24,110,19,109,1033,61,1590,213,99,74,17,117,85,15,64,118,33,121,435,33,1003,37,21,15,8,31,17,6,17,13,10,42,110,9,246,66,8,19,14,44,35,6,7,38,13,45,176,14,352,4,6,4,3,4,5,0,0,5,3,8,60,7,95,33,26,10,3,48,10,12,5,21,9,60,486,17,675,11,8,12,8,15,4,0,0,4,4,27,209,3,274,17,22,6,0,33,19,9,6,15,0,33,588,14,700,8,7,7,0,15,12,0,0,7,3,17,115,0,184,23,23,10,0,31,13,0,0,28,3,32,270,10,400,565,357,193,65,439,244,76,123,368,88,494,3486,169,5514,25,16,4,0,10,20,3,13,14,4,10,54,924,1035,1952,2190,616,155,1151,820,178,424,2154,221,2001,14012,1816,23445,..,..,..,..
POA4125,810,963,207,35,386,333,66,203,974,83,737,4883,305,8133,97,107,30,8,83,45,9,28,80,12,75,863,49,1292,147,50,40,9,62,51,8,51,46,15,80,224,18,558,37,14,17,0,23,22,9,14,7,3,25,71,0,162,27,13,3,0,32,19,4,6,11,4,21,89,12,167,0,3,0,0,4,4,0,0,4,0,8,77,4,98,16,20,11,0,21,10,5,0,3,0,27,306,4,395,12,10,4,0,9,12,4,0,0,5,20,200,5,252,8,11,4,0,25,3,4,0,3,0,16,591,7,658,10,10,0,0,8,8,0,0,5,0,7,44,0,76,8,5,4,0,4,5,0,4,10,0,12,212,11,265,357,239,116,29,276,177,46,98,170,52,289,2682,108,3929,31,20,3,0,15,18,7,8,6,5,17,26,749,835,1202,1218,326,63,673,528,115,305,1153,136,1035,7597,1163,12893,..,..,..,..
POA4127,1592,1948,500,155,823,690,174,379,2215,173,1768,10225,660,17349,221,204,82,30,217,138,34,45,185,30,185,1652,121,2658,209,115,51,28,107,109,20,57,130,14,144,569,41,1177,64,30,32,15,35,48,7,17,38,13,63,179,13,382,81,21,28,9,46,40,5,9,54,9,75,372,21,629,14,12,5,0,21,9,5,0,23,0,14,200,12,277,53,55,16,3,60,27,8,8,30,11,78,668,24,929,17,19,12,5,27,19,4,4,18,4,67,675,12,833,22,31,10,4,54,21,5,7,17,6,47,607,18,788,28,14,9,4,21,12,5,5,27,6,17,143,8,251,45,22,8,3,21,22,0,3,30,3,54,375,6,541,758,532,260,109,606,439,95,152,550,97,749,5440,281,8453,42,24,13,3,11,13,3,6,18,3,11,116,1212,1399,2388,2499,775,270,1439,1143,270,534,2789,280,2531,15781,2145,27206,..,..,..,..
POA4128,832,1180,301,29,470,376,76,166,1211,86,1034,7366,442,11666,129,134,43,8,80,54,12,28,85,13,99,882,65,1427,156,69,57,4,67,80,18,47,87,15,80,487,32,940,47,15,13,8,22,26,5,4,29,7,24,144,3,284,36,9,6,6,21,26,6,3,21,5,31,197,15,324,6,4,0,0,8,3,4,0,4,0,13,73,0,107,34,38,7,0,28,10,3,5,17,3,35,281,14,421,9,8,7,3,23,10,0,0,9,0,17,330,5,393,11,13,3,0,22,11,3,4,9,9,16,236,11,304,15,20,5,0,7,5,0,0,12,0,19,115,10,187,30,33,8,4,10,19,0,5,35,0,23,222,12,352,471,340,160,29,295,240,48,98,299,53,364,2964,168,4733,16,8,0,0,4,5,0,0,8,0,7,43,470,543,1321,1525,458,62,773,628,128,260,1515,143,1410,10370,1082,16936,..,..,..,..
POA4129,383,563,95,18,201,169,40,87,595,32,465,3031,191,4935,62,52,22,4,43,33,3,12,48,7,43,393,15,625,54,24,14,5,33,32,12,7,41,4,37,121,14,290,7,9,6,3,3,3,0,5,8,4,11,35,4,72,6,3,0,0,8,0,0,0,3,3,7,54,4,79,0,0,0,0,0,0,0,0,0,0,0,16,0,19,13,3,8,0,9,0,0,0,4,0,12,125,0,165,5,3,3,0,7,0,0,0,4,0,6,57,0,71,3,3,0,0,0,0,0,0,0,0,4,44,0,50,5,4,3,0,0,0,0,0,3,0,3,29,3,48,8,9,6,0,4,0,0,0,10,0,14,73,0,112,175,109,54,11,104,81,20,22,128,20,132,953,45,1556,0,0,0,0,0,0,0,3,0,0,0,12,256,280,557,674,147,27,307,248,55,118,724,51,593,3997,490,6764,..,..,..,..
POA4130,550,638,181,43,182,259,55,112,585,46,548,4338,275,6769,52,44,21,4,26,14,0,11,44,11,46,313,31,522,107,48,38,10,50,42,6,16,48,22,80,349,29,675,24,5,14,3,17,21,0,6,11,0,24,75,6,163,15,5,11,0,8,21,3,4,7,9,13,88,0,144,3,4,0,0,0,0,0,0,0,0,5,28,0,40,15,6,5,4,10,10,0,3,4,0,12,110,3,153,6,8,0,0,0,5,0,0,0,0,15,71,0,98,3,9,0,0,10,11,4,0,0,0,6,74,3,106,9,0,0,0,0,0,0,0,7,0,4,55,0,85,16,10,8,0,9,9,0,0,7,0,18,109,5,170,246,144,84,26,136,120,17,39,134,39,221,1269,80,2151,6,0,0,0,3,7,0,0,0,0,4,16,198,226,797,781,267,73,324,382,78,154,721,84,772,5626,547,9140,..,..,..,..
POA4131,557,928,143,20,378,255,80,193,994,57,704,3646,263,6525,122,146,26,15,120,53,34,24,92,14,90,803,63,1316,72,39,14,11,34,38,5,28,41,3,50,112,14,312,24,4,6,4,7,9,5,7,7,9,14,39,5,88,8,3,9,0,22,12,0,7,16,6,15,85,8,143,19,21,3,3,39,26,4,5,24,8,59,337,20,484,31,36,3,4,38,7,7,6,28,6,53,355,8,510,5,6,3,0,3,7,4,0,4,0,8,132,6,162,16,17,3,0,23,9,0,6,22,5,35,581,21,697,12,8,4,0,11,4,0,0,11,0,15,43,0,94,9,8,8,0,14,6,4,0,9,0,18,179,11,238,325,295,81,29,306,177,66,73,262,48,346,2664,150,4050,7,11,5,0,9,3,0,3,10,3,7,60,1116,1215,886,1224,229,51,693,432,155,269,1269,100,1051,6370,1531,11781,..,..,..,..
POA4132,1311,2161,327,46,845,501,164,388,2166,123,1477,9586,680,16081,241,315,62,8,316,113,36,42,144,47,193,2425,170,3616,151,60,43,11,95,71,22,65,86,13,84,183,17,543,28,3,6,7,17,10,0,5,23,0,25,50,0,123,49,28,16,0,27,27,6,11,34,5,39,162,15,294,19,26,0,0,26,16,5,4,24,3,41,385,22,525,54,56,16,5,92,23,8,3,42,16,110,1166,40,1501,3,0,4,0,12,0,0,0,5,0,7,111,0,137,30,34,5,0,59,7,4,5,36,3,43,733,14,914,24,12,6,0,15,8,7,0,22,3,24,75,3,135,19,22,3,4,24,10,5,0,9,0,39,669,31,810,615,552,161,35,685,278,94,144,415,97,606,5957,322,8597,24,21,5,0,20,18,6,7,14,4,16,126,2181,2386,1950,2735,496,78,1553,797,265,535,2594,223,2100,15673,3178,27070,..,..,..,..
POA4133,1283,1753,356,94,674,563,145,351,1781,158,1353,8168,581,13895,187,241,55,13,180,94,27,35,128,35,175,1542,98,2403,196,80,60,27,90,91,20,44,101,19,109,330,18,803,63,15,21,4,24,35,5,17,23,8,30,80,5,215,37,22,12,3,27,21,8,12,33,11,41,162,8,286,16,9,0,0,19,10,0,0,11,0,25,252,10,323,48,37,20,7,51,15,5,9,30,11,71,568,30,807,3,4,0,0,17,7,0,0,0,0,9,165,0,212,10,21,3,0,31,8,5,4,17,0,28,988,16,1106,13,13,3,4,7,3,5,0,11,0,19,105,4,162,30,22,7,0,19,10,3,3,25,3,18,371,16,479,599,477,181,57,466,304,83,126,376,87,531,4574,207,6796,29,17,5,5,22,18,5,11,18,4,15,53,1658,1779,1910,2246,541,155,1158,884,238,485,2167,247,1897,12795,2443,22472,..,..,..,..
POA4151,773,1213,342,62,335,404,86,157,1542,81,1173,8327,447,13054,46,61,12,0,21,19,0,5,65,5,42,373,18,595,78,54,20,3,14,41,3,11,72,9,66,390,23,652,21,13,16,0,8,7,0,0,18,6,16,170,3,253,41,12,9,14,27,26,7,4,33,4,47,228,11,368,8,10,0,0,0,5,0,0,10,0,11,109,4,145,18,24,14,0,15,7,10,0,16,3,41,338,10,443,9,10,4,0,5,7,4,0,10,0,17,315,11,380,11,15,4,0,22,3,0,0,16,0,22,869,18,962,25,26,8,0,10,11,4,3,33,3,38,360,12,471,20,14,6,0,7,10,0,0,17,0,19,132,4,203,265,242,85,30,143,134,36,24,288,38,311,3292,107,4482,10,5,4,0,0,3,3,4,4,0,0,25,549,599,1042,1463,433,95,483,540,116,187,1838,117,1483,11639,1098,18132,..,..,..,..
POA4152,2393,3040,1078,180,1096,1180,213,451,3316,257,2950,21777,1105,33861,143,183,58,16,98,67,19,22,148,15,169,1214,70,1951,195,145,74,19,80,106,23,39,173,20,157,1017,58,1751,58,30,34,6,16,33,0,8,47,9,47,430,20,645,196,49,72,36,120,107,24,24,101,15,135,651,32,1229,31,12,7,3,36,25,6,4,33,3,33,345,14,474,88,54,30,0,87,56,11,16,53,9,112,967,33,1376,40,34,34,0,56,55,3,6,50,8,144,1616,32,1984,60,52,14,5,93,48,4,9,46,3,64,870,25,1185,52,36,21,3,41,13,6,6,68,10,79,674,19,930,44,57,22,6,26,22,3,7,72,3,71,712,22,981,904,656,374,101,645,542,102,151,788,99,1011,8502,318,12504,50,13,13,5,14,19,0,8,20,4,15,94,1030,1208,3352,3709,1465,281,1759,1741,313,604,4121,358,3980,30370,2453,47570,..,..,..,..
POA4153,227,295,111,11,121,106,28,50,268,21,276,2098,98,3221,17,13,8,0,13,8,0,0,11,4,24,155,8,247,18,9,5,0,12,5,3,3,14,0,22,91,0,156,7,3,4,0,5,0,0,0,8,0,3,34,4,54,17,0,11,5,9,11,5,0,6,0,10,76,4,118,0,4,0,0,0,0,0,0,3,0,4,37,0,46,4,4,0,0,6,3,0,0,3,0,14,66,6,103,3,5,3,0,10,5,4,0,8,0,11,149,4,186,3,0,0,0,4,0,0,0,0,0,9,73,0,91,3,0,4,0,4,0,0,0,9,0,5,56,0,76,3,7,0,0,0,0,0,0,3,0,4,58,6,78,77,50,29,4,69,42,15,10,68,6,99,791,31,1153,0,0,0,0,0,0,0,0,0,0,0,0,120,127,302,345,142,16,186,151,40,58,338,27,370,2891,252,4498,..,..,..,..
